Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
SC2,2019-08-03,15:00,Airdrie Utd,Forfar,0,2,A,0,0,D,K Graham,8,10,2,6,14,12,8,10,1,1,0,0,2.3,3.4,3.0,2.2,3.3,2.8,2.3,3.2,2.85,2.4,3.48,2.98,2.35,3.4,2.9,2.4,3.3,2.9,2.4,3.48,3.0,2.3,3.29,2.85,2.0,1.8,1.96,1.85,2.03,1.88,1.94,1.8,-0.25,2.05,1.8,2.05,1.79,2.1,1.83,2.02,1.78,2.62,3.4,2.5,2.4,3.3,2.55,2.5,3.35,2.5,2.61,3.73,2.57,2.55,3.6,2.55,2.55,3.5,2.6,2.62,3.73,2.7,2.49,3.42,2.52,1.72,2.07,1.78,2.09,1.8,2.14,1.73,2.03,0.0,1.87,1.92,1.95,1.93,1.98,2.02,1.89,1.9,2,-2,0.0896111694592634,0.39902546971083264,0.2789539757856884,0.3220205545034789,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-03,15:00,Clyde,East Fife,1,1,D,1,0,H,B Cook,9,7,2,3,13,15,5,4,3,3,0,0,2.25,3.5,3.0,2.25,3.4,2.7,2.2,3.3,2.95,2.26,3.72,3.04,2.25,3.6,3.0,2.3,3.4,3.0,2.3,3.72,3.05,2.21,3.41,2.9,1.85,1.95,1.86,1.94,1.92,1.97,1.84,1.9,-0.25,2.0,1.85,1.95,1.88,2.01,1.9,1.95,1.84,2.25,3.5,3.0,2.25,3.4,2.7,2.25,3.25,2.85,2.33,3.66,2.96,2.3,3.6,2.9,2.3,3.4,3.0,2.34,3.66,3.0,2.25,3.38,2.86,1.85,1.95,1.89,1.97,1.92,1.97,1.85,1.9,-0.25,2.0,1.85,2.03,1.85,2.03,1.91,1.98,1.82,2,0,0.0905714059545113,0.41490973017651184,0.26890044096483606,0.31618982885865216,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-03,15:00,Dumbarton,Raith Rvs,0,1,A,0,0,D,D Williams,8,9,4,4,10,11,5,5,2,1,0,0,3.25,3.6,2.1,2.8,3.5,2.15,3.1,3.45,2.05,3.22,3.99,2.09,3.2,3.8,2.05,3.25,3.6,2.1,3.28,3.99,2.15,3.08,3.6,2.06,1.7,2.1,1.71,2.12,1.74,2.17,1.68,2.08,0.25,1.98,1.88,2.01,1.81,2.04,1.88,1.97,1.82,3.4,3.6,2.0,3.0,3.6,2.0,3.25,3.5,2.0,3.34,3.99,2.04,3.4,3.8,2.0,3.4,3.6,2.05,3.45,3.99,2.05,3.25,3.6,1.99,1.7,2.1,1.73,2.16,1.74,2.17,1.68,2.09,0.25,2.05,1.8,2.09,1.79,2.11,1.82,2.04,1.77,1,-1,0.08788999565698585,0.29844499533176655,0.2553362737838447,0.44621873088438885,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-03,15:00,Peterhead,Falkirk,0,0,D,0,0,D,C Steven,4,8,2,3,15,16,5,4,0,1,0,0,3.3,3.5,2.1,3.1,3.5,2.0,3.3,3.3,2.0,3.64,3.54,2.07,3.4,3.4,2.1,3.5,3.5,2.05,3.64,3.54,2.14,3.28,3.39,2.04,1.9,1.9,1.88,1.93,1.96,1.95,1.86,1.88,0.5,1.77,2.1,1.79,2.05,1.82,2.1,1.75,2.04,3.4,3.5,2.05,3.1,3.5,2.0,3.35,3.35,2.0,3.4,3.67,2.11,3.4,3.6,2.05,3.5,3.4,2.05,3.5,3.67,2.11,3.27,3.43,2.04,1.9,1.9,1.91,1.95,1.97,1.95,1.86,1.89,0.25,2.07,1.72,2.04,1.84,2.07,1.96,1.99,1.79,0,0,0.0900593779493235,0.27968939577772384,0.2706139286580927,0.4496966755641834,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-03,15:00,Stranraer,Montrose,2,2,D,1,0,H,L Wilson,8,6,4,3,10,17,6,5,1,3,0,0,2.37,3.4,2.87,2.2,3.4,2.75,2.3,3.25,2.75,2.42,3.69,2.82,2.35,3.6,2.8,2.38,3.4,2.9,2.42,3.69,2.9,2.32,3.4,2.75,1.85,1.95,1.81,2.01,1.89,2.01,1.82,1.92,-0.25,2.05,1.8,2.08,1.76,2.1,1.81,2.04,1.76,2.62,3.3,2.62,2.4,3.2,2.6,2.55,3.3,2.45,2.68,3.64,2.55,2.62,3.5,2.55,2.63,3.4,2.6,2.68,3.64,2.62,2.54,3.36,2.51,1.8,2.0,1.83,2.04,1.85,2.04,1.79,1.96,0.0,1.98,1.88,1.99,1.88,1.99,1.92,1.92,1.87,4,0,0.0887884934538079,0.3958844948767889,0.2701329494453383,0.3339825556778728,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-10,15:00,East Fife,Peterhead,1,1,D,1,1,D,L Wilson,18,8,5,4,10,6,13,6,3,1,0,0,2.15,3.75,2.8,2.2,3.5,2.7,2.2,3.4,2.85,2.36,3.7,2.9,2.3,3.6,2.9,2.2,3.25,2.8,2.36,3.75,3.0,2.24,3.47,2.8,1.8,2.0,1.78,2.04,1.81,2.07,1.75,1.99,-0.25,1.95,1.9,2.03,1.8,2.03,1.9,1.96,1.83,2.2,3.6,2.75,2.2,3.5,2.7,2.25,3.3,2.85,2.34,3.75,2.89,2.3,3.6,2.88,2.25,3.5,3.0,2.38,3.75,3.0,2.26,3.47,2.79,1.8,2.0,1.89,1.97,1.89,2.02,1.81,1.93,-0.25,2.02,1.83,2.05,1.83,2.05,1.88,2.0,1.8,2,0,0.09175586661177437,0.40890879094979965,0.2639641762903606,0.32712703275983973,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-10,15:00,Falkirk,Dumbarton,6,0,H,5,0,H,G Beaton,14,5,10,4,10,15,9,4,1,1,0,0,1.45,4.0,6.5,1.45,4.25,5.5,1.45,4.2,5.75,1.48,4.67,6.36,1.5,4.5,6.0,1.44,4.0,5.75,1.53,4.67,6.5,1.46,4.31,5.71,1.65,2.2,1.62,2.28,1.66,2.3,1.61,2.2,-1.0,1.85,2.0,1.78,2.05,1.85,2.08,1.79,2.01,1.44,4.2,7.5,1.42,4.5,5.5,1.45,4.3,6.0,1.37,5.45,7.4,1.38,5.25,7.0,1.44,4.5,7.0,1.54,5.45,7.5,1.41,4.61,6.3,1.65,2.2,1.59,2.42,1.67,2.42,1.6,2.23,-1.25,2.02,1.77,1.88,2.0,2.05,2.0,1.9,1.88,6,6,0.09208141684561744,0.6271798936270524,0.21245536999895515,0.1603647363739924,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
SC2,2019-08-10,15:00,Forfar,Stranraer,1,0,H,0,0,D,D Munro,15,10,9,5,8,10,6,3,0,1,0,0,1.72,3.5,4.33,1.7,3.5,4.2,1.65,3.8,4.45,1.65,4.34,4.8,1.67,4.0,4.75,1.6,3.7,4.5,1.73,4.34,4.8,1.65,3.86,4.4,1.7,2.1,1.68,2.18,1.73,2.2,1.68,2.09,-0.75,1.93,1.93,1.82,2.01,1.97,2.01,1.87,1.92,1.57,3.75,5.0,1.6,3.9,4.33,1.65,3.75,4.4,1.72,4.16,4.53,1.7,4.0,4.5,1.65,4.0,5.0,1.74,4.16,5.75,1.65,3.87,4.45,1.72,2.07,1.74,2.16,1.74,2.23,1.68,2.09,-0.75,1.88,1.98,1.94,1.94,1.98,2.01,1.87,1.92,1,1,0.09240069084628666,0.554796981674452,0.2371541501976285,0.2080488681279195,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
SC2,2019-08-10,15:00,Montrose,Airdrie Utd,0,1,A,0,0,D,D Dickinson,11,12,4,3,8,15,3,12,2,4,1,0,2.25,3.6,2.7,2.35,3.4,2.55,2.25,3.35,2.75,2.39,3.64,2.88,2.35,3.6,2.8,2.25,3.3,2.7,2.39,3.68,2.88,2.3,3.44,2.72,1.8,2.0,1.78,2.04,1.81,2.07,1.75,1.99,-0.25,2.02,1.83,2.05,1.78,2.07,1.89,2.01,1.78,2.15,3.6,2.87,2.2,3.4,2.75,2.15,3.35,2.9,2.21,3.82,3.07,2.2,3.7,3.0,2.25,3.5,3.0,2.29,3.82,3.07,2.18,3.5,2.9,1.8,2.0,1.78,2.09,1.8,2.09,1.75,2.0,-0.25,1.95,1.9,1.94,1.94,2.02,1.94,1.93,1.87,1,-1,0.09312734193778627,0.3977419574236551,0.26593212269604843,0.3363259198802965,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-10,15:00,Raith Rvs,Clyde,5,2,H,2,0,H,E Anderson,13,8,7,4,13,11,3,5,2,2,0,0,1.65,3.8,4.75,1.6,3.8,4.5,1.7,3.65,4.3,1.71,3.81,5.05,1.73,3.8,4.5,1.65,3.6,4.3,1.77,3.9,5.05,1.68,3.71,4.44,1.72,2.07,1.76,2.05,1.79,2.1,1.73,2.02,-0.75,1.93,1.93,1.93,1.91,1.95,1.94,1.89,1.89,1.9,3.6,4.0,1.78,3.5,3.8,1.9,3.45,3.55,2.0,3.58,3.86,1.95,3.6,3.75,1.93,3.6,3.8,2.0,3.76,4.0,1.91,3.5,3.62,1.72,2.07,1.77,2.1,1.78,2.12,1.72,2.04,-0.5,1.9,1.9,2.0,1.88,2.01,1.94,1.92,1.86,7,3,0.09000509943906154,0.546087440824283,0.24728487886382625,0.20662768031189085,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
SC2,2019-08-17,15:00,Airdrie Utd,Clyde,3,1,H,0,1,A,P Stuart,8,5,5,2,7,10,5,5,2,1,0,0,2.15,3.6,3.0,2.1,3.4,2.95,2.15,3.4,2.95,2.21,3.49,3.31,2.25,3.5,3.0,2.3,3.6,2.9,2.3,3.6,3.38,2.15,3.4,3.04,1.7,2.1,1.7,2.14,1.73,2.19,1.67,2.1,-0.25,1.95,1.9,1.89,1.93,2.02,2.03,1.9,1.89,2.25,3.4,2.87,2.1,3.4,2.95,2.25,3.35,2.8,2.41,3.45,2.98,2.35,3.5,2.88,2.3,3.6,2.88,2.41,3.6,3.05,2.26,3.35,2.86,1.7,2.1,1.72,2.17,1.74,2.17,1.69,2.09,-0.25,2.02,1.83,2.08,1.8,2.11,1.88,2.0,1.81,4,2,0.08818129454964363,0.4274253577040774,0.27028368207757836,0.30229096021834423,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
SC2,2019-08-17,15:00,Falkirk,Montrose,2,1,H,1,1,D,S Reid,15,6,5,3,15,9,9,4,1,3,0,0,1.4,4.5,6.5,1.44,4.33,5.5,1.45,4.4,5.75,1.43,4.88,6.83,1.44,4.75,6.5,1.45,4.6,6.5,1.51,4.88,6.83,1.42,4.52,6.02,1.5,2.5,1.49,2.56,1.53,2.62,1.49,2.47,-1.25,1.98,1.88,2.0,1.83,2.02,1.9,1.95,1.84,1.33,4.33,8.0,1.28,5.25,7.5,1.35,4.65,6.75,1.38,5.36,7.17,1.35,5.25,8.0,1.36,5.0,8.0,1.39,5.36,8.0,1.35,4.87,7.07,1.57,2.35,1.6,2.39,1.6,2.5,1.56,2.31,-1.25,1.83,2.02,1.89,1.99,1.9,2.06,1.81,1.99,3,1,0.09157724697640468,0.6451447701601813,0.20267822425386228,0.1521770055859564,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
SC2,2019-08-17,15:00,Peterhead,Dumbarton,2,3,A,2,1,H,D Dickinson,9,10,6,6,12,10,5,5,3,1,0,0,1.7,3.75,4.2,1.72,3.75,3.8,1.65,3.85,4.2,1.72,4.31,4.32,1.7,4.2,4.4,1.73,4.0,4.4,1.73,4.31,5.0,1.69,3.91,4.16,1.6,2.3,1.63,2.27,1.65,2.32,1.6,2.23,-0.75,1.9,1.9,1.93,1.9,1.96,1.96,1.89,1.88,1.5,4.2,5.5,1.48,4.5,4.75,1.45,4.15,5.75,1.5,4.92,5.62,1.5,4.2,6.5,1.53,4.1,6.0,1.53,4.92,6.75,1.48,4.32,5.6,1.72,2.07,1.79,2.07,1.83,2.15,1.74,2.02,-1.0,1.93,1.93,1.88,2.0,1.95,2.06,1.85,1.95,5,-1,0.08785506741930127,0.5439290527322522,0.23509976959527018,0.22097117767247745,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
SC2,2019-08-17,15:00,Stranraer,Raith Rvs,3,2,H,1,0,H,G Aitken,8,9,4,3,13,8,4,6,0,0,0,0,3.75,3.5,1.83,3.5,3.4,1.9,3.3,3.6,1.9,3.54,3.98,1.98,3.5,3.7,2.0,3.6,3.6,2.0,3.75,3.98,2.02,3.39,3.63,1.94,1.57,2.35,1.55,2.43,1.62,2.45,1.55,2.31,0.5,1.88,1.98,1.88,1.95,1.9,2.03,1.83,1.97,4.75,3.6,1.65,4.0,3.7,1.7,4.1,3.8,1.7,3.99,4.45,1.76,4.2,3.8,1.78,4.1,3.8,1.8,4.75,4.45,1.8,4.08,3.84,1.72,1.7,2.1,1.65,2.3,1.73,2.3,1.64,2.14,0.75,1.92,1.87,1.87,2.01,1.92,2.06,1.83,1.95,5,1,0.0859312619271484,0.271642654631719,0.25368280969739043,0.4746745356708904,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-24,15:00,Clyde,Falkirk,1,0,H,1,0,H,D Lowe,9,10,4,5,11,12,1,13,1,2,0,0,3.75,4.0,1.66,4.33,4.0,1.6,4.05,3.65,1.75,4.69,3.64,1.8,4.33,3.8,1.78,3.9,3.6,1.7,4.69,4.0,1.8,4.09,3.75,1.73,1.66,2.15,1.72,2.1,1.73,2.2,1.66,2.11,0.75,1.85,2.0,1.82,2.01,1.9,2.03,1.82,1.96,4.75,4.2,1.55,5.0,3.9,1.53,4.95,4.05,1.55,5.11,4.75,1.56,5.5,4.5,1.52,5.4,4.2,1.57,5.75,4.75,1.59,5.05,4.22,1.53,1.65,2.2,1.66,2.27,1.69,2.27,1.64,2.17,1.0,1.8,2.0,1.92,1.96,1.96,2.01,1.87,1.92,1,1,0.08920012625370388,0.2244755317345255,0.24482797994512245,0.5306964883203522,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-24,15:00,Dumbarton,Stranraer,3,1,H,1,1,D,B Cook,11,11,3,4,12,13,3,5,3,2,0,0,2.05,3.6,2.87,2.2,3.5,2.7,2.2,3.55,2.8,2.24,4.09,2.85,2.2,3.9,2.88,2.1,3.5,2.8,2.29,4.09,2.92,2.17,3.65,2.8,1.6,2.3,1.53,2.46,1.6,2.5,1.56,2.31,-0.25,1.93,1.93,1.97,1.86,2.07,1.94,1.93,1.86,2.55,3.6,2.37,2.4,3.5,2.45,2.6,3.45,2.35,2.68,3.94,2.42,2.7,3.5,2.45,2.7,3.6,2.45,2.7,3.94,2.5,2.57,3.59,2.38,1.65,2.2,1.68,2.23,1.68,2.25,1.64,2.14,0.0,2.02,1.83,2.04,1.84,2.05,1.87,1.99,1.82,4,2,0.09194495297014083,0.42202630437924554,0.2509033097268391,0.3270703858939153,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-24,15:00,East Fife,Airdrie Utd,4,1,H,2,0,H,G Beaton,11,12,5,4,7,10,6,8,2,2,0,0,2.3,3.6,2.5,2.4,3.6,2.4,2.3,3.4,2.65,2.43,3.61,2.85,2.5,3.6,2.62,2.3,3.4,2.55,2.55,3.65,2.85,2.36,3.5,2.61,1.65,2.2,1.7,2.13,1.71,2.33,1.65,2.14,0.0,1.83,2.02,1.76,2.07,1.91,2.07,1.81,1.99,2.2,3.6,2.75,2.15,3.6,2.75,2.3,3.4,2.7,2.45,3.71,2.76,2.38,3.6,2.75,2.4,3.6,2.75,2.45,3.71,2.76,2.31,3.5,2.7,1.7,2.1,1.72,2.17,1.73,2.18,1.67,2.11,0.0,1.8,2.05,1.83,2.06,1.84,2.08,1.78,2.03,5,3,0.09258486172571523,0.3878223361891095,0.2615030609732281,0.3506746028376622,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-24,15:00,Peterhead,Forfar,1,0,H,0,0,D,C Fordyce,15,8,7,3,11,10,6,2,1,2,0,0,2.62,3.75,2.25,2.45,3.5,2.4,2.65,3.35,2.35,2.78,3.71,2.43,2.75,3.6,2.38,2.63,3.3,2.3,2.78,3.75,2.43,2.65,3.52,2.34,1.8,2.0,1.71,2.12,1.8,2.15,1.72,2.04,0.0,2.02,1.77,2.05,1.79,2.1,1.82,2.04,1.77,2.87,3.75,2.1,2.7,3.5,2.2,2.95,3.35,2.15,3.0,3.82,2.25,3.0,3.75,2.15,3.1,3.5,2.2,3.17,3.82,2.3,2.92,3.55,2.16,1.8,2.0,1.77,2.11,1.8,2.11,1.74,2.01,0.25,1.93,1.93,1.91,1.98,1.94,2.02,1.88,1.91,1,1,0.08879982700737421,0.3465820633010461,0.2609211556101625,0.3924967810887915,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
SC2,2019-08-24,15:00,Raith Rvs,Montrose,3,0,H,0,0,D,S Lambie,10,4,3,2,11,10,7,4,2,2,0,0,1.66,4.0,3.75,1.6,4.1,4.2,1.7,3.85,3.95,1.7,4.11,4.73,1.75,4.0,4.2,1.7,3.75,3.75,1.77,4.2,4.73,1.69,3.93,4.11,1.5,2.5,1.52,2.51,1.52,2.6,1.5,2.45,-0.75,1.98,1.88,1.88,1.95,2.01,1.95,1.92,1.86,1.57,4.2,4.2,1.6,4.0,4.33,1.65,3.8,4.2,1.72,3.99,4.7,1.67,4.0,4.75,1.67,4.0,4.8,1.74,4.2,5.0,1.65,3.89,4.4,1.61,2.25,1.65,2.3,1.7,2.34,1.6,2.23,-0.75,1.85,2.0,1.95,1.93,1.96,2.0,1.86,1.93,3,3,0.08947790497310226,0.5431188403457982,0.2335549211665137,0.22332623848768826,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
