ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
E3,2024-08-09,20:00,Chesterfield,Swindon,1,1,D,1,0,H,S Oldham,13,6,4,1,8,13,5,0,0,5,0,0,1.65,3.9,5.0,1.68,4.1,4.33,1.62,4.2,5.0,1.69,4.34,4.54,1.7,4.0,4.5,1.68,4.15,4.4,1.7,4.34,5.0,1.66,4.12,4.51,1.7,4.3,5.3,1.57,2.35,1.58,2.46,1.58,2.46,1.55,2.37,1.64,2.52,-0.75,1.85,2.0,1.88,2.01,1.89,2.05,1.83,1.97,1.87,2.1,1.65,3.8,4.75,1.68,4.1,4.33,1.67,4.2,4.6,1.68,4.36,4.59,1.7,4.0,4.5,1.66,3.84,4.79,1.73,4.36,4.79,1.67,4.1,4.44,1.73,4.4,4.9,1.57,2.35,1.59,2.44,1.6,2.44,1.55,2.36,1.61,2.58,-0.75,1.83,2.03,1.86,2.03,1.89,2.05,1.83,1.97,1.91,2.06,2,0,0.06685757517833157,0.5646579755067311,0.22750782508280912,0.20783419941045977,2024.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2024-08-10,15:00,AFC Wimbledon,Colchester,4,2,H,3,2,H,D Middleton,14,7,6,3,16,6,5,2,5,1,0,0,1.9,3.5,3.8,1.9,3.5,3.7,1.91,3.5,3.9,1.89,3.56,4.03,1.95,3.4,3.9,1.9,3.6,3.83,1.97,3.6,4.1,1.9,3.52,3.85,1.99,3.65,3.95,1.93,1.93,1.94,1.89,1.94,1.93,1.88,1.87,,,-0.5,1.93,1.93,1.91,1.94,1.98,1.94,1.9,1.88,1.99,1.96,2.0,3.5,3.6,2.05,3.4,3.5,2.0,3.3,3.4,2.11,3.49,3.58,2.1,3.4,3.5,1.99,3.48,3.58,2.11,3.55,3.7,2.03,3.42,3.49,2.16,3.6,3.7,2.0,1.85,2.01,1.87,2.02,1.87,1.94,1.82,2.04,1.91,-0.25,1.75,2.05,1.83,2.07,1.83,2.17,1.76,2.05,1.86,2.12,6,2,0.07014695830485307,0.491816367265469,0.2654690618762475,0.2427145708582834,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2024-08-10,15:00,Barrow,Crewe,1,0,H,1,0,H,M Coy,10,4,4,0,13,12,3,4,3,2,0,0,1.91,3.5,3.8,1.98,3.5,3.6,1.91,3.5,3.9,1.92,3.51,3.96,1.95,3.4,3.9,1.92,3.54,3.83,1.98,3.6,4.0,1.92,3.48,3.81,2.04,3.5,4.0,2.0,1.85,2.0,1.84,2.0,1.87,1.94,1.81,,,-0.5,1.95,1.9,1.93,1.92,1.95,1.92,1.91,1.87,2.04,1.9,2.1,3.4,3.3,2.15,3.3,3.2,2.1,3.3,3.3,2.16,3.48,3.46,2.2,3.3,3.3,2.11,3.41,3.31,2.2,3.48,3.46,2.14,3.36,3.27,2.18,3.55,3.65,1.98,1.88,1.99,1.88,2.01,1.9,1.94,1.82,2.02,1.94,-0.25,1.88,1.98,1.87,2.02,1.9,2.04,1.84,1.95,1.88,2.09,1,1,0.07065684677346362,0.4864614978206314,0.2683925505217276,0.245145951657641,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2024-08-10,15:00,Cheltenham,Newport County,3,2,H,2,2,D,R Ricardo,16,11,5,6,13,8,4,6,1,3,0,0,1.75,3.6,4.5,1.78,3.7,4.2,1.75,3.7,4.5,1.78,3.73,4.36,1.8,3.6,4.33,1.78,3.74,4.26,1.8,3.81,4.5,1.77,3.66,4.29,1.82,3.7,4.5,1.88,1.98,1.85,1.99,1.9,1.99,1.83,1.93,1.84,1.99,-0.75,2.0,1.85,2.03,1.83,2.03,1.85,1.98,1.82,2.03,1.84,1.7,3.7,4.75,1.73,3.7,4.5,1.7,3.6,4.5,1.74,3.89,4.77,1.75,3.6,4.75,1.7,3.7,4.75,1.77,3.89,4.8,1.72,3.71,4.59,1.81,3.95,4.9,1.85,2.0,1.87,2.0,1.9,2.0,1.84,1.92,1.94,2.02,-0.75,1.93,1.93,1.96,1.93,1.98,1.96,1.91,1.88,2.05,1.92,5,1,0.07129602822850956,0.52737220761162,0.25504065777938995,0.21758713460899004,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2024-08-10,15:00,Doncaster,Accrington,4,1,H,1,0,H,R Joyce,13,3,4,2,5,17,6,1,0,2,0,0,1.53,4.1,5.5,1.55,4.2,5.5,1.53,4.33,6.0,1.52,4.33,5.71,1.57,4.0,5.8,1.54,4.3,5.47,1.57,4.4,6.0,1.53,4.21,5.53,1.54,4.5,6.0,1.7,2.1,1.67,2.23,1.7,2.23,1.66,2.15,1.68,2.22,-1.0,1.93,1.93,1.89,1.95,1.96,1.95,1.88,1.89,1.85,2.01,1.53,4.1,5.5,1.52,4.33,5.5,1.47,4.2,5.5,1.56,4.37,5.7,1.53,4.2,6.0,1.54,4.13,5.54,1.56,4.4,6.0,1.53,4.22,5.51,1.58,4.6,6.4,1.67,2.15,1.7,2.23,1.7,2.23,1.65,2.16,1.72,2.32,-1.0,1.93,1.93,1.95,1.93,1.95,1.98,1.89,1.89,1.98,2.0,5,3,0.07195628885467809,0.609721476554009,0.22158523969777524,0.16869328374821585,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2024-08-10,15:00,Fleetwood Town,Grimsby,1,0,H,1,0,H,B Speedie,9,5,4,0,11,10,10,3,0,3,0,0,1.9,3.6,3.8,1.9,3.6,3.7,1.95,3.6,3.8,1.98,3.56,3.68,2.0,3.4,3.8,1.96,3.56,3.65,2.0,3.64,4.2,1.93,3.53,3.73,2.04,3.5,3.95,1.9,1.95,1.92,1.92,1.92,1.95,1.87,1.88,1.9,1.92,-0.5,1.93,1.93,2.0,1.85,2.0,1.94,1.92,1.87,2.04,1.91,1.95,3.5,3.6,1.95,3.5,3.7,1.91,3.5,3.7,1.97,3.65,3.86,1.95,3.5,3.8,1.96,3.52,3.62,2.04,3.66,4.05,1.93,3.53,3.74,2.04,3.75,4.0,1.93,1.93,1.93,1.94,1.97,1.94,1.88,1.88,1.98,1.99,-0.5,2.0,1.85,1.98,1.91,2.04,1.91,1.93,1.86,2.04,1.94,1,1,0.06951734875138516,0.48445657812919674,0.2648728599969829,0.2506705618738203,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2024-08-10,15:00,Gillingham,Carlisle,4,1,H,1,0,H,B Atkinson,14,18,8,5,16,9,6,7,3,0,0,0,1.95,3.7,3.5,1.93,3.5,3.7,1.91,3.5,3.9,1.94,3.59,3.77,2.0,3.4,3.75,1.96,3.54,3.67,2.0,3.7,3.9,1.95,3.53,3.65,2.0,3.6,3.95,2.0,1.85,1.94,1.89,2.0,1.89,1.92,1.83,1.97,1.88,-0.5,1.98,1.88,1.96,1.88,1.98,1.9,1.93,1.85,2.0,1.92,1.95,3.7,3.4,2.0,3.4,3.5,1.95,3.4,3.6,2.0,3.59,3.83,1.91,3.6,3.9,1.97,3.73,3.43,2.03,3.73,3.9,1.98,3.51,3.57,2.06,3.65,4.0,1.95,1.9,1.97,1.9,1.97,1.93,1.91,1.85,2.02,1.96,-0.5,2.0,1.85,2.0,1.88,2.03,1.88,1.97,1.83,2.06,1.91,5,3,0.07007923454040887,0.4792360194156702,0.26473377843075263,0.2560302021535772,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2024-08-10,15:00,Harrogate,Bromley,0,2,A,0,0,D,T Parsons,10,13,2,5,8,14,5,7,1,4,0,0,2.2,3.5,3.0,2.25,3.4,2.95,2.2,3.5,3.1,2.32,3.57,2.9,2.38,3.25,3.0,2.34,3.4,2.91,2.38,3.63,3.1,2.27,3.45,2.92,2.36,3.4,3.0,1.93,1.93,1.96,1.88,1.96,1.96,1.89,1.87,1.92,1.94,-0.25,2.0,1.85,2.04,1.83,2.04,1.85,1.98,1.81,2.03,1.85,2.38,3.5,2.8,2.3,3.4,2.87,2.4,3.3,2.75,2.45,3.6,2.84,2.4,3.3,2.9,2.37,3.48,2.78,2.45,3.6,3.0,2.36,3.42,2.81,2.56,3.6,2.96,1.93,1.93,1.94,1.93,1.97,1.95,1.89,1.87,1.97,1.98,-0.25,2.1,1.78,2.12,1.78,2.12,1.8,2.05,1.76,2.21,1.81,2,-2,0.07284946024965921,0.4106155156742303,0.2701731074146385,0.3192113769111311,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
E3,2024-08-10,15:00,Milton Keynes Dons,Bradford,1,2,A,1,2,A,T Reeves,14,7,5,2,11,13,4,2,1,0,0,0,2.1,3.5,3.2,2.1,3.6,3.1,2.1,3.6,3.4,2.09,3.6,3.33,2.15,3.5,3.25,2.08,3.62,3.25,2.15,3.71,3.4,2.07,3.56,3.24,2.14,3.55,3.3,1.7,2.1,1.74,2.11,1.74,2.14,1.7,2.08,1.44,2.28,-0.25,1.8,2.05,1.83,2.03,1.85,2.05,1.8,1.98,1.85,2.04,2.15,3.5,3.1,2.1,3.5,3.2,2.1,3.5,3.1,2.19,3.62,3.26,2.1,3.5,3.4,2.12,3.58,3.18,2.19,3.65,3.4,2.12,3.52,3.19,2.28,3.75,3.3,1.7,2.1,1.76,2.13,1.76,2.14,1.71,2.08,1.79,2.2,-0.25,1.9,1.95,1.91,1.98,1.91,2.0,1.84,1.95,1.98,2.0,3,-1,0.07263263915274987,0.45037953331459096,0.2618779870677537,0.2877424796176553,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
E3,2024-08-10,15:00,Salford,Port Vale,0,2,A,0,1,A,M Woods,8,7,2,4,7,17,3,7,2,2,0,0,2.2,3.6,2.9,2.2,3.5,3.0,2.2,3.4,3.2,2.29,3.54,2.97,2.3,3.4,3.0,2.28,3.48,2.96,2.3,3.6,3.2,2.25,3.47,2.95,2.46,3.45,2.96,1.83,2.03,1.85,1.98,1.87,2.03,1.81,1.95,1.83,2.08,-0.25,2.0,1.85,2.01,1.85,2.01,1.9,1.96,1.82,2.11,1.81,2.55,3.5,2.5,2.6,3.4,2.55,2.7,3.2,2.5,2.73,3.49,2.59,2.62,3.3,2.62,2.57,3.53,2.52,2.73,3.53,2.88,2.59,3.4,2.56,2.94,3.45,2.68,1.88,1.98,1.9,1.96,1.97,1.99,1.85,1.91,1.95,2.0,0.0,1.98,1.88,2.0,1.89,2.0,1.95,1.94,1.88,2.1,1.89,2,-2,0.0716119333322478,0.41474383647671337,0.2689261187529121,0.3163300447703746,2024.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
