league_code,season,team_id,team_name,date,elo_rating
B1,2526,8915,Antwerp,2025-07-25,1482.8998270523628
B1,2526,8915,Antwerp,2025-08-03,1483.686683851065
B1,2526,8915,Antwerp,2025-08-10,1500.4373882283878
B1,2526,8915,Antwerp,2025-08-17,1500.417245766738
B1,2526,8915,Antwerp,2025-08-24,1516.3980308983232
B1,2526,8915,Antwerp,2025-08-30,1499.6434338954377
B1,2526,8915,Antwerp,2025-09-14,1483.6598543656135
B1,2526,8915,Antwerp,2025-09-20,1484.4117915620131
B1,2526,8915,Antwerp,2025-09-27,1469.129173790599
B1,2526,8915,Antwerp,2025-10-04,1470.5470983693178
B1,2526,8915,Antwerp,2025-10-20,1455.9002148489487
B1,2526,8915,Antwerp,2025-10-26,1441.9202483413208
B1,2526,8915,Antwerp,2025-11-02,1428.570280744888
B1,2526,8915,Antwerp,2025-11-08,1447.8141652341853
B1,2526,8915,Antwerp,2025-11-23,1434.1995002157082
B1,2526,8915,Antwerp,2025-11-30,1453.1940079827586
B1,2526,8915,Antwerp,2025-12-07,1471.3365574699542
B1,2526,8915,Antwerp,2025-12-14,1488.653571158335
B1,2526,8915,Antwerp,2025-12-21,1489.17590783522
B1,2526,8915,Antwerp,2025-12-27,1505.6742144943103
B1,2526,8919,Waregem,2025-07-26,1388.7241064111836
B1,2526,8919,Waregem,2025-08-02,1377.680235343454
B1,2526,8919,Waregem,2025-08-10,1399.0915193414428
B1,2526,8919,Waregem,2025-08-16,1387.612125034577
B1,2526,8919,Waregem,2025-08-23,1376.6145031213625
B1,2526,8919,Waregem,2025-08-31,1366.069206953041
B1,2526,8919,Waregem,2025-09-13,1387.9485724556841
B1,2526,8919,Waregem,2025-09-20,1408.9369668600693
B1,2526,8919,Waregem,2025-09-27,1427.6815164027446
B1,2526,8919,Waregem,2025-10-04,1430.964627196894
B1,2526,8919,Waregem,2025-10-19,1450.102634051637
B1,2526,8919,Waregem,2025-10-26,1452.3848236925583
B1,2526,8919,Waregem,2025-11-01,1447.3308704196497
B1,2526,8919,Waregem,2025-11-07,1444.0011730549586
B1,2526,8919,Waregem,2025-11-21,1446.5579127446838
B1,2526,8919,Waregem,2025-11-29,1448.999783745333
B1,2526,8919,Waregem,2025-12-07,1451.3317055373102
B1,2526,8919,Waregem,2025-12-13,1453.558418142469
B1,2526,8919,Waregem,2025-12-20,1447.4654828145556
B1,2526,8919,Waregem,2025-12-27,1434.1212916711024
B1,2526,8922,Standard,2025-07-26,1462.5206144372396
B1,2526,8922,Standard,2025-08-02,1462.3623790711006
B1,2526,8922,Standard,2025-08-10,1480.0889070483506
B1,2526,8922,Standard,2025-08-16,1473.994155610818
B1,2526,8922,Standard,2025-08-23,1459.1895374022454
B1,2526,8922,Standard,2025-08-31,1445.0603325816228
