league_code,season,team_id,team_name,date,elo_rating
N1,2021,448,FC Emmen,2020-09-13,1482.3755353870613
N1,2021,448,FC Emmen,2020-09-19,1472.1543523937175
N1,2021,448,FC Emmen,2020-09-27,1475.6473370633494
N1,2021,448,FC Emmen,2020-10-03,1475.4401029801988
N1,2021,448,FC Emmen,2020-10-18,1473.2521857473714
N1,2021,448,FC Emmen,2020-10-24,1459.902181299786
N1,2021,448,FC Emmen,2020-11-01,1451.9841110499676
N1,2021,448,FC Emmen,2020-11-08,1442.2203968460992
N1,2021,448,FC Emmen,2020-11-22,1434.2081407287094
N1,2021,448,FC Emmen,2020-11-28,1427.772518709363
N1,2021,448,FC Emmen,2020-12-04,1414.2338276487053
N1,2021,448,FC Emmen,2020-12-12,1418.1051866973917
N1,2021,448,FC Emmen,2020-12-18,1420.2510996940516
N1,2021,448,FC Emmen,2020-12-22,1409.004195556213
N1,2021,448,FC Emmen,2021-01-09,1397.6999572865773
N1,2021,448,FC Emmen,2021-01-12,1385.5864811912365
N1,2021,448,FC Emmen,2021-01-16,1378.8454202313792
N1,2021,448,FC Emmen,2021-01-23,1384.209129337071
N1,2021,448,FC Emmen,2021-01-26,1378.8874120157357
N1,2021,448,FC Emmen,2021-01-31,1365.496896091402
N1,2021,448,FC Emmen,2021-02-06,1360.3565875559943
N1,2021,448,FC Emmen,2021-02-12,1346.1609954050552
N1,2021,448,FC Emmen,2021-02-20,1367.0268088234016
N1,2021,448,FC Emmen,2021-02-27,1390.9979580163958
N1,2021,448,FC Emmen,2021-03-05,1393.5869591289827
N1,2021,448,FC Emmen,2021-03-13,1400.317599827446
N1,2021,448,FC Emmen,2021-03-20,1408.7262206899381
N1,2021,448,FC Emmen,2021-04-04,1424.8026396147584
N1,2021,448,FC Emmen,2021-04-10,1442.870223244187
N1,2021,448,FC Emmen,2021-04-25,1461.7989866759876
N1,2021,448,FC Emmen,2021-05-02,1456.5211710867889
N1,2021,448,FC Emmen,2021-05-09,1442.9720069836426
N1,2021,448,FC Emmen,2021-05-13,1459.8970833298736
N1,2021,448,FC Emmen,2021-05-16,1477.7357326694073
N1,2021,431,Ajax,2020-09-13,1615.2321094424385
N1,2021,431,Ajax,2020-09-20,1626.111857209777
N1,2021,431,Ajax,2020-09-26,1636.5464907182607
N1,2021,431,Ajax,2020-10-04,1614.5632222965537
N1,2021,431,Ajax,2020-10-18,1625.4706358879218
N1,2021,431,Ajax,2020-10-24,1635.9312426354659
N1,2021,431,Ajax,2020-10-31,1645.9723613902454
N1,2021,431,Ajax,2020-11-08,1655.6195574597118
N1,2021,431,Ajax,2020-11-22,1664.8966972858452
N1,2021,431,Ajax,2020-11-28,1673.8260212157356
N1,2021,431,Ajax,2020-12-05,1650.4282275261794
