Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2021-11-19,Melbourne City FC,Brisbane Roar,2,1,H,0
2021-11-19,Adelaide United,Melbourne City FC,2,2,D,1
2021-11-19,Sydney FC,Macarthur FC,0,1,A,0
2021-11-19,Melbourne Victory,Brisbane Roar,3,0,H,0
2021-11-19,Brisbane Roar,Adelaide United,0,0,D,1
2021-11-19,Macarthur FC,Central Coast Mariners,1,0,H,0
2021-11-19,Western United,Perth Glory,1,0,H,0
2021-11-19,Western Sydney Wanderers,Newcastle United Jets,2,2,D,1
2021-11-19,Wellington Phoenix,Western Sydney Wanderers,0,2,A,0
2021-11-19,Melbourne City FC,Western United,0,1,A,0
2021-11-19,Sydney FC,Newcastle United Jets,2,2,D,1
2021-11-19,Melbourne Victory,Perth Glory,0,3,A,0
2021-11-19,Melbourne City FC,Perth Glory,1,0,H,0
2021-11-19,Newcastle United Jets,Wellington Phoenix,4,0,H,0
2021-11-19,Western United,Brisbane Roar,1,0,H,0
2021-11-19,Adelaide United,Melbourne Victory,1,2,A,0
2021-11-19,Western Sydney Wanderers,Macarthur FC,0,2,A,0
2021-11-19,Central Coast Mariners,Sydney FC,2,0,H,0
2021-11-19,Western United,Adelaide United,1,0,H,0
2021-11-19,Central Coast Mariners,Western Sydney Wanderers,2,0,H,0
2021-11-19,Melbourne City FC,Melbourne Victory,2,2,D,1
2021-11-19,Macarthur FC,Newcastle United Jets,2,1,H,0
2021-11-19,Sydney FC,Wellington Phoenix,2,1,H,0
2021-11-19,Newcastle United Jets,Central Coast Mariners,1,2,A,0
2021-11-19,Macarthur FC,Wellington Phoenix,1,1,D,1
2021-11-19,Wellington Phoenix,Central Coast Mariners,2,1,H,0
2021-11-19,Western Sydney Wanderers,Sydney FC,0,0,D,1
2021-11-19,Western United,Melbourne Victory,0,1,A,0
2021-11-19,Perth Glory,Adelaide United,1,1,D,1
2021-12-26,Melbourne Victory,Western United,3,1,H,0
2021-12-26,Macarthur FC,Sydney FC,0,3,A,0
2022-01-19,Brisbane Roar,Perth Glory,1,0,H,0
2022-02-23,Melbourne City FC,Sydney FC,4,0,H,0
2022-02-23,Western United,Wellington Phoenix,1,4,A,0
2022-02-23,Macarthur FC,Western Sydney Wanderers,1,1,D,1
2022-02-23,Brisbane Roar,Western Sydney Wanderers,3,0,H,0
2022-02-23,Western United,Melbourne City FC,1,0,H,0
2022-02-23,Sydney FC,Central Coast Mariners,3,2,H,0
2022-02-23,Newcastle United Jets,Adelaide United,1,2,A,0
2022-02-23,Wellington Phoenix,Melbourne Victory,1,0,H,0
2022-02-23,Perth Glory,Macarthur FC,0,1,A,0
2022-02-23,Newcastle United Jets,Brisbane Roar,2,1,H,0
2022-02-23,Adelaide United,Sydney FC,1,2,A,0
2022-02-23,Wellington Phoenix,Macarthur FC,3,1,H,0
2022-02-23,Melbourne City FC,Perth Glory,2,2,D,1
2022-02-23,Melbourne Victory,Western United,1,1,D,1
2022-02-23,Western Sydney Wanderers,Central Coast Mariners,2,2,D,1
2022-02-23,Western Sydney Wanderers,Melbourne City FC,1,3,A,0
2022-02-23,Wellington Phoenix,Adelaide United,1,1,D,1
2022-02-23,Sydney FC,Western United,1,1,D,1
2022-02-23,Melbourne Victory,Newcastle United Jets,1,2,A,0
2022-02-23,Central Coast Mariners,Perth Glory,1,1,D,1
2022-02-23,Brisbane Roar,Macarthur FC,3,1,H,0
2022-02-23,Melbourne City FC,Newcastle United Jets,3,0,H,0
2022-02-23,Wellington Phoenix,Sydney FC,1,1,D,1
2022-02-23,Melbourne Victory,Central Coast Mariners,1,0,H,0
2022-02-23,Macarthur FC,Adelaide United,4,1,H,0
2022-02-23,Perth Glory,Brisbane Roar,2,0,H,0
2022-02-23,Western United,Western Sydney Wanderers,3,2,H,0
2022-02-23,Newcastle United Jets,Macarthur FC,2,2,D,1
2022-02-23,Sydney FC,Melbourne City FC,1,2,A,0
2022-02-23,Adelaide United,Central Coast Mariners,2,1,H,0
2022-02-23,Perth Glory,Western United,0,2,A,0
2022-02-23,Brisbane Roar,Melbourne Victory,1,1,D,1
2022-02-23,Western Sydney Wanderers,Wellington Phoenix,1,2,A,0
2022-02-23,Melbourne Victory,Macarthur FC,3,1,H,0
2022-02-23,Western United,Newcastle United Jets,2,1,H,0
2022-02-23,Central Coast Mariners,Brisbane Roar,2,1,H,0
2022-02-23,Western Sydney Wanderers,Sydney FC,2,0,H,0
2022-02-23,Newcastle United Jets,Western Sydney Wanderers,1,0,H,0
2022-02-23,Brisbane Roar,Melbourne City FC,1,2,A,0
2022-02-23,Central Coast Mariners,Wellington Phoenix,5,0,H,0
2022-02-23,Adelaide United,Perth Glory,2,0,H,0
2022-02-23,Adelaide United,Wellington Phoenix,4,0,H,0
2022-02-23,Sydney FC,Perth Glory,1,2,A,0
2022-02-23,Western Sydney Wanderers,Western United,0,1,A,0
2022-02-23,Newcastle United Jets,Melbourne City FC,2,4,A,0
2022-02-23,Central Coast Mariners,Macarthur FC,3,3,D,1
2022-02-23,Melbourne Victory,Brisbane Roar,0,0,D,1
2022-02-23,Melbourne Victory,Sydney FC,2,2,D,1
2022-02-23,Wellington Phoenix,Brisbane Roar,3,0,H,0
2022-02-23,Melbourne City FC,Central Coast Mariners,3,2,H,0
2022-02-23,Adelaide United,Western Sydney Wanderers,1,2,A,0
2022-02-23,Macarthur FC,Perth Glory,4,2,H,0
2022-02-23,Newcastle United Jets,Western United,1,1,D,1
2022-02-23,Melbourne Victory,Adelaide United,1,1,D,1
2022-02-23,Western Sydney Wanderers,Perth Glory,1,0,H,0
2022-02-23,Western United,Sydney FC,1,0,H,0
2022-02-23,Melbourne City FC,Macarthur FC,3,1,H,0
2022-02-23,Wellington Phoenix,Newcastle United Jets,3,2,H,0
2022-02-23,Brisbane Roar,Central Coast Mariners,0,2,A,0
2022-02-23,Adelaide United,Melbourne City FC,2,2,D,1
2022-02-23,Sydney FC,Brisbane Roar,1,1,D,1
2022-02-23,Macarthur FC,Western United,2,2,D,1
2022-02-23,Western Sydney Wanderers,Melbourne Victory,2,0,H,0
2022-02-23,Perth Glory,Wellington Phoenix,0,1,A,0
2022-02-23,Central Coast Mariners,Newcastle United Jets,2,0,H,0
2022-02-23,Brisbane Roar,Adelaide United,1,3,A,0
2022-02-23,Central Coast Mariners,Melbourne Victory,1,1,D,1
2022-02-23,Perth Glory,Newcastle United Jets,0,0,D,1
