Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2025-07-25,Antwerp,St. Gilloise,1,1,D,1
2025-07-26,Dender,Club Brugge,0,0,D,1
2025-07-26,Waregem,Mechelen,1,1,D,1
2025-07-26,RAAL La Louviere,Standard,0,2,A,0
2025-07-27,Oud-Heverlee Leuven,Charleroi,2,2,D,1
2025-07-27,Anderlecht,Westerlo,5,2,H,0
2025-07-27,St Truiden,Gent,3,1,H,0
2025-07-27,Club Brugge,Gent,2,1,H,0
2025-08-01,Mechelen,Club Brugge,2,1,H,0
2025-08-02,Gent,RAAL La Louviere,1,0,H,0
2025-08-02,Westerlo,Waregem,3,1,H,0
2025-08-02,Standard,Dender,1,1,D,1
2025-08-03,Gent,Antwerp,1,1,D,1
2025-08-03,Club Brugge,Anderlecht,0,2,A,0
2025-08-03,St. Gilloise,Oud-Heverlee Leuven,5,0,H,0
2025-08-03,Charleroi,St Truiden,1,1,D,1
2025-08-08,St Truiden,Dender,2,0,H,0
2025-08-09,Westerlo,Mechelen,0,1,A,0
2025-08-09,Club Brugge,Club Brugge,2,0,H,0
2025-08-09,Gent,St. Gilloise,2,3,A,0
2025-08-10,Antwerp,Oud-Heverlee Leuven,3,1,H,0
2025-08-10,Anderlecht,Waregem,2,3,A,0
2025-08-10,RAAL La Louviere,Charleroi,1,0,H,0
2025-08-10,Standard,Gent,2,1,H,0
2025-08-15,Oud-Heverlee Leuven,Gent,1,2,A,0
2025-08-16,Waregem,Club Brugge,0,1,A,0
2025-08-16,Mechelen,Gent,1,1,D,1
2025-08-16,St. Gilloise,Standard,3,0,H,0
2025-08-17,Charleroi,Antwerp,1,1,D,1
2025-08-17,Dender,Anderlecht,0,2,A,0
2025-08-17,St Truiden,RAAL La Louviere,2,1,H,0
2025-08-17,Club Brugge,Westerlo,4,1,H,0
2025-08-23,Waregem,St Truiden,0,2,A,0
2025-08-23,Standard,Club Brugge,0,3,A,0
2025-08-24,Dender,Oud-Heverlee Leuven,0,1,A,0
2025-08-24,RAAL La Louviere,St. Gilloise,0,0,D,1
2025-08-24,Antwerp,Mechelen,2,1,H,0
2025-08-29,Club Brugge,St Truiden,1,1,D,1
2025-08-30,Mechelen,RAAL La Louviere,3,2,H,0
2025-08-30,Westerlo,Antwerp,2,0,H,0
2025-08-30,Charleroi,Dender,3,1,H,0
2025-08-31,Gent,Club Brugge,1,1,D,1
2025-08-31,Gent,Waregem,3,2,H,0
2025-08-31,Oud-Heverlee Leuven,Standard,1,0,H,0
2025-08-31,St. Gilloise,Anderlecht,2,0,H,0
2025-09-12,Standard,Mechelen,1,1,D,1
2025-09-13,Dender,St. Gilloise,0,1,A,0
2025-09-13,Waregem,Oud-Heverlee Leuven,2,0,H,0
2025-09-13,RAAL La Louviere,Club Brugge,1,0,H,0
2025-09-14,Club Brugge,Charleroi,2,3,A,0
2025-09-14,Antwerp,Gent,1,2,A,0
2025-09-14,Anderlecht,Gent,1,1,D,1
2025-09-14,St Truiden,Westerlo,0,3,A,0
2025-09-17,Gent,Charleroi,0,1,A,0
2025-09-19,Gent,Dender,3,0,H,0
2025-09-20,Anderlecht,Antwerp,0,0,D,1
2025-09-20,Oud-Heverlee Leuven,RAAL La Louviere,1,2,A,0
2025-09-20,Charleroi,Waregem,1,2,A,0
2025-09-21,Mechelen,Club Brugge,0,0,D,1
2025-09-21,Gent,St. Gilloise,1,2,A,0
2025-09-21,Westerlo,Standard,0,2,A,0
2025-09-21,Club Brugge,St Truiden,2,0,H,0
2025-09-23,Anderlecht,Gent,1,0,H,0
2025-09-24,Club Brugge,Westerlo,5,5,D,1
2025-09-26,Oud-Heverlee Leuven,Anderlecht,1,1,D,1
2025-09-27,St. Gilloise,Westerlo,2,0,H,0
2025-09-27,Standard,Club Brugge,1,2,A,0
2025-09-27,Waregem,Antwerp,2,0,H,0
2025-09-28,Dender,RAAL La Louviere,0,0,D,1
2025-09-28,St Truiden,Gent,1,2,A,0
2025-09-28,Club Brugge,Gent,2,4,A,0
2025-09-28,Charleroi,Mechelen,0,2,A,0
2025-10-03,Gent,Charleroi,2,1,H,0
2025-10-04,Antwerp,Club Brugge,1,1,D,1
2025-10-04,Mechelen,St Truiden,1,3,A,0
2025-10-04,RAAL La Louviere,Waregem,0,0,D,1
2025-10-05,Gent,Dender,2,1,H,0
2025-10-05,Club Brugge,St. Gilloise,1,0,H,0
2025-10-05,Anderlecht,Standard,1,0,H,0
2025-10-05,Westerlo,Oud-Heverlee Leuven,2,0,H,0
2025-10-18,Oud-Heverlee Leuven,Club Brugge,0,1,A,0
