Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2020-07-25,Dalian Pro,Shandong Taishan,2,3,A,0
2020-07-25,Shenzhen Peng City,Guangzhou City,3,0,H,0
2020-07-25,Shanghai Shenhua,Shenzhen Peng City,3,2,H,0
2020-07-25,Guangzhou City,Guangzhou Evergrande,0,5,A,0
2020-07-25,Dalian Pro,Henan Jianye,1,1,D,1
2020-07-25,Beijing Guoan,Wuhan Zall FC,1,0,H,0
2020-07-25,Shanghai Port FC,Hebei China Fortune,4,0,H,0
2020-07-25,Chongqing Lifan,Tianjin Teda,2,2,D,1
2020-07-25,Shenzhen Peng City,Guangzhou Evergrande,1,3,A,0
2020-07-25,Jiāngsū Sūníng,Dalian Pro,2,1,H,0
2020-07-25,Shandong Taishan,Shanghai Shenhua,0,1,A,0
2020-07-25,Henan Jianye,Guangzhou City,1,1,D,1
2020-07-25,Tianjin Teda,Beijing Guoan,1,3,A,0
2020-07-25,Qingdao Hainiu,Shanghai Port FC,1,1,D,1
2020-07-25,Wuhan Zall FC,Shijiazhuang Ever Bright,2,1,H,0
2020-07-25,Hebei China Fortune,Chongqing Lifan,2,2,D,1
2020-07-25,Guangzhou Evergrande,Shandong Taishan,0,1,A,0
2020-07-25,Guangzhou City,Jiāngsū Sūníng,0,2,A,0
2020-07-25,Shanghai Shenhua,Dalian Pro,2,2,D,1
2020-07-25,Shenzhen Peng City,Henan Jianye,1,2,A,0
2020-07-25,Shijiazhuang Ever Bright,Tianjin Teda,3,0,H,0
2020-07-25,Chongqing Lifan,Qingdao Hainiu,0,0,D,1
2020-07-25,Shanghai Port FC,Wuhan Zall FC,2,1,H,0
2020-07-25,Beijing Guoan,Hebei China Fortune,3,1,H,0
2020-07-25,Henan Jianye,Guangzhou Evergrande,1,3,A,0
2020-07-25,Jiāngsū Sūníng,Shanghai Shenhua,0,1,A,0
2020-07-25,Shandong Taishan,Shenzhen Peng City,2,0,H,0
2020-07-25,Dalian Pro,Guangzhou City,0,1,A,0
2020-07-25,Qingdao Hainiu,Beijing Guoan,3,3,D,1
2020-07-25,Shanghai Port FC,Shijiazhuang Ever Bright,1,1,D,1
2020-07-25,Wuhan Zall FC,Chongqing Lifan,2,0,H,0
2020-07-25,Hebei China Fortune,Tianjin Teda,2,0,H,0
2020-07-25,Shandong Taishan,Henan Jianye,2,1,H,0
2020-07-25,Shanghai Shenhua,Guangzhou City,2,3,A,0
2020-07-25,Guangzhou Evergrande,Jiāngsū Sūníng,2,1,H,0
2020-07-25,Shenzhen Peng City,Dalian Pro,3,2,H,0
2020-07-25,Hebei China Fortune,Wuhan Zall FC,3,1,H,0
2020-07-25,Chongqing Lifan,Shijiazhuang Ever Bright,1,0,H,0
2020-07-25,Tianjin Teda,Qingdao Hainiu,0,2,A,0
