Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2025-08-01,Schalke 04,Hertha,2,1,H,0
2025-08-02,Paderborn,Holstein Kiel,2,1,H,0
2025-08-02,Bielefeld,Fortuna Dusseldorf,5,1,H,0
2025-08-02,Karlsruhe,PreuÃen MÃ¼nster,3,2,H,0
2025-08-02,Elversberg,Nurnberg,1,0,H,0
2025-08-02,Darmstadt,Bochum,4,1,H,0
2025-08-03,Greuther Furth,Dresden,3,2,H,0
2025-08-03,Magdeburg,Braunschweig,0,1,A,0
2025-08-03,Hannover,Kaiserslautern,1,0,H,0
2025-08-08,Nurnberg,Darmstadt,0,1,A,0
2025-08-08,PreuÃen MÃ¼nster,Paderborn,1,1,D,1
2025-08-09,Fortuna Dusseldorf,Hannover,0,2,A,0
2025-08-09,Dresden,Magdeburg,1,2,A,0
2025-08-09,Braunschweig,Greuther Furth,3,2,H,0
2025-08-09,Kaiserslautern,Schalke 04,1,0,H,0
2025-08-10,Holstein Kiel,Bielefeld,0,2,A,0
2025-08-10,Bochum,Elversberg,2,0,H,0
2025-08-10,Hertha,Karlsruhe,0,0,D,1
2025-08-22,Elversberg,Kaiserslautern,2,1,H,0
2025-08-22,PreuÃen MÃ¼nster,Nurnberg,2,1,H,0
2025-08-23,Hannover,Magdeburg,3,1,H,0
2025-08-23,Karlsruhe,Braunschweig,2,0,H,0
2025-08-23,Schalke 04,Bochum,2,1,H,0
2025-08-23,Paderborn,Fortuna Dusseldorf,1,2,A,0
2025-08-24,Greuther Furth,Holstein Kiel,0,2,A,0
2025-08-24,Darmstadt,Hertha,0,0,D,1
2025-08-24,Bielefeld,Dresden,1,2,A,0
2025-08-29,Nurnberg,Paderborn,0,0,D,1
2025-08-29,Hertha,Elversberg,0,2,A,0
2025-08-30,Bochum,PreuÃen MÃ¼nster,1,2,A,0
2025-08-30,Braunschweig,Bielefeld,1,1,D,1
2025-08-30,Holstein Kiel,Hannover,1,2,A,0
2025-08-30,Fortuna Dusseldorf,Karlsruhe,0,0,D,1
2025-08-31,Dresden,Schalke 04,0,1,A,0
2025-08-31,Magdeburg,Greuther Furth,4,5,A,0
2025-08-31,Kaiserslautern,Darmstadt,3,1,H,0
2025-09-12,Bielefeld,Magdeburg,2,0,H,0
2025-09-12,Paderborn,Bochum,1,0,H,0
2025-09-13,Karlsruhe,Nurnberg,2,1,H,0
2025-09-13,Darmstadt,Braunschweig,2,1,H,0
2025-09-13,Hannover,Hertha,0,3,A,0
2025-09-13,Schalke 04,Holstein Kiel,0,1,A,0
2025-09-14,PreuÃen MÃ¼nster,Fortuna Dusseldorf,1,2,A,0
2025-09-14,Elversberg,Dresden,2,2,D,1
2025-09-14,Greuther Furth,Kaiserslautern,0,3,A,0
2025-09-19,Kaiserslautern,PreuÃen MÃ¼nster,4,1,H,0
2025-09-19,Bielefeld,Greuther Furth,1,3,A,0
2025-09-20,Nurnberg,Bochum,2,1,H,0
2025-09-20,Magdeburg,Schalke 04,0,2,A,0
2025-09-20,Hertha,Paderborn,0,2,A,0
2025-09-20,Braunschweig,Elversberg,1,4,A,0
2025-09-21,Dresden,Hannover,2,2,D,1
2025-09-21,Holstein Kiel,Karlsruhe,3,0,H,0
2025-09-21,Fortuna Dusseldorf,Darmstadt,0,3,A,0
2025-09-26,Schalke 04,Greuther Furth,1,0,H,0
2025-09-26,Darmstadt,Dresden,2,0,H,0
2025-09-27,Paderborn,Kaiserslautern,2,0,H,0
2025-09-27,Elversberg,Holstein Kiel,1,0,H,0
2025-09-27,Karlsruhe,Magdeburg,1,0,H,0
