Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2016-01-10,Freiburg,Ein Frankfurt,1,0,H,0
2016-01-10,Bayern Munich,FC Koln,1,1,D,1
2016-01-10,Darmstadt,Werder Bremen,2,2,D,1
2016-01-10,Ingolstadt,Heidenheim,1,2,A,0
2016-01-10,Leverkusen,Dortmund,2,0,H,0
2016-01-10,Hertha,Hamburg,2,0,H,0
2016-02-10,Wolfsburg,Mainz,0,0,D,1
2016-02-10,Schalke 04,M'gladbach,4,0,H,0
2016-02-12,Mainz,Bayern Munich,1,3,A,0
2016-03-12,Wolfsburg,Hertha,2,3,A,0
2016-03-12,Heidenheim,FC Koln,4,0,H,0
2016-03-12,Werder Bremen,Ingolstadt,2,1,H,0
2016-03-12,RB Leipzig,Schalke 04,2,1,H,0
2016-03-12,Leverkusen,Freiburg,1,1,D,1
2016-03-12,Dortmund,M'gladbach,4,1,H,0
2016-04-11,Hertha,M'gladbach,3,0,H,0
2016-04-12,Augsburg,Ein Frankfurt,1,1,D,1
2016-04-12,Darmstadt,Hamburg,0,2,A,0
2016-05-11,Ein Frankfurt,FC Koln,1,0,H,0
2016-05-11,Freiburg,Wolfsburg,0,3,A,0
2016-05-11,Leverkusen,Darmstadt,3,2,H,0
2016-05-11,Bayern Munich,Heidenheim,1,1,D,1
2016-05-11,Ingolstadt,Augsburg,0,2,A,0
2016-05-11,Hamburg,Dortmund,2,5,A,0
2016-06-11,RB Leipzig,Mainz,3,1,H,0
2016-06-11,Schalke 04,Werder Bremen,3,1,H,0
2016-08-26,Bayern Munich,Werder Bremen,6,0,H,0
2016-08-27,Augsburg,Wolfsburg,0,2,A,0
2016-08-27,M'gladbach,Leverkusen,2,1,H,0
2016-08-27,Hamburg,Ingolstadt,1,1,D,1
2016-08-27,FC Koln,Darmstadt,2,0,H,0
2016-08-27,Ein Frankfurt,Schalke 04,1,0,H,0
2016-08-27,Dortmund,Mainz,2,1,H,0
2016-08-28,Hertha,Freiburg,2,1,H,0
2016-08-28,Heidenheim,RB Leipzig,2,2,D,1
2016-09-09,Schalke 04,Bayern Munich,0,2,A,0
2016-09-12,Ein Frankfurt,Heidenheim,0,0,D,1
2016-09-16,FC Koln,Freiburg,3,0,H,0
2016-09-17,Ein Frankfurt,Leverkusen,2,1,H,0
2016-09-17,Heidenheim,Wolfsburg,0,0,D,1
2016-09-17,Dortmund,Darmstadt,6,0,H,0
2016-09-17,M'gladbach,Werder Bremen,4,1,H,0
2016-09-17,Hamburg,RB Leipzig,0,4,A,0
2016-09-17,Bayern Munich,Ingolstadt,3,1,H,0
2016-09-18,Hertha,Schalke 04,2,0,H,0
2016-09-18,Augsburg,Mainz,1,3,A,0
2016-09-20,Freiburg,Hamburg,1,0,H,0
2016-09-20,Darmstadt,Heidenheim,1,1,D,1
2016-09-20,Wolfsburg,Dortmund,1,5,A,0
2016-09-20,Ingolstadt,Ein Frankfurt,0,2,A,0
2016-09-21,Leverkusen,Augsburg,0,0,D,1
2016-09-21,RB Leipzig,M'gladbach,1,1,D,1
2016-09-21,Schalke 04,FC Koln,1,3,A,0
2016-09-21,Werder Bremen,Mainz,1,2,A,0
2016-09-21,Bayern Munich,Hertha,3,0,H,0
2016-09-23,Dortmund,Freiburg,3,1,H,0
2016-09-24,Mainz,Leverkusen,2,3,A,0
2016-09-24,M'gladbach,Ingolstadt,2,0,H,0
2016-09-24,Hamburg,Bayern Munich,0,1,A,0
2016-09-24,Augsburg,Darmstadt,1,0,H,0
2016-09-24,Werder Bremen,Wolfsburg,2,1,H,0
2016-09-24,Ein Frankfurt,Hertha,3,3,D,1
2016-09-25,Heidenheim,Schalke 04,2,1,H,0
2016-09-25,FC Koln,RB Leipzig,1,1,D,1
2016-09-30,RB Leipzig,Augsburg,2,1,H,0
2016-10-09,Ingolstadt,Hertha,0,2,A,0
2016-10-09,Wolfsburg,FC Koln,0,0,D,1
2016-10-09,RB Leipzig,Dortmund,1,0,H,0
2016-10-09,Darmstadt,Ein Frankfurt,1,0,H,0
2016-10-09,Freiburg,M'gladbach,3,1,H,0
2016-10-09,Leverkusen,Hamburg,3,1,H,0
2016-10-12,Hertha,Werder Bremen,0,1,A,0
2016-10-12,FC Koln,Dortmund,1,1,D,1
2016-10-12,Freiburg,Darmstadt,1,0,H,0
2016-10-12,Hamburg,Augsburg,1,0,H,0
2016-10-12,Ingolstadt,RB Leipzig,1,0,H,0
2016-10-12,Bayern Munich,Wolfsburg,5,0,H,0
2016-10-14,Dortmund,Hertha,1,1,D,1
2016-10-15,Ein Frankfurt,Bayern Munich,2,2,D,1
2016-10-15,Augsburg,Schalke 04,1,1,D,1
2016-10-15,Werder Bremen,Leverkusen,2,1,H,0
2016-10-15,Heidenheim,Freiburg,2,1,H,0
2016-10-15,FC Koln,Ingolstadt,2,1,H,0
2016-10-15,M'gladbach,Hamburg,0,0,D,1
2016-10-16,Wolfsburg,RB Leipzig,0,1,A,0
2016-10-16,Mainz,Darmstadt,2,1,H,0
2016-10-21,Hamburg,Ein Frankfurt,0,3,A,0
2016-10-22,Bayern Munich,M'gladbach,2,0,H,0
2016-10-22,Ingolstadt,Dortmund,3,3,D,1
2016-10-22,Hertha,FC Koln,2,1,H,0
2016-10-22,Freiburg,Augsburg,2,1,H,0
2016-10-22,Darmstadt,Wolfsburg,3,1,H,0
2016-10-22,Leverkusen,Heidenheim,0,3,A,0
2016-10-23,RB Leipzig,Werder Bremen,3,1,H,0
2016-10-23,Schalke 04,Mainz,3,0,H,0
2016-10-28,M'gladbach,Ein Frankfurt,0,0,D,1
2016-10-29,Wolfsburg,Leverkusen,1,2,A,0
2016-10-29,Darmstadt,RB Leipzig,0,2,A,0
2016-10-29,Dortmund,Schalke 04,0,0,D,1
2016-10-29,Mainz,Ingolstadt,2,0,H,0
2016-10-29,Augsburg,Bayern Munich,1,3,A,0
2016-10-29,Werder Bremen,Freiburg,1,3,A,0
2016-10-30,FC Koln,Hamburg,3,0,H,0
2016-10-30,Heidenheim,Hertha,1,0,H,0
2016-11-09,Mainz,Heidenheim,4,4,D,1
2016-11-09,Werder Bremen,Augsburg,1,2,A,0
2016-11-12,Schalke 04,Leverkusen,0,1,A,0
2016-11-12,M'gladbach,Mainz,1,0,H,0
