Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2023-08-04,Sheffield United,Southampton,1,2,A,0
2023-08-05,Stoke,Rotherham,4,1,H,0
2023-08-05,Swansea,Birmingham,1,1,D,1
2023-08-05,Norwich,Hull,2,1,H,0
2023-08-05,Middlesbrough,Millwall,0,1,A,0
2023-08-05,Bristol City,Preston,1,1,D,1
2023-08-05,Watford,QPR,4,0,H,0
2023-08-05,Plymouth,Huddersfield,3,1,H,0
2023-08-05,Blackburn,West Brom,2,1,H,0
2023-08-06,Sunderland,Ipswich,1,2,A,0
2023-08-06,Leicester,Coventry,2,1,H,0
2023-08-06,Leeds,Cardiff,2,2,D,1
2023-08-12,Cardiff,QPR,1,2,A,0
2023-08-12,Birmingham,Leeds,1,0,H,0
2023-08-12,Coventry,Middlesbrough,3,0,H,0
2023-08-12,Huddersfield,Leicester,0,1,A,0
2023-08-12,Hull,Sheffield United,4,2,H,0
2023-08-12,Ipswich,Stoke,2,0,H,0
2023-08-12,Millwall,Bristol City,0,1,A,0
2023-08-12,Preston,Sunderland,2,1,H,0
2023-08-12,Rotherham,Blackburn,2,2,D,1
2023-08-12,Southampton,Norwich,4,4,D,1
2023-08-12,Watford,Plymouth,0,0,D,1
2023-08-12,West Brom,Swansea,3,2,H,0
2023-08-18,Leeds,West Brom,1,1,D,1
2023-08-19,Blackburn,Hull,1,2,A,0
2023-08-19,Plymouth,Southampton,1,2,A,0
2023-08-19,Bristol City,Birmingham,0,2,A,0
2023-08-19,Leicester,Cardiff,2,1,H,0
2023-08-19,Middlesbrough,Huddersfield,1,1,D,1
2023-08-19,QPR,Ipswich,0,1,A,0
2023-08-19,Sheffield United,Preston,0,1,A,0
2023-08-19,Stoke,Watford,1,0,H,0
2023-08-19,Sunderland,Rotherham,2,1,H,0
2023-08-19,Swansea,Coventry,1,1,D,1
2023-08-20,Norwich,Millwall,3,1,H,0
2023-08-25,Hull,Bristol City,1,1,D,1
2023-08-26,Coventry,Sunderland,0,0,D,1
2023-08-26,Huddersfield,Norwich,0,4,A,0
2023-08-26,Ipswich,Leeds,3,4,A,0
2023-08-26,Millwall,Stoke,1,0,H,0
2023-08-26,Preston,Swansea,2,1,H,0
2023-08-26,Rotherham,Leicester,1,2,A,0
2023-08-26,Southampton,QPR,2,1,H,0
2023-08-26,West Brom,Middlesbrough,4,2,H,0
2023-08-26,Birmingham,Plymouth,2,1,H,0
2023-08-26,Cardiff,Sheffield United,2,1,H,0
2023-08-27,Watford,Blackburn,0,1,A,0
2023-09-02,Swansea,Bristol City,1,2,A,0
2023-09-02,Coventry,Watford,3,3,D,1
2023-09-02,Ipswich,Cardiff,3,2,H,0
2023-09-02,Leeds,Sheffield United,0,0,D,1
2023-09-02,Leicester,Hull,0,1,A,0
2023-09-02,Middlesbrough,QPR,0,2,A,0
2023-09-02,Sunderland,Southampton,5,0,H,0
2023-09-02,Rotherham,Norwich,2,1,H,0
2023-09-02,Stoke,Preston,0,2,A,0
2023-09-02,West Brom,Huddersfield,1,2,A,0
2023-09-02,Plymouth,Blackburn,3,0,H,0
2023-09-02,Birmingham,Millwall,1,1,D,1
2023-09-15,Hull,Coventry,1,1,D,1
2023-09-15,Southampton,Leicester,1,4,A,0
2023-09-16,Sheffield United,Ipswich,0,1,A,0
2023-09-16,Blackburn,Middlesbrough,2,1,H,0
2023-09-16,Bristol City,West Brom,0,0,D,1
2023-09-16,Huddersfield,Rotherham,2,0,H,0
2023-09-16,Norwich,Stoke,1,0,H,0
2023-09-16,Preston,Plymouth,2,1,H,0
2023-09-16,QPR,Sunderland,1,3,A,0
2023-09-16,Watford,Birmingham,2,0,H,0
2023-09-16,Cardiff,Swansea,2,0,H,0
2023-09-17,Millwall,Leeds,0,3,A,0
2023-09-19,Sheffield United,Middlesbrough,1,1,D,1
2023-09-19,Southampton,Ipswich,0,1,A,0
2023-09-19,Cardiff,Coventry,3,2,H,0
2023-09-19,Bristol City,Plymouth,4,1,H,0
2023-09-19,Preston,Birmingham,2,1,H,0
2023-09-19,QPR,Swansea,1,1,D,1
2023-09-20,Watford,West Brom,2,2,D,1
2023-09-20,Blackburn,Sunderland,1,3,A,0
2023-09-20,Norwich,Leicester,0,2,A,0
2023-09-20,Huddersfield,Stoke,2,2,D,1
2023-09-20,Hull,Leeds,0,0,D,1
2023-09-20,Millwall,Rotherham,3,0,H,0
2023-09-22,Birmingham,QPR,0,0,D,1
2023-09-23,Leicester,Bristol City,1,0,H,0
2023-09-23,Middlesbrough,Southampton,2,1,H,0
2023-09-23,Plymouth,Norwich,6,2,H,0
2023-09-23,Rotherham,Preston,1,1,D,1
2023-09-23,Swansea,Sheffield United,3,0,H,0
2023-09-23,West Brom,Millwall,0,0,D,1
2023-09-23,Ipswich,Blackburn,4,3,H,0
2023-09-23,Leeds,Watford,3,0,H,0
2023-09-24,Stoke,Hull,1,3,A,0
2023-09-24,Sunderland,Cardiff,0,1,A,0
2023-09-25,Coventry,Huddersfield,1,1,D,1
