Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2017-01-10,Nice,Marseille,2,4,A,0
2017-01-10,Troyes,St Etienne,2,1,H,0
2017-01-10,Angers,Lyon,3,3,D,1
2017-01-12,Dijon,Bordeaux,3,2,H,0
2017-02-12,Lille,Toulouse,1,0,H,0
2017-02-12,Strasbourg,Paris FC,2,1,H,0
2017-02-12,Troyes,Guingamp,0,1,A,0
2017-02-12,Rennes,Amiens,2,0,H,0
2017-02-12,Monaco,Angers,1,0,H,0
2017-02-12,Nice,Metz,3,1,H,0
2017-03-11,Rennes,Bordeaux,1,0,H,0
2017-03-12,Caen,Lyon,1,2,A,0
2017-03-12,St Etienne,Nantes,1,1,D,1
2017-03-12,Montpellier,Marseille,1,1,D,1
2017-04-08,Monaco,Toulouse,3,2,H,0
2017-04-11,Angers,Paris FC,0,5,A,0
2017-04-11,Monaco,Guingamp,6,0,H,0
2017-04-11,Troyes,Strasbourg,3,0,H,0
2017-04-11,Nantes,Toulouse,2,1,H,0
2017-04-11,Montpellier,Amiens,1,1,D,1
2017-05-08,Troyes,Rennes,1,1,D,1
2017-05-08,St Etienne,Nice,1,0,H,0
2017-05-08,Paris FC,Amiens,2,0,H,0
2017-05-08,Lyon,Strasbourg,4,0,H,0
2017-05-08,Montpellier,Caen,1,0,H,0
2017-05-08,Metz,Guingamp,1,3,A,0
2017-05-11,Marseille,Caen,5,0,H,0
2017-05-11,Nice,Dijon,1,0,H,0
2017-05-11,St Etienne,Lyon,0,5,A,0
2017-05-11,Metz,Lille,0,3,A,0
2017-06-08,Lille,Nantes,3,0,H,0
2017-06-08,Marseille,Dijon,3,0,H,0
2017-06-08,Angers,Bordeaux,2,2,D,1
2017-08-09,Metz,Paris FC,1,5,A,0
2017-08-09,Lille,Bordeaux,0,0,D,1
2017-08-12,Bordeaux,Strasbourg,0,3,A,0
2017-08-13,Dijon,Monaco,1,4,A,0
2017-08-13,Strasbourg,Lille,3,0,H,0
2017-08-13,Guingamp,Paris FC,0,3,A,0
2017-08-18,Metz,Monaco,0,1,A,0
2017-08-19,Troyes,Nantes,0,1,A,0
2017-08-19,Rennes,Dijon,2,2,D,1
2017-08-19,St Etienne,Amiens,3,0,H,0
2017-08-19,Lyon,Bordeaux,3,3,D,1
2017-08-19,Nice,Guingamp,2,0,H,0
2017-08-19,Montpellier,Strasbourg,1,1,D,1
2017-08-20,Marseille,Angers,1,1,D,1
2017-08-20,Paris FC,Toulouse,6,2,H,0
2017-08-20,Lille,Caen,0,2,A,0
2017-08-25,Paris FC,St Etienne,3,0,H,0
2017-08-26,Amiens,Nice,3,0,H,0
2017-08-26,Nantes,Lyon,0,0,D,1
2017-08-26,Toulouse,Rennes,3,2,H,0
2017-08-26,Dijon,Montpellier,2,1,H,0
2017-08-26,Bordeaux,Troyes,2,1,H,0
2017-08-26,Caen,Metz,1,0,H,0
2017-08-27,Monaco,Marseille,6,1,H,0
2017-08-27,Angers,Lille,1,1,D,1
2017-08-27,Guingamp,Strasbourg,2,0,H,0
2017-09-09,Nice,Monaco,4,0,H,0
2017-09-09,Montpellier,Nantes,0,1,A,0
2017-09-09,Strasbourg,Amiens,0,1,A,0
2017-09-09,Troyes,Toulouse,0,0,D,1
2017-09-09,Caen,Dijon,2,1,H,0
2017-09-12,Monaco,Troyes,3,2,H,0
2017-09-12,Guingamp,Dijon,4,0,H,0
2017-09-12,Metz,Rennes,1,1,D,1
2017-09-12,Angers,Montpellier,1,1,D,1
2017-09-12,Toulouse,Caen,2,0,H,0
2017-09-12,Paris FC,Lille,3,1,H,0
2017-09-15,Toulouse,Bordeaux,0,1,A,0
2017-09-16,Guingamp,Lille,1,0,H,0
2017-09-16,Monaco,Strasbourg,3,0,H,0
2017-09-16,Nantes,Caen,1,0,H,0
2017-09-16,Troyes,Montpellier,0,1,A,0
2017-09-16,Dijon,St Etienne,0,1,A,0
2017-09-17,Angers,Metz,0,1,A,0
2017-09-17,Paris FC,Lyon,2,0,H,0
2017-09-17,Rennes,Nice,0,1,A,0
2017-09-17,Amiens,Marseille,0,2,A,0
2017-09-22,Nice,Angers,2,2,D,1
2017-09-22,Lille,Monaco,0,4,A,0
2017-09-23,Montpellier,Paris FC,0,0,D,1
2017-09-23,Lyon,Dijon,3,3,D,1
2017-09-23,Bordeaux,Guingamp,3,1,H,0
2017-09-23,Metz,Troyes,0,1,A,0
2017-09-23,Caen,Amiens,1,0,H,0
2017-09-24,Marseille,Toulouse,2,0,H,0
2017-09-24,Strasbourg,Nantes,1,2,A,0
2017-09-24,St Etienne,Rennes,2,2,D,1
2017-09-29,Monaco,Montpellier,1,1,D,1
2017-09-30,Dijon,Strasbourg,1,1,D,1
2017-09-30,Paris FC,Bordeaux,6,2,H,0
2017-09-30,Guingamp,Toulouse,1,1,D,1
2017-09-30,Rennes,Caen,0,1,A,0
2017-09-30,Nantes,Metz,1,0,H,0
2017-10-09,St Etienne,Angers,1,1,D,1
2017-10-09,Lyon,Guingamp,2,1,H,0
2017-10-09,Marseille,Rennes,1,3,A,0
2017-10-12,Marseille,St Etienne,3,0,H,0
2017-10-12,Nantes,Nice,1,2,A,0
2017-10-12,Amiens,Lyon,1,2,A,0
2017-10-13,Lyon,Monaco,3,2,H,0
2017-10-14,Toulouse,Amiens,1,0,H,0
2017-10-14,Guingamp,Rennes,2,0,H,0
2017-10-14,Caen,Angers,0,2,A,0
2017-10-14,St Etienne,Metz,3,1,H,0
2017-10-14,Dijon,Paris FC,1,2,A,0
2017-10-14,Lille,Troyes,2,2,D,1
2017-10-15,Montpellier,Nice,2,0,H,0
2017-10-15,Bordeaux,Nantes,1,1,D,1
2017-10-15,Strasbourg,Marseille,3,3,D,1
2017-10-20,St Etienne,Montpellier,0,1,A,0
2017-10-21,Nantes,Guingamp,2,1,H,0
2017-10-21,Rennes,Lille,1,0,H,0
2017-10-21,Monaco,Caen,2,0,H,0
2017-10-21,Angers,Toulouse,0,1,A,0
2017-10-21,Amiens,Bordeaux,1,0,H,0
2017-10-21,Metz,Dijon,1,2,A,0
2017-10-22,Troyes,Lyon,0,5,A,0
2017-10-22,Nice,Strasbourg,1,2,A,0
2017-10-22,Marseille,Paris FC,2,2,D,1
2017-10-27,Paris FC,Nice,3,0,H,0
2017-10-28,Dijon,Nantes,1,0,H,0
2017-10-28,Guingamp,Amiens,1,1,D,1
