Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2019-08-24,Lamia,Panathinaikos,1,1,D,1
2019-08-24,Aris,OFI Crete,1,1,D,1
2019-08-24,Olympiakos,Asteras Tripolis,1,0,H,0
2019-08-25,PAOK,Panetolikos,2,1,H,0
2019-08-25,Atromitos,Aris,1,1,D,1
2019-08-25,AEK,Xanthi,1,2,A,0
2019-08-25,Ionikos,Volos NFC,1,2,A,0
2019-08-31,Panathinaikos,OFI Crete,1,3,A,0
2019-08-31,Volos NFC,Aris,1,0,H,0
2019-08-31,Panetolikos,Xanthi,1,2,A,0
2019-09-01,Aris,Olympiakos,0,1,A,0
2019-09-01,Lamia,Atromitos,2,2,D,1
2019-09-01,Asteras Tripolis,AEK,2,3,A,0
2019-09-01,PAOK,Ionikos,2,1,H,0
2019-09-14,OFI Crete,Panetolikos,3,1,H,0
2019-09-14,Olympiakos,Volos NFC,5,0,H,0
2019-09-14,Atromitos,PAOK,2,3,A,0
2019-09-15,AEK,Lamia,2,0,H,0
2019-09-15,Ionikos,Aris,1,0,H,0
2019-09-15,Aris,Panathinaikos,4,0,H,0
2019-09-15,Xanthi,Asteras Tripolis,2,1,H,0
2019-09-21,Panetolikos,AEK,0,1,A,0
2019-09-21,Asteras Tripolis,Atromitos,2,1,H,0
2019-09-21,Volos NFC,OFI Crete,1,0,H,0
2019-09-22,Panathinaikos,Olympiakos,1,1,D,1
2019-09-22,PAOK,Aris,2,2,D,1
2019-09-22,Aris,Xanthi,3,0,H,0
2019-09-22,Lamia,Ionikos,1,1,D,1
2019-09-28,Olympiakos,Lamia,2,0,H,0
2019-09-28,Aris,Aris,2,3,A,0
2019-09-28,Atromitos,Panetolikos,2,0,H,0
2019-09-29,Xanthi,Volos NFC,3,1,H,0
2019-09-29,Ionikos,Panathinaikos,0,1,A,0
2019-09-29,AEK,PAOK,2,2,D,1
2019-09-29,OFI Crete,Asteras Tripolis,3,1,H,0
2019-10-05,Aris,AEK,0,0,D,1
2019-10-05,Panathinaikos,Xanthi,0,1,A,0
2019-10-06,Asteras Tripolis,PAOK,1,2,A,0
2019-10-06,OFI Crete,Ionikos,4,1,H,0
2019-10-06,Aris,Olympiakos,1,2,A,0
2019-10-06,Volos NFC,Atromitos,2,3,A,0
2019-10-07,Lamia,Panetolikos,0,0,D,1
2019-10-19,Panetolikos,Aris,2,2,D,1
2019-10-19,Olympiakos,OFI Crete,2,1,H,0
2019-10-20,Ionikos,Asteras Tripolis,0,1,A,0
2019-10-20,PAOK,Lamia,3,0,H,0
2019-10-20,AEK,Volos NFC,3,2,H,0
2019-10-20,Atromitos,Panathinaikos,0,1,A,0
2019-10-20,Xanthi,Aris,0,1,A,0
2019-10-26,Volos NFC,PAOK,0,2,A,0
2019-10-26,OFI Crete,Xanthi,2,0,H,0
2019-10-27,Panathinaikos,Aris,1,2,A,0
2019-10-27,Aris,Panetolikos,2,0,H,0
2019-10-27,Olympiakos,AEK,2,0,H,0
2019-10-27,Atromitos,Ionikos,4,0,H,0
2019-10-28,Asteras Tripolis,Lamia,4,1,H,0
2019-11-02,Xanthi,Olympiakos,0,0,D,1
2019-11-02,Ionikos,Aris,1,1,D,1
2019-11-03,AEK,Atromitos,3,2,H,0
2019-11-03,Aris,OFI Crete,3,2,H,0
2019-11-03,Panetolikos,Asteras Tripolis,1,1,D,1
2019-11-03,PAOK,Panathinaikos,2,2,D,1
2019-11-04,Lamia,Volos NFC,1,0,H,0
2019-11-09,OFI Crete,PAOK,0,1,A,0
2019-11-09,Volos NFC,Panetolikos,3,2,H,0
2019-11-10,Xanthi,Ionikos,1,2,A,0
2019-11-10,Olympiakos,Atromitos,2,0,H,0
2019-11-10,Panathinaikos,AEK,3,2,H,0
2019-11-10,Aris,Asteras Tripolis,2,1,H,0
2019-11-11,Aris,Lamia,0,3,A,0
2019-11-23,Lamia,Xanthi,1,0,H,0
2019-11-23,Ionikos,Olympiakos,1,1,D,1
2019-11-24,Asteras Tripolis,Volos NFC,0,0,D,1
2019-11-24,PAOK,Aris,1,0,H,0
2019-11-24,AEK,Aris,1,1,D,1
2019-11-24,Panetolikos,Panathinaikos,0,0,D,1
2019-11-24,Atromitos,OFI Crete,2,1,H,0
2019-11-30,Ionikos,Panetolikos,3,0,H,0
2019-11-30,OFI Crete,AEK,1,0,H,0
2019-11-30,Aris,Volos NFC,2,1,H,0
2019-12-01,Aris,Lamia,1,1,D,1
2019-12-01,Xanthi,Atromitos,1,0,H,0
2019-12-01,Olympiakos,PAOK,1,1,D,1
2019-12-01,Panathinaikos,Asteras Tripolis,1,0,H,0
2019-12-07,Panetolikos,Olympiakos,0,3,A,0
2019-12-07,AEK,Ionikos,5,0,H,0
2019-12-07,PAOK,Xanthi,2,0,H,0
2019-12-08,Volos NFC,Panathinaikos,1,1,D,1
2019-12-08,Asteras Tripolis,Aris,1,1,D,1
2019-12-08,Lamia,OFI Crete,2,1,H,0
2019-12-08,Atromitos,Aris,2,2,D,1
2019-12-14,OFI Crete,Aris,3,1,H,0
2019-12-14,Panathinaikos,Lamia,2,0,H,0
2019-12-14,Xanthi,AEK,0,1,A,0
2019-12-15,Volos NFC,Ionikos,2,1,H,0
2019-12-15,Asteras Tripolis,Olympiakos,0,5,A,0
2019-12-15,Panetolikos,PAOK,0,3,A,0
2019-12-15,Aris,Atromitos,1,2,A,0
