Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2021-08-20,Frosinone,Parma,2,2,D,1
2021-08-21,Pordenone,Perugia,0,1,A,0
2021-08-21,Cittadella,Venezia,1,0,H,0
2021-08-22,Ternana,Brescia,0,2,A,0
2021-08-22,Reggiana,Monza,0,0,D,1
2021-08-22,Benevento,Alessandria,4,3,H,0
2021-08-22,Crotone,Como,2,2,D,1
2021-08-22,Ascoli,Cesena,1,0,H,0
2021-08-22,Pisa,Spal,1,0,H,0
2021-08-22,Cremonese,Lecco,3,0,H,0
2021-08-27,Pisa,Alessandria,2,0,H,0
2021-08-27,Brescia,Cesena,5,1,H,0
2021-08-28,Perugia,Ascoli,2,3,A,0
2021-08-28,Venezia,Frosinone,0,2,A,0
2021-08-29,Parma,Benevento,1,0,H,0
2021-08-29,Reggiana,Ternana,3,2,H,0
2021-08-29,Spal,Pordenone,5,0,H,0
2021-08-29,Lecco,Como,1,1,D,1
2021-08-29,Cittadella,Crotone,4,2,H,0
2021-08-29,Monza,Cremonese,1,0,H,0
2021-09-10,Benevento,Lecco,0,0,D,1
2021-09-11,Spal,Monza,1,1,D,1
2021-09-11,Ternana,Pisa,1,4,A,0
2021-09-11,Frosinone,Perugia,0,0,D,1
2021-09-11,Alessandria,Brescia,1,3,A,0
2021-09-11,Como,Ascoli,0,1,A,0
2021-09-11,Crotone,Reggiana,1,1,D,1
2021-09-12,Cesena,Venezia,2,1,H,0
2021-09-12,Cremonese,Cittadella,2,0,H,0
2021-09-12,Pordenone,Parma,0,4,A,0
2021-09-17,Como,Frosinone,0,2,A,0
2021-09-17,Brescia,Crotone,2,2,D,1
2021-09-18,Perugia,Cesena,1,1,D,1
2021-09-18,Reggiana,Spal,2,1,H,0
2021-09-18,Venezia,Pisa,1,3,A,0
2021-09-18,Cittadella,Pordenone,1,0,H,0
2021-09-18,Lecco,Alessandria,3,2,H,0
2021-09-18,Monza,Ternana,1,1,D,1
2021-09-18,Ascoli,Benevento,0,2,A,0
2021-09-19,Parma,Cremonese,1,2,A,0
2021-09-20,Frosinone,Brescia,2,2,D,1
2021-09-21,Crotone,Lecco,0,3,A,0
2021-09-21,Pisa,Monza,2,1,H,0
2021-09-21,Pordenone,Reggiana,1,1,D,1
2021-09-21,Spal,Venezia,3,2,H,0
2021-09-21,Benevento,Cittadella,4,1,H,0
2021-09-21,Alessandria,Ascoli,1,3,A,0
2021-09-21,Cesena,Como,2,0,H,0
2021-09-22,Cremonese,Perugia,0,3,A,0
2021-09-22,Ternana,Parma,3,1,H,0
2021-09-25,Como,Benevento,1,1,D,1
2021-09-25,Cesena,Crotone,1,0,H,0
2021-09-25,Reggiana,Frosinone,0,0,D,1
2021-09-25,Monza,Pordenone,3,1,H,0
2021-09-25,Ascoli,Brescia,2,3,A,0
2021-09-25,Cittadella,Lecco,1,2,A,0
2021-09-26,Parma,Pisa,1,1,D,1
2021-09-26,Ternana,Spal,1,0,H,0
2021-09-26,Venezia,Cremonese,0,1,A,0
2021-09-26,Perugia,Alessandria,1,1,D,1
2021-10-01,Lecco,Monza,3,0,H,0
2021-10-02,Frosinone,Cittadella,0,1,A,0
2021-10-02,Pisa,Reggiana,2,0,H,0
2021-10-02,Spal,Parma,2,2,D,1
2021-10-02,Crotone,Ascoli,2,2,D,1
2021-10-02,Alessandria,Cesena,1,0,H,0
2021-10-02,Cremonese,Ternana,2,0,H,0
2021-10-03,Brescia,Como,2,4,A,0
