Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2021-07-22,Gallos Blancos,CF América,0,0,D,1
2021-07-22,Club Necaxa,Santos Laguna,0,3,A,0
2021-07-22,FC Juárez,Deportivo Toluca,1,3,A,0
2021-07-22,CF Pachuca,Club León,4,0,H,0
2021-07-22,Deportivo Guadalajara,Atlético San Luis,1,2,A,0
2021-07-22,Pumas UNAM,Atlas Guadalajara,0,0,D,1
2021-07-22,CF Monterrey,Puebla FC,1,1,D,1
2021-07-22,Club Tijuana,UANL Tigres,1,2,A,0
2021-07-22,Cruz Azul,Mazatlán FC,0,2,A,0
2021-07-22,Mazatlán FC,CF Pachuca,2,1,H,0
2021-07-22,Puebla FC,Deportivo Guadalajara,0,2,A,0
2021-07-22,Club León,Club Tijuana,2,1,H,0
2021-07-22,CF América,Club Necaxa,2,1,H,0
2021-07-22,CF Monterrey,Pumas UNAM,2,0,H,0
2021-07-22,Atlas Guadalajara,FC Juárez,2,0,H,0
2021-07-22,Deportivo Toluca,UANL Tigres,3,1,H,0
2021-07-22,Santos Laguna,Cruz Azul,1,1,D,1
2021-07-22,Atlético San Luis,Gallos Blancos,1,1,D,1
2021-07-22,Gallos Blancos,Club León,0,1,A,0
2021-07-22,Mazatlán FC,CF Monterrey,1,1,D,1
2021-07-22,Club Necaxa,Cruz Azul,1,2,A,0
2021-07-22,Club Tijuana,Deportivo Toluca,0,2,A,0
2021-07-22,Deportivo Guadalajara,FC Juárez,2,2,D,1
2021-07-22,CF América,Puebla FC,2,0,H,0
2021-07-22,UANL Tigres,Santos Laguna,1,1,D,1
2021-07-22,Pumas UNAM,Atlético San Luis,1,3,A,0
2021-07-22,CF Pachuca,Atlas Guadalajara,0,1,A,0
2021-07-22,Atlético San Luis,Club Necaxa,0,2,A,0
2021-07-22,Puebla FC,UANL Tigres,1,1,D,1
2021-07-22,FC Juárez,Club Tijuana,1,1,D,1
2021-07-22,Pumas UNAM,Gallos Blancos,0,0,D,1
2021-07-22,Club León,Mazatlán FC,3,0,H,0
2021-07-22,Cruz Azul,Deportivo Toluca,4,0,H,0
2021-07-22,CF Monterrey,CF Pachuca,3,1,H,0
2021-07-22,Atlas Guadalajara,CF América,0,1,A,0
2021-07-22,Santos Laguna,Deportivo Guadalajara,0,0,D,1
2021-07-22,Deportivo Toluca,Mazatlán FC,2,2,D,1
2021-07-22,UANL Tigres,Gallos Blancos,3,0,H,0
2021-07-22,Club Necaxa,Pumas UNAM,3,0,H,0
2021-07-22,Club Tijuana,Puebla FC,1,1,D,1
2021-07-22,Cruz Azul,CF Monterrey,1,1,D,1
2021-07-22,Santos Laguna,Atlas Guadalajara,1,1,D,1
2021-07-22,Deportivo Guadalajara,Club León,0,3,A,0
2021-07-22,FC Juárez,CF América,1,2,A,0
2021-07-22,CF Pachuca,Atlético San Luis,0,0,D,1
2021-07-22,Mazatlán FC,UANL Tigres,0,3,A,0
2021-07-22,Atlas Guadalajara,Deportivo Toluca,0,0,D,1
2021-07-22,Club León,Santos Laguna,1,1,D,1
2021-07-22,Atlético San Luis,Cruz Azul,0,0,D,1
2021-07-22,CF Monterrey,Deportivo Guadalajara,0,0,D,1
2021-07-22,Pumas UNAM,Puebla FC,2,0,H,0
2021-07-22,CF América,Club Tijuana,2,0,H,0
2021-07-22,Club Necaxa,FC Juárez,1,0,H,0
2021-07-22,Gallos Blancos,CF Pachuca,0,2,A,0
2021-07-22,Mazatlán FC,Atlético San Luis,2,2,D,1
2021-07-22,Puebla FC,Gallos Blancos,1,0,H,0
2021-07-22,Club Tijuana,CF Monterrey,2,2,D,1
2021-07-22,Deportivo Guadalajara,Club Necaxa,2,1,H,0
2021-07-22,UANL Tigres,Atlas Guadalajara,1,1,D,1
2021-07-22,Club León,CF América,1,1,D,1
2021-07-22,Deportivo Toluca,Pumas UNAM,2,1,H,0
2021-07-22,Santos Laguna,FC Juárez,2,0,H,0
2021-07-22,Cruz Azul,CF Pachuca,1,1,D,1
2021-07-22,Puebla FC,Atlético San Luis,2,2,D,1
2021-07-22,FC Juárez,Cruz Azul,2,1,H,0
2021-07-22,Club Tijuana,Santos Laguna,2,1,H,0
2021-07-22,Atlas Guadalajara,CF Monterrey,2,1,H,0
2021-07-22,UANL Tigres,Club León,2,2,D,1
2021-07-22,CF América,Mazatlán FC,2,0,H,0
2021-07-22,Pumas UNAM,Deportivo Guadalajara,0,0,D,1
2021-07-22,Gallos Blancos,Club Necaxa,3,0,H,0
2021-07-22,CF Pachuca,Deportivo Toluca,1,2,A,0
2021-07-22,Atlético San Luis,Club Tijuana,4,1,H,0
2021-07-22,Club Necaxa,Atlas Guadalajara,0,3,A,0
2021-07-22,Club León,FC Juárez,0,1,A,0
2021-07-22,Deportivo Toluca,CF América,3,1,H,0
2021-07-22,Mazatlán FC,Pumas UNAM,2,2,D,1
2021-07-22,Deportivo Guadalajara,CF Pachuca,1,0,H,0
2021-07-22,Cruz Azul,Gallos Blancos,2,0,H,0
2021-07-22,CF Monterrey,UANL Tigres,2,0,H,0
2021-07-22,Santos Laguna,Puebla FC,1,1,D,1
2021-07-22,CF Pachuca,Club Necaxa,1,0,H,0
2021-07-22,Puebla FC,Cruz Azul,1,1,D,1
2021-07-22,Club Tijuana,Mazatlán FC,0,0,D,1
