Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2021-08-13,Go Ahead Eagles,Heerenveen,0,1,A,0
2021-08-14,Waalwijk,AZ Alkmaar,1,0,H,0
2021-08-14,Heracles,PSV Eindhoven,0,2,A,0
2021-08-14,For Sittard,Twente,2,1,H,0
2021-08-14,Ajax,Nijmegen,5,0,H,0
2021-08-15,Cambuur,Groningen,1,2,A,0
2021-08-15,Utrecht,Sparta Rotterdam,4,0,H,0
2021-08-15,Zwolle,Vitesse,0,1,A,0
2021-08-15,Willem II,Feyenoord,0,4,A,0
2021-08-20,Nijmegen,Zwolle,2,0,H,0
2021-08-21,Heerenveen,Waalwijk,3,2,H,0
2021-08-21,PSV Eindhoven,Cambuur,4,1,H,0
2021-08-21,Sparta Rotterdam,Heracles,1,1,D,1
2021-08-21,Groningen,Utrecht,0,0,D,1
2021-08-22,Twente,Ajax,1,1,D,1
2021-08-22,Feyenoord,Go Ahead Eagles,2,0,H,0
2021-08-22,Vitesse,Willem II,0,3,A,0
2021-08-27,For Sittard,Waalwijk,2,2,D,1
2021-08-28,Cambuur,Twente,2,0,H,0
2021-08-28,Go Ahead Eagles,Sparta Rotterdam,2,0,H,0
2021-08-28,PSV Eindhoven,Groningen,5,2,H,0
2021-08-28,Willem II,Zwolle,1,0,H,0
2021-08-29,Utrecht,Feyenoord,3,1,H,0
2021-08-29,Ajax,Vitesse,5,0,H,0
2021-08-29,Heracles,Nijmegen,0,1,A,0
2021-08-29,Heerenveen,AZ Alkmaar,1,3,A,0
2021-09-11,Twente,Utrecht,1,0,H,0
2021-09-11,Cambuur,Go Ahead Eagles,5,2,H,0
2021-09-11,Zwolle,Ajax,0,2,A,0
2021-09-11,AZ Alkmaar,PSV Eindhoven,0,3,A,0
2021-09-12,Nijmegen,Willem II,0,0,D,1
2021-09-12,Groningen,Heerenveen,1,1,D,1
2021-09-12,Sparta Rotterdam,For Sittard,3,1,H,0
2021-09-12,Waalwijk,Vitesse,1,2,A,0
2021-09-17,Sparta Rotterdam,Nijmegen,1,1,D,1
2021-09-18,Heerenveen,For Sittard,1,0,H,0
2021-09-18,Willem II,Groningen,2,1,H,0
2021-09-18,Ajax,Cambuur,9,0,H,0
2021-09-18,Utrecht,Waalwijk,2,2,D,1
2021-09-19,Go Ahead Eagles,Zwolle,1,0,H,0
2021-09-19,PSV Eindhoven,Feyenoord,0,4,A,0
2021-09-19,Heracles,AZ Alkmaar,3,2,H,0
2021-09-19,Vitesse,Twente,1,4,A,0
2021-09-21,For Sittard,Ajax,0,5,A,0
2021-09-21,Waalwijk,Willem II,1,2,A,0
2021-09-22,Go Ahead Eagles,PSV Eindhoven,1,2,A,0
2021-09-22,Nijmegen,Utrecht,0,3,A,0
2021-09-22,Groningen,Vitesse,0,1,A,0
2021-09-22,Feyenoord,Heerenveen,3,1,H,0
2021-09-22,Zwolle,Sparta Rotterdam,1,1,D,1
2021-09-23,Cambuur,Heracles,2,1,H,0
2021-09-23,Twente,AZ Alkmaar,3,1,H,0
2021-09-25,Willem II,PSV Eindhoven,2,1,H,0
2021-09-25,Ajax,Groningen,3,0,H,0
2021-09-25,Vitesse,For Sittard,1,1,D,1
2021-09-25,Feyenoord,Nijmegen,5,3,H,0
2021-09-25,Utrecht,Zwolle,5,1,H,0
2021-09-26,Sparta Rotterdam,Cambuur,0,4,A,0
2021-09-26,AZ Alkmaar,Go Ahead Eagles,5,0,H,0
2021-09-26,Heerenveen,Twente,2,3,A,0
2021-09-26,Heracles,Waalwijk,1,0,H,0
2021-10-01,Groningen,Twente,1,1,D,1
2021-10-02,Waalwijk,Go Ahead Eagles,1,1,D,1
2021-10-02,Heracles,Willem II,3,2,H,0
2021-10-02,Zwolle,Heerenveen,0,1,A,0
2021-10-02,For Sittard,Nijmegen,1,3,A,0
2021-10-03,Ajax,Utrecht,0,1,A,0
2021-10-03,Cambuur,AZ Alkmaar,1,3,A,0
2021-10-03,Vitesse,Feyenoord,2,1,H,0
2021-10-03,PSV Eindhoven,Sparta Rotterdam,2,1,H,0
2021-10-16,Feyenoord,Waalwijk,2,2,D,1
2021-10-16,Go Ahead Eagles,Heracles,4,2,H,0
2021-10-16,Heerenveen,Ajax,0,2,A,0
2021-10-16,For Sittard,Cambuur,1,0,H,0
2021-10-16,PSV Eindhoven,Zwolle,3,1,H,0
2021-10-17,AZ Alkmaar,Utrecht,5,1,H,0
2021-10-17,Nijmegen,Vitesse,0,1,A,0
2021-10-17,Sparta Rotterdam,Groningen,1,1,D,1
2021-10-17,Twente,Willem II,1,1,D,1
2021-10-22,Willem II,For Sittard,1,1,D,1
2021-10-23,Utrecht,Heerenveen,2,1,H,0
2021-10-23,Zwolle,Heracles,1,0,H,0
2021-10-23,Waalwijk,Sparta Rotterdam,1,0,H,0
2021-10-24,Twente,Nijmegen,1,2,A,0
2021-10-24,Cambuur,Feyenoord,2,3,A,0
2021-10-24,Vitesse,Go Ahead Eagles,1,2,A,0
2021-10-24,Ajax,PSV Eindhoven,5,0,H,0
2021-10-24,Groningen,AZ Alkmaar,2,0,H,0
2021-10-30,PSV Eindhoven,Twente,5,2,H,0
2021-10-30,Heracles,Ajax,0,0,D,1
2021-10-30,Heerenveen,Vitesse,1,2,A,0
2021-10-30,AZ Alkmaar,Zwolle,3,2,H,0
2021-10-31,Sparta Rotterdam,Feyenoord,0,1,A,0
2021-10-31,Nijmegen,Groningen,3,0,H,0
2021-10-31,Utrecht,Willem II,5,1,H,0
2021-10-31,Waalwijk,Cambuur,0,1,A,0
2021-10-31,Go Ahead Eagles,For Sittard,4,3,H,0
2021-11-05,Twente,Heracles,1,0,H,0
2021-11-06,Nijmegen,Heerenveen,1,1,D,1
2021-11-06,Willem II,Sparta Rotterdam,0,3,A,0
2021-11-06,Zwolle,Cambuur,1,2,A,0
2021-11-07,Groningen,Waalwijk,1,1,D,1
2021-11-07,For Sittard,PSV Eindhoven,1,4,A,0
2021-11-07,Feyenoord,AZ Alkmaar,1,0,H,0
2021-11-07,Vitesse,Utrecht,2,1,H,0
2021-11-07,Ajax,Go Ahead Eagles,0,0,D,1
2021-11-20,PSV Eindhoven,Vitesse,2,0,H,0
2021-11-20,Sparta Rotterdam,Twente,0,1,A,0
2021-11-20,AZ Alkmaar,Nijmegen,1,1,D,1
2021-11-20,Heracles,For Sittard,3,1,H,0
2021-11-21,Go Ahead Eagles,Groningen,0,1,A,0
2021-11-21,Feyenoord,Zwolle,4,0,H,0
2021-11-21,Heerenveen,Willem II,2,1,H,0
2021-11-21,Waalwijk,Ajax,0,5,A,0
2021-11-21,Cambuur,Utrecht,2,1,H,0
2021-11-26,Nijmegen,Cambuur,2,3,A,0
2021-11-27,For Sittard,Groningen,1,4,A,0
2021-11-27,Zwolle,Waalwijk,0,0,D,1
2021-11-27,Willem II,Go Ahead Eagles,0,1,A,0
2021-11-28,Sparta Rotterdam,Ajax,0,1,A,0
2021-11-28,Twente,Feyenoord,0,0,D,1
2021-11-28,Utrecht,Heracles,1,0,H,0
2021-11-28,Heerenveen,PSV Eindhoven,1,1,D,1
2021-11-28,Vitesse,AZ Alkmaar,0,0,D,1
2021-12-01,Feyenoord,Heracles,2,1,H,0
2021-12-02,AZ Alkmaar,For Sittard,2,1,H,0
2021-12-02,Ajax,Willem II,5,0,H,0
2021-12-03,Groningen,Zwolle,1,1,D,1
2021-12-04,PSV Eindhoven,Utrecht,4,1,H,0
2021-12-04,Cambuur,Vitesse,1,6,A,0
2021-12-04,Heracles,Heerenveen,0,1,A,0
2021-12-05,Waalwijk,Nijmegen,2,1,H,0
2021-12-05,AZ Alkmaar,Sparta Rotterdam,3,1,H,0
2021-12-05,Go Ahead Eagles,Twente,1,2,A,0
2021-12-05,Feyenoord,For Sittard,5,0,H,0
2021-12-10,Willem II,Cambuur,1,3,A,0
2021-12-11,Utrecht,Go Ahead Eagles,0,0,D,1
2021-12-11,Heerenveen,Sparta Rotterdam,0,0,D,1
2021-12-11,Zwolle,For Sittard,0,1,A,0
2021-12-12,Twente,Waalwijk,2,1,H,0
2021-12-12,Groningen,Feyenoord,1,1,D,1
2021-12-12,Vitesse,Heracles,2,1,H,0
2021-12-12,Ajax,AZ Alkmaar,1,2,A,0
2021-12-12,Nijmegen,PSV Eindhoven,1,2,A,0
2021-12-18,For Sittard,Utrecht,2,2,D,1
