Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2024-08-09,Groningen,NAC Breda,4,1,H,0
2024-08-10,PSV Eindhoven,Waalwijk,5,1,H,0
2024-08-10,Nijmegen,Twente,1,2,A,0
2024-08-10,Almere City,AZ Alkmaar,0,1,A,0
2024-08-10,Feyenoord,Willem II,1,1,D,1
2024-08-11,Utrecht,Zwolle,1,0,H,0
2024-08-11,Ajax,Heerenveen,1,0,H,0
2024-08-11,Sparta Rotterdam,Heracles,0,0,D,1
2024-08-11,Go Ahead Eagles,For Sittard,0,2,A,0
2024-08-16,For Sittard,Almere City,3,0,H,0
2024-08-17,AZ Alkmaar,Nijmegen,1,0,H,0
2024-08-17,Waalwijk,Groningen,1,2,A,0
2024-08-17,Twente,Sparta Rotterdam,1,1,D,1
2024-08-17,Heerenveen,Utrecht,1,1,D,1
2024-08-18,Zwolle,Feyenoord,1,5,A,0
2024-08-18,NAC Breda,Ajax,2,1,H,0
2024-08-18,Heracles,PSV Eindhoven,1,3,A,0
2024-08-18,Willem II,Go Ahead Eagles,2,0,H,0
2024-08-24,NAC Breda,Utrecht,1,2,A,0
2024-08-24,Nijmegen,Zwolle,1,0,H,0
2024-08-24,Almere City,PSV Eindhoven,1,7,A,0
2024-08-25,Sparta Rotterdam,Feyenoord,1,1,D,1
2024-08-25,Go Ahead Eagles,Waalwijk,2,0,H,0
2024-08-25,Groningen,AZ Alkmaar,0,0,D,1
2024-08-25,Heracles,Willem II,1,1,D,1
2024-08-30,Waalwijk,AZ Alkmaar,0,3,A,0
2024-08-31,Heerenveen,NAC Breda,4,0,H,0
2024-08-31,Willem II,Sparta Rotterdam,1,2,A,0
2024-08-31,For Sittard,Nijmegen,0,3,A,0
2024-08-31,Almere City,Groningen,1,1,D,1
2024-09-01,PSV Eindhoven,Go Ahead Eagles,3,0,H,0
2024-09-01,Utrecht,Twente,2,1,H,0
2024-09-01,Zwolle,Heracles,3,0,H,0
2024-09-14,Groningen,Feyenoord,2,2,D,1
2024-09-14,NAC Breda,For Sittard,1,0,H,0
2024-09-14,AZ Alkmaar,Heerenveen,9,1,H,0
2024-09-14,PSV Eindhoven,Nijmegen,2,0,H,0
2024-09-14,Twente,Zwolle,1,1,D,1
2024-09-15,Willem II,Waalwijk,3,0,H,0
2024-09-15,Sparta Rotterdam,Go Ahead Eagles,1,2,A,0
2024-09-15,Heracles,Almere City,0,0,D,1
2024-09-17,Twente,Heerenveen,2,0,H,0
2024-09-18,Ajax,For Sittard,5,0,H,0
2024-09-20,Zwolle,AZ Alkmaar,1,2,A,0
2024-09-21,Go Ahead Eagles,Ajax,1,1,D,1
2024-09-21,Nijmegen,Heracles,1,2,A,0
2024-09-21,Waalwijk,Sparta Rotterdam,1,2,A,0
