Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2023-08-11,Sevilla,Valencia,1,2,A,0
2023-08-11,Almeria,Valencia,0,2,A,0
2023-08-12,Las Palmas,Mallorca,1,1,D,1
2023-08-12,Ath Bilbao,Real Madrid,0,2,A,0
2023-08-12,Sociedad,Girona,1,1,D,1
2023-08-13,Villarreal,Betis,1,2,A,0
2023-08-13,Getafe,Barcelona,0,0,D,1
2023-08-13,Celta,Osasuna,0,2,A,0
2023-08-14,Cadiz,Alaves,1,0,H,0
2023-08-14,Real Madrid,Granada,3,1,H,0
2023-08-18,Mallorca,Villarreal,0,1,A,0
2023-08-18,Valencia,Las Palmas,1,0,H,0
2023-08-19,Almeria,Real Madrid,1,3,A,0
2023-08-19,Osasuna,Ath Bilbao,0,2,A,0
2023-08-19,Sociedad,Celta,1,1,D,1
2023-08-20,Barcelona,Cadiz,2,0,H,0
2023-08-20,Girona,Getafe,3,0,H,0
2023-08-20,Betis,Real Madrid,0,0,D,1
2023-08-21,Alaves,Sevilla,4,3,H,0
2023-08-21,Granada,Valencia,0,2,A,0
2023-08-25,Las Palmas,Sociedad,0,0,D,1
2023-08-25,Celta,Real Madrid,0,1,A,0
2023-08-26,Granada,Mallorca,3,2,H,0
2023-08-26,Sevilla,Girona,1,2,A,0
2023-08-26,Cadiz,Almeria,1,1,D,1
2023-08-27,Villarreal,Barcelona,3,4,A,0
2023-08-27,Valencia,Osasuna,1,2,A,0
2023-08-27,Ath Bilbao,Betis,4,2,H,0
2023-08-28,Getafe,Alaves,1,0,H,0
2023-08-28,Valencia,Real Madrid,0,7,A,0
2023-09-01,Cadiz,Villarreal,3,1,H,0
2023-09-01,Almeria,Celta,2,3,A,0
2023-09-02,Betis,Valencia,1,0,H,0
2023-09-02,Real Madrid,Getafe,2,1,H,0
2023-09-02,Alaves,Valencia,1,0,H,0
2023-09-02,Sociedad,Granada,5,3,H,0
2023-09-03,Girona,Las Palmas,1,0,H,0
2023-09-03,Osasuna,Barcelona,1,2,A,0
2023-09-03,Mallorca,Ath Bilbao,0,0,D,1
2023-09-15,Valencia,Alaves,2,0,H,0
2023-09-16,Barcelona,Betis,5,0,H,0
2023-09-16,Celta,Mallorca,0,1,A,0
2023-09-16,Valencia,Real Madrid,3,0,H,0
2023-09-16,Ath Bilbao,Cadiz,3,0,H,0
2023-09-17,Real Madrid,Sociedad,2,1,H,0
2023-09-17,Getafe,Osasuna,3,2,H,0
2023-09-17,Villarreal,Almeria,2,1,H,0
2023-09-17,Sevilla,Las Palmas,1,0,H,0
2023-09-18,Granada,Girona,2,4,A,0
2023-09-22,Alaves,Ath Bilbao,0,2,A,0
2023-09-23,Barcelona,Celta,3,2,H,0
2023-09-23,Girona,Mallorca,5,3,H,0
2023-09-23,Osasuna,Sevilla,0,0,D,1
2023-09-23,Almeria,Valencia,2,2,D,1
2023-09-24,Betis,Cadiz,1,1,D,1
2023-09-24,Real Madrid,Real Madrid,3,1,H,0
2023-09-24,Las Palmas,Granada,1,0,H,0
2023-09-24,Sociedad,Getafe,4,3,H,0
2023-09-24,Valencia,Villarreal,1,1,D,1
2023-09-26,Mallorca,Barcelona,2,2,D,1
2023-09-26,Sevilla,Almeria,5,1,H,0
2023-09-27,Cadiz,Valencia,0,0,D,1
2023-09-27,Valencia,Sociedad,0,1,A,0
2023-09-27,Real Madrid,Las Palmas,2,0,H,0
2023-09-27,Villarreal,Girona,1,2,A,0
2023-09-27,Ath Bilbao,Getafe,2,2,D,1
2023-09-28,Granada,Betis,1,1,D,1
2023-09-28,Osasuna,Real Madrid,0,2,A,0
2023-09-28,Celta,Alaves,1,1,D,1
2023-09-29,Barcelona,Sevilla,1,0,H,0
2023-09-30,Sociedad,Ath Bilbao,3,0,H,0
2023-09-30,Girona,Real Madrid,0,3,A,0
2023-09-30,Valencia,Mallorca,2,2,D,1
2023-09-30,Getafe,Villarreal,0,0,D,1
2023-10-01,Betis,Valencia,3,0,H,0
2023-10-01,Almeria,Granada,3,3,D,1
2023-10-01,Alaves,Osasuna,0,2,A,0
2023-10-01,Real Madrid,Cadiz,3,2,H,0
2023-10-02,Las Palmas,Celta,2,1,H,0
2023-10-06,Ath Bilbao,Almeria,3,0,H,0
2023-10-07,Sevilla,Valencia,2,2,D,1
2023-10-07,Mallorca,Valencia,1,1,D,1
2023-10-07,Real Madrid,Osasuna,4,0,H,0
2023-10-07,Cadiz,Girona,0,1,A,0
2023-10-08,Celta,Getafe,2,2,D,1
2023-10-08,Granada,Barcelona,2,2,D,1
2023-10-08,Villarreal,Las Palmas,1,2,A,0
2023-10-08,Real Madrid,Sociedad,2,1,H,0
2023-10-08,Alaves,Betis,1,1,D,1
2023-10-20,Osasuna,Granada,2,0,H,0
2023-10-21,Celta,Real Madrid,0,3,A,0
2023-10-21,Sevilla,Real Madrid,1,1,D,1
2023-10-21,Sociedad,Mallorca,1,0,H,0
2023-10-21,Getafe,Betis,1,1,D,1
2023-10-22,Barcelona,Ath Bilbao,1,0,H,0
2023-10-22,Las Palmas,Valencia,0,1,A,0
2023-10-22,Girona,Almeria,5,2,H,0
2023-10-22,Villarreal,Alaves,1,1,D,1
2023-10-23,Valencia,Cadiz,2,0,H,0
2023-10-27,Girona,Celta,1,0,H,0
2023-10-28,Almeria,Las Palmas,1,2,A,0
2023-10-28,Barcelona,Real Madrid,1,2,A,0
2023-10-28,Cadiz,Sevilla,2,2,D,1
2023-10-28,Mallorca,Getafe,0,0,D,1
2023-10-29,Betis,Osasuna,2,1,H,0
2023-10-29,Valencia,Sociedad,2,2,D,1
2023-10-29,Ath Bilbao,Valencia,2,2,D,1
2023-10-29,Real Madrid,Alaves,2,1,H,0
2023-10-30,Granada,Villarreal,2,3,A,0
2023-11-03,Las Palmas,Real Madrid,2,1,H,0
2023-11-04,Sociedad,Barcelona,0,1,A,0
2023-11-04,Betis,Mallorca,2,0,H,0
2023-11-04,Celta,Sevilla,1,1,D,1
2023-11-04,Osasuna,Girona,2,4,A,0
2023-11-05,Real Madrid,Valencia,0,0,D,1
2023-11-05,Alaves,Almeria,1,0,H,0
2023-11-05,Valencia,Granada,1,0,H,0
2023-11-05,Villarreal,Ath Bilbao,2,3,A,0
2023-11-06,Getafe,Cadiz,1,0,H,0
2023-11-10,Ath Bilbao,Celta,4,3,H,0
2023-11-11,Osasuna,Las Palmas,1,1,D,1
2023-11-11,Almeria,Sociedad,1,3,A,0
2023-11-11,Valencia,Girona,1,2,A,0
2023-11-11,Real Madrid,Valencia,5,1,H,0
2023-11-11,Granada,Getafe,1,1,D,1
2023-11-12,Sevilla,Betis,1,1,D,1
2023-11-12,Barcelona,Alaves,2,1,H,0
2023-11-12,Real Madrid,Villarreal,3,1,H,0
2023-11-24,Alaves,Granada,3,1,H,0
2023-11-25,Real Madrid,Mallorca,1,0,H,0
2023-11-25,Getafe,Almeria,2,1,H,0
2023-11-25,Valencia,Celta,0,0,D,1
2023-11-25,Valencia,Barcelona,1,1,D,1
2023-11-26,Betis,Las Palmas,1,0,H,0
2023-11-26,Villarreal,Osasuna,3,1,H,0
2023-11-26,Sociedad,Sevilla,2,1,H,0
2023-11-26,Cadiz,Real Madrid,0,3,A,0
2023-11-27,Girona,Ath Bilbao,1,1,D,1
2023-11-29,Mallorca,Cadiz,1,1,D,1
2023-12-01,Las Palmas,Getafe,2,0,H,0
2023-12-02,Osasuna,Sociedad,1,1,D,1
2023-12-02,Girona,Valencia,2,1,H,0
2023-12-02,Ath Bilbao,Valencia,4,0,H,0
2023-12-02,Real Madrid,Granada,2,0,H,0
2023-12-03,Barcelona,Real Madrid,1,0,H,0
2023-12-03,Sevilla,Villarreal,1,1,D,1
2023-12-03,Almeria,Betis,0,0,D,1
2023-12-03,Mallorca,Alaves,0,0,D,1
2023-12-04,Celta,Cadiz,1,1,D,1
2023-12-08,Getafe,Valencia,1,0,H,0
2023-12-09,Villarreal,Sociedad,0,3,A,0
2023-12-09,Mallorca,Sevilla,1,0,H,0
2023-12-09,Alaves,Las Palmas,0,1,A,0
2023-12-09,Betis,Real Madrid,1,1,D,1
2023-12-10,Real Madrid,Almeria,2,1,H,0
2023-12-10,Cadiz,Osasuna,1,1,D,1
2023-12-10,Barcelona,Girona,2,4,A,0
2023-12-11,Granada,Ath Bilbao,1,1,D,1
2023-12-11,Valencia,Celta,0,0,D,1
2023-12-15,Osasuna,Valencia,1,0,H,0
2023-12-16,Valencia,Barcelona,1,1,D,1
2023-12-16,Celta,Granada,1,0,H,0
2023-12-16,Ath Bilbao,Real Madrid,2,0,H,0
2023-12-16,Sevilla,Getafe,0,3,A,0
2023-12-17,Real Madrid,Villarreal,4,1,H,0
2023-12-17,Las Palmas,Cadiz,1,1,D,1
2023-12-17,Sociedad,Betis,0,0,D,1
2023-12-17,Almeria,Mallorca,0,0,D,1
2023-12-18,Girona,Alaves,3,0,H,0
2023-12-19,Granada,Sevilla,0,3,A,0
2023-12-19,Valencia,Valencia,0,1,A,0
2023-12-19,Real Madrid,Getafe,3,3,D,1
2023-12-20,Ath Bilbao,Las Palmas,1,0,H,0
2023-12-20,Barcelona,Almeria,3,2,H,0
2023-12-20,Villarreal,Celta,3,2,H,0
2023-12-21,Mallorca,Osasuna,3,2,H,0
2023-12-21,Alaves,Real Madrid,0,1,A,0
2023-12-21,Cadiz,Sociedad,0,0,D,1
2023-12-21,Betis,Girona,1,1,D,1
2023-12-23,Real Madrid,Sevilla,1,0,H,0
2024-01-02,Valencia,Villarreal,3,1,H,0
2024-01-02,Getafe,Valencia,0,2,A,0
2024-01-02,Sociedad,Alaves,1,1,D,1
2024-01-03,Girona,Real Madrid,4,3,H,0
2024-01-03,Granada,Cadiz,2,0,H,0
2024-01-03,Celta,Betis,2,1,H,0
2024-01-03,Real Madrid,Mallorca,1,0,H,0
2024-01-04,Osasuna,Almeria,1,0,H,0
2024-01-04,Sevilla,Ath Bilbao,0,2,A,0
2024-01-04,Las Palmas,Barcelona,1,2,A,0
2024-01-12,Sevilla,Alaves,2,3,A,0
2024-01-13,Ath Bilbao,Sociedad,2,1,H,0
2024-01-13,Las Palmas,Villarreal,3,0,H,0
2024-01-13,Mallorca,Celta,1,1,D,1
