Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2022-08-05,Istanbulspor,Trabzonspor,0,2,A,0
2022-08-06,Besiktas,Kocaelispor,1,0,H,0
2022-08-06,Samsunspor,Gaziantep,1,1,D,1
2022-08-07,Karagumruk,Antalyaspor,2,4,A,0
2022-08-07,Antalyaspor,Galatasaray,0,1,A,0
2022-08-07,Giresunspor,Ad. Demirspor,2,3,A,0
2022-08-08,Karagumruk,Antalyaspor,0,0,D,1
2022-08-08,Fenerbahce,Rizespor,3,3,D,1
2022-08-08,Buyuksehyr,Kasimpasa,4,0,H,0
2022-08-12,Trabzonspor,Antalyaspor,1,0,H,0
2022-08-13,Ad. Demirspor,Samsunspor,3,0,H,0
2022-08-13,Galatasaray,Giresunspor,0,1,A,0
2022-08-13,Kocaelispor,Istanbulspor,1,0,H,0
2022-08-14,Rizespor,Antalyaspor,0,1,A,0
2022-08-14,Antalyaspor,Besiktas,3,3,D,1
2022-08-14,Gaziantep,Karagumruk,1,0,H,0
2022-08-15,Kasimpasa,Fenerbahce,0,6,A,0
2022-08-15,Antalyaspor,Buyuksehyr,0,0,D,1
2022-08-19,Rizespor,Galatasaray,0,1,A,0
2022-08-20,Giresunspor,Kasimpasa,1,0,H,0
2022-08-20,Antalyaspor,Gaziantep,1,2,A,0
2022-08-20,Antalyaspor,Trabzonspor,5,2,H,0
2022-08-21,Besiktas,Karagumruk,4,1,H,0
2022-08-21,Buyuksehyr,Kocaelispor,2,0,H,0
2022-08-22,Samsunspor,Antalyaspor,1,1,D,1
2022-08-22,Fenerbahce,Ad. Demirspor,4,2,H,0
2022-08-22,Istanbulspor,Antalyaspor,0,4,A,0
2022-08-26,Gaziantep,Antalyaspor,5,2,H,0
2022-08-27,Ad. Demirspor,Rizespor,1,0,H,0
2022-08-27,Antalyaspor,Istanbulspor,0,1,A,0
2022-08-27,Karagumruk,Karagumruk,4,1,H,0
2022-08-28,Kocaelispor,Giresunspor,3,0,H,0
2022-08-28,Trabzonspor,Galatasaray,0,0,D,1
2022-08-28,Kasimpasa,Antalyaspor,1,0,H,0
2022-08-29,Besiktas,Samsunspor,3,1,H,0
2022-08-29,Antalyaspor,Fenerbahce,1,0,H,0
2022-09-02,Rizespor,Trabzonspor,0,1,A,0
2022-09-03,Samsunspor,Karagumruk,0,0,D,1
2022-09-03,Fenerbahce,Kocaelispor,2,0,H,0
2022-09-03,Giresunspor,Antalyaspor,0,1,A,0
2022-09-03,Buyuksehyr,Antalyaspor,2,0,H,0
2022-09-04,Karagumruk,Besiktas,2,3,A,0
2022-09-04,Antalyaspor,Kasimpasa,0,2,A,0
2022-09-04,Antalyaspor,Ad. Demirspor,1,1,D,1
2022-09-05,Galatasaray,Gaziantep,2,1,H,0
2022-09-09,Antalyaspor,Karagumruk,2,1,H,0
2022-09-10,Antalyaspor,Antalyaspor,1,0,H,0
2022-09-10,Karagumruk,Giresunspor,1,1,D,1
2022-09-11,Kocaelispor,Antalyaspor,1,0,H,0
2022-09-11,Samsunspor,Istanbulspor,1,1,D,1
2022-09-11,Gaziantep,Rizespor,1,1,D,1
2022-09-11,Kasimpasa,Galatasaray,2,3,A,0
2022-09-12,Ad. Demirspor,Trabzonspor,3,2,H,0
2022-09-12,Besiktas,Buyuksehyr,0,1,A,0
2022-09-16,Antalyaspor,Kocaelispor,0,4,A,0
2022-09-16,Galatasaray,Antalyaspor,2,1,H,0
2022-09-17,Istanbulspor,Besiktas,2,2,D,1
2022-09-17,Antalyaspor,Ad. Demirspor,0,3,A,0
2022-09-17,Rizespor,Kasimpasa,1,2,A,0
2022-09-18,Fenerbahce,Antalyaspor,5,0,H,0
2022-09-18,Trabzonspor,Gaziantep,3,2,H,0
2022-09-18,Buyuksehyr,Karagumruk,0,0,D,1
2022-09-18,Karagumruk,Samsunspor,2,1,H,0
2022-10-01,Ad. Demirspor,Galatasaray,0,0,D,1
2022-10-01,Kasimpasa,Gaziantep,1,0,H,0
2022-10-01,Karagumruk,Buyuksehyr,1,2,A,0
2022-10-01,Kocaelispor,Trabzonspor,1,2,A,0
2022-10-02,Samsunspor,Antalyaspor,1,2,A,0
2022-10-02,Antalyaspor,Rizespor,1,0,H,0
2022-10-02,Besiktas,Fenerbahce,0,0,D,1
2022-10-02,Antalyaspor,Giresunspor,1,1,D,1
2022-10-03,Karagumruk,Istanbulspor,1,2,A,0
2022-10-07,Gaziantep,Ad. Demirspor,1,1,D,1
2022-10-08,Antalyaspor,Antalyaspor,1,1,D,1
2022-10-08,Giresunspor,Besiktas,0,1,A,0
2022-10-08,Istanbulspor,Karagumruk,1,2,A,0
2022-10-09,Antalyaspor,Antalyaspor,1,0,H,0
2022-10-09,Fenerbahce,Karagumruk,5,4,H,0
2022-10-09,Rizespor,Kocaelispor,2,2,D,1
2022-10-10,Trabzonspor,Kasimpasa,0,0,D,1
2022-10-10,Buyuksehyr,Samsunspor,0,2,A,0
2022-10-14,Antalyaspor,Antalyaspor,3,2,H,0
2022-10-15,Antalyaspor,Gaziantep,0,1,A,0
2022-10-15,Kasimpasa,Ad. Demirspor,1,4,A,0
2022-10-15,Karagumruk,Antalyaspor,3,0,H,0
2022-10-15,Kocaelispor,Galatasaray,2,1,H,0
2022-10-16,Buyuksehyr,Istanbulspor,2,0,H,0
2022-10-16,Besiktas,Trabzonspor,2,2,D,1
2022-10-17,Karagumruk,Fenerbahce,0,3,A,0
2022-10-17,Samsunspor,Giresunspor,3,0,H,0
2022-10-21,Antalyaspor,Istanbulspor,2,1,H,0
2022-10-22,Rizespor,Karagumruk,1,3,A,0
2022-10-22,Trabzonspor,Samsunspor,1,0,H,0
2022-10-22,Fenerbahce,Buyuksehyr,1,0,H,0
2022-10-23,Ad. Demirspor,Antalyaspor,1,1,D,1
2022-10-23,Galatasaray,Antalyaspor,2,2,D,1
2022-10-23,Kasimpasa,Kocaelispor,0,1,A,0
2022-10-24,Antalyaspor,Besiktas,2,1,H,0
2022-10-24,Giresunspor,Karagumruk,1,1,D,1
2022-10-28,Karagumruk,Galatasaray,0,2,A,0
2022-10-29,Antalyaspor,Gaziantep,2,0,H,0
2022-10-29,Antalyaspor,Kasimpasa,1,1,D,1
2022-10-30,Besiktas,Rizespor,5,2,H,0
2022-10-30,Kocaelispor,Ad. Demirspor,2,2,D,1
2022-10-30,Istanbulspor,Fenerbahce,2,5,A,0
2022-10-30,Karagumruk,Antalyaspor,4,1,H,0
2022-10-31,Samsunspor,Antalyaspor,0,2,A,0
2022-10-31,Buyuksehyr,Giresunspor,3,1,H,0
2022-11-04,Kasimpasa,Karagumruk,1,1,D,1
2022-11-04,Rizespor,Antalyaspor,3,1,H,0
2022-11-05,Giresunspor,Istanbulspor,3,2,H,0
2022-11-05,Galatasaray,Besiktas,2,1,H,0
2022-11-06,Antalyaspor,Karagumruk,4,2,H,0
2022-11-06,Trabzonspor,Antalyaspor,2,2,D,1
2022-11-06,Gaziantep,Kocaelispor,1,2,A,0
2022-11-07,Antalyaspor,Buyuksehyr,3,3,D,1
2022-11-07,Fenerbahce,Samsunspor,1,0,H,0
2022-11-11,Karagumruk,Trabzonspor,1,1,D,1
2022-11-11,Antalyaspor,Ad. Demirspor,0,0,D,1
2022-11-12,Fenerbahce,Giresunspor,1,2,A,0
2022-11-12,Buyuksehyr,Galatasaray,0,7,A,0
2022-11-12,Samsunspor,Rizespor,2,2,D,1
2022-11-13,Istanbulspor,Antalyaspor,0,1,A,0
2022-11-13,Kocaelispor,Antalyaspor,1,2,A,0
