league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
D2,2425,2024-08-02,FC Koln,Hamburg,3.62,3.62,0.0
D2,2425,2024-08-03,Hannover,Regensburg,4.04,4.04,0.0
D2,2425,2024-08-03,Karlsruhe,Nurnberg,3.72,3.72,0.0
D2,2425,2024-08-03,Magdeburg,Elversberg,3.64,3.64,0.0
D2,2425,2024-08-03,Schalke 04,Braunschweig,3.72,3.72,0.0
D2,2425,2024-08-03,Hertha,Paderborn,3.76,3.76,0.0
D2,2425,2024-08-04,Darmstadt,Fortuna Dusseldorf,3.53,3.53,0.0
D2,2425,2024-08-04,Ulm,Kaiserslautern,3.42,3.42,0.0
D2,2425,2024-08-04,Greuther Furth,PreuÃen MÃ¼nster,3.76,3.76,0.0
D2,2425,2024-08-09,Kaiserslautern,Greuther Furth,3.69,3.69,0.0
D2,2425,2024-08-09,Regensburg,Ulm,3.38,3.38,0.0
D2,2425,2024-08-10,Fortuna Dusseldorf,Karlsruhe,3.95,3.95,0.0
D2,2425,2024-08-10,Hamburg,Hertha,4.14,4.14,0.0
D2,2425,2024-08-10,Nurnberg,Schalke 04,3.62,3.62,0.0
D2,2425,2024-08-10,Elversberg,FC Koln,3.76,3.76,0.0
D2,2425,2024-08-11,Braunschweig,Magdeburg,3.35,3.35,0.0
D2,2425,2024-08-11,Paderborn,Darmstadt,3.79,3.79,0.0
D2,2425,2024-08-11,PreuÃen MÃ¼nster,Hannover,3.68,3.68,0.0
D2,2425,2024-08-23,Karlsruhe,Elversberg,4.39,4.39,0.0
D2,2425,2024-08-23,Hannover,Hamburg,3.65,3.65,0.0
D2,2425,2024-08-24,PreuÃen MÃ¼nster,Kaiserslautern,3.65,3.65,0.0
D2,2425,2024-08-24,FC Koln,Braunschweig,4.75,4.75,0.0
D2,2425,2024-08-24,Hertha,Regensburg,4.27,4.27,0.0
D2,2425,2024-08-24,Greuther Furth,Paderborn,3.67,3.67,0.0
D2,2425,2024-08-25,Magdeburg,Schalke 04,3.64,3.64,0.0
D2,2425,2024-08-25,Darmstadt,Nurnberg,3.62,3.62,0.0
D2,2425,2024-08-25,Ulm,Fortuna Dusseldorf,3.64,3.64,0.0
D2,2425,2024-08-30,Fortuna Dusseldorf,Hannover,3.44,3.44,0.0
D2,2425,2024-08-30,Regensburg,Greuther Furth,3.46,3.46,0.0
D2,2425,2024-08-31,Nurnberg,Magdeburg,3.59,3.59,0.0
D2,2425,2024-08-31,Kaiserslautern,Hertha,3.7,3.7,0.0
D2,2425,2024-08-31,Hamburg,PreuÃen MÃ¼nster,5.1,5.1,0.0
D2,2425,2024-08-31,Elversberg,Darmstadt,3.71,3.71,0.0
D2,2425,2024-09-01,Paderborn,Ulm,4.42,4.42,0.0
D2,2425,2024-09-01,Schalke 04,FC Koln,3.73,3.73,0.0
D2,2425,2024-09-01,Braunschweig,Karlsruhe,3.86,3.86,0.0
D2,2425,2024-09-13,PreuÃen MÃ¼nster,Paderborn,3.84,3.84,0.0
D2,2425,2024-09-13,Karlsruhe,Schalke 04,3.96,3.96,0.0
D2,2425,2024-09-14,Ulm,Nurnberg,3.44,3.44,0.0
D2,2425,2024-09-14,Hannover,Kaiserslautern,3.81,3.81,0.0
D2,2425,2024-09-14,Darmstadt,Braunschweig,3.91,3.91,0.0
D2,2425,2024-09-14,FC Koln,Magdeburg,4.77,4.77,0.0
D2,2425,2024-09-15,Hertha,Fortuna Dusseldorf,3.63,3.63,0.0
D2,2425,2024-09-15,Greuther Furth,Elversberg,3.93,3.93,0.0
D2,2425,2024-09-15,Hamburg,Regensburg,5.47,5.47,0.0
D2,2425,2024-09-20,Paderborn,Hannover,3.65,3.65,0.0
D2,2425,2024-09-20,Schalke 04,Darmstadt,3.74,3.74,0.0
D2,2425,2024-09-21,Nurnberg,Hertha,3.72,3.72,0.0
D2,2425,2024-09-21,Kaiserslautern,Hamburg,3.78,3.78,0.0
D2,2425,2024-09-21,Fortuna Dusseldorf,FC Koln,3.62,3.62,0.0
D2,2425,2024-09-21,Braunschweig,Greuther Furth,3.6,3.6,0.0
D2,2425,2024-09-22,Magdeburg,Karlsruhe,3.65,3.65,0.0
D2,2425,2024-09-22,Regensburg,PreuÃen MÃ¼nster,3.44,3.44,0.0
D2,2425,2024-09-22,Elversberg,Ulm,3.73,3.73,0.0
D2,2425,2024-09-27,Ulm,Braunschweig,3.35,3.35,0.0
D2,2425,2024-09-27,Greuther Furth,Fortuna Dusseldorf,3.61,3.61,0.0
D2,2425,2024-09-28,Darmstadt,Magdeburg,3.76,3.76,0.0
D2,2425,2024-09-28,Hamburg,Paderborn,4.15,4.15,0.0
D2,2425,2024-09-28,Regensburg,Kaiserslautern,3.54,3.54,0.0
D2,2425,2024-09-28,PreuÃen MÃ¼nster,Schalke 04,3.76,3.76,0.0
D2,2425,2024-09-29,FC Koln,Karlsruhe,4.47,4.47,0.0
D2,2425,2024-09-29,Hannover,Nurnberg,4.32,4.32,0.0
D2,2425,2024-09-29,Hertha,Elversberg,4.09,4.09,0.0
D2,2425,2024-10-04,Karlsruhe,Darmstadt,4.1,4.1,0.0
D2,2425,2024-10-04,Paderborn,Regensburg,5.07,5.07,0.0
D2,2425,2024-10-05,Nurnberg,PreuÃen MÃ¼nster,3.56,3.56,0.0
D2,2425,2024-10-05,Schalke 04,Hertha,3.76,3.76,0.0
D2,2425,2024-10-05,FC Koln,Ulm,5.95,5.95,0.0
D2,2425,2024-10-05,Elversberg,Kaiserslautern,3.67,3.67,0.0
D2,2425,2024-10-06,Fortuna Dusseldorf,Hamburg,3.59,3.59,0.0
D2,2425,2024-10-06,Magdeburg,Greuther Furth,3.87,3.87,0.0
D2,2425,2024-10-06,Braunschweig,Hannover,3.49,3.49,0.0
D2,2425,2024-10-18,Hertha,Braunschweig,3.89,3.89,0.0
D2,2425,2024-10-18,Darmstadt,FC Koln,4.13,4.13,0.0
D2,2425,2024-10-19,Regensburg,Fortuna Dusseldorf,3.83,3.83,0.0
D2,2425,2024-10-19,PreuÃen MÃ¼nster,Elversberg,3.72,3.72,0.0
D2,2425,2024-10-19,Hannover,Schalke 04,3.86,3.86,0.0
D2,2425,2024-10-19,Kaiserslautern,Paderborn,3.7,3.7,0.0
D2,2425,2024-10-20,Hamburg,Magdeburg,4.35,4.35,0.0
D2,2425,2024-10-20,Ulm,Karlsruhe,3.61,3.61,0.0
D2,2425,2024-10-20,Greuther Furth,Nurnberg,3.96,3.96,0.0
D2,2425,2024-10-25,FC Koln,Paderborn,4.17,4.17,0.0
D2,2425,2024-10-25,Nurnberg,Regensburg,3.89,3.89,0.0
D2,2425,2024-10-26,Karlsruhe,Hertha,3.94,3.94,0.0
D2,2425,2024-10-26,Schalke 04,Greuther Furth,3.59,3.59,0.0
D2,2425,2024-10-26,Fortuna Dusseldorf,Kaiserslautern,4.04,4.04,0.0
D2,2425,2024-10-26,Elversberg,Hamburg,3.9,3.9,0.0
D2,2425,2024-10-27,Braunschweig,PreuÃen MÃ¼nster,3.64,3.64,0.0
D2,2425,2024-10-27,Magdeburg,Hannover,3.49,3.49,0.0
D2,2425,2024-10-27,Darmstadt,Ulm,3.86,3.86,0.0
D2,2425,2024-11-01,Ulm,Schalke 04,3.23,3.23,0.0
D2,2425,2024-11-01,PreuÃen MÃ¼nster,Fortuna Dusseldorf,3.65,3.65,0.0
D2,2425,2024-11-02,Greuther Furth,Darmstadt,3.68,3.68,0.0
D2,2425,2024-11-02,Hannover,Karlsruhe,3.71,3.71,0.0
D2,2425,2024-11-02,Regensburg,Elversberg,3.64,3.64,0.0
D2,2425,2024-11-02,Hertha,FC Koln,4.01,4.01,0.0
D2,2425,2024-11-03,Hamburg,Nurnberg,4.57,4.57,0.0
D2,2425,2024-11-03,Kaiserslautern,Magdeburg,3.74,3.74,0.0
D2,2425,2024-11-03,Paderborn,Braunschweig,4.09,4.09,0.0
