league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
DK1,2526,2025-08-22,Bayern Munich,RB Leipzig,7.13,7.13,0.0
DK1,2526,2025-08-23,Heidenheim,Wolfsburg,3.51,3.51,0.0
DK1,2526,2025-08-23,Union Berlin,Stuttgart,3.59,3.59,0.0
DK1,2526,2025-08-23,Freiburg,Augsburg,3.58,3.58,0.0
DK1,2526,2025-08-23,Ein Frankfurt,Werder Bremen,4.0,4.0,0.0
DK1,2526,2025-08-23,St Pauli,Dortmund,3.85,3.85,0.0
DK1,2526,2025-08-23,Leverkusen,Heidenheim,4.63,4.63,0.0
DK1,2526,2025-08-24,Mainz,FC Koln,3.61,3.61,0.0
DK1,2526,2025-08-24,M'gladbach,Hamburg,3.92,3.92,0.0
DK1,2526,2025-08-29,Hamburg,St Pauli,3.26,3.26,0.0
DK1,2526,2025-08-30,RB Leipzig,Heidenheim,4.83,4.83,0.0
DK1,2526,2025-08-30,Heidenheim,Ein Frankfurt,3.76,3.76,0.0
DK1,2526,2025-08-30,Augsburg,Bayern Munich,6.41,6.41,0.0
DK1,2526,2025-08-30,Werder Bremen,Leverkusen,3.83,3.83,0.0
DK1,2526,2025-08-30,Stuttgart,M'gladbach,4.45,4.45,0.0
DK1,2526,2025-08-31,FC Koln,Freiburg,3.26,3.26,0.0
DK1,2526,2025-08-31,Wolfsburg,Mainz,3.62,3.62,0.0
DK1,2526,2025-08-31,Dortmund,Union Berlin,5.06,5.06,0.0
DK1,2526,2025-09-12,Leverkusen,Ein Frankfurt,3.8,3.8,0.0
DK1,2526,2025-09-13,Wolfsburg,FC Koln,3.56,3.56,0.0
DK1,2526,2025-09-13,Bayern Munich,Hamburg,11.91,11.91,0.0
DK1,2526,2025-09-13,Heidenheim,Dortmund,4.39,4.39,0.0
DK1,2526,2025-09-13,Freiburg,Stuttgart,3.59,3.59,0.0
DK1,2526,2025-09-13,Mainz,RB Leipzig,3.58,3.58,0.0
DK1,2526,2025-09-13,Union Berlin,Heidenheim,3.39,3.39,0.0
DK1,2526,2025-09-14,M'gladbach,Werder Bremen,3.92,3.92,0.0
DK1,2526,2025-09-14,St Pauli,Augsburg,3.31,3.31,0.0
DK1,2526,2025-09-19,Stuttgart,St Pauli,3.89,3.89,0.0
DK1,2526,2025-09-20,Heidenheim,Bayern Munich,5.7,5.7,0.0
