league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
E2,1617,2016-01-10,Walsall,Millwall,3.6,3.6,0.0
E2,1617,2016-01-10,Bury,Scunthorpe,3.3,3.3,0.0
E2,1617,2016-01-10,Fleetwood Town,Sheffield Weds,3.3,3.3,0.0
E2,1617,2016-01-10,Northampton,Bristol Rvs,3.4,3.4,0.0
E2,1617,2016-01-10,Southend,Peterboro,3.75,3.75,0.0
E2,1617,2016-01-10,Shrewsbury,Swindon,3.4,3.4,0.0
E2,1617,2016-01-11,Bristol Rvs,Fleetwood Town,3.6,3.6,0.0
E2,1617,2016-03-09,Millwall,Bradford,3.4,3.4,0.0
E2,1617,2016-03-09,Peterboro,Swindon,3.6,3.6,0.0
E2,1617,2016-03-09,Oldham,Shrewsbury,3.4,3.4,0.0
E2,1617,2016-03-09,Luton,Southend,3.8,3.8,0.0
E2,1617,2016-03-09,AFC Wimbledon,Chesterfield,3.4,3.4,0.0
E2,1617,2016-03-09,Bury,Port Vale,3.5,3.5,0.0
E2,1617,2016-04-09,Northampton,Milton Keynes Dons,3.5,3.5,0.0
E2,1617,2016-04-09,Birmingham,Sheffield Weds,3.4,3.4,0.0
E2,1617,2016-06-08,Walsall,AFC Wimbledon,3.5,3.5,0.0
E2,1617,2016-06-08,Oxford,Chesterfield,3.5,3.5,0.0
E2,1617,2016-06-08,Northampton,Fleetwood Town,3.4,3.4,0.0
E2,1617,2016-06-08,Rochdale,Peterboro,3.4,3.4,0.0
E2,1617,2016-06-08,Scunthorpe,Bristol Rvs,3.4,3.4,0.0
E2,1617,2016-06-08,Southend,Birmingham,3.4,3.4,0.0
E2,1617,2016-08-10,Birmingham,Oldham,3.5,3.5,0.0
E2,1617,2016-08-10,Peterboro,Bury,3.9,3.9,0.0
E2,1617,2016-08-10,Scunthorpe,Northampton,3.75,3.75,0.0
E2,1617,2016-08-13,Chesterfield,Swindon,3.5,3.5,0.0
E2,1617,2016-08-13,Fleetwood Town,Scunthorpe,3.3,3.3,0.0
E2,1617,2016-08-13,Birmingham,Bury,3.4,3.4,0.0
E2,1617,2016-08-13,Milton Keynes Dons,Millwall,3.3,3.3,0.0
E2,1617,2016-08-13,Sheffield Weds,Rochdale,3.75,3.75,0.0
E2,1617,2016-08-13,AFC Wimbledon,Luton,3.4,3.4,0.0
E2,1617,2016-08-13,Charlton,Northampton,3.4,3.4,0.0
E2,1617,2016-08-14,Bristol Rvs,Oxford,3.4,3.4,0.0
E2,1617,2016-08-16,Birmingham,Swindon,3.8,3.8,0.0
E2,1617,2016-08-16,Milton Keynes Dons,Bradford,3.4,3.4,0.0
E2,1617,2016-08-16,Peterboro,Millwall,3.6,3.6,0.0
E2,1617,2016-08-16,AFC Wimbledon,Scunthorpe,3.3,3.3,0.0
E2,1617,2016-08-17,Bristol Rvs,Luton,3.4,3.4,0.0
E2,1617,2016-08-20,Bradford,Coventry,3.6,3.6,0.0
E2,1617,2016-08-20,Luton,Fleetwood Town,3.4,3.4,0.0
E2,1617,2016-08-20,Millwall,Sheffield Weds,3.4,3.4,0.0
E2,1617,2016-08-20,Oxford,Peterboro,3.25,3.25,0.0
E2,1617,2016-08-20,Shrewsbury,Chesterfield,3.25,3.25,0.0
E2,1617,2016-08-20,Southend,Bristol Rvs,3.4,3.4,0.0
E2,1617,2016-08-20,Walsall,Charlton,3.4,3.4,0.0
E2,1617,2016-08-27,Chesterfield,Millwall,3.6,3.6,0.0
E2,1617,2016-08-27,Bradford,Oldham,3.75,3.75,0.0
E2,1617,2016-08-27,Coventry,Northampton,3.4,3.4,0.0
E2,1617,2016-08-27,Port Vale,Scunthorpe,3.4,3.4,0.0
E2,1617,2016-08-27,Rochdale,AFC Wimbledon,3.5,3.5,0.0
E2,1617,2016-08-27,Sheffield Weds,Oxford,3.5,3.5,0.0
E2,1617,2016-08-27,Shrewsbury,Birmingham,3.3,3.3,0.0
E2,1617,2016-08-27,Walsall,Bury,3.4,3.4,0.0
E2,1617,2016-08-27,Charlton,Luton,3.1,3.1,0.0
E2,1617,2016-09-10,Oxford,AFC Wimbledon,3.6,3.6,0.0
E2,1617,2016-09-13,Bristol Rvs,Walsall,3.5,3.5,0.0
E2,1617,2016-09-17,Port Vale,Birmingham,3.5,3.5,0.0
E2,1617,2016-09-17,Rochdale,Fleetwood Town,3.4,3.4,0.0
E2,1617,2016-09-17,Swindon,Bury,3.4,3.4,0.0
E2,1617,2016-09-17,Southend,Millwall,3.75,3.75,0.0
E2,1617,2016-09-17,Bradford,Bristol Rvs,3.75,3.75,0.0
E2,1617,2016-09-17,Charlton,AFC Wimbledon,3.75,3.75,0.0
E2,1617,2016-09-17,Chesterfield,Northampton,3.5,3.5,0.0
E2,1617,2016-09-20,Swindon,Bristol Rvs,3.5,3.5,0.0
E2,1617,2016-09-24,AFC Wimbledon,Shrewsbury,3.6,3.6,0.0
E2,1617,2016-09-24,Peterboro,Walsall,4.0,4.0,0.0
E2,1617,2016-09-24,Fleetwood Town,Milton Keynes Dons,3.5,3.5,0.0
E2,1617,2016-09-24,Oxford,Charlton,3.4,3.4,0.0
E2,1617,2016-09-24,Millwall,Rochdale,3.6,3.6,0.0
E2,1617,2016-09-24,Birmingham,Coventry,3.6,3.6,0.0
E2,1617,2016-09-24,Scunthorpe,Sheffield Weds,3.6,3.6,0.0
E2,1617,2016-09-24,Bristol Rvs,Port Vale,3.6,3.6,0.0
E2,1617,2016-09-24,Bury,Chesterfield,3.6,3.6,0.0
E2,1617,2016-09-27,Chesterfield,Birmingham,3.6,3.6,0.0
E2,1617,2016-09-27,Bradford,Fleetwood Town,3.75,3.75,0.0
E2,1617,2016-09-27,Charlton,Oldham,3.6,3.6,0.0
E2,1617,2016-09-27,Milton Keynes Dons,Bury,3.75,3.75,0.0
E2,1617,2016-09-27,Port Vale,Millwall,3.6,3.6,0.0
E2,1617,2016-09-27,Shrewsbury,Peterboro,3.6,3.6,0.0
E2,1617,2016-09-27,Southend,Oxford,3.4,3.4,0.0
E2,1617,2016-09-27,Swindon,Northampton,3.4,3.4,0.0
E2,1617,2016-09-27,Walsall,Scunthorpe,3.5,3.5,0.0
E2,1617,2016-09-28,Coventry,AFC Wimbledon,3.4,3.4,0.0
E2,1617,2016-10-09,Peterboro,Port Vale,3.75,3.75,0.0
E2,1617,2016-10-09,Bristol Rvs,Rochdale,3.4,3.4,0.0
E2,1617,2016-10-09,Luton,Milton Keynes Dons,3.5,3.5,0.0
E2,1617,2016-10-09,AFC Wimbledon,Sheffield Weds,3.4,3.4,0.0
E2,1617,2016-10-09,Fleetwood Town,Charlton,3.3,3.3,0.0
E2,1617,2016-10-09,Birmingham,Bradford,3.4,3.4,0.0
E2,1617,2016-10-09,Millwall,Coventry,4.0,4.0,0.0
E2,1617,2016-10-09,Bury,Shrewsbury,3.5,3.5,0.0
E2,1617,2016-10-12,Oxford,Oldham,3.6,3.6,0.0
E2,1617,2016-10-12,Port Vale,Northampton,3.6,3.6,0.0
E2,1617,2016-10-12,Rochdale,Scunthorpe,3.3,3.3,0.0
E2,1617,2016-10-12,Southend,Coventry,3.6,3.6,0.0
E2,1617,2016-10-12,Bristol Rvs,Bury,4.2,4.2,0.0
E2,1617,2016-10-12,Fleetwood Town,Walsall,3.75,3.75,0.0
E2,1617,2016-10-12,Peterboro,Chesterfield,4.33,4.33,0.0
E2,1617,2016-10-15,Bristol Rvs,Birmingham,3.5,3.5,0.0
E2,1617,2016-10-15,Scunthorpe,Milton Keynes Dons,3.6,3.6,0.0
E2,1617,2016-10-15,Walsall,Shrewsbury,3.6,3.6,0.0
E2,1617,2016-10-15,Northampton,Millwall,3.4,3.4,0.0
E2,1617,2016-10-18,Coventry,Oxford,3.4,3.4,0.0
E2,1617,2016-10-18,Milton Keynes Dons,Bristol Rvs,3.6,3.6,0.0
E2,1617,2016-10-18,Port Vale,Charlton,3.4,3.4,0.0
E2,1617,2016-10-18,Bradford,Southend,4.2,4.2,0.0
E2,1617,2016-10-18,Bury,AFC Wimbledon,3.4,3.4,0.0
E2,1617,2016-10-18,Birmingham,Walsall,3.5,3.5,0.0
E2,1617,2016-10-22,Birmingham,Charlton,3.5,3.5,0.0
E2,1617,2016-10-22,Shrewsbury,Northampton,3.4,3.4,0.0
E2,1617,2016-10-22,Port Vale,Oxford,3.5,3.5,0.0
E2,1617,2016-10-22,Bradford,Sheffield Weds,3.2,3.2,0.0
E2,1617,2016-10-22,Millwall,Fleetwood Town,3.75,3.75,0.0
E2,1617,2016-10-29,Walsall,Coventry,3.3,3.3,0.0
E2,1617,2016-10-29,AFC Wimbledon,Bradford,3.4,3.4,0.0
E2,1617,2016-10-29,Luton,Port Vale,3.9,3.9,0.0
E2,1617,2016-10-29,Bristol Rvs,Peterboro,3.6,3.6,0.0
E2,1617,2016-10-29,Fleetwood Town,Birmingham,3.6,3.6,0.0
E2,1617,2016-10-29,Northampton,Bury,3.6,3.6,0.0
E2,1617,2016-10-29,Oxford,Millwall,3.4,3.4,0.0
E2,1617,2016-10-29,Scunthorpe,Swindon,4.0,4.0,0.0
E2,1617,2016-10-29,Sheffield Weds,Milton Keynes Dons,4.0,4.0,0.0
E2,1617,2016-10-29,Southend,Shrewsbury,3.75,3.75,0.0
E2,1617,2016-11-13,Chesterfield,Sheffield Weds,4.0,4.0,0.0
