league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
F1,1617,2016-01-10,Dijon,Montpellier,3.0,3.0,0.0
F1,1617,2016-02-10,Angers,Marseille,3.0,3.0,0.0
F1,1617,2016-02-10,Nice,Lorient,3.5,3.5,0.0
F1,1617,2016-02-12,Caen,Dijon,3.3,3.3,0.0
F1,1617,2016-03-12,Angers,Lorient,3.3,3.3,0.0
F1,1617,2016-04-11,Montpellier,Marseille,3.2,3.2,0.0
F1,1617,2016-05-11,Bordeaux,Lorient,3.5,3.5,0.0
F1,1617,2016-05-11,Dijon,Guingamp,3.0,3.0,0.0
F1,1617,2016-05-11,Nantes,Toulouse,3.0,3.0,0.0
F1,1617,2016-05-11,Lyon,Bastia,4.2,4.2,0.0
F1,1617,2016-08-13,Metz,Lille,3.2,3.2,0.0
F1,1617,2016-08-13,Bordeaux,St Etienne,3.1,3.1,0.0
F1,1617,2016-08-13,Caen,Lorient,3.25,3.25,0.0
F1,1617,2016-08-20,Toulouse,Bordeaux,3.2,3.2,0.0
F1,1617,2016-08-21,St Etienne,Montpellier,3.25,3.25,0.0
F1,1617,2016-08-21,Guingamp,Marseille,3.1,3.1,0.0
F1,1617,2016-08-27,Montpellier,Rennes,3.1,3.1,0.0
F1,1617,2016-08-27,Dijon,Lyon,3.6,3.6,0.0
F1,1617,2016-08-27,Nice,Lille,3.0,3.0,0.0
F1,1617,2016-08-28,Monaco,Paris FC,3.5,3.5,0.0
F1,1617,2016-09-09,Paris FC,St Etienne,5.25,5.25,0.0
F1,1617,2016-09-17,Toulouse,Guingamp,3.25,3.25,0.0
F1,1617,2016-09-17,Nancy,Nantes,2.9,2.9,0.0
F1,1617,2016-09-18,Montpellier,Nice,3.2,3.2,0.0
F1,1617,2016-09-20,Lille,Toulouse,3.1,3.1,0.0
F1,1617,2016-09-21,Rennes,Marseille,3.3,3.3,0.0
F1,1617,2016-09-21,Lyon,Montpellier,4.0,4.0,0.0
F1,1617,2016-09-21,Angers,Caen,3.2,3.2,0.0
F1,1617,2016-09-24,Monaco,Angers,3.75,3.75,0.0
F1,1617,2016-09-25,Marseille,Nantes,3.1,3.1,0.0
F1,1617,2016-09-25,St Etienne,Lille,3.0,3.0,0.0
F1,1617,2016-10-09,Lille,Monaco,2.9,2.9,0.0
F1,1617,2016-10-09,Angers,Dijon,3.1,3.1,0.0
F1,1617,2016-10-09,Bastia,Toulouse,3.0,3.0,0.0
F1,1617,2016-10-09,Guingamp,Montpellier,3.1,3.1,0.0
F1,1617,2016-10-09,Lyon,Bordeaux,3.8,3.8,0.0
F1,1617,2016-10-12,Toulouse,Lorient,3.3,3.3,0.0
F1,1617,2016-10-12,Lille,Montpellier,3.1,3.1,0.0
F1,1617,2016-10-12,Dijon,Marseille,3.25,3.25,0.0
F1,1617,2016-10-14,Toulouse,Monaco,3.2,3.2,0.0
F1,1617,2016-10-15,Montpellier,Caen,3.4,3.4,0.0
F1,1617,2016-10-15,Bastia,Angers,2.8,2.8,0.0
F1,1617,2016-10-15,Lorient,Nantes,3.2,3.2,0.0
F1,1617,2016-10-15,Nancy,Paris FC,5.0,5.0,0.0
F1,1617,2016-10-16,Rennes,Bordeaux,3.3,3.3,0.0
F1,1617,2016-10-16,St Etienne,Dijon,3.6,3.6,0.0
F1,1617,2016-10-21,Monaco,Montpellier,3.75,3.75,0.0
F1,1617,2016-10-22,Lille,Bastia,3.4,3.4,0.0
F1,1617,2016-10-22,Lyon,Guingamp,4.1,4.1,0.0
F1,1617,2016-10-22,Nantes,Rennes,3.1,3.1,0.0
F1,1617,2016-10-22,Bordeaux,Nancy,3.4,3.4,0.0
F1,1617,2016-10-23,Metz,Nice,3.4,3.4,0.0
F1,1617,2016-10-29,St Etienne,Monaco,3.0,3.0,0.0
F1,1617,2016-10-29,Toulouse,Lyon,3.25,3.25,0.0
