league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
I1,1718,2017-01-10,Benevento,Inter,5.0,5.0,0.0
I1,1718,2017-01-10,Atalanta,Juventus,3.75,3.75,0.0
I1,1718,2017-01-10,Torino,Verona,5.0,5.0,0.0
I1,1718,2017-01-10,Spal,Crotone,3.4,3.4,0.0
I1,1718,2017-01-10,Lazio,Sassuolo,4.5,4.5,0.0
I1,1718,2017-01-10,Chievo,Fiorentina,3.25,3.25,0.0
I1,1718,2017-01-12,Roma,Spal,6.5,6.5,0.0
I1,1718,2017-02-12,Torino,Atalanta,3.39,3.39,0.0
I1,1718,2017-03-12,Sampdoria,Lazio,3.6,3.6,0.0
I1,1718,2017-03-12,Bologna,Cagliari,3.29,3.29,0.0
I1,1718,2017-03-12,Benevento,Milan,5.0,5.0,0.0
I1,1718,2017-04-11,Bologna,Crotone,3.5,3.5,0.0
I1,1718,2017-05-11,Juventus,Benevento,13.0,13.0,0.0
I1,1718,2017-05-11,Inter,Torino,4.33,4.33,0.0
I1,1718,2017-05-11,Fiorentina,Roma,3.5,3.5,0.0
I1,1718,2017-05-11,Cagliari,Verona,3.29,3.29,0.0
I1,1718,2017-05-11,Atalanta,Spal,5.25,5.25,0.0
I1,1718,2017-08-19,Verona,Napoli,4.75,4.75,0.0
I1,1718,2017-08-20,Sampdoria,Benevento,3.75,3.75,0.0
I1,1718,2017-08-20,Udinese,Chievo,3.2,3.2,0.0
I1,1718,2017-08-20,Bologna,Torino,3.3,3.3,0.0
I1,1718,2017-08-26,Roma,Inter,3.5,3.5,0.0
I1,1718,2017-08-26,Genoa,Juventus,4.5,4.5,0.0
I1,1718,2017-08-27,Spal,Udinese,3.1,3.1,0.0
I1,1718,2017-08-27,Milan,Cagliari,6.5,6.5,0.0
I1,1718,2017-08-27,Chievo,Lazio,3.2,3.2,0.0
I1,1718,2017-08-27,Fiorentina,Sampdoria,3.5,3.5,0.0
I1,1718,2017-08-27,Napoli,Atalanta,4.75,4.75,0.0
I1,1718,2017-09-12,Cagliari,Sampdoria,3.39,3.39,0.0
I1,1718,2017-09-16,Fiorentina,Bologna,4.2,4.2,0.0
I1,1718,2017-09-17,Sassuolo,Juventus,4.33,4.33,0.0
I1,1718,2017-09-17,Torino,Sampdoria,4.0,4.0,0.0
I1,1718,2017-09-17,Milan,Udinese,4.6,4.6,0.0
I1,1718,2017-09-17,Genoa,Lazio,3.5,3.5,0.0
I1,1718,2017-09-17,Chievo,Atalanta,3.2,3.2,0.0
I1,1718,2017-09-19,Bologna,Inter,4.0,4.0,0.0
I1,1718,2017-09-20,Lazio,Napoli,3.6,3.6,0.0
I1,1718,2017-09-20,Udinese,Torino,3.5,3.5,0.0
I1,1718,2017-09-20,Genoa,Chievo,3.3,3.3,0.0
I1,1718,2017-09-20,Atalanta,Crotone,5.0,5.0,0.0
