league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
N1,2021,2020-09-12,Zwolle,Feyenoord,4.0,4.0,0.0
N1,2021,2020-09-12,Twente,For Sittard,3.7,3.7,0.0
N1,2021,2020-09-12,Heerenveen,Willem II,3.51,3.51,0.0
N1,2021,2020-09-13,FC Emmen,VVV Venlo,3.59,3.59,0.0
N1,2021,2020-09-13,Heracles,Den Haag,3.85,3.85,0.0
N1,2021,2020-09-13,Sparta Rotterdam,Ajax,6.39,6.39,0.0
N1,2021,2020-09-13,Groningen,PSV Eindhoven,3.32,3.32,0.0
N1,2021,2020-09-13,Waalwijk,Vitesse,4.1,4.1,0.0
N1,2021,2020-09-18,VVV Venlo,Utrecht,3.84,3.84,0.0
N1,2021,2020-09-19,PSV Eindhoven,FC Emmen,7.17,7.17,0.0
N1,2021,2020-09-19,For Sittard,Heerenveen,3.66,3.66,0.0
N1,2021,2020-09-19,Vitesse,Sparta Rotterdam,4.02,4.02,0.0
N1,2021,2020-09-19,AZ Alkmaar,Zwolle,5.08,5.08,0.0
N1,2021,2020-09-20,Willem II,Heracles,3.47,3.47,0.0
N1,2021,2020-09-20,Ajax,Waalwijk,12.99,12.99,0.0
N1,2021,2020-09-20,Den Haag,Groningen,3.4,3.4,0.0
N1,2021,2020-09-20,Feyenoord,Twente,4.9,4.9,0.0
N1,2021,2020-09-25,Twente,Groningen,3.35,3.35,0.0
N1,2021,2020-09-26,Heerenveen,VVV Venlo,4.2,4.2,0.0
N1,2021,2020-09-26,Ajax,Vitesse,6.03,6.03,0.0
N1,2021,2020-09-26,For Sittard,AZ Alkmaar,4.52,4.52,0.0
N1,2021,2020-09-26,Zwolle,Sparta Rotterdam,3.63,3.63,0.0
N1,2021,2020-09-27,FC Emmen,Willem II,3.46,3.46,0.0
N1,2021,2020-09-27,Heracles,PSV Eindhoven,3.97,3.97,0.0
N1,2021,2020-09-27,Feyenoord,Den Haag,6.51,6.51,0.0
N1,2021,2020-09-27,Utrecht,Waalwijk,6.01,6.01,0.0
N1,2021,2020-10-02,Utrecht,Heerenveen,4.32,4.32,0.0
N1,2021,2020-10-03,Twente,FC Emmen,3.77,3.77,0.0
N1,2021,2020-10-03,VVV Venlo,Den Haag,3.6,3.6,0.0
N1,2021,2020-10-03,Vitesse,Heracles,4.02,4.02,0.0
N1,2021,2020-10-04,PSV Eindhoven,For Sittard,6.81,6.81,0.0
N1,2021,2020-10-04,Groningen,Ajax,4.88,4.88,0.0
N1,2021,2020-10-04,Sparta Rotterdam,AZ Alkmaar,4.04,4.04,0.0
N1,2021,2020-10-04,Willem II,Feyenoord,4.01,4.01,0.0
N1,2021,2020-10-17,AZ Alkmaar,VVV Venlo,6.19,6.19,0.0
N1,2021,2020-10-17,Heracles,Waalwijk,4.31,4.31,0.0
N1,2021,2020-10-17,Willem II,Twente,3.49,3.49,0.0
N1,2021,2020-10-18,Den Haag,Vitesse,4.02,4.02,0.0
N1,2021,2020-10-18,Feyenoord,Sparta Rotterdam,5.28,5.28,0.0
N1,2021,2020-10-18,Ajax,Heerenveen,7.14,7.14,0.0
N1,2021,2020-10-18,Groningen,Utrecht,3.45,3.45,0.0
N1,2021,2020-10-18,Zwolle,PSV Eindhoven,4.27,4.27,0.0
N1,2021,2020-10-18,FC Emmen,For Sittard,3.79,3.79,0.0
N1,2021,2020-10-21,Waalwijk,Zwolle,3.36,3.36,0.0
N1,2021,2020-10-24,Zwolle,Willem II,3.52,3.52,0.0
N1,2021,2020-10-24,Heerenveen,FC Emmen,4.01,4.01,0.0
N1,2021,2020-10-24,Utrecht,Twente,4.04,4.04,0.0
N1,2021,2020-10-24,VVV Venlo,Ajax,6.96,6.96,0.0
N1,2021,2020-10-25,Vitesse,PSV Eindhoven,3.75,3.75,0.0
N1,2021,2020-10-25,Waalwijk,Feyenoord,5.81,5.81,0.0
N1,2021,2020-10-25,Den Haag,AZ Alkmaar,3.97,3.97,0.0
N1,2021,2020-10-25,For Sittard,Groningen,3.46,3.46,0.0
N1,2021,2020-10-25,Sparta Rotterdam,Heracles,3.61,3.61,0.0
