league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
P1,2223,2022-08-05,Benfica,Arouca,7.51,7.51,0.0
P1,2223,2022-08-06,Rio Ave,Vizela,3.22,3.22,0.0
P1,2223,2022-08-06,Porto,Maritimo,6.76,6.76,0.0
P1,2223,2022-08-06,Estoril,Famalicao,3.23,3.23,0.0
P1,2223,2022-08-07,Santa Clara,Casa Pia,3.31,3.31,0.0
P1,2223,2022-08-07,Chaves,Guimaraes,3.26,3.26,0.0
P1,2223,2022-08-07,Portimonense,Boavista,3.23,3.23,0.0
P1,2223,2022-08-07,Sp Braga,Sp Lisbon,3.47,3.47,0.0
P1,2223,2022-08-08,Gil Vicente,Pacos Ferreira,3.5,3.5,0.0
P1,2223,2022-08-12,Famalicao,Sp Braga,3.53,3.53,0.0
P1,2223,2022-08-13,Sp Lisbon,Rio Ave,6.19,6.19,0.0
P1,2223,2022-08-13,Casa Pia,Benfica,5.96,5.96,0.0
P1,2223,2022-08-14,Guimaraes,Estoril,3.33,3.33,0.0
P1,2223,2022-08-14,Boavista,Santa Clara,3.1,3.1,0.0
P1,2223,2022-08-14,Vizela,Porto,5.52,5.52,0.0
P1,2223,2022-08-15,Pacos Ferreira,Portimonense,3.19,3.19,0.0
P1,2223,2022-08-15,Maritimo,Chaves,3.25,3.25,0.0
P1,2223,2022-08-15,Arouca,Gil Vicente,3.28,3.28,0.0
P1,2223,2022-08-19,Estoril,Rio Ave,3.23,3.23,0.0
P1,2223,2022-08-20,Porto,Sp Lisbon,3.43,3.43,0.0
P1,2223,2022-08-20,Chaves,Vizela,3.22,3.22,0.0
P1,2223,2022-08-20,Santa Clara,Arouca,3.26,3.26,0.0
P1,2223,2022-08-21,Portimonense,Guimaraes,3.21,3.21,0.0
P1,2223,2022-08-21,Casa Pia,Boavista,3.07,3.07,0.0
P1,2223,2022-08-21,Sp Braga,Maritimo,4.87,4.87,0.0
P1,2223,2022-08-22,Gil Vicente,Famalicao,3.35,3.35,0.0
P1,2223,2022-08-26,Pacos Ferreira,Estoril,3.07,3.07,0.0
P1,2223,2022-08-27,Sp Lisbon,Chaves,6.71,6.71,0.0
P1,2223,2022-08-27,Maritimo,Portimonense,3.11,3.11,0.0
P1,2223,2022-08-27,Boavista,Benfica,4.73,4.73,0.0
P1,2223,2022-08-28,Rio Ave,Porto,5.44,5.44,0.0
P1,2223,2022-08-28,Arouca,Sp Braga,3.85,3.85,0.0
P1,2223,2022-08-28,Famalicao,Santa Clara,3.32,3.32,0.0
P1,2223,2022-08-29,Guimaraes,Casa Pia,3.33,3.33,0.0
P1,2223,2022-08-29,Vizela,Gil Vicente,3.24,3.24,0.0
P1,2223,2022-08-30,Benfica,Pacos Ferreira,10.65,10.65,0.0
P1,2223,2022-09-02,Estoril,Sp Lisbon,4.41,4.41,0.0
P1,2223,2022-09-02,Benfica,Vizela,7.22,7.22,0.0
P1,2223,2022-09-03,Sp Braga,Guimaraes,4.87,4.87,0.0
P1,2223,2022-09-03,Gil Vicente,Porto,4.52,4.52,0.0
P1,2223,2022-09-04,Casa Pia,Arouca,3.14,3.14,0.0
P1,2223,2022-09-04,Santa Clara,Maritimo,3.23,3.23,0.0
P1,2223,2022-09-04,Portimonense,Famalicao,3.17,3.17,0.0
P1,2223,2022-09-05,Chaves,Rio Ave,3.08,3.08,0.0
P1,2223,2022-09-05,Boavista,Pacos Ferreira,3.25,3.25,0.0
P1,2223,2022-09-09,Guimaraes,Santa Clara,3.28,3.28,0.0
P1,2223,2022-09-10,Porto,Chaves,7.6,7.6,0.0
P1,2223,2022-09-10,Sp Lisbon,Portimonense,5.15,5.15,0.0
P1,2223,2022-09-10,Famalicao,Benfica,4.63,4.63,0.0
P1,2223,2022-09-11,Maritimo,Gil Vicente,3.13,3.13,0.0
P1,2223,2022-09-11,Rio Ave,Sp Braga,3.94,3.94,0.0
P1,2223,2022-09-11,Pacos Ferreira,Casa Pia,3.06,3.06,0.0
P1,2223,2022-09-11,Arouca,Boavista,3.1,3.1,0.0
P1,2223,2022-09-12,Vizela,Estoril,3.21,3.21,0.0
P1,2223,2022-09-16,Portimonense,Chaves,3.2,3.2,0.0
P1,2223,2022-09-17,Estoril,Porto,5.23,5.23,0.0
P1,2223,2022-09-17,Boavista,Sp Lisbon,4.28,4.28,0.0
P1,2223,2022-09-17,Gil Vicente,Rio Ave,3.36,3.36,0.0
P1,2223,2022-09-17,Santa Clara,Pacos Ferreira,3.25,3.25,0.0
P1,2223,2022-09-18,Casa Pia,Famalicao,3.03,3.03,0.0
P1,2223,2022-09-18,Sp Braga,Vizela,5.27,5.27,0.0
P1,2223,2022-09-18,Benfica,Maritimo,9.1,9.1,0.0
P1,2223,2022-09-18,Arouca,Guimaraes,3.23,3.23,0.0
P1,2223,2022-09-30,Porto,Sp Braga,3.78,3.78,0.0
P1,2223,2022-09-30,Sp Lisbon,Gil Vicente,5.45,5.45,0.0
P1,2223,2022-10-01,Guimaraes,Benfica,4.92,4.92,0.0
P1,2223,2022-10-01,Vizela,Portimonense,3.29,3.29,0.0
P1,2223,2022-10-01,Chaves,Estoril,3.24,3.24,0.0
P1,2223,2022-10-02,Famalicao,Boavista,3.18,3.18,0.0
P1,2223,2022-10-02,Pacos Ferreira,Arouca,3.18,3.18,0.0
P1,2223,2022-10-02,Rio Ave,Santa Clara,3.16,3.16,0.0
P1,2223,2022-10-03,Maritimo,Casa Pia,3.17,3.17,0.0
P1,2223,2022-10-07,Gil Vicente,Estoril,3.39,3.39,0.0
P1,2223,2022-10-08,Santa Clara,Sp Lisbon,4.16,4.16,0.0
P1,2223,2022-10-08,Benfica,Rio Ave,7.6,7.6,0.0
P1,2223,2022-10-08,Portimonense,Porto,4.55,4.55,0.0
P1,2223,2022-10-08,Pacos Ferreira,Guimaraes,3.21,3.21,0.0
P1,2223,2022-10-09,Casa Pia,Vizela,3.1,3.1,0.0
