league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
SC0,2425,2024-08-03,Motherwell,Ross County,3.67,3.67,0.0
SC0,2425,2024-08-03,Hearts,Rangers,4.34,4.34,0.0
SC0,2425,2024-08-04,Celtic,Kilmarnock,7.7,7.7,0.0
SC0,2425,2024-08-04,St Mirren,Hibernian,3.31,3.31,0.0
SC0,2425,2024-08-04,Dundee,Dundee,3.37,3.37,0.0
SC0,2425,2024-08-05,St Johnstone,Aberdeen,3.32,3.32,0.0
SC0,2425,2024-08-10,Rangers,Motherwell,6.84,6.84,0.0
SC0,2425,2024-08-10,Dundee,Hearts,3.57,3.57,0.0
SC0,2425,2024-08-10,Ross County,Dundee,3.31,3.31,0.0
SC0,2425,2024-08-11,Kilmarnock,St Johnstone,3.59,3.59,0.0
SC0,2425,2024-08-11,Hibernian,Celtic,5.14,5.14,0.0
SC0,2425,2024-08-11,Aberdeen,St Mirren,3.43,3.43,0.0
SC0,2425,2024-08-24,Rangers,Ross County,7.07,7.07,0.0
SC0,2425,2024-08-24,Dundee,St Johnstone,3.57,3.57,0.0
SC0,2425,2024-08-24,Hibernian,Dundee,3.62,3.62,0.0
SC0,2425,2024-08-25,Motherwell,Hearts,3.45,3.45,0.0
SC0,2425,2024-08-25,St Mirren,Celtic,5.8,5.8,0.0
SC0,2425,2024-08-25,Aberdeen,Kilmarnock,3.71,3.71,0.0
SC0,2425,2024-08-31,Ross County,Aberdeen,3.67,3.67,0.0
SC0,2425,2024-08-31,Dundee,St Mirren,3.37,3.37,0.0
SC0,2425,2024-08-31,St Johnstone,Motherwell,3.32,3.32,0.0
SC0,2425,2024-09-01,Kilmarnock,Hibernian,3.3,3.3,0.0
SC0,2425,2024-09-01,Celtic,Rangers,4.28,4.28,0.0
SC0,2425,2024-09-01,Hearts,Dundee,3.96,3.96,0.0
SC0,2425,2024-09-14,Hibernian,St Johnstone,3.86,3.86,0.0
SC0,2425,2024-09-14,Ross County,Dundee,3.56,3.56,0.0
SC0,2425,2024-09-14,St Mirren,Kilmarnock,3.28,3.28,0.0
SC0,2425,2024-09-14,Aberdeen,Motherwell,3.79,3.79,0.0
SC0,2425,2024-09-14,Celtic,Hearts,7.81,7.81,0.0
SC0,2425,2024-09-15,Dundee,Rangers,4.69,4.69,0.0
SC0,2425,2024-09-21,Ross County,St Johnstone,3.43,3.43,0.0
SC0,2425,2024-09-21,St Mirren,Hearts,3.36,3.36,0.0
SC0,2425,2024-09-28,Kilmarnock,Dundee,3.16,3.16,0.0
SC0,2425,2024-09-28,Motherwell,St Mirren,3.26,3.26,0.0
SC0,2425,2024-09-28,St Johnstone,Celtic,7.19,7.19,0.0
SC0,2425,2024-09-28,Hearts,Ross County,3.84,3.84,0.0
SC0,2425,2024-09-28,Dundee,Aberdeen,3.51,3.51,0.0
SC0,2425,2024-09-29,Rangers,Hibernian,5.04,5.04,0.0
SC0,2425,2024-10-05,St Mirren,Dundee,3.3,3.3,0.0
SC0,2425,2024-10-05,Hibernian,Motherwell,3.51,3.51,0.0
SC0,2425,2024-10-05,Dundee,Kilmarnock,3.41,3.41,0.0
SC0,2425,2024-10-06,Rangers,St Johnstone,8.53,8.53,0.0
SC0,2425,2024-10-06,Ross County,Celtic,7.8,7.8,0.0
SC0,2425,2024-10-06,Aberdeen,Hearts,3.94,3.94,0.0
SC0,2425,2024-10-19,Hearts,St Mirren,3.7,3.7,0.0
SC0,2425,2024-10-19,Motherwell,Dundee,3.53,3.53,0.0
SC0,2425,2024-10-19,St Johnstone,Ross County,3.22,3.22,0.0
SC0,2425,2024-10-19,Celtic,Aberdeen,6.52,6.52,0.0
SC0,2425,2024-10-19,Dundee,Hibernian,3.31,3.31,0.0
SC0,2425,2024-10-20,Kilmarnock,Rangers,4.4,4.4,0.0
SC0,2425,2024-10-26,Aberdeen,Dundee,3.94,3.94,0.0
SC0,2425,2024-10-26,Dundee,St Johnstone,3.87,3.87,0.0
SC0,2425,2024-10-26,Ross County,Kilmarnock,3.33,3.33,0.0
SC0,2425,2024-10-27,Motherwell,Celtic,6.09,6.09,0.0
SC0,2425,2024-10-27,Hibernian,Hearts,3.45,3.45,0.0
SC0,2425,2024-10-27,Rangers,St Mirren,6.38,6.38,0.0
SC0,2425,2024-10-30,St Mirren,St Johnstone,3.6,3.6,0.0
SC0,2425,2024-10-30,Celtic,Dundee,9.8,9.8,0.0
SC0,2425,2024-10-30,Dundee,Motherwell,3.37,3.37,0.0
SC0,2425,2024-10-30,Hearts,Kilmarnock,3.61,3.61,0.0
SC0,2425,2024-10-30,Ross County,Hibernian,3.4,3.4,0.0
SC0,2425,2024-10-30,Aberdeen,Rangers,3.54,3.54,0.0
SC0,2425,2024-11-02,St Mirren,Ross County,3.43,3.43,0.0
SC0,2425,2024-11-02,St Johnstone,Hearts,3.63,3.63,0.0
SC0,2425,2024-11-03,Dundee,Kilmarnock,3.45,3.45,0.0
SC0,2425,2024-11-03,Hibernian,Dundee,3.55,3.55,0.0
SC0,2425,2024-11-09,Hibernian,St Mirren,3.54,3.54,0.0
SC0,2425,2024-11-09,Motherwell,St Johnstone,3.62,3.62,0.0
SC0,2425,2024-11-09,Aberdeen,Dundee,4.04,4.04,0.0
SC0,2425,2024-11-09,Dundee,Ross County,3.7,3.7,0.0
SC0,2425,2024-11-10,Rangers,Hearts,4.81,4.81,0.0
SC0,2425,2024-11-10,Kilmarnock,Celtic,5.44,5.44,0.0
SC0,2425,2024-11-23,Rangers,Dundee,5.94,5.94,0.0
SC0,2425,2024-11-23,St Mirren,Aberdeen,3.35,3.35,0.0
SC0,2425,2024-11-23,Dundee,Hibernian,3.4,3.4,0.0
SC0,2425,2024-11-23,Hearts,Celtic,5.0,5.0,0.0
SC0,2425,2024-11-23,St Johnstone,Kilmarnock,3.41,3.41,0.0
SC0,2425,2024-11-23,Ross County,Motherwell,3.17,3.17,0.0
SC0,2425,2024-11-26,Hibernian,Aberdeen,3.22,3.22,0.0
SC0,2425,2024-11-30,Kilmarnock,Dundee,3.49,3.49,0.0
SC0,2425,2024-11-30,Motherwell,Hibernian,3.41,3.41,0.0
SC0,2425,2024-11-30,Dundee,St Mirren,3.34,3.34,0.0
SC0,2425,2024-11-30,Celtic,Ross County,10.53,10.53,0.0
SC0,2425,2024-12-01,St Johnstone,Rangers,5.16,5.16,0.0
SC0,2425,2024-12-01,Hearts,Aberdeen,3.42,3.42,0.0
SC0,2425,2024-12-04,Dundee,Motherwell,3.54,3.54,0.0
SC0,2425,2024-12-04,Rangers,Kilmarnock,5.52,5.52,0.0
SC0,2425,2024-12-04,Aberdeen,Celtic,5.06,5.06,0.0
SC0,2425,2024-12-07,Hearts,Dundee,3.82,3.82,0.0
SC0,2425,2024-12-07,Aberdeen,St Johnstone,4.15,4.15,0.0
SC0,2425,2024-12-07,Celtic,Hibernian,7.82,7.82,0.0
SC0,2425,2024-12-07,Dundee,Kilmarnock,3.39,3.39,0.0
SC0,2425,2024-12-07,St Mirren,Motherwell,3.35,3.35,0.0
SC0,2425,2024-12-08,Ross County,Rangers,5.88,5.88,0.0
SC0,2425,2024-12-14,St Johnstone,St Mirren,3.27,3.27,0.0
SC0,2425,2024-12-14,Motherwell,Dundee,3.3,3.3,0.0
SC0,2425,2024-12-14,Hibernian,Ross County,4.27,4.27,0.0
SC0,2425,2024-12-15,Kilmarnock,Hearts,3.37,3.37,0.0
SC0,2425,2024-12-20,Motherwell,Kilmarnock,3.25,3.25,0.0
SC0,2425,2024-12-21,Ross County,St Mirren,3.23,3.23,0.0
SC0,2425,2024-12-21,Aberdeen,Hibernian,3.5,3.5,0.0
SC0,2425,2024-12-21,Rangers,Dundee,7.52,7.52,0.0
SC0,2425,2024-12-22,Dundee,Celtic,6.13,6.13,0.0
SC0,2425,2024-12-22,Hearts,St Johnstone,4.11,4.11,0.0
SC0,2425,2024-12-26,Dundee,Ross County,3.62,3.62,0.0
SC0,2425,2024-12-26,Kilmarnock,Aberdeen,3.34,3.34,0.0
SC0,2425,2024-12-26,St Johnstone,Dundee,3.27,3.27,0.0
SC0,2425,2024-12-26,St Mirren,Rangers,4.75,4.75,0.0
SC0,2425,2024-12-26,Hearts,Hibernian,3.46,3.46,0.0
SC0,2425,2024-12-26,Celtic,Motherwell,9.52,9.52,0.0
SC0,2425,2024-12-29,Motherwell,Rangers,5.15,5.15,0.0
SC0,2425,2024-12-29,Ross County,Hearts,3.55,3.55,0.0
SC0,2425,2024-12-29,St Mirren,Dundee,3.63,3.63,0.0
SC0,2425,2024-12-29,Dundee,Aberdeen,3.45,3.45,0.0
SC0,2425,2024-12-29,Hibernian,Kilmarnock,3.69,3.69,0.0
SC0,2425,2024-12-29,Celtic,St Johnstone,9.08,9.08,0.0
SC0,2425,2025-01-02,Aberdeen,Ross County,4.09,4.09,0.0
SC0,2425,2025-01-02,Hearts,Motherwell,3.62,3.62,0.0
SC0,2425,2025-01-02,Kilmarnock,St Mirren,3.36,3.36,0.0
SC0,2425,2025-01-02,Rangers,Celtic,3.53,3.53,0.0
SC0,2425,2025-01-02,St Johnstone,Hibernian,3.46,3.46,0.0
SC0,2425,2025-01-02,Dundee,Dundee,3.39,3.39,0.0
SC0,2425,2025-01-05,Hibernian,Rangers,4.32,4.32,0.0
SC0,2425,2025-01-05,Motherwell,Aberdeen,3.27,3.27,0.0
SC0,2425,2025-01-05,Kilmarnock,Ross County,3.83,3.83,0.0
SC0,2425,2025-01-05,Dundee,Hearts,3.41,3.41,0.0
SC0,2425,2025-01-05,St Johnstone,Dundee,3.31,3.31,0.0
SC0,2425,2025-01-05,Celtic,St Mirren,9.24,9.24,0.0
SC0,2425,2025-01-08,Celtic,Dundee,7.8,7.8,0.0
SC0,2425,2025-01-08,Kilmarnock,Motherwell,3.44,3.44,0.0
SC0,2425,2025-01-09,Dundee,Rangers,5.62,5.62,0.0
SC0,2425,2025-01-11,St Mirren,Dundee,3.09,3.09,0.0
SC0,2425,2025-01-11,Hibernian,Motherwell,3.96,3.96,0.0
SC0,2425,2025-01-11,Ross County,Celtic,7.42,7.42,0.0
SC0,2425,2025-01-12,Aberdeen,Hearts,3.35,3.35,0.0
SC0,2425,2025-01-12,Rangers,St Johnstone,9.22,9.22,0.0
SC0,2425,2025-01-14,Dundee,Celtic,7.03,7.03,0.0
SC0,2425,2025-01-15,Rangers,Aberdeen,5.94,5.94,0.0
SC0,2425,2025-01-25,Ross County,Hibernian,3.4,3.4,0.0
SC0,2425,2025-01-25,St Johnstone,Motherwell,3.26,3.26,0.0
SC0,2425,2025-01-25,Hearts,Kilmarnock,3.54,3.54,0.0
SC0,2425,2025-01-25,Aberdeen,St Mirren,3.47,3.47,0.0
SC0,2425,2025-01-26,Dundee,Rangers,4.12,4.12,0.0
SC0,2425,2025-02-01,St Mirren,St Johnstone,3.39,3.39,0.0
SC0,2425,2025-02-01,Kilmarnock,Dundee,3.26,3.26,0.0
SC0,2425,2025-02-01,Hibernian,Aberdeen,3.7,3.7,0.0
SC0,2425,2025-02-01,Dundee,Hearts,3.47,3.47,0.0
SC0,2425,2025-02-02,Motherwell,Celtic,7.06,7.06,0.0
SC0,2425,2025-02-02,Rangers,Ross County,7.86,7.86,0.0
SC0,2425,2025-02-05,Celtic,Dundee,10.78,10.78,0.0
SC0,2425,2025-02-15,Celtic,Dundee,7.38,7.38,0.0
SC0,2425,2025-02-15,Dundee,Aberdeen,3.42,3.42,0.0
SC0,2425,2025-02-15,Kilmarnock,St Johnstone,3.38,3.38,0.0
SC0,2425,2025-02-15,Motherwell,Ross County,3.23,3.23,0.0
SC0,2425,2025-02-16,Hearts,Rangers,3.79,3.79,0.0
SC0,2425,2025-02-16,St Mirren,Hibernian,3.21,3.21,0.0
SC0,2425,2025-02-22,Dundee,Motherwell,3.75,3.75,0.0
SC0,2425,2025-02-22,Rangers,St Mirren,7.18,7.18,0.0
SC0,2425,2025-02-22,Ross County,Dundee,3.25,3.25,0.0
SC0,2425,2025-02-22,Hibernian,Celtic,4.62,4.62,0.0
SC0,2425,2025-02-22,Aberdeen,Kilmarnock,3.21,3.21,0.0
SC0,2425,2025-02-23,St Johnstone,Hearts,3.39,3.39,0.0
SC0,2425,2025-02-25,Celtic,Aberdeen,8.74,8.74,0.0
SC0,2425,2025-02-26,Motherwell,Dundee,3.33,3.33,0.0
SC0,2425,2025-02-26,St Johnstone,Ross County,3.21,3.21,0.0
