league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
SP2,2324,2023-08-11,Amorebieta,Leganes,3.04,3.04,0.0
SP2,2324,2023-08-11,Valladolid,Sp Gijon,3.3,3.3,0.0
SP2,2324,2023-08-12,Santander,Eibar,3.02,3.02,0.0
SP2,2324,2023-08-12,Elche,Ferrol,3.45,3.45,0.0
SP2,2324,2023-08-12,Zaragoza,Villarreal B,3.4,3.4,0.0
SP2,2324,2023-08-13,Burgos,Huesca,3.06,3.06,0.0
SP2,2324,2023-08-13,Leganes,Andorra,3.0,3.0,0.0
SP2,2324,2023-08-13,Albacete,Espanol,3.15,3.15,0.0
SP2,2324,2023-08-13,Cartagena,Eldense,3.03,3.03,0.0
SP2,2324,2023-08-14,Mirandes,Alcorcon,2.96,2.96,0.0
SP2,2324,2023-08-14,Tenerife,Oviedo,3.01,3.01,0.0
SP2,2324,2023-08-18,Andorra,Cartagena,3.32,3.32,0.0
SP2,2324,2023-08-18,Zaragoza,Valladolid,3.02,3.02,0.0
SP2,2324,2023-08-19,Leganes,Burgos,3.42,3.42,0.0
SP2,2324,2023-08-19,Alcorcon,Leganes,2.88,2.88,0.0
SP2,2324,2023-08-19,Espanol,Santander,3.32,3.32,0.0
SP2,2324,2023-08-19,Eibar,Elche,3.04,3.04,0.0
SP2,2324,2023-08-20,Sp Gijon,Mirandes,3.29,3.29,0.0
SP2,2324,2023-08-20,Albacete,Amorebieta,3.47,3.47,0.0
SP2,2324,2023-08-20,Oviedo,Ferrol,2.99,2.99,0.0
SP2,2324,2023-08-21,Huesca,Tenerife,2.87,2.87,0.0
SP2,2324,2023-08-21,Villarreal B,Eldense,3.25,3.25,0.0
SP2,2324,2023-08-25,Cartagena,Leganes,3.02,3.02,0.0
SP2,2324,2023-08-26,Valladolid,Alcorcon,3.37,3.37,0.0
SP2,2324,2023-08-26,Tenerife,Zaragoza,2.96,2.96,0.0
SP2,2324,2023-08-26,Burgos,Oviedo,2.79,2.79,0.0
SP2,2324,2023-08-26,Elche,Villarreal B,3.73,3.73,0.0
SP2,2324,2023-08-27,Ferrol,Sp Gijon,2.98,2.98,0.0
SP2,2324,2023-08-27,Amorebieta,Andorra,3.01,3.01,0.0
SP2,2324,2023-08-27,Mirandes,Espanol,3.18,3.18,0.0
SP2,2324,2023-08-27,Leganes,Albacete,3.0,3.0,0.0
SP2,2324,2023-08-28,Eldense,Eibar,3.0,3.0,0.0
SP2,2324,2023-08-28,Santander,Huesca,3.14,3.14,0.0
SP2,2324,2023-09-01,Albacete,Valladolid,3.23,3.23,0.0
SP2,2324,2023-09-01,Alcorcon,Ferrol,2.95,2.95,0.0
SP2,2324,2023-09-02,Sp Gijon,Burgos,3.08,3.08,0.0
SP2,2324,2023-09-02,Leganes,Oviedo,3.3,3.3,0.0
SP2,2324,2023-09-02,Elche,Santander,3.39,3.39,0.0
SP2,2324,2023-09-02,Villarreal B,Cartagena,3.26,3.26,0.0
SP2,2324,2023-09-03,Huesca,Mirandes,3.19,3.19,0.0
SP2,2324,2023-09-03,Andorra,Tenerife,2.99,2.99,0.0
SP2,2324,2023-09-03,Eibar,Leganes,3.08,3.08,0.0
SP2,2324,2023-09-03,Espanol,Amorebieta,3.66,3.66,0.0
SP2,2324,2023-09-03,Zaragoza,Eldense,3.33,3.33,0.0
SP2,2324,2023-09-08,Leganes,Espanol,3.15,3.15,0.0
SP2,2324,2023-09-09,Tenerife,Albacete,3.09,3.09,0.0
SP2,2324,2023-09-09,Leganes,Huesca,3.06,3.06,0.0
SP2,2324,2023-09-09,Oviedo,Sp Gijon,2.91,2.91,0.0
SP2,2324,2023-09-09,Burgos,Eibar,2.93,2.93,0.0
SP2,2324,2023-09-10,Valladolid,Elche,3.08,3.08,0.0
SP2,2324,2023-09-10,Ferrol,Villarreal B,3.25,3.25,0.0
SP2,2324,2023-09-10,Santander,Amorebieta,3.37,3.37,0.0
SP2,2324,2023-09-10,Cartagena,Zaragoza,2.93,2.93,0.0
SP2,2324,2023-09-10,Mirandes,Andorra,3.12,3.12,0.0
SP2,2324,2023-09-11,Eldense,Alcorcon,2.98,2.98,0.0
SP2,2324,2023-09-15,Zaragoza,Santander,3.12,3.12,0.0
SP2,2324,2023-09-16,Valladolid,Cartagena,3.48,3.48,0.0
SP2,2324,2023-09-16,Albacete,Burgos,3.38,3.38,0.0
SP2,2324,2023-09-16,Huesca,Villarreal B,3.17,3.17,0.0
SP2,2324,2023-09-16,Alcorcon,Leganes,2.99,2.99,0.0
SP2,2324,2023-09-17,Sp Gijon,Tenerife,2.92,2.92,0.0
SP2,2324,2023-09-17,Amorebieta,Mirandes,3.17,3.17,0.0
SP2,2324,2023-09-17,Eibar,Ferrol,3.27,3.27,0.0
SP2,2324,2023-09-17,Elche,Leganes,3.23,3.23,0.0
SP2,2324,2023-09-17,Espanol,Eldense,4.02,4.02,0.0
SP2,2324,2023-09-18,Andorra,Oviedo,3.01,3.01,0.0
SP2,2324,2023-09-22,Cartagena,Eibar,3.06,3.06,0.0
SP2,2324,2023-09-23,Alcorcon,Huesca,2.98,2.98,0.0
SP2,2324,2023-09-23,Santander,Albacete,3.1,3.1,0.0
SP2,2324,2023-09-23,Andorra,Sp Gijon,3.03,3.03,0.0
SP2,2324,2023-09-23,Leganes,Eldense,3.43,3.43,0.0
SP2,2324,2023-09-23,Burgos,Elche,3.09,3.09,0.0
SP2,2324,2023-09-24,Villarreal B,Amorebieta,3.4,3.4,0.0
SP2,2324,2023-09-24,Oviedo,Valladolid,2.84,2.84,0.0
SP2,2324,2023-09-24,Mirandes,Leganes,2.9,2.9,0.0
SP2,2324,2023-09-25,Ferrol,Zaragoza,2.9,2.9,0.0
SP2,2324,2023-09-25,Tenerife,Espanol,3.0,3.0,0.0
SP2,2324,2023-09-29,Leganes,Santander,2.95,2.95,0.0
SP2,2324,2023-09-30,Elche,Leganes,3.23,3.23,0.0
SP2,2324,2023-09-30,Albacete,Andorra,3.24,3.24,0.0
SP2,2324,2023-09-30,Villarreal B,Alcorcon,3.13,3.13,0.0
SP2,2324,2023-09-30,Eibar,Tenerife,3.07,3.07,0.0
SP2,2324,2023-10-01,Huesca,Sp Gijon,2.96,2.96,0.0
SP2,2324,2023-10-01,Eldense,Oviedo,2.89,2.89,0.0
SP2,2324,2023-10-01,Valladolid,Burgos,3.48,3.48,0.0
SP2,2324,2023-10-01,Amorebieta,Cartagena,3.2,3.2,0.0
SP2,2324,2023-10-01,Zaragoza,Mirandes,3.46,3.46,0.0
SP2,2324,2023-10-02,Espanol,Ferrol,3.83,3.83,0.0
SP2,2324,2023-10-03,Tenerife,Santander,3.26,3.26,0.0
SP2,2324,2023-10-03,Alcorcon,Albacete,3.05,3.05,0.0
SP2,2324,2023-10-03,Leganes,Villarreal B,3.82,3.82,0.0
SP2,2324,2023-10-04,Oviedo,Huesca,3.05,3.05,0.0
SP2,2324,2023-10-04,Eldense,Valladolid,3.1,3.1,0.0
SP2,2324,2023-10-04,Burgos,Leganes,2.95,2.95,0.0
SP2,2324,2023-10-04,Sp Gijon,Elche,3.15,3.15,0.0
SP2,2324,2023-10-05,Mirandes,Eibar,3.08,3.08,0.0
SP2,2324,2023-10-05,Andorra,Zaragoza,3.07,3.07,0.0
SP2,2324,2023-10-05,Cartagena,Espanol,3.46,3.46,0.0
SP2,2324,2023-10-05,Ferrol,Amorebieta,3.33,3.33,0.0
SP2,2324,2023-10-06,Albacete,Leganes,3.16,3.16,0.0
SP2,2324,2023-10-07,Huesca,Eldense,3.0,3.0,0.0
SP2,2324,2023-10-07,Santander,Sp Gijon,3.08,3.08,0.0
SP2,2324,2023-10-07,Leganes,Oviedo,2.87,2.87,0.0
SP2,2324,2023-10-08,Zaragoza,Alcorcon,3.31,3.31,0.0
SP2,2324,2023-10-08,Amorebieta,Eibar,3.21,3.21,0.0
SP2,2324,2023-10-08,Valladolid,Mirandes,3.72,3.72,0.0
SP2,2324,2023-10-08,Ferrol,Cartagena,3.35,3.35,0.0
SP2,2324,2023-10-08,Tenerife,Burgos,3.24,3.24,0.0
SP2,2324,2023-10-09,Elche,Andorra,3.4,3.4,0.0
SP2,2324,2023-10-09,Villarreal B,Espanol,3.67,3.67,0.0
SP2,2324,2023-10-13,Oviedo,Albacete,2.97,2.97,0.0
SP2,2324,2023-10-14,Cartagena,Santander,3.07,3.07,0.0
SP2,2324,2023-10-14,Sp Gijon,Zaragoza,2.95,2.95,0.0
SP2,2324,2023-10-14,Espanol,Valladolid,3.46,3.46,0.0
SP2,2324,2023-10-14,Mirandes,Tenerife,2.93,2.93,0.0
SP2,2324,2023-10-15,Leganes,Amorebieta,3.13,3.13,0.0
SP2,2324,2023-10-15,Burgos,Villarreal B,3.32,3.32,0.0
SP2,2324,2023-10-15,Eldense,Elche,3.16,3.16,0.0
SP2,2324,2023-10-15,Andorra,Alcorcon,3.08,3.08,0.0
SP2,2324,2023-10-15,Eibar,Huesca,3.71,3.71,0.0
SP2,2324,2023-10-16,Leganes,Ferrol,3.47,3.47,0.0
SP2,2324,2023-10-20,Espanol,Leganes,3.65,3.65,0.0
SP2,2324,2023-10-21,Villarreal B,Mirandes,3.47,3.47,0.0
SP2,2324,2023-10-21,Zaragoza,Eibar,2.94,2.94,0.0
SP2,2324,2023-10-21,Tenerife,Leganes,3.1,3.1,0.0
SP2,2324,2023-10-21,Amorebieta,Oviedo,2.92,2.92,0.0
SP2,2324,2023-10-22,Ferrol,Eldense,3.23,3.23,0.0
SP2,2324,2023-10-22,Santander,Burgos,3.14,3.14,0.0
SP2,2324,2023-10-22,Valladolid,Andorra,3.51,3.51,0.0
SP2,2324,2023-10-22,Albacete,Sp Gijon,3.2,3.2,0.0
SP2,2324,2023-10-22,Huesca,Elche,3.01,3.01,0.0
SP2,2324,2023-10-23,Alcorcon,Cartagena,3.21,3.21,0.0
SP2,2324,2023-10-27,Eibar,Valladolid,3.13,3.13,0.0
SP2,2324,2023-10-28,Sp Gijon,Espanol,3.21,3.21,0.0
SP2,2324,2023-10-28,Elche,Tenerife,3.06,3.06,0.0
SP2,2324,2023-10-28,Eldense,Amorebieta,3.26,3.26,0.0
SP2,2324,2023-10-28,Andorra,Leganes,3.04,3.04,0.0
SP2,2324,2023-10-29,Santander,Ferrol,3.07,3.07,0.0
SP2,2324,2023-10-29,Huesca,Albacete,2.94,2.94,0.0
SP2,2324,2023-10-29,Mirandes,Cartagena,3.27,3.27,0.0
SP2,2324,2023-10-29,Leganes,Villarreal B,3.71,3.71,0.0
SP2,2324,2023-10-29,Oviedo,Alcorcon,3.17,3.17,0.0
SP2,2324,2023-10-30,Burgos,Zaragoza,2.93,2.93,0.0
SP2,2324,2023-11-03,Espanol,Eibar,3.2,3.2,0.0
SP2,2324,2023-11-04,Valladolid,Tenerife,3.19,3.19,0.0
SP2,2324,2023-11-04,Albacete,Elche,3.24,3.24,0.0
SP2,2324,2023-11-04,Villarreal B,Sp Gijon,3.28,3.28,0.0
SP2,2324,2023-11-04,Leganes,Mirandes,3.64,3.64,0.0
SP2,2324,2023-11-05,Eldense,Burgos,3.01,3.01,0.0
SP2,2324,2023-11-05,Amorebieta,Huesca,2.91,2.91,0.0
SP2,2324,2023-11-05,Ferrol,Andorra,3.08,3.08,0.0
SP2,2324,2023-11-05,Alcorcon,Santander,3.22,3.22,0.0
SP2,2324,2023-11-05,Cartagena,Leganes,3.11,3.11,0.0
SP2,2324,2023-11-06,Zaragoza,Oviedo,2.92,2.92,0.0
SP2,2324,2023-11-10,Leganes,Leganes,3.13,3.13,0.0
SP2,2324,2023-11-11,Sp Gijon,Amorebieta,4.41,4.41,0.0
SP2,2324,2023-11-11,Mirandes,Ferrol,3.04,3.04,0.0
SP2,2324,2023-11-11,Elche,Zaragoza,3.29,3.29,0.0
SP2,2324,2023-11-11,Santander,Valladolid,3.19,3.19,0.0
SP2,2324,2023-11-12,Eibar,Albacete,3.32,3.32,0.0
SP2,2324,2023-11-12,Burgos,Alcorcon,3.11,3.11,0.0
SP2,2324,2023-11-12,Andorra,Eldense,3.45,3.45,0.0
SP2,2324,2023-11-12,Huesca,Espanol,3.13,3.13,0.0
SP2,2324,2023-11-12,Tenerife,Villarreal B,3.74,3.74,0.0
SP2,2324,2023-11-13,Oviedo,Cartagena,3.3,3.3,0.0
SP2,2324,2023-11-17,Valladolid,Leganes,2.95,2.95,0.0
SP2,2324,2023-11-18,Zaragoza,Huesca,2.98,2.98,0.0
SP2,2324,2023-11-18,Espanol,Elche,3.31,3.31,0.0
SP2,2324,2023-11-18,Alcorcon,Sp Gijon,3.1,3.1,0.0
SP2,2324,2023-11-18,Amorebieta,Tenerife,3.07,3.07,0.0
SP2,2324,2023-11-19,Eldense,Mirandes,3.17,3.17,0.0
SP2,2324,2023-11-19,Oviedo,Eibar,2.91,2.91,0.0
SP2,2324,2023-11-19,Cartagena,Albacete,3.15,3.15,0.0
SP2,2324,2023-11-19,Villarreal B,Andorra,3.28,3.28,0.0
SP2,2324,2023-11-19,Ferrol,Burgos,3.09,3.09,0.0
SP2,2324,2023-11-20,Leganes,Santander,3.37,3.37,0.0
SP2,2324,2023-11-24,Huesca,Valladolid,2.93,2.93,0.0
SP2,2324,2023-11-25,Eibar,Leganes,3.63,3.63,0.0
SP2,2324,2023-11-25,Burgos,Andorra,3.15,3.15,0.0
SP2,2324,2023-11-25,Santander,Villarreal B,3.87,3.87,0.0
SP2,2324,2023-11-25,Albacete,Zaragoza,3.27,3.27,0.0
SP2,2324,2023-11-26,Mirandes,Oviedo,2.94,2.94,0.0
SP2,2324,2023-11-26,Leganes,Ferrol,3.11,3.11,0.0
SP2,2324,2023-11-26,Elche,Amorebieta,4.28,4.28,0.0
SP2,2324,2023-11-26,Espanol,Alcorcon,4.27,4.27,0.0
SP2,2324,2023-11-26,Tenerife,Cartagena,3.21,3.21,0.0
SP2,2324,2023-11-27,Sp Gijon,Eldense,3.68,3.68,0.0
SP2,2324,2023-12-01,Oviedo,Espanol,2.81,2.81,0.0
SP2,2324,2023-12-02,Eldense,Tenerife,2.99,2.99,0.0
SP2,2324,2023-12-02,Zaragoza,Leganes,2.86,2.86,0.0
SP2,2324,2023-12-02,Leganes,Valladolid,3.17,3.17,0.0
SP2,2324,2023-12-02,Cartagena,Sp Gijon,3.14,3.14,0.0
SP2,2324,2023-12-03,Amorebieta,Burgos,2.97,2.97,0.0
SP2,2324,2023-12-03,Ferrol,Albacete,2.98,2.98,0.0
SP2,2324,2023-12-03,Alcorcon,Elche,3.06,3.06,0.0
SP2,2324,2023-12-03,Andorra,Huesca,3.0,3.0,0.0
SP2,2324,2023-12-03,Mirandes,Santander,3.24,3.24,0.0
SP2,2324,2023-12-04,Villarreal B,Eibar,3.51,3.51,0.0
SP2,2324,2023-12-08,Albacete,Villarreal B,4.14,4.14,0.0
SP2,2324,2023-12-08,Espanol,Zaragoza,3.45,3.45,0.0
SP2,2324,2023-12-09,Sp Gijon,Leganes,3.37,3.37,0.0
SP2,2324,2023-12-09,Burgos,Mirandes,3.18,3.18,0.0
