league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
T1,1920,2019-08-16,Denizlispor,Galatasaray,3.75,3.75,0.0
T1,1920,2019-08-17,Genclerbirligi,Rizespor,3.36,3.36,0.0
T1,1920,2019-08-17,Kocaelispor,Antalyaspor,3.3,3.3,0.0
T1,1920,2019-08-17,Samsunspor,Besiktas,3.46,3.46,0.0
T1,1920,2019-08-18,Antalyaspor,Karagumruk,3.51,3.51,0.0
T1,1920,2019-08-18,Goztep,Antalyaspor,3.65,3.65,0.0
T1,1920,2019-08-18,Kasimpasa,Trabzonspor,3.65,3.65,0.0
T1,1920,2019-08-18,Yeni Malatyaspor,Buyuksehyr,3.29,3.29,0.0
T1,1920,2019-08-19,Fenerbahce,Gaziantep,4.43,4.43,0.0
T1,1920,2019-08-23,Besiktas,Goztep,4.26,4.26,0.0
T1,1920,2019-08-24,Karagumruk,Kocaelispor,3.23,3.23,0.0
T1,1920,2019-08-24,Antalyaspor,Kasimpasa,4.21,4.21,0.0
T1,1920,2019-08-24,Buyuksehyr,Fenerbahce,3.3,3.3,0.0
T1,1920,2019-08-25,Rizespor,Samsunspor,3.46,3.46,0.0
T1,1920,2019-08-25,Trabzonspor,Yeni Malatyaspor,3.96,3.96,0.0
T1,1920,2019-08-25,Antalyaspor,Denizlispor,3.22,3.22,0.0
T1,1920,2019-08-25,Galatasaray,Antalyaspor,4.54,4.54,0.0
T1,1920,2019-08-26,Gaziantep,Genclerbirligi,3.17,3.17,0.0
T1,1920,2019-08-30,Kasimpasa,Karagumruk,3.99,3.99,0.0
T1,1920,2019-08-30,Kocaelispor,Galatasaray,3.78,3.78,0.0
T1,1920,2019-08-31,Antalyaspor,Antalyaspor,3.67,3.67,0.0
T1,1920,2019-08-31,Besiktas,Rizespor,4.17,4.17,0.0
T1,1920,2019-08-31,Goztep,Denizlispor,3.29,3.29,0.0
T1,1920,2019-09-01,Genclerbirligi,Buyuksehyr,3.47,3.47,0.0
T1,1920,2019-09-01,Samsunspor,Gaziantep,4.22,4.22,0.0
T1,1920,2019-09-01,Fenerbahce,Trabzonspor,4.15,4.15,0.0
T1,1920,2019-09-01,Yeni Malatyaspor,Antalyaspor,3.4,3.4,0.0
T1,1920,2019-09-13,Galatasaray,Kasimpasa,5.64,5.64,0.0
T1,1920,2019-09-14,Buyuksehyr,Samsunspor,3.94,3.94,0.0
T1,1920,2019-09-14,Antalyaspor,Kocaelispor,3.34,3.34,0.0
T1,1920,2019-09-14,Gaziantep,Besiktas,3.75,3.75,0.0
T1,1920,2019-09-15,Karagumruk,Yeni Malatyaspor,3.16,3.16,0.0
T1,1920,2019-09-15,Rizespor,Goztep,3.39,3.39,0.0
T1,1920,2019-09-15,Denizlispor,Antalyaspor,3.24,3.24,0.0
T1,1920,2019-09-15,Trabzonspor,Genclerbirligi,4.42,4.42,0.0
