league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
B1,1819,2018-07-27,Standard,Genk,146,146,False
B1,1819,2018-07-28,Oostende,Mouscron,117,147,False
B1,1819,2018-07-28,St Truiden,Cercle Brugge,147,117,False
B1,1819,2018-07-28,Waregem,Waasland-Beveren,117,147,False
B1,1819,2018-07-28,Kortrijk,Anderlecht,147,117,False
B1,1819,2018-07-29,Lokeren,Genk,148,2,False
B1,1819,2018-07-29,Cercle Brugge,Eupen,1,148,False
B1,1819,2018-07-29,Charleroi,Antwerp,118,148,False
B1,1819,2018-08-03,Waasland-Beveren,Standard,6,7,False
B1,1819,2018-08-04,Cercle Brugge,Lokeren,6,6,False
B1,1819,2018-08-04,Eupen,Charleroi,6,6,False
B1,1819,2018-08-04,Genk,Waregem,6,7,False
B1,1819,2018-08-04,Antwerp,Kortrijk,6,7,False
B1,1819,2018-08-05,Genk,St Truiden,1,8,False
B1,1819,2018-08-05,Mouscron,Cercle Brugge,8,1,False
B1,1819,2018-08-05,Anderlecht,Oostende,8,8,False
B1,1819,2018-08-10,Cercle Brugge,Kortrijk,5,6,False
B1,1819,2018-08-11,Standard,Cercle Brugge,8,1,False
B1,1819,2018-08-11,Waregem,Eupen,7,7,False
B1,1819,2018-08-11,St Truiden,Lokeren,6,7,False
B1,1819,2018-08-11,Mouscron,Antwerp,6,7,False
B1,1819,2018-08-12,Genk,Waasland-Beveren,7,9,False
B1,1819,2018-08-12,Charleroi,Anderlecht,8,7,False
B1,1819,2018-08-12,Oostende,Genk,7,7,False
B1,1819,2018-08-17,Anderlecht,Mouscron,5,6,False
B1,1819,2018-08-18,Cercle Brugge,Waregem,7,7,False
B1,1819,2018-08-18,Waasland-Beveren,St Truiden,6,7,False
B1,1819,2018-08-18,Lokeren,Standard,7,7,False
B1,1819,2018-08-18,Kortrijk,Oostende,8,6,False
B1,1819,2018-08-19,Eupen,Genk,8,7,False
B1,1819,2018-08-19,Antwerp,Cercle Brugge,8,1,False
B1,1819,2018-08-19,Genk,Charleroi,7,7,False
B1,1819,2018-08-24,Oostende,Waregem,6,6,False
B1,1819,2018-08-25,Standard,St Truiden,7,7,False
B1,1819,2018-08-25,Mouscron,Eupen,8,6,False
B1,1819,2018-08-25,Antwerp,Cercle Brugge,6,6,False
B1,1819,2018-08-25,Charleroi,Kortrijk,6,7,False
B1,1819,2018-08-26,Genk,Waasland-Beveren,7,8,False
B1,1819,2018-08-26,Genk,Lokeren,7,8,False
B1,1819,2018-08-26,Cercle Brugge,Anderlecht,1,9,False
B1,1819,2018-08-31,Waregem,Cercle Brugge,7,5,False
B1,1819,2018-09-01,St Truiden,Oostende,7,8,False
B1,1819,2018-09-01,Lokeren,Waasland-Beveren,6,6,False
B1,1819,2018-09-01,Eupen,Standard,7,7,False
B1,1819,2018-09-01,Charleroi,Mouscron,7,7,False
B1,1819,2018-09-02,Anderlecht,Antwerp,7,8,False
B1,1819,2018-09-02,Cercle Brugge,Genk,2,7,False
B1,1819,2018-09-02,Kortrijk,Genk,8,7,False
B1,1819,2018-09-14,Cercle Brugge,Lokeren,12,13,False
B1,1819,2018-09-15,Oostende,Cercle Brugge,14,1,False
B1,1819,2018-09-15,Genk,Anderlecht,13,13,False
B1,1819,2018-09-15,Waasland-Beveren,Eupen,14,14,False
B1,1819,2018-09-15,Standard,Charleroi,14,14,False
B1,1819,2018-09-16,Genk,St Truiden,1,15,False
B1,1819,2018-09-16,Antwerp,Waregem,14,14,False
B1,1819,2018-09-16,Mouscron,Kortrijk,15,14,False
B1,1819,2018-09-21,Waregem,Kortrijk,5,5,False
B1,1819,2018-09-22,Waasland-Beveren,Charleroi,7,7,False
B1,1819,2018-09-22,St Truiden,Antwerp,6,6,False
B1,1819,2018-09-22,Lokeren,Mouscron,8,6,False
B1,1819,2018-09-22,Eupen,Oostende,7,7,False
B1,1819,2018-09-23,Genk,Cercle Brugge,7,8,False
B1,1819,2018-09-23,Cercle Brugge,Genk,8,7,False
B1,1819,2018-09-23,Anderlecht,Standard,8,8,False
B1,1819,2018-09-28,Kortrijk,Eupen,7,6,False
B1,1819,2018-09-29,Charleroi,Lokeren,7,7,False
B1,1819,2018-09-29,Mouscron,Waasland-Beveren,7,7,False
B1,1819,2018-09-29,Genk,Waregem,6,8,False
B1,1819,2018-09-29,Cercle Brugge,Cercle Brugge,6,6,False
B1,1819,2018-09-30,Anderlecht,St Truiden,7,8,False
B1,1819,2018-09-30,Antwerp,Genk,8,1,False
B1,1819,2018-09-30,Oostende,Standard,8,7,False
B1,1819,2018-10-05,Cercle Brugge,Charleroi,6,6,False
B1,1819,2018-10-06,Eupen,Antwerp,4,4,False
B1,1819,2018-10-06,Waasland-Beveren,Oostende,7,4,False
B1,1819,2018-10-06,St Truiden,Mouscron,4,7,False
B1,1819,2018-10-06,Lokeren,Kortrijk,7,4,False
B1,1819,2018-10-07,Standard,Cercle Brugge,7,2,False
B1,1819,2018-10-07,Genk,Genk,5,5,False
B1,1819,2018-10-07,Waregem,Anderlecht,8,5,False
B1,1819,2018-10-19,Cercle Brugge,Waasland-Beveren,12,13,False
B1,1819,2018-10-20,Kortrijk,St Truiden,14,14,False
B1,1819,2018-10-20,Mouscron,Standard,14,13,False
B1,1819,2018-10-20,Antwerp,Lokeren,14,14,False
B1,1819,2018-10-20,Genk,Eupen,13,14,False
B1,1819,2018-10-21,Oostende,Genk,15,1,False
B1,1819,2018-10-21,Charleroi,Waregem,16,14,False
B1,1819,2018-10-21,Anderlecht,Cercle Brugge,14,2,False
B1,1819,2018-10-26,Genk,Charleroi,5,5,False
B1,1819,2018-10-27,Lokeren,Oostende,7,6,False
B1,1819,2018-10-27,Waregem,Mouscron,6,7,False
B1,1819,2018-10-27,Cercle Brugge,Kortrijk,6,7,False
B1,1819,2018-10-27,St Truiden,Cercle Brugge,7,6,False
B1,1819,2018-10-28,Standard,Genk,8,2,False
B1,1819,2018-10-28,Waasland-Beveren,Antwerp,9,8,False
B1,1819,2018-10-28,Eupen,Anderlecht,8,7,False
B1,1819,2018-10-30,Charleroi,St Truiden,4,3,True
B1,1819,2018-10-30,Mouscron,Genk,3,2,True
B1,1819,2018-10-30,Cercle Brugge,Oostende,3,3,True
B1,1819,2018-10-31,Kortrijk,Waasland-Beveren,4,3,True
B1,1819,2018-10-31,Eupen,Cercle Brugge,3,1,True
B1,1819,2018-10-31,Antwerp,Genk,3,1,True
B1,1819,2018-11-01,Anderlecht,Lokeren,4,5,True
B1,1819,2018-11-01,Waregem,Standard,5,4,True
B1,1819,2018-11-02,Oostende,Charleroi,3,3,False
B1,1819,2018-11-03,Genk,Kortrijk,3,3,False
B1,1819,2018-11-03,Genk,Cercle Brugge,3,1,False
B1,1819,2018-11-03,Cercle Brugge,Mouscron,1,1,False
B1,1819,2018-11-04,Standard,Antwerp,1,1,False
B1,1819,2018-11-04,Lokeren,Eupen,1,1,False
B1,1819,2018-11-04,St Truiden,Waregem,1,1,False
B1,1819,2018-11-04,Waasland-Beveren,Anderlecht,1,1,False
B1,1819,2018-11-09,Antwerp,Oostende,5,6,False
B1,1819,2018-11-10,Waregem,Lokeren,6,6,False
B1,1819,2018-11-10,Charleroi,Cercle Brugge,7,7,False
B1,1819,2018-11-10,Cercle Brugge,Waasland-Beveren,7,6,False
B1,1819,2018-11-10,Eupen,St Truiden,6,6,False
B1,1819,2018-11-11,Mouscron,Genk,8,8,False
B1,1819,2018-11-11,Kortrijk,Standard,8,7,False
B1,1819,2018-11-11,Anderlecht,Genk,7,8,False
B1,1819,2018-11-23,Cercle Brugge,Waregem,13,13,False
B1,1819,2018-11-24,Genk,Cercle Brugge,13,1,False
B1,1819,2018-11-24,Waasland-Beveren,Mouscron,14,13,False
B1,1819,2018-11-24,Standard,Eupen,13,14,False
B1,1819,2018-11-24,Oostende,Kortrijk,15,13,False
B1,1819,2018-11-25,Genk,Antwerp,1,16,False
B1,1819,2018-11-25,St Truiden,Anderlecht,15,14,False
B1,1819,2018-11-25,Lokeren,Charleroi,15,15,False
B1,1819,2018-11-30,Lokeren,Genk,5,5,False
B1,1819,2018-12-01,Charleroi,Cercle Brugge,6,7,False
B1,1819,2018-12-01,Kortrijk,Mouscron,7,7,False
B1,1819,2018-12-01,Waregem,Oostende,8,7,False
B1,1819,2018-12-01,Antwerp,St Truiden,6,6,False
B1,1819,2018-12-02,Eupen,Waasland-Beveren,8,8,False
B1,1819,2018-12-02,Anderlecht,Genk,7,2,False
B1,1819,2018-12-02,Cercle Brugge,Standard,1,8,False
B1,1819,2018-12-07,Waasland-Beveren,Cercle Brugge,5,5,False
