league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
F1,2425,2024-08-16,Le Havre,Paris SG,89,89,False
F1,2425,2024-08-17,Monaco,St Etienne,90,819,False
F1,2425,2024-08-17,Brest,Marseille,90,90,False
F1,2425,2024-08-17,Reims,Lille,90,90,False
F1,2425,2024-08-18,Auxerre,Nice,442,91,False
F1,2425,2024-08-18,Angers,Lens,442,91,False
F1,2425,2024-08-18,Rennes,Lyon,91,91,False
F1,2425,2024-08-18,Montpellier,Strasbourg,91,91,False
F1,2425,2024-08-18,Toulouse,Nantes,91,91,False
F1,2425,2024-08-23,Paris SG,Montpellier,7,5,False
F1,2425,2024-08-24,St Etienne,Le Havre,7,8,False
F1,2425,2024-08-24,Lyon,Monaco,6,7,False
F1,2425,2024-08-24,Lille,Angers,7,6,False
F1,2425,2024-08-25,Strasbourg,Rennes,7,7,False
F1,2425,2024-08-25,Marseille,Reims,8,8,False
F1,2425,2024-08-25,Lens,Brest,7,8,False
F1,2425,2024-08-25,Nantes,Auxerre,7,7,False
F1,2425,2024-08-25,Nice,Toulouse,7,7,False
F1,2425,2024-08-30,Lyon,Strasbourg,6,5,False
F1,2425,2024-08-31,Toulouse,Marseille,6,6,False
F1,2425,2024-08-31,Brest,St Etienne,6,7,False
F1,2425,2024-08-31,Montpellier,Nantes,8,6,False
F1,2425,2024-09-01,Reims,Rennes,7,7,False
F1,2425,2024-09-01,Lille,Paris SG,8,9,False
F1,2425,2024-09-01,Monaco,Lens,8,7,False
F1,2425,2024-09-01,Angers,Nice,8,7,False
F1,2425,2024-09-01,Le Havre,Auxerre,8,7,False
F1,2425,2024-09-13,St Etienne,Lille,13,12,False
F1,2425,2024-09-14,Paris SG,Brest,13,14,False
F1,2425,2024-09-14,Marseille,Nice,14,13,False
F1,2425,2024-09-14,Auxerre,Monaco,13,13,False
F1,2425,2024-09-15,Toulouse,Le Havre,15,14,False
F1,2425,2024-09-15,Lens,Lyon,14,16,False
F1,2425,2024-09-15,Rennes,Montpellier,14,15,False
F1,2425,2024-09-15,Nantes,Reims,15,14,False
F1,2425,2024-09-15,Strasbourg,Angers,16,14,False
F1,2425,2024-09-20,Nice,St Etienne,6,7,False
F1,2425,2024-09-21,Reims,Paris SG,6,7,False
F1,2425,2024-09-21,Lille,Strasbourg,8,6,False
F1,2425,2024-09-21,Rennes,Lens,6,6,False
F1,2425,2024-09-22,Angers,Nantes,7,7,False
F1,2425,2024-09-22,Monaco,Le Havre,8,7,False
F1,2425,2024-09-22,Brest,Toulouse,8,7,False
F1,2425,2024-09-22,Montpellier,Auxerre,7,8,False
F1,2425,2024-09-22,Lyon,Marseille,7,8,False
F1,2425,2024-09-27,Auxerre,Brest,5,5,False
F1,2425,2024-09-27,Paris SG,Rennes,6,6,False
F1,2425,2024-09-28,Le Havre,Lille,6,7,False
F1,2425,2024-09-28,Monaco,Montpellier,6,6,False
F1,2425,2024-09-28,Lens,Nice,7,8,False
F1,2425,2024-09-29,Strasbourg,Marseille,8,7,False
F1,2425,2024-09-29,Toulouse,Lyon,7,7,False
F1,2425,2024-09-29,Angers,Reims,7,8,False
F1,2425,2024-09-29,Nantes,St Etienne,7,9,False
F1,2425,2024-10-04,Marseille,Angers,5,5,False
F1,2425,2024-10-05,Rennes,Monaco,8,7,False
F1,2425,2024-10-05,St Etienne,Auxerre,6,8,False
F1,2425,2024-10-05,Lille,Toulouse,7,6,False
F1,2425,2024-10-06,Strasbourg,Lens,7,8,False
F1,2425,2024-10-06,Nice,Paris SG,8,9,False
F1,2425,2024-10-06,Lyon,Nantes,7,7,False
F1,2425,2024-10-06,Brest,Le Havre,9,8,False
F1,2425,2024-10-06,Reims,Montpellier,7,8,False
F1,2425,2024-10-18,Monaco,Lille,13,13,False
F1,2425,2024-10-19,Paris SG,Strasbourg,13,13,False
F1,2425,2024-10-19,Brest,Rennes,13,14,False
F1,2425,2024-10-19,St Etienne,Lens,14,13,False
F1,2425,2024-10-20,Toulouse,Angers,15,16,False
F1,2425,2024-10-20,Montpellier,Marseille,14,16,False
F1,2425,2024-10-20,Le Havre,Lyon,14,14,False
F1,2425,2024-10-20,Auxerre,Reims,15,14,False
F1,2425,2024-10-20,Nantes,Nice,14,14,False
F1,2425,2024-10-25,Rennes,Le Havre,6,5,False
F1,2425,2024-10-26,Lens,Lille,7,8,False
F1,2425,2024-10-26,Angers,St Etienne,6,7,False
F1,2425,2024-10-26,Reims,Brest,6,7,False
F1,2425,2024-10-27,Marseille,Paris SG,7,8,False
F1,2425,2024-10-27,Lyon,Auxerre,7,7,False
F1,2425,2024-10-27,Montpellier,Toulouse,7,7,False
F1,2425,2024-10-27,Nice,Monaco,7,9,False
F1,2425,2024-10-27,Strasbourg,Nantes,8,7,False
F1,2425,2024-11-01,Lille,Lyon,6,5,False
F1,2425,2024-11-01,Monaco,Angers,5,6,False
F1,2425,2024-11-02,Brest,Nice,7,6,False
F1,2425,2024-11-02,Paris SG,Lens,6,7,False
F1,2425,2024-11-02,St Etienne,Strasbourg,7,6,False
F1,2425,2024-11-03,Nantes,Marseille,7,7,False
F1,2425,2024-11-03,Auxerre,Rennes,7,9,False
F1,2425,2024-11-03,Toulouse,Reims,7,8,False
F1,2425,2024-11-03,Le Havre,Montpellier,9,7,False
F1,2425,2024-11-08,Marseille,Auxerre,5,5,False
F1,2425,2024-11-09,Angers,Paris SG,8,7,False
F1,2425,2024-11-09,Strasbourg,Monaco,7,8,False
F1,2425,2024-11-09,Lens,Nantes,7,6,False
F1,2425,2024-11-10,Rennes,Toulouse,7,7,False
F1,2425,2024-11-10,Lyon,St Etienne,9,8,False
F1,2425,2024-11-10,Nice,Lille,8,9,False
F1,2425,2024-11-10,Le Havre,Reims,7,7,False
F1,2425,2024-11-10,Montpellier,Brest,7,8,False
F1,2425,2024-11-22,Paris SG,Toulouse,13,12,False
F1,2425,2024-11-22,Monaco,Brest,13,12,False
F1,2425,2024-11-23,St Etienne,Montpellier,13,13,False
F1,2425,2024-11-23,Reims,Lyon,13,13,False
F1,2425,2024-11-23,Lens,Marseille,14,15,False
F1,2425,2024-11-24,Nice,Strasbourg,14,15,False
F1,2425,2024-11-24,Auxerre,Angers,16,15,False
F1,2425,2024-11-24,Lille,Rennes,14,14,False
F1,2425,2024-11-24,Nantes,Le Havre,15,14,False
F1,2425,2024-11-29,Reims,Lens,6,6,False
F1,2425,2024-11-30,Paris SG,Nantes,8,6,False
F1,2425,2024-11-30,Rennes,St Etienne,6,7,False
F1,2425,2024-11-30,Brest,Strasbourg,8,6,False
F1,2425,2024-12-01,Le Havre,Angers,7,7,False
F1,2425,2024-12-01,Lyon,Nice,8,7,False
F1,2425,2024-12-01,Marseille,Monaco,8,9,False
F1,2425,2024-12-01,Toulouse,Auxerre,9,7,False
F1,2425,2024-12-01,Montpellier,Lille,8,7,False
F1,2425,2024-12-06,Auxerre,Paris SG,5,6,False
F1,2425,2024-12-06,Lille,Brest,5,6,False
F1,2425,2024-12-07,Angers,Lyon,6,6,False
F1,2425,2024-12-07,Monaco,Toulouse,6,6,False
F1,2425,2024-12-07,Nice,Le Havre,6,6,False
F1,2425,2024-12-08,St Etienne,Marseille,8,7,False
F1,2425,2024-12-08,Strasbourg,Reims,8,9,False
F1,2425,2024-12-08,Nantes,Rennes,8,8,False
F1,2425,2024-12-08,Lens,Montpellier,9,7,False
F1,2425,2024-12-13,Toulouse,St Etienne,6,5,False
F1,2425,2024-12-14,Reims,Monaco,6,7,False
F1,2425,2024-12-14,Marseille,Lille,6,8,False
F1,2425,2024-12-14,Auxerre,Lens,8,6,False
F1,2425,2024-12-15,Rennes,Angers,7,8,False
F1,2425,2024-12-15,Paris SG,Lyon,9,8,False
F1,2425,2024-12-15,Montpellier,Nice,7,8,False
F1,2425,2024-12-15,Brest,Nantes,9,7,False
F1,2425,2024-12-15,Le Havre,Strasbourg,8,7,False
F1,2425,2024-12-18,Monaco,Paris SG,4,3,True
F1,2425,2025-01-03,Nice,Rennes,19,19,False
F1,2425,2025-01-04,Lille,Nantes,21,20,False
F1,2425,2025-01-04,Lyon,Montpellier,20,20,False
F1,2425,2025-01-04,St Etienne,Reims,22,21,False
F1,2425,2025-01-05,Marseille,Le Havre,22,21,False
F1,2425,2025-01-05,Lens,Toulouse,22,23,False
F1,2425,2025-01-05,Angers,Brest,21,21,False
F1,2425,2025-01-05,Strasbourg,Auxerre,21,22,False
F1,2425,2025-01-10,Auxerre,Lille,5,6,False
F1,2425,2025-01-10,Nantes,Monaco,6,23,False
F1,2425,2025-01-11,Reims,Nice,7,8,False
F1,2425,2025-01-11,Rennes,Marseille,8,6,False
F1,2425,2025-01-11,Brest,Lyon,6,7,False
F1,2425,2025-01-12,Paris SG,St Etienne,25,8,False
F1,2425,2025-01-12,Montpellier,Angers,8,7,False
F1,2425,2025-01-12,Le Havre,Lens,7,7,False
