league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
I1,2223,2022-08-13,Monza,Torino,7,85,False
I1,2223,2022-08-13,Lecce,Inter,741,83,False
I1,2223,2022-08-13,Milan,Udinese,83,83,False
I1,2223,2022-08-13,Sampdoria,Atalanta,83,84,False
I1,2223,2022-08-14,Lazio,Bologna,85,85,False
I1,2223,2022-08-14,Salernitana,Roma,84,86,False
I1,2223,2022-08-14,Fiorentina,Cremonese,85,7,False
I1,2223,2022-08-14,Spezia,Empoli,84,85,False
I1,2223,2022-08-15,Juventus,Sassuolo,86,85,False
I1,2223,2022-08-15,Verona,Napoli,86,85,False
I1,2223,2022-08-20,Inter,Spezia,7,6,False
I1,2223,2022-08-20,Sassuolo,Lecce,5,7,False
I1,2223,2022-08-20,Torino,Lazio,7,6,False
I1,2223,2022-08-20,Udinese,Salernitana,7,6,False
I1,2223,2022-08-21,Atalanta,Milan,8,8,False
I1,2223,2022-08-21,Bologna,Verona,7,6,False
I1,2223,2022-08-21,Napoli,Monza,6,8,False
I1,2223,2022-08-21,Empoli,Fiorentina,7,7,False
I1,2223,2022-08-22,Sampdoria,Juventus,9,7,False
I1,2223,2022-08-22,Roma,Cremonese,8,8,False
I1,2223,2022-08-26,Monza,Udinese,5,6,False
I1,2223,2022-08-26,Lazio,Inter,6,6,False
I1,2223,2022-08-27,Milan,Bologna,6,6,False
I1,2223,2022-08-27,Spezia,Sassuolo,7,7,False
I1,2223,2022-08-27,Juventus,Roma,5,5,False
I1,2223,2022-08-27,Cremonese,Torino,5,7,False
I1,2223,2022-08-28,Verona,Atalanta,7,7,False
I1,2223,2022-08-28,Salernitana,Sampdoria,8,6,False
I1,2223,2022-08-28,Fiorentina,Napoli,7,7,False
I1,2223,2022-08-28,Lecce,Empoli,8,7,False
I1,2223,2022-08-30,Roma,Monza,3,4,True
I1,2223,2022-08-30,Inter,Cremonese,4,3,True
I1,2223,2022-08-30,Sassuolo,Milan,3,3,True
I1,2223,2022-08-31,Udinese,Fiorentina,5,3,True
I1,2223,2022-08-31,Juventus,Spezia,4,4,True
