league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
JPN1,2021,2020-02-21,Shonan Bellmare,Urawa Red Diamonds,364,364,False
JPN1,2021,2020-02-21,Vegalta Sendai,Nagoya Grampus,364,364,False
JPN1,2021,2020-02-21,Cerezo Osaka,Oita Trinita,364,364,False
JPN1,2021,2020-02-21,Kawasaki Frontale,Sagan Tosu,364,364,False
JPN1,2021,2020-02-21,Kashiwa Reysol,Hokkaido Consadole Sapporo,7,364,False
JPN1,2021,2020-02-21,Shimizu S-Pulse,FC Tokyo,364,364,False
JPN1,2021,2020-02-21,Sanfrecce Hiroshima,Kashima Antlers,364,364,False
JPN1,2021,2020-02-21,Yokohama F. Marinos,Gamba Osaka,364,364,False
JPN1,2021,2020-02-21,Vissel Kobe,Yokohama FC,364,7,False
JPN1,2021,2020-02-21,Yokohama FC,Hokkaido Consadole Sapporo,7,364,False
JPN1,2021,2020-02-21,Shimizu S-Pulse,Nagoya Grampus,364,364,False
JPN1,2021,2020-02-21,Gamba Osaka,Cerezo Osaka,364,364,False
JPN1,2021,2020-02-21,Oita Trinita,Sagan Tosu,364,364,False
JPN1,2021,2020-02-21,Urawa Red Diamonds,Yokohama F. Marinos,364,364,False
JPN1,2021,2020-02-21,Kashiwa Reysol,FC Tokyo,7,364,False
JPN1,2021,2020-02-21,Kawasaki Frontale,Kashima Antlers,364,364,False
JPN1,2021,2020-02-21,Shonan Bellmare,Vegalta Sendai,364,364,False
JPN1,2021,2020-02-21,Vissel Kobe,Sanfrecce Hiroshima,364,364,False
JPN1,2021,2020-02-21,Vegalta Sendai,Urawa Red Diamonds,364,364,False
JPN1,2021,2020-02-21,Cerezo Osaka,Shimizu S-Pulse,364,364,False
JPN1,2021,2020-02-21,Kashiwa Reysol,Yokohama FC,7,7,False
JPN1,2021,2020-02-21,Kashima Antlers,Hokkaido Consadole Sapporo,364,364,False
JPN1,2021,2020-02-21,Yokohama F. Marinos,Shonan Bellmare,364,364,False
JPN1,2021,2020-02-21,Sanfrecce Hiroshima,Oita Trinita,364,364,False
JPN1,2021,2020-02-21,Sagan Tosu,Vissel Kobe,364,364,False
JPN1,2021,2020-02-21,FC Tokyo,Kawasaki Frontale,364,364,False
JPN1,2021,2020-02-21,Nagoya Grampus,Gamba Osaka,364,364,False
JPN1,2021,2020-02-21,Kawasaki Frontale,Kashiwa Reysol,364,7,False
JPN1,2021,2020-02-21,Oita Trinita,Vissel Kobe,364,364,False
JPN1,2021,2020-02-21,Yokohama FC,Vegalta Sendai,7,364,False
JPN1,2021,2020-02-21,Shimizu S-Pulse,Gamba Osaka,364,364,False
JPN1,2021,2020-02-21,Sagan Tosu,Sanfrecce Hiroshima,364,364,False
JPN1,2021,2020-02-21,Urawa Red Diamonds,Kashima Antlers,364,364,False
JPN1,2021,2020-02-21,Shonan Bellmare,Hokkaido Consadole Sapporo,364,364,False
JPN1,2021,2020-02-21,Cerezo Osaka,Nagoya Grampus,364,364,False
JPN1,2021,2020-02-21,Yokohama F. Marinos,FC Tokyo,364,364,False
JPN1,2021,2020-02-21,Vegalta Sendai,Hokkaido Consadole Sapporo,364,364,False
JPN1,2021,2020-02-21,Kashima Antlers,Yokohama F. Marinos,364,364,False
JPN1,2021,2020-02-21,Yokohama FC,Kawasaki Frontale,7,364,False
JPN1,2021,2020-02-21,Nagoya Grampus,Sagan Tosu,364,364,False
JPN1,2021,2020-02-21,Kashiwa Reysol,Shonan Bellmare,7,364,False
JPN1,2021,2020-02-21,FC Tokyo,Urawa Red Diamonds,364,364,False
JPN1,2021,2020-02-21,Gamba Osaka,Oita Trinita,364,364,False
JPN1,2021,2020-02-21,Vissel Kobe,Shimizu S-Pulse,364,364,False
JPN1,2021,2020-02-21,Sanfrecce Hiroshima,Cerezo Osaka,364,364,False
JPN1,2021,2020-02-21,Yokohama F. Marinos,Yokohama FC,364,7,False
JPN1,2021,2020-02-21,Shonan Bellmare,Kashima Antlers,364,364,False
JPN1,2021,2020-02-21,Gamba Osaka,Sanfrecce Hiroshima,364,364,False
JPN1,2021,2020-02-21,Sagan Tosu,Shimizu S-Pulse,364,364,False
JPN1,2021,2020-02-21,Hokkaido Consadole Sapporo,FC Tokyo,364,364,False
JPN1,2021,2020-02-21,Vegalta Sendai,Kawasaki Frontale,364,364,False
JPN1,2021,2020-02-21,Urawa Red Diamonds,Kashiwa Reysol,364,7,False
JPN1,2021,2020-02-21,Cerezo Osaka,Vissel Kobe,364,364,False
JPN1,2021,2020-02-21,Oita Trinita,Nagoya Grampus,364,364,False
JPN1,2021,2020-02-21,Hokkaido Consadole Sapporo,Yokohama F. Marinos,364,364,False
JPN1,2021,2020-02-21,Yokohama FC,Urawa Red Diamonds,7,364,False
JPN1,2021,2020-02-21,Shimizu S-Pulse,Oita Trinita,364,364,False
