league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
MEX1,2425,2024-07-05,Club León,Club Necaxa,175,175,False
MEX1,2425,2024-07-05,Gallos Blancos,Cruz Azul,175,175,False
MEX1,2425,2024-07-05,Mazatlán FC,CF Pachuca,175,175,False
MEX1,2425,2024-07-05,Club Tijuana,CF Monterrey,175,175,False
MEX1,2425,2024-07-05,Club Necaxa,FC Juárez,175,175,False
MEX1,2425,2024-07-05,Club León,Santos Laguna,175,175,False
MEX1,2425,2024-07-05,Atlas Guadalajara,Pumas UNAM,175,175,False
MEX1,2425,2024-07-05,UANL Tigres,Deportivo Guadalajara,175,175,False
MEX1,2425,2024-07-05,CF América,Puebla FC,175,175,False
MEX1,2425,2024-07-05,Deportivo Toluca,Atlético San Luis,175,175,False
MEX1,2425,2024-07-05,Atlético San Luis,Atlas Guadalajara,175,175,False
MEX1,2425,2024-07-05,Mazatlán FC,Puebla FC,175,175,False
MEX1,2425,2024-07-05,Club Tijuana,Club León,175,175,False
MEX1,2425,2024-07-05,CF Pachuca,Gallos Blancos,175,175,False
MEX1,2425,2024-07-05,Deportivo Guadalajara,FC Juárez,175,175,False
MEX1,2425,2024-07-05,CF Monterrey,Deportivo Toluca,175,175,False
MEX1,2425,2024-07-05,Cruz Azul,CF América,175,175,False
MEX1,2425,2024-07-05,Pumas UNAM,UANL Tigres,175,175,False
MEX1,2425,2024-07-05,Santos Laguna,Club Necaxa,175,175,False
MEX1,2425,2024-07-05,Puebla FC,Gallos Blancos,175,175,False
MEX1,2425,2024-07-05,Atlas Guadalajara,CF Pachuca,175,175,False
MEX1,2425,2024-07-05,FC Juárez,Mazatlán FC,175,175,False
MEX1,2425,2024-07-05,UANL Tigres,Atlético San Luis,175,175,False
MEX1,2425,2024-07-05,Club Necaxa,Pumas UNAM,175,175,False
MEX1,2425,2024-07-05,Deportivo Toluca,Club Tijuana,175,175,False
MEX1,2425,2024-07-05,CF América,Deportivo Guadalajara,175,175,False
MEX1,2425,2024-07-05,Club León,Cruz Azul,175,175,False
MEX1,2425,2024-07-05,Santos Laguna,CF Monterrey,175,175,False
MEX1,2425,2024-07-05,Club Tijuana,Santos Laguna,175,175,False
MEX1,2425,2024-07-05,Atlético San Luis,Cruz Azul,175,175,False
MEX1,2425,2024-07-05,CF Pachuca,Deportivo Toluca,175,175,False
MEX1,2425,2024-07-05,CF América,Atlas Guadalajara,175,175,False
MEX1,2425,2024-07-05,Pumas UNAM,Puebla FC,175,175,False
MEX1,2425,2024-07-05,Gallos Blancos,UANL Tigres,175,175,False
MEX1,2425,2024-07-05,Deportivo Guadalajara,Club León,175,175,False
MEX1,2425,2024-07-05,Mazatlán FC,Club Necaxa,175,175,False
MEX1,2425,2024-07-05,CF Monterrey,FC Juárez,175,175,False
MEX1,2425,2024-07-05,Atlas Guadalajara,Gallos Blancos,175,175,False
MEX1,2425,2024-07-05,Puebla FC,CF Pachuca,175,175,False
MEX1,2425,2024-07-05,Club León,Atlético San Luis,175,175,False
MEX1,2425,2024-07-05,Club Necaxa,CF América,175,175,False
MEX1,2425,2024-07-05,CF Monterrey,Mazatlán FC,175,175,False
MEX1,2425,2024-07-05,Cruz Azul,Deportivo Guadalajara,175,175,False
MEX1,2425,2024-07-05,Pumas UNAM,Club Tijuana,175,175,False
MEX1,2425,2024-07-05,Santos Laguna,Deportivo Toluca,175,175,False
MEX1,2425,2024-07-05,FC Juárez,UANL Tigres,175,175,False
MEX1,2425,2024-07-05,Puebla FC,FC Juárez,175,175,False
MEX1,2425,2024-07-05,Gallos Blancos,Club Necaxa,175,175,False
MEX1,2425,2024-07-05,UANL Tigres,Club León,175,175,False
MEX1,2425,2024-07-05,Club Tijuana,Mazatlán FC,175,175,False
MEX1,2425,2024-07-05,Deportivo Toluca,Atlas Guadalajara,175,175,False
MEX1,2425,2024-07-05,CF Pachuca,Cruz Azul,175,175,False
MEX1,2425,2024-07-05,Deportivo Guadalajara,CF Monterrey,175,175,False
MEX1,2425,2024-07-05,Atlético San Luis,Santos Laguna,175,175,False
MEX1,2425,2024-07-05,Club Tijuana,CF Pachuca,175,175,False
MEX1,2425,2024-07-05,UANL Tigres,Puebla FC,175,175,False
MEX1,2425,2024-07-05,Atlético San Luis,CF Monterrey,175,175,False
MEX1,2425,2024-07-05,Cruz Azul,Club Necaxa,175,175,False
MEX1,2425,2024-07-05,Deportivo Toluca,Pumas UNAM,175,175,False
MEX1,2425,2024-07-05,Deportivo Guadalajara,Atlas Guadalajara,175,175,False
MEX1,2425,2024-07-05,Club León,CF América,175,175,False
MEX1,2425,2024-07-05,Santos Laguna,FC Juárez,175,175,False
MEX1,2425,2024-07-05,Atlas Guadalajara,Mazatlán FC,175,175,False
MEX1,2425,2024-07-05,Mazatlán FC,Gallos Blancos,175,175,False
MEX1,2425,2024-07-05,Gallos Blancos,Deportivo Guadalajara,175,175,False
MEX1,2425,2024-07-05,Atlas Guadalajara,Santos Laguna,175,175,False
MEX1,2425,2024-07-05,CF Pachuca,Atlético San Luis,175,175,False
MEX1,2425,2024-07-05,Puebla FC,Club León,175,175,False
MEX1,2425,2024-07-05,Cruz Azul,Club Tijuana,175,175,False
MEX1,2425,2024-07-05,Club Necaxa,CF Monterrey,175,175,False
MEX1,2425,2024-07-05,FC Juárez,Pumas UNAM,175,175,False
MEX1,2425,2024-07-05,Deportivo Toluca,Mazatlán FC,175,175,False
MEX1,2425,2024-07-05,UANL Tigres,CF América,175,175,False
MEX1,2425,2024-07-05,Atlético San Luis,Club Tijuana,175,175,False
MEX1,2425,2024-07-05,CF América,Pumas UNAM,175,175,False
MEX1,2425,2024-07-05,Puebla FC,Atlas Guadalajara,175,175,False
MEX1,2425,2024-07-05,Deportivo Guadalajara,Mazatlán FC,175,175,False
MEX1,2425,2024-07-05,Santos Laguna,UANL Tigres,175,175,False
MEX1,2425,2024-07-05,CF Monterrey,Gallos Blancos,175,175,False
MEX1,2425,2024-07-05,Cruz Azul,Deportivo Toluca,175,175,False
MEX1,2425,2024-07-05,FC Juárez,CF América,175,175,False
MEX1,2425,2024-07-05,Pumas UNAM,CF Pachuca,175,175,False
MEX1,2425,2024-07-05,Puebla FC,Santos Laguna,175,175,False
MEX1,2425,2024-07-05,Gallos Blancos,Club Tijuana,175,175,False
MEX1,2425,2024-07-05,FC Juárez,Atlas Guadalajara,175,175,False
MEX1,2425,2024-07-05,Atlético San Luis,CF América,175,175,False
MEX1,2425,2024-07-05,UANL Tigres,Club Necaxa,175,175,False
MEX1,2425,2024-07-05,Deportivo Guadalajara,Deportivo Toluca,175,175,False
MEX1,2425,2024-07-05,Cruz Azul,Mazatlán FC,175,175,False
MEX1,2425,2024-07-05,Pumas UNAM,Club León,175,175,False
MEX1,2425,2024-07-05,CF Pachuca,CF Monterrey,175,175,False
MEX1,2425,2024-07-05,CF América,Gallos Blancos,175,175,False
MEX1,2425,2024-07-05,Mazatlán FC,Atlético San Luis,175,175,False
MEX1,2425,2024-07-05,Club Tijuana,Deportivo Guadalajara,175,175,False
MEX1,2425,2024-07-05,Atlas Guadalajara,UANL Tigres,175,175,False
MEX1,2425,2024-07-05,Club Necaxa,Puebla FC,175,175,False
MEX1,2425,2024-07-05,Club León,CF Pachuca,175,175,False
MEX1,2425,2024-07-05,Santos Laguna,Pumas UNAM,175,175,False
MEX1,2425,2024-07-05,Deportivo Toluca,FC Juárez,175,175,False
MEX1,2425,2024-07-05,CF Monterrey,Cruz Azul,175,175,False
MEX1,2425,2025-01-10,Atlético San Luis,Mazatlán FC,189,189,False
MEX1,2425,2025-01-10,UANL Tigres,Club Tijuana,189,189,False
MEX1,2425,2025-01-10,Club Necaxa,Cruz Azul,189,189,False
MEX1,2425,2025-01-10,Atlas Guadalajara,CF Monterrey,189,189,False
MEX1,2425,2025-01-10,Gallos Blancos,CF Pachuca,189,189,False
MEX1,2425,2025-01-10,FC Juárez,Santos Laguna,189,189,False
MEX1,2425,2025-01-10,Pumas UNAM,Deportivo Toluca,189,189,False
MEX1,2425,2025-01-10,Mazatlán FC,Club León,189,189,False
MEX1,2425,2025-01-10,Club Tijuana,Cruz Azul,189,189,False
MEX1,2425,2025-01-10,CF América,FC Juárez,189,189,False
MEX1,2425,2025-01-10,Deportivo Guadalajara,Gallos Blancos,189,189,False
MEX1,2425,2025-01-10,CF Pachuca,Atlas Guadalajara,189,189,False
MEX1,2425,2025-01-10,CF Monterrey,Club Necaxa,189,189,False
MEX1,2425,2025-01-10,Deportivo Toluca,UANL Tigres,189,189,False
MEX1,2425,2025-01-10,Santos Laguna,Puebla FC,189,189,False
