league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
SC0,2425,2024-08-03,Motherwell,Ross County,76,76,False
SC0,2425,2024-08-03,Hearts,Rangers,77,77,False
SC0,2425,2024-08-04,Celtic,Kilmarnock,78,78,False
SC0,2425,2024-08-04,St Mirren,Hibernian,78,77,False
SC0,2425,2024-08-04,Dundee,Dundee,78,78,False
SC0,2425,2024-08-05,St Johnstone,Aberdeen,78,78,False
SC0,2425,2024-08-10,Rangers,Motherwell,7,7,False
SC0,2425,2024-08-10,Dundee,Hearts,6,7,False
SC0,2425,2024-08-10,Ross County,Dundee,7,6,False
SC0,2425,2024-08-11,Kilmarnock,St Johnstone,7,6,False
SC0,2425,2024-08-11,Hibernian,Celtic,7,7,False
SC0,2425,2024-08-11,Aberdeen,St Mirren,6,7,False
SC0,2425,2024-08-24,Rangers,Ross County,14,14,False
SC0,2425,2024-08-24,Dundee,St Johnstone,14,13,False
SC0,2425,2024-08-24,Hibernian,Dundee,13,14,False
SC0,2425,2024-08-25,Motherwell,Hearts,15,15,False
SC0,2425,2024-08-25,St Mirren,Celtic,14,14,False
SC0,2425,2024-08-25,Aberdeen,Kilmarnock,14,14,False
SC0,2425,2024-08-31,Ross County,Aberdeen,7,6,False
SC0,2425,2024-08-31,Dundee,St Mirren,7,6,False
SC0,2425,2024-08-31,St Johnstone,Motherwell,7,6,False
SC0,2425,2024-09-01,Kilmarnock,Hibernian,7,8,False
SC0,2425,2024-09-01,Celtic,Rangers,7,8,False
SC0,2425,2024-09-01,Hearts,Dundee,7,1,False
SC0,2425,2024-09-14,Hibernian,St Johnstone,13,14,False
SC0,2425,2024-09-14,Ross County,Dundee,14,13,False
SC0,2425,2024-09-14,St Mirren,Kilmarnock,14,13,False
SC0,2425,2024-09-14,Aberdeen,Motherwell,14,14,False
SC0,2425,2024-09-14,Celtic,Hearts,13,13,False
SC0,2425,2024-09-15,Dundee,Rangers,1,14,False
SC0,2425,2024-09-21,Ross County,St Johnstone,7,7,False
SC0,2425,2024-09-21,St Mirren,Hearts,7,7,False
SC0,2425,2024-09-28,Kilmarnock,Dundee,14,13,False
SC0,2425,2024-09-28,Motherwell,St Mirren,14,7,False
SC0,2425,2024-09-28,St Johnstone,Celtic,7,14,False
SC0,2425,2024-09-28,Hearts,Ross County,7,7,False
