league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
SP1,1920,2019-08-16,Ath Bilbao,Barcelona,90,89,False
SP1,1920,2019-08-17,Levante,Osasuna,91,653,False
SP1,1920,2019-08-17,Mallorca,Eibar,7,90,False
SP1,1920,2019-08-17,Valencia,Sociedad,91,91,False
SP1,1920,2019-08-17,Celta,Ath Madrid,91,90,False
SP1,1920,2019-08-17,Villarreal,Granada,91,652,False
SP1,1920,2019-08-18,Alaves,Levante,92,1,False
SP1,1920,2019-08-18,Espanol,Sevilla,92,92,False
SP1,1920,2019-08-18,Betis,Valladolid,91,92,False
SP1,1920,2019-08-18,Ath Madrid,Getafe,1,92,False
SP1,1920,2019-08-23,Granada,Sevilla,6,5,False
SP1,1920,2019-08-23,Levante,Villarreal,5,6,False
SP1,1920,2019-08-24,Ath Madrid,Valladolid,6,6,False
SP1,1920,2019-08-24,Osasuna,Eibar,7,7,False
SP1,1920,2019-08-24,Celta,Valencia,7,7,False
SP1,1920,2019-08-24,Getafe,Ath Bilbao,6,8,False
SP1,1920,2019-08-25,Alaves,Espanol,7,7,False
SP1,1920,2019-08-25,Mallorca,Sociedad,8,8,False
SP1,1920,2019-08-25,Levante,Ath Madrid,2,1,False
SP1,1920,2019-08-25,Barcelona,Betis,9,7,False
SP1,1920,2019-08-30,Sevilla,Celta,7,6,False
SP1,1920,2019-08-30,Ath Bilbao,Sociedad,6,5,False
SP1,1920,2019-08-31,Osasuna,Barcelona,7,6,False
SP1,1920,2019-08-31,Getafe,Alaves,7,6,False
SP1,1920,2019-08-31,Levante,Valladolid,6,7,False
SP1,1920,2019-08-31,Betis,Levante,6,6,False
SP1,1920,2019-08-31,Betis,CD Leganes,6,105,False
SP1,1920,2019-09-01,Valencia,Mallorca,8,7,False
SP1,1920,2019-09-01,Ath Madrid,Eibar,7,8,False
SP1,1920,2019-09-01,Espanol,Granada,7,9,False
SP1,1920,2019-09-01,Villarreal,Ath Madrid,9,7,False
SP1,1920,2019-09-13,Mallorca,Ath Bilbao,12,14,False
SP1,1920,2019-09-14,Sociedad,Ath Madrid,15,13,False
