league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
T1,2526,2025-08-08,Gaziantep,Galatasaray,69,70,False
T1,2526,2025-08-09,Samsunspor,Genclerbirligi,69,1547,False
T1,2526,2025-08-09,Antalyaspor,Kasimpasa,70,71,False
T1,2526,2025-08-10,Rizespor,Goztep,71,72,False
T1,2526,2025-08-10,Eyupspor,Antalyaspor,78,1,False
T1,2526,2025-08-11,Trabzonspor,Kocaelispor,73,71,False
T1,2526,2025-08-15,Galatasaray,Karagumruk,7,446,False
T1,2526,2025-08-16,Antalyaspor,Rizespor,6,6,False
T1,2526,2025-08-16,Goztep,Fenerbahce,6,77,False
T1,2526,2025-08-16,Kocaelispor,Samsunspor,5,7,False
T1,2526,2025-08-17,Buyuksehyr,Kocaelispor,79,1,False
T1,2526,2025-08-17,Genclerbirligi,Antalyaspor,8,1,False
T1,2526,2025-08-17,Antalyaspor,Gaziantep,1,9,False
T1,2526,2025-08-17,Besiktas,Eyupspor,77,7,False
T1,2526,2025-08-18,Kasimpasa,Trabzonspor,9,7,False
T1,2526,2025-08-22,Karagumruk,Goztep,7,6,False
T1,2526,2025-08-23,Fenerbahce,Kocaelispor,7,6,False
T1,2526,2025-08-23,Gaziantep,Genclerbirligi,6,6,False
T1,2526,2025-08-24,Trabzonspor,Antalyaspor,6,7,False
T1,2526,2025-08-24,Kocaelispor,Galatasaray,1,9,False
T1,2526,2025-08-25,Eyupspor,Antalyaspor,8,1,False
T1,2526,2025-08-29,Goztep,Antalyaspor,7,4,False
T1,2526,2025-08-30,Kocaelispor,Kocaelispor,6,6,False
T1,2526,2025-08-30,Kasimpasa,Gaziantep,12,7,False
T1,2526,2025-08-30,Galatasaray,Rizespor,6,14,False
T1,2526,2025-08-30,Antalyaspor,Karagumruk,1,8,False
T1,2526,2025-08-31,Buyuksehyr,Eyupspor,14,6,False
T1,2526,2025-08-31,Genclerbirligi,Fenerbahce,8,8,False
T1,2526,2025-08-31,Antalyaspor,Besiktas,1,14,False
T1,2526,2025-08-31,Trabzonspor,Samsunspor,7,15,False
T1,2526,2025-09-13,Karagumruk,Kasimpasa,14,14,False
T1,2526,2025-09-13,Antalyaspor,Antalyaspor,13,13,False
T1,2526,2025-09-13,Eyupspor,Galatasaray,13,14,False
T1,2526,2025-09-13,Besiktas,Buyuksehyr,13,13,False
T1,2526,2025-09-13,Samsunspor,Antalyaspor,13,13,False
T1,2526,2025-09-14,Gaziantep,Kocaelispor,15,15,False
T1,2526,2025-09-14,Fenerbahce,Trabzonspor,14,14,False
T1,2526,2025-09-14,Kocaelispor,Goztep,15,16,False
T1,2526,2025-09-15,Rizespor,Genclerbirligi,16,15,False
T1,2526,2025-09-17,Fenerbahce,Antalyaspor,3,4,True
T1,2526,2025-09-17,Karagumruk,Buyuksehyr,4,4,True
T1,2526,2025-09-17,Samsunspor,Kasimpasa,4,4,True
T1,2526,2025-09-19,Goztep,Besiktas,5,6,False
T1,2526,2025-09-20,Genclerbirligi,Eyupspor,5,7,False
T1,2526,2025-09-20,Trabzonspor,Gaziantep,6,6,False
T1,2526,2025-09-20,Antalyaspor,Kocaelispor,3,6,False
T1,2526,2025-09-21,Samsunspor,Karagumruk,4,4,False
T1,2526,2025-09-21,Kasimpasa,Fenerbahce,4,4,False
T1,2526,2025-09-21,Kocaelispor,Rizespor,1,6,False
T1,2526,2025-09-21,Buyuksehyr,Antalyaspor,4,1,False
T1,2526,2025-09-22,Galatasaray,Antalyaspor,9,1,False
T1,2526,2025-09-24,Kocaelispor,Besiktas,3,5,True
T1,2526,2025-09-26,Antalyaspor,Galatasaray,4,4,False
T1,2526,2025-09-27,Gaziantep,Samsunspor,7,6,False
T1,2526,2025-09-27,Eyupspor,Goztep,7,8,False
T1,2526,2025-09-27,Karagumruk,Trabzonspor,6,7,False
T1,2526,2025-09-28,Fenerbahce,Antalyaspor,7,2,False
T1,2526,2025-09-28,Rizespor,Kasimpasa,7,7,False
T1,2526,2025-09-28,Kocaelispor,Genclerbirligi,4,8,False
T1,2526,2025-09-28,Antalyaspor,Buyuksehyr,2,7,False
T1,2526,2025-09-29,Besiktas,Kocaelispor,5,1,False
T1,2526,2025-10-03,Trabzonspor,Kocaelispor,6,4,False
T1,2526,2025-10-03,Antalyaspor,Rizespor,5,5,False
T1,2526,2025-10-04,Genclerbirligi,Antalyaspor,6,1,False
T1,2526,2025-10-04,Galatasaray,Besiktas,8,5,False
T1,2526,2025-10-04,Kocaelispor,Eyupspor,1,7,False
T1,2526,2025-10-05,Goztep,Buyuksehyr,8,7,False
T1,2526,2025-10-05,Samsunspor,Fenerbahce,8,7,False
T1,2526,2025-10-05,Karagumruk,Gaziantep,8,8,False
T1,2526,2025-10-05,Kasimpasa,Antalyaspor,7,1,False
T1,2526,2025-10-18,Rizespor,Trabzonspor,15,15,False
T1,2526,2025-10-18,Buyuksehyr,Galatasaray,13,14,False
T1,2526,2025-10-18,Besiktas,Genclerbirligi,14,14,False
T1,2526,2025-10-18,Antalyaspor,Kocaelispor,13,14,False
T1,2526,2025-10-19,Fenerbahce,Karagumruk,14,14,False
T1,2526,2025-10-19,Antalyaspor,Goztep,1,14,False
T1,2526,2025-10-19,Kocaelispor,Samsunspor,1,14,False
T1,2526,2025-10-19,Gaziantep,Antalyaspor,14,1,False
T1,2526,2025-10-20,Eyupspor,Kasimpasa,16,15,False
T1,2526,2025-10-22,Rizespor,Buyuksehyr,4,4,True
T1,2526,2025-10-22,Antalyaspor,Besiktas,3,4,True
T1,2526,2025-10-24,Karagumruk,Kocaelispor,5,5,False
T1,2526,2025-10-25,Kocaelispor,Antalyaspor,1,3,False
T1,2526,2025-10-25,Trabzonspor,Eyupspor,7,5,False
T1,2526,2025-10-26,Antalyaspor,Buyuksehyr,1,4,False
T1,2526,2025-10-26,Genclerbirligi,Antalyaspor,8,1,False
T1,2526,2025-10-26,Kasimpasa,Besiktas,6,4,False
T1,2526,2025-10-26,Galatasaray,Goztep,8,7,False
T1,2526,2025-10-27,Samsunspor,Rizespor,8,5,False
T1,2526,2025-10-27,Gaziantep,Fenerbahce,8,8,False
T1,2526,2025-10-31,Buyuksehyr,Kocaelispor,5,6,False
T1,2526,2025-11-01,Goztep,Genclerbirligi,6,6,False
T1,2526,2025-11-01,Galatasaray,Trabzonspor,6,7,False
T1,2526,2025-11-02,Besiktas,Fenerbahce,7,6,False
T1,2526,2025-11-02,Antalyaspor,Samsunspor,7,6,False
T1,2526,2025-11-02,Kocaelispor,Kasimpasa,2,7,False
T1,2526,2025-11-03,Rizespor,Karagumruk,7,10,False
T1,2526,2025-11-03,Eyupspor,Antalyaspor,9,1,False
T1,2526,2025-11-03,Antalyaspor,Gaziantep,1,7,False
T1,2526,2025-11-07,Genclerbirligi,Buyuksehyr,6,7,False
T1,2526,2025-11-08,Kasimpasa,Goztep,6,7,False
T1,2526,2025-11-08,Trabzonspor,Antalyaspor,7,5,False
T1,2526,2025-11-08,Gaziantep,Rizespor,5,5,False
T1,2526,2025-11-08,Antalyaspor,Besiktas,5,6,False
T1,2526,2025-11-09,Kocaelispor,Galatasaray,7,8,False
T1,2526,2025-11-09,Samsunspor,Eyupspor,7,6,False
T1,2526,2025-11-09,Karagumruk,Antalyaspor,6,1,False
T1,2526,2025-11-09,Fenerbahce,Kocaelispor,7,7,False
T1,2526,2025-11-22,Galatasaray,Genclerbirligi,13,15,False
T1,2526,2025-11-22,Eyupspor,Karagumruk,13,13,False
T1,2526,2025-11-22,Kocaelispor,Gaziantep,13,14,False
T1,2526,2025-11-23,Rizespor,Fenerbahce,15,14,False
T1,2526,2025-11-23,Goztep,Kocaelispor,15,1,False
T1,2526,2025-11-23,Besiktas,Samsunspor,15,14,False
T1,2526,2025-11-23,Antalyaspor,Kasimpasa,14,15,False
