league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
USA1,2223,2022-02-26,Toronto FC,CF Montréal,316,316,False
USA1,2223,2022-02-26,Los Angeles Galaxy,Sporting Kansas City,316,316,False
USA1,2223,2022-02-26,Seattle Sounders,Houston Dynamo,316,316,False
USA1,2223,2022-02-26,CF Montréal,Columbus Crew,316,316,False
USA1,2223,2022-02-26,Nashville SC,Los Angeles Galaxy,316,316,False
USA1,2223,2022-02-26,New York RB,New England Revolution,316,316,False
USA1,2223,2022-02-26,Atlanta United FC,Toronto FC,316,316,False
USA1,2223,2022-02-26,Philadelphia Union,Orlando City,316,316,False
USA1,2223,2022-02-26,Chicago Fire,Inter Miami CF,316,316,False
USA1,2223,2022-02-26,Colorado Rapids,Vancouver Whitecaps,316,316,False
USA1,2223,2022-02-26,CF Montréal,Chicago Fire,316,316,False
USA1,2223,2022-02-26,Inter Miami CF,Columbus Crew,316,316,False
USA1,2223,2022-02-26,Minnesota United FC,Los Angeles Galaxy,316,316,False
USA1,2223,2022-02-26,Houston Dynamo,New England Revolution,316,316,False
USA1,2223,2022-02-26,Colorado Rapids,San Jose Earthquakes,316,316,False
USA1,2223,2022-02-26,Chicago Fire,Charlotte FC,316,7,False
USA1,2223,2022-02-26,Sporting Kansas City,Minnesota United FC,316,316,False
USA1,2223,2022-02-26,Austin FC,Nashville SC,316,316,False
USA1,2223,2022-02-26,Real Salt Lake,FC Cincinnati,316,316,False
USA1,2223,2022-02-26,Vancouver Whitecaps,Seattle Sounders,316,316,False
USA1,2223,2022-02-26,San Jose Earthquakes,FC Dallas,316,316,False
USA1,2223,2022-02-26,Los Angeles Galaxy,Colorado Rapids,316,316,False
USA1,2223,2022-02-26,Columbus Crew,Portland Timbers,316,316,False
USA1,2223,2022-02-26,D.C. United,Inter Miami CF,316,316,False
USA1,2223,2022-02-26,Los Angeles Galaxy,Houston Dynamo,316,316,False
USA1,2223,2022-02-26,Seattle Sounders,FC Cincinnati,316,316,False
USA1,2223,2022-02-26,New England Revolution,Atlanta United FC,316,316,False
USA1,2223,2022-02-26,FC Cincinnati,Chicago Fire,316,316,False
USA1,2223,2022-02-26,Los Angeles Galaxy,Real Salt Lake,316,316,False
USA1,2223,2022-02-26,Portland Timbers,Los Angeles Galaxy,316,316,False
USA1,2223,2022-02-26,Nashville SC,Houston Dynamo,316,316,False
USA1,2223,2022-02-26,Charlotte FC,Columbus Crew,7,316,False
USA1,2223,2022-02-26,Inter Miami CF,Orlando City,316,316,False
USA1,2223,2022-02-26,Chicago Fire,New England Revolution,316,316,False
USA1,2223,2022-02-26,D.C. United,FC Cincinnati,316,316,False
USA1,2223,2022-02-26,Inter Miami CF,CF Montréal,316,316,False
USA1,2223,2022-02-26,Orlando City,Columbus Crew,316,316,False
USA1,2223,2022-02-26,Austin FC,Colorado Rapids,316,316,False
USA1,2223,2022-02-26,FC Dallas,Sporting Kansas City,316,316,False
USA1,2223,2022-02-26,Real Salt Lake,Portland Timbers,316,316,False
USA1,2223,2022-02-26,Seattle Sounders,San Jose Earthquakes,316,316,False
USA1,2223,2022-02-26,Austin FC,Real Salt Lake,316,316,False
USA1,2223,2022-02-26,FC Dallas,Minnesota United FC,316,316,False
USA1,2223,2022-02-26,Los Angeles Galaxy,Los Angeles Galaxy,316,316,False
