league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
AUS1,2425,2024-10-18,9672,Western Sydney Wanderers,True,5,1,2,2,12,12,5,0.3333333333333333,0.96,0.040000000000000036,2024-01-01
AUS1,2425,2024-10-18,9673,Sydney FC,False,5,2,3,0,9,6,9,0.6,0.72,0.52,2024-01-01
AUS1,2425,2024-10-18,9681,Wellington Phoenix,True,5,2,3,0,8,6,9,0.6,0.64,0.52,2024-01-01
AUS1,2425,2024-10-18,9674,Western United,False,5,1,2,2,9,10,5,0.3333333333333333,0.72,0.19999999999999996,2024-01-01
AUS1,2425,2024-10-18,9680,Macarthur FC,True,5,1,3,1,8,8,6,0.4,0.64,0.36,2024-01-01
AUS1,2425,2024-10-18,9676,Perth Glory,False,5,2,2,1,11,9,8,0.5333333333333333,0.8800000000000001,0.28,2024-01-01
AUS1,2425,2024-10-18,9680,Macarthur FC,True,5,1,3,1,8,8,6,0.4,0.64,0.36,2024-01-01
AUS1,2425,2024-10-18,9678,Newcastle United Jets,False,5,1,3,1,9,8,6,0.4,0.72,0.36,2024-01-01
AUS1,2425,2024-10-18,9677,Adelaide United,True,5,0,4,1,10,11,4,0.26666666666666666,0.8,0.11999999999999988,2024-01-01
AUS1,2425,2024-10-18,9679,Central Coast Mariners,False,5,2,0,3,8,9,6,0.4,0.64,0.28,2024-01-01
AUS1,2425,2024-10-18,9670,Melbourne City FC,True,5,1,0,4,7,14,3,0.2,0.5599999999999999,0.0,2024-01-01
AUS1,2425,2024-10-18,9675,Melbourne Victory,False,5,2,3,0,8,6,9,0.6,0.64,0.52,2024-01-01
AUS1,2425,2024-10-18,9674,Western United,True,5,1,2,2,9,10,5,0.3333333333333333,0.72,0.19999999999999996,2024-01-01
AUS1,2425,2024-10-18,9672,Western Sydney Wanderers,False,5,1,2,2,12,12,5,0.3333333333333333,0.96,0.040000000000000036,2024-01-01
AUS1,2425,2024-10-18,9671,Brisbane Roar,True,5,1,1,3,9,10,4,0.26666666666666666,0.72,0.19999999999999996,2024-01-01
