league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
B1,2223,2022-07-22,8922,Standard,True,5,1,1,3,2,7,4,0.26666666666666666,0.16,0.44000000000000006,2022-04-10
B1,2223,2022-07-22,8927,Genk,False,5,3,1,1,15,5,10,0.6666666666666666,1.0,0.6,2022-04-10
B1,2223,2022-07-23,8926,Charleroi,True,5,2,2,1,10,6,8,0.5333333333333333,0.8,0.52,2022-04-10
B1,2223,2022-07-23,8931,Eupen,False,5,1,1,3,4,12,4,0.26666666666666666,0.32,0.040000000000000036,2022-04-09
B1,2223,2022-07-23,8930,Kortrijk,True,5,0,0,5,6,12,0,0.0,0.48,0.040000000000000036,2022-04-10
B1,2223,2022-07-23,8925,Oud-Heverlee Leuven,False,5,0,1,4,3,14,1,0.06666666666666667,0.24,0.0,2022-04-10
B1,2223,2022-07-23,8928,St Truiden,True,5,4,1,0,10,3,13,0.8666666666666667,0.8,0.76,2022-04-10
B1,2223,2022-07-23,8916,St. Gilloise,False,5,4,1,0,16,5,13,0.8666666666666667,1.0,0.6,2022-04-10
B1,2223,2022-07-23,8919,Waregem,True,5,1,0,4,4,8,3,0.2,0.32,0.36,2022-04-10
B1,2223,2022-07-23,8933,Seraing,False,5,1,2,2,4,10,5,0.3333333333333333,0.32,0.19999999999999996,2022-04-10
B1,2223,2022-07-24,8920,Mechelen,True,5,1,3,1,7,8,6,0.4,0.5599999999999999,0.36,2022-04-10
B1,2223,2022-07-24,8915,Antwerp,False,5,3,1,1,6,4,10,0.6666666666666666,0.48,0.6799999999999999,2022-04-09
B1,2223,2022-07-24,8924,Westerlo,True,5,1,1,3,4,12,4,0.26666666666666666,0.32,0.040000000000000036,2017-12-03
B1,2223,2022-07-24,8918,Cercle Brugge,False,5,3,2,0,11,5,11,0.7333333333333333,0.8800000000000001,0.6,2022-04-10
B1,2223,2022-07-24,8923,Anderlecht,True,5,4,0,1,12,4,12,0.8,0.96,0.6799999999999999,2022-04-10
B1,2223,2022-07-24,8934,Oostende,False,5,1,2,2,6,9,5,0.3333333333333333,0.48,0.28,2022-04-09
B1,2223,2022-07-24,8918,Cercle Brugge,True,5,3,2,0,11,5,11,0.7333333333333333,0.8800000000000001,0.6,2022-04-10
B1,2223,2022-07-24,8927,Genk,False,5,3,2,0,16,4,11,0.7333333333333333,1.0,0.6799999999999999,2022-07-22
B1,2223,2022-07-29,8916,St. Gilloise,True,5,3,2,0,14,4,11,0.7333333333333333,1.0,0.6799999999999999,2022-07-23
B1,2223,2022-07-29,8926,Charleroi,False,5,3,1,1,13,7,10,0.6666666666666666,1.0,0.44000000000000006,2022-07-23
B1,2223,2022-07-30,8925,Oud-Heverlee Leuven,True,5,1,1,3,4,11,4,0.26666666666666666,0.32,0.11999999999999988,2022-07-23
B1,2223,2022-07-30,8924,Westerlo,False,5,2,1,2,6,8,7,0.4666666666666667,0.48,0.36,2022-07-24
B1,2223,2022-07-30,8927,Genk,True,5,2,2,1,13,7,8,0.5333333333333333,1.0,0.44000000000000006,2022-07-24
B1,2223,2022-07-30,8928,St Truiden,False,5,4,1,0,10,3,13,0.8666666666666667,0.8,0.76,2022-07-23
B1,2223,2022-07-30,8934,Oostende,True,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2022-07-24
B1,2223,2022-07-30,8920,Mechelen,False,5,1,2,2,6,9,5,0.3333333333333333,0.48,0.28,2022-07-24
B1,2223,2022-07-30,8918,Cercle Brugge,True,5,2,2,1,8,7,8,0.5333333333333333,0.64,0.44000000000000006,2022-07-24
B1,2223,2022-07-30,8923,Anderlecht,False,5,4,0,1,11,4,12,0.8,0.8800000000000001,0.6799999999999999,2022-07-24
B1,2223,2022-07-31,8933,Seraing,True,5,1,2,2,4,7,5,0.3333333333333333,0.32,0.44000000000000006,2022-07-23
