league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
CHN1,2021,2020-07-25,9634,Guangzhou Evergrande,True,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9593,Shanghai Shenhua,False,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9635,Wuhan Zall FC,True,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9601,Shandong Taishan,False,5,3,1,1,11,6,10,0.6666666666666666,0.8800000000000001,0.52,2019-03-01
CHN1,2021,2020-07-25,9606,Shenzhen Peng City,True,5,0,2,3,9,19,2,0.13333333333333333,0.72,0.0,2019-03-01
CHN1,2021,2020-07-25,9622,Guangzhou City,False,5,0,0,5,4,12,0,0.0,0.32,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9640,Chongqing Lifan,True,5,1,0,4,1,6,3,0.2,0.08,0.52,2019-03-01
CHN1,2021,2020-07-25,9596,Beijing Guoan,False,5,4,0,1,12,7,12,0.8,0.96,0.44000000000000006,2019-03-01
CHN1,2021,2020-07-25,9641,Tianjin Teda,True,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2019-03-01
CHN1,2021,2020-07-25,9605,Shanghai Port FC,False,5,3,1,1,12,3,10,0.6666666666666666,0.96,0.76,2019-03-01
CHN1,2021,2020-07-25,9593,Shanghai Shenhua,True,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9606,Shenzhen Peng City,False,5,0,2,3,9,19,2,0.13333333333333333,0.72,0.0,2019-03-01
CHN1,2021,2020-07-25,9622,Guangzhou City,True,5,0,0,5,4,12,0,0.0,0.32,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9634,Guangzhou Evergrande,False,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9639,Jiāngsū Sūníng,True,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9601,Shandong Taishan,False,5,3,1,1,11,6,10,0.6666666666666666,0.8800000000000001,0.52,2019-03-01
CHN1,2021,2020-07-25,9638,Henan Jianye,False,5,3,2,0,9,6,11,0.7333333333333333,0.72,0.52,2019-03-01
CHN1,2021,2020-07-25,9596,Beijing Guoan,True,5,4,0,1,12,7,12,0.8,0.96,0.44000000000000006,2019-03-01
CHN1,2021,2020-07-25,9635,Wuhan Zall FC,False,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9605,Shanghai Port FC,True,5,3,1,1,12,3,10,0.6666666666666666,0.96,0.76,2019-03-01
CHN1,2021,2020-07-25,9636,Hebei China Fortune,False,5,2,1,2,9,12,7,0.4666666666666667,0.72,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9640,Chongqing Lifan,True,5,1,0,4,1,6,3,0.2,0.08,0.52,2019-03-01
CHN1,2021,2020-07-25,9641,Tianjin Teda,False,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2019-03-01
CHN1,2021,2020-07-25,9606,Shenzhen Peng City,True,5,0,2,3,9,19,2,0.13333333333333333,0.72,0.0,2019-03-01
CHN1,2021,2020-07-25,9634,Guangzhou Evergrande,False,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9639,Jiāngsū Sūníng,True,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9601,Shandong Taishan,True,5,3,1,1,11,6,10,0.6666666666666666,0.8800000000000001,0.52,2019-03-01
CHN1,2021,2020-07-25,9593,Shanghai Shenhua,False,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9638,Henan Jianye,True,5,3,2,0,9,6,11,0.7333333333333333,0.72,0.52,2019-03-01
CHN1,2021,2020-07-25,9622,Guangzhou City,False,5,0,0,5,4,12,0,0.0,0.32,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9641,Tianjin Teda,True,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2019-03-01
CHN1,2021,2020-07-25,9596,Beijing Guoan,False,5,4,0,1,12,7,12,0.8,0.96,0.44000000000000006,2019-03-01
CHN1,2021,2020-07-25,9605,Shanghai Port FC,False,5,3,1,1,12,3,10,0.6666666666666666,0.96,0.76,2019-03-01
CHN1,2021,2020-07-25,9635,Wuhan Zall FC,True,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9636,Hebei China Fortune,True,5,2,1,2,9,12,7,0.4666666666666667,0.72,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9640,Chongqing Lifan,False,5,1,0,4,1,6,3,0.2,0.08,0.52,2019-03-01
CHN1,2021,2020-07-25,9634,Guangzhou Evergrande,True,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9601,Shandong Taishan,False,5,3,1,1,11,6,10,0.6666666666666666,0.8800000000000001,0.52,2019-03-01
CHN1,2021,2020-07-25,9622,Guangzhou City,True,5,0,0,5,4,12,0,0.0,0.32,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9639,Jiāngsū Sūníng,False,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9593,Shanghai Shenhua,True,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9606,Shenzhen Peng City,True,5,0,2,3,9,19,2,0.13333333333333333,0.72,0.0,2019-03-01
CHN1,2021,2020-07-25,9638,Henan Jianye,False,5,3,2,0,9,6,11,0.7333333333333333,0.72,0.52,2019-03-01
CHN1,2021,2020-07-25,9641,Tianjin Teda,False,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2019-03-01
CHN1,2021,2020-07-25,9640,Chongqing Lifan,True,5,1,0,4,1,6,3,0.2,0.08,0.52,2019-03-01
CHN1,2021,2020-07-25,9605,Shanghai Port FC,True,5,3,1,1,12,3,10,0.6666666666666666,0.96,0.76,2019-03-01
CHN1,2021,2020-07-25,9635,Wuhan Zall FC,False,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9596,Beijing Guoan,True,5,4,0,1,12,7,12,0.8,0.96,0.44000000000000006,2019-03-01
CHN1,2021,2020-07-25,9636,Hebei China Fortune,False,5,2,1,2,9,12,7,0.4666666666666667,0.72,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9638,Henan Jianye,True,5,3,2,0,9,6,11,0.7333333333333333,0.72,0.52,2019-03-01
CHN1,2021,2020-07-25,9634,Guangzhou Evergrande,False,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9639,Jiāngsū Sūníng,True,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9593,Shanghai Shenhua,False,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9601,Shandong Taishan,True,5,3,1,1,11,6,10,0.6666666666666666,0.8800000000000001,0.52,2019-03-01
CHN1,2021,2020-07-25,9606,Shenzhen Peng City,False,5,0,2,3,9,19,2,0.13333333333333333,0.72,0.0,2019-03-01
CHN1,2021,2020-07-25,9622,Guangzhou City,False,5,0,0,5,4,12,0,0.0,0.32,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9596,Beijing Guoan,False,5,4,0,1,12,7,12,0.8,0.96,0.44000000000000006,2019-03-01
CHN1,2021,2020-07-25,9605,Shanghai Port FC,True,5,3,1,1,12,3,10,0.6666666666666666,0.96,0.76,2019-03-01
CHN1,2021,2020-07-25,9635,Wuhan Zall FC,True,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9640,Chongqing Lifan,False,5,1,0,4,1,6,3,0.2,0.08,0.52,2019-03-01
CHN1,2021,2020-07-25,9636,Hebei China Fortune,True,5,2,1,2,9,12,7,0.4666666666666667,0.72,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9641,Tianjin Teda,False,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2019-03-01
CHN1,2021,2020-07-25,9601,Shandong Taishan,True,5,3,1,1,11,6,10,0.6666666666666666,0.8800000000000001,0.52,2019-03-01
CHN1,2021,2020-07-25,9638,Henan Jianye,False,5,3,2,0,9,6,11,0.7333333333333333,0.72,0.52,2019-03-01
CHN1,2021,2020-07-25,9593,Shanghai Shenhua,True,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9622,Guangzhou City,False,5,0,0,5,4,12,0,0.0,0.32,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9634,Guangzhou Evergrande,True,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9639,Jiāngsū Sūníng,False,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9606,Shenzhen Peng City,True,5,0,2,3,9,19,2,0.13333333333333333,0.72,0.0,2019-03-01
CHN1,2021,2020-07-25,9636,Hebei China Fortune,True,5,2,1,2,9,12,7,0.4666666666666667,0.72,0.040000000000000036,2019-03-01
CHN1,2021,2020-07-25,9635,Wuhan Zall FC,False,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2019-03-01
CHN1,2021,2020-07-25,9640,Chongqing Lifan,True,5,1,0,4,1,6,3,0.2,0.08,0.52,2019-03-01
CHN1,2021,2020-07-25,9641,Tianjin Teda,True,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2019-03-01
CHN1,2021,2020-07-25,9596,Beijing Guoan,True,5,4,0,1,12,7,12,0.8,0.96,0.44000000000000006,2019-03-01
CHN1,2021,2020-07-25,9605,Shanghai Port FC,False,5,3,1,1,12,3,10,0.6666666666666666,0.96,0.76,2019-03-01
CHN1,2021,2020-07-25,9639,Jiāngsū Sūníng,True,5,4,1,0,13,5,13,0.8666666666666667,1.0,0.6,2019-03-01
CHN1,2021,2020-07-25,9606,Shenzhen Peng City,False,5,0,2,3,9,19,2,0.13333333333333333,0.72,0.0,2019-03-01
CHN1,2021,2020-07-25,9622,Guangzhou City,True,5,0,0,5,4,12,0,0.0,0.32,0.040000000000000036,2019-03-01
