league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
D1,2122,2021-08-13,9280,M'gladbach,True,5,2,0,3,12,13,6,0.4,0.96,0.0,2021-05-22
D1,2122,2021-08-13,9265,Bayern Munich,False,5,3,1,1,16,6,10,0.6666666666666666,1.0,0.52,2021-05-22
D1,2122,2021-08-14,9272,Wolfsburg,True,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2021-05-22
D1,2122,2021-08-14,9287,Bielefeld,True,5,2,2,1,4,6,8,0.5333333333333333,0.32,0.52,2021-05-22
D1,2122,2021-08-14,9269,Freiburg,False,5,1,2,2,8,10,5,0.3333333333333333,0.64,0.19999999999999996,2021-05-22
D1,2122,2021-08-14,9277,Dortmund,True,5,5,0,0,13,4,15,1.0,1.0,0.6799999999999999,2021-05-22
D1,2122,2021-08-14,9267,Ein Frankfurt,False,5,2,1,2,10,9,7,0.4666666666666667,0.8,0.28,2021-05-22
D1,2122,2021-08-14,9270,Augsburg,True,5,1,0,4,7,12,3,0.2,0.5599999999999999,0.040000000000000036,2021-05-22
D1,2122,2021-08-14,9271,Heidenheim,False,5,3,2,0,11,7,11,0.7333333333333333,0.8800000000000001,0.44000000000000006,2021-05-22
D1,2122,2021-08-14,9275,Stuttgart,True,5,2,0,3,5,9,6,0.4,0.4,0.28,2021-05-22
D1,2122,2021-08-14,9274,Union Berlin,True,5,2,1,2,6,8,7,0.4666666666666667,0.48,0.36,2021-05-22
D1,2122,2021-08-14,9273,Leverkusen,False,5,1,2,2,5,7,5,0.3333333333333333,0.4,0.44000000000000006,2021-05-22
D1,2122,2021-08-15,9279,FC Koln,True,5,3,1,1,7,7,10,0.6666666666666666,0.5599999999999999,0.44000000000000006,2021-05-22
D1,2122,2021-08-15,9285,Hertha,False,5,2,2,1,6,3,8,0.5333333333333333,0.48,0.76,2021-05-22
D1,2122,2021-08-15,9278,Mainz,True,5,2,2,1,8,8,8,0.5333333333333333,0.64,0.36,2021-05-22
D1,2122,2021-08-15,9266,RB Leipzig,False,5,1,1,3,8,9,4,0.26666666666666666,0.64,0.28,2021-05-22
D1,2122,2021-08-20,9266,RB Leipzig,True,5,1,1,3,7,8,4,0.26666666666666666,0.5599999999999999,0.36,2021-08-15
D1,2122,2021-08-20,9275,Stuttgart,False,5,3,0,2,9,7,9,0.6,0.72,0.44000000000000006,2021-08-14
D1,2122,2021-08-21,9267,Ein Frankfurt,True,5,1,1,3,10,14,4,0.26666666666666666,0.8,0.0,2021-08-14
D1,2122,2021-08-21,9270,Augsburg,False,5,1,0,4,7,14,3,0.2,0.5599999999999999,0.0,2021-08-14
D1,2122,2021-08-21,9269,Freiburg,True,5,1,2,2,7,9,5,0.3333333333333333,0.5599999999999999,0.28,2021-08-14
D1,2122,2021-08-21,9277,Dortmund,False,5,5,0,0,16,6,15,1.0,1.0,0.52,2021-08-14
D1,2122,2021-08-21,9287,Bielefeld,False,5,1,3,1,3,6,6,0.4,0.24,0.52,2021-08-14
D1,2122,2021-08-21,9285,Hertha,True,5,1,2,2,4,6,5,0.3333333333333333,0.32,0.52,2021-08-15
D1,2122,2021-08-21,9272,Wolfsburg,False,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2021-08-14
D1,2122,2021-08-21,9273,Leverkusen,True,5,1,3,1,6,6,6,0.4,0.48,0.52,2021-08-14
D1,2122,2021-08-21,9280,M'gladbach,False,5,2,1,2,11,11,7,0.4666666666666667,0.8800000000000001,0.11999999999999988,2021-08-13
D1,2122,2021-08-21,9278,Mainz,False,5,2,2,1,7,7,8,0.5333333333333333,0.5599999999999999,0.44000000000000006,2021-08-15
D1,2122,2021-08-22,9265,Bayern Munich,True,5,2,2,1,15,7,8,0.5333333333333333,1.0,0.44000000000000006,2021-08-13
D1,2122,2021-08-22,9279,FC Koln,False,5,3,1,1,8,7,10,0.6666666666666666,0.64,0.44000000000000006,2021-08-15
D1,2122,2021-08-22,9271,Heidenheim,True,5,3,2,0,12,5,11,0.7333333333333333,0.96,0.6,2021-08-14
D1,2122,2021-08-22,9274,Union Berlin,False,5,2,2,1,7,7,8,0.5333333333333333,0.5599999999999999,0.44000000000000006,2021-08-14
D1,2122,2021-08-27,9277,Dortmund,True,5,4,0,1,15,8,12,0.8,1.0,0.36,2021-08-21
D1,2122,2021-08-27,9271,Heidenheim,False,5,3,2,0,13,6,11,0.7333333333333333,1.0,0.52,2021-08-22
D1,2122,2021-08-28,9287,Bielefeld,True,5,1,4,0,4,2,7,0.4666666666666667,0.32,0.84,2021-08-21
D1,2122,2021-08-28,9267,Ein Frankfurt,False,5,1,2,2,9,11,5,0.3333333333333333,0.72,0.11999999999999988,2021-08-21
D1,2122,2021-08-28,9279,FC Koln,True,5,2,1,2,7,8,7,0.4666666666666667,0.5599999999999999,0.36,2021-08-22
D1,2122,2021-08-28,9278,Mainz,True,5,2,1,2,6,8,7,0.4666666666666667,0.48,0.36,2021-08-21
D1,2122,2021-08-28,9275,Stuttgart,True,5,3,0,2,9,9,9,0.6,0.72,0.28,2021-08-20
D1,2122,2021-08-28,9269,Freiburg,False,5,2,2,1,9,7,8,0.5333333333333333,0.72,0.44000000000000006,2021-08-21
D1,2122,2021-08-28,9265,Bayern Munich,True,5,3,2,0,17,7,11,0.7333333333333333,1.0,0.44000000000000006,2021-08-22
D1,2122,2021-08-28,9285,Hertha,False,5,1,1,3,5,8,4,0.26666666666666666,0.4,0.36,2021-08-21
D1,2122,2021-08-28,9270,Augsburg,True,5,1,1,3,5,11,4,0.26666666666666666,0.4,0.11999999999999988,2021-08-21
D1,2122,2021-08-28,9273,Leverkusen,False,5,1,3,1,7,5,6,0.4,0.5599999999999999,0.6,2021-08-21
D1,2122,2021-08-29,9272,Wolfsburg,True,5,3,1,1,10,6,10,0.6666666666666666,0.8,0.52,2021-08-21
D1,2122,2021-08-29,9266,RB Leipzig,False,5,1,1,3,9,8,4,0.26666666666666666,0.72,0.36,2021-08-20
