league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
E3,2324,2023-08-05,8693,Accrington,True,5,3,0,2,8,5,9,0.6,0.64,0.6,2018-05-05
E3,2324,2023-08-05,8680,Newport County,False,5,2,1,2,10,9,7,0.4666666666666667,0.8,0.28,2023-05-08
E3,2324,2023-08-05,8676,Crawley Town,True,5,2,2,1,5,3,8,0.5333333333333333,0.4,0.76,2023-05-08
E3,2324,2023-08-05,8665,Bradford,False,5,1,2,2,7,8,5,0.3333333333333333,0.5599999999999999,0.36,2023-05-08
E3,2324,2023-08-05,8685,Crewe,True,5,2,1,2,7,9,7,0.4666666666666667,0.5599999999999999,0.28,2023-05-08
E3,2324,2023-08-05,8671,Mansfield,False,5,3,0,2,7,5,9,0.6,0.5599999999999999,0.6,2023-05-08
E3,2324,2023-08-05,8698,Doncaster,True,5,1,1,3,5,8,4,0.26666666666666666,0.4,0.36,2023-05-08
E3,2324,2023-08-05,8682,Harrogate,False,5,3,1,1,10,7,10,0.6666666666666666,0.8,0.44000000000000006,2023-05-08
E3,2324,2023-08-05,8664,Forest Green,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2022-05-07
E3,2324,2023-08-05,8677,Salford,False,5,3,0,2,8,6,9,0.6,0.64,0.52,2023-05-08
E3,2324,2023-08-05,8684,Grimsby,True,5,3,0,2,4,4,9,0.6,0.32,0.6799999999999999,2023-05-08
E3,2324,2023-08-05,9208,AFC Wimbledon,False,5,0,1,4,5,12,1,0.06666666666666667,0.4,0.040000000000000036,2023-05-08
E3,2324,2023-08-05,8670,Morecambe,True,5,4,0,1,11,4,12,0.8,0.8800000000000001,0.6799999999999999,2021-05-08
E3,2324,2023-08-05,8683,Walsall,False,5,1,1,3,4,9,4,0.26666666666666666,0.32,0.28,2023-05-08
E3,2324,2023-08-05,9209,Stockport,True,5,2,3,0,8,4,9,0.6,0.64,0.6799999999999999,2023-05-08
E3,2324,2023-08-05,9203,Gillingham,False,5,2,2,1,7,5,8,0.5333333333333333,0.5599999999999999,0.6,2023-05-08
E3,2324,2023-08-05,9210,Sutton,True,5,0,1,4,4,13,1,0.06666666666666667,0.32,0.0,2023-05-08
E3,2324,2023-08-05,8680,Newport County,False,5,2,1,2,10,9,7,0.4666666666666667,0.8,0.28,2023-05-08
E3,2324,2023-08-05,8672,Tranmere,True,5,1,2,2,6,6,5,0.3333333333333333,0.48,0.52,2023-05-08
E3,2324,2023-08-05,8661,Barrow,False,5,0,1,4,1,6,1,0.06666666666666667,0.08,0.52,2023-05-08
E3,2324,2023-08-05,8692,Milton Keynes Dons,False,5,2,1,2,5,6,7,0.4666666666666667,0.4,0.52,2019-05-04
E3,2324,2023-08-12,9208,AFC Wimbledon,True,5,0,2,3,3,9,2,0.13333333333333333,0.24,0.28,2023-08-05
E3,2324,2023-08-12,8661,Barrow,True,5,1,0,4,3,7,3,0.2,0.24,0.44000000000000006,2023-08-05
E3,2324,2023-08-12,9210,Sutton,False,5,1,1,3,9,12,4,0.26666666666666666,0.72,0.040000000000000036,2023-08-05
E3,2324,2023-08-12,8665,Bradford,True,5,1,2,2,7,8,5,0.3333333333333333,0.5599999999999999,0.36,2023-08-05
E3,2324,2023-08-12,8666,Colchester,False,5,2,1,2,5,4,7,0.4666666666666667,0.4,0.6799999999999999,2023-05-08
E3,2324,2023-08-12,9203,Gillingham,True,5,3,1,1,7,4,10,0.6666666666666666,0.5599999999999999,0.6799999999999999,2023-08-05
E3,2324,2023-08-12,8693,Accrington,False,5,3,0,2,9,5,9,0.6,0.72,0.6,2023-08-05
E3,2324,2023-08-12,8682,Harrogate,True,5,3,1,1,8,7,10,0.6666666666666666,0.64,0.44000000000000006,2023-08-05
E3,2324,2023-08-12,8664,Forest Green,False,5,0,2,3,4,9,2,0.13333333333333333,0.32,0.28,2023-08-05
E3,2324,2023-08-12,8671,Mansfield,True,5,2,1,2,7,6,7,0.4666666666666667,0.5599999999999999,0.52,2023-08-05
E3,2324,2023-08-12,8670,Morecambe,False,5,4,0,1,9,2,12,0.8,0.72,0.84,2023-08-05
E3,2324,2023-08-12,8692,Milton Keynes Dons,True,5,3,1,1,9,7,10,0.6666666666666666,0.72,0.44000000000000006,2023-08-05
E3,2324,2023-08-12,8672,Tranmere,False,5,1,2,2,6,6,5,0.3333333333333333,0.48,0.52,2023-08-05
E3,2324,2023-08-12,8680,Newport County,True,5,1,1,3,7,14,4,0.26666666666666666,0.5599999999999999,0.0,2023-08-05
E3,2324,2023-08-12,8698,Doncaster,False,5,1,0,4,3,7,3,0.2,0.24,0.44000000000000006,2023-08-05
E3,2324,2023-08-12,8680,Newport County,True,5,1,1,3,7,14,4,0.26666666666666666,0.5599999999999999,0.0,2023-08-05
E3,2324,2023-08-12,8684,Grimsby,False,5,2,1,2,3,4,7,0.4666666666666667,0.24,0.6799999999999999,2023-08-05
E3,2324,2023-08-12,8677,Salford,True,5,4,0,1,10,5,12,0.8,0.8,0.6,2023-08-05
E3,2324,2023-08-12,8676,Crawley Town,False,5,2,2,1,4,2,8,0.5333333333333333,0.32,0.84,2023-08-05
E3,2324,2023-08-12,8688,Swindon,True,5,3,0,2,9,5,9,0.6,0.72,0.6,2023-05-08
E3,2324,2023-08-12,8685,Crewe,False,5,2,2,1,9,9,8,0.5333333333333333,0.72,0.28,2023-08-05
E3,2324,2023-08-12,8683,Walsall,True,5,1,1,3,5,9,4,0.26666666666666666,0.4,0.28,2023-08-05
E3,2324,2023-08-12,9209,Stockport,False,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2023-08-05
E3,2324,2023-08-15,8693,Accrington,True,5,2,0,3,5,6,6,0.4,0.4,0.52,2023-08-12
E3,2324,2023-08-15,8661,Barrow,False,5,2,0,3,5,7,6,0.4,0.4,0.44000000000000006,2023-08-12
E3,2324,2023-08-15,8666,Colchester,True,5,1,1,3,5,6,4,0.26666666666666666,0.4,0.52,2023-08-12
E3,2324,2023-08-15,9208,AFC Wimbledon,False,5,0,3,2,3,8,3,0.2,0.24,0.36,2023-08-12
E3,2324,2023-08-15,8676,Crawley Town,True,5,2,2,1,5,3,8,0.5333333333333333,0.4,0.76,2023-08-12
E3,2324,2023-08-15,8692,Milton Keynes Dons,False,5,3,1,1,8,6,10,0.6666666666666666,0.64,0.52,2023-08-12
E3,2324,2023-08-15,8685,Crewe,True,5,2,3,0,11,9,9,0.6,0.8800000000000001,0.28,2023-08-12
E3,2324,2023-08-15,8680,Newport County,False,5,2,1,2,10,12,7,0.4666666666666667,0.8,0.040000000000000036,2023-08-12
E3,2324,2023-08-15,8698,Doncaster,True,5,1,0,4,3,10,3,0.2,0.24,0.19999999999999996,2023-08-12
E3,2324,2023-08-15,8671,Mansfield,False,5,2,1,2,9,6,7,0.4666666666666667,0.72,0.52,2023-08-12
E3,2324,2023-08-15,8664,Forest Green,True,5,1,1,3,5,9,4,0.26666666666666666,0.4,0.28,2023-08-12
E3,2324,2023-08-15,8688,Swindon,False,5,2,1,2,10,7,7,0.4666666666666667,0.8,0.44000000000000006,2023-08-12
E3,2324,2023-08-15,8684,Grimsby,True,5,2,1,2,5,5,7,0.4666666666666667,0.4,0.6,2023-08-12
E3,2324,2023-08-15,8677,Salford,False,5,3,1,1,9,6,10,0.6666666666666666,0.72,0.52,2023-08-12
E3,2324,2023-08-15,8670,Morecambe,True,5,3,0,2,6,5,9,0.6,0.48,0.6,2023-08-12
E3,2324,2023-08-15,8680,Newport County,False,5,2,1,2,10,12,7,0.4666666666666667,0.8,0.040000000000000036,2023-08-12
E3,2324,2023-08-15,9209,Stockport,True,5,2,1,2,6,4,7,0.4666666666666667,0.48,0.6799999999999999,2023-08-12
E3,2324,2023-08-15,8665,Bradford,False,5,2,1,2,7,7,7,0.4666666666666667,0.5599999999999999,0.44000000000000006,2023-08-12
E3,2324,2023-08-15,9210,Sutton,True,5,1,1,3,9,12,4,0.26666666666666666,0.72,0.040000000000000036,2023-08-12
E3,2324,2023-08-15,9203,Gillingham,False,5,3,1,1,6,4,10,0.6666666666666666,0.48,0.6799999999999999,2023-08-12
E3,2324,2023-08-15,8672,Tranmere,True,5,1,1,3,4,5,4,0.26666666666666666,0.32,0.6,2023-08-12
E3,2324,2023-08-15,8682,Harrogate,False,5,3,1,1,7,5,10,0.6666666666666666,0.5599999999999999,0.6,2023-08-12
E3,2324,2023-08-15,8683,Walsall,False,5,2,1,2,7,7,7,0.4666666666666667,0.5599999999999999,0.44000000000000006,2023-08-12
E3,2324,2023-08-19,8693,Accrington,True,5,2,1,2,5,5,7,0.4666666666666667,0.4,0.6,2023-08-15
E3,2324,2023-08-19,8682,Harrogate,False,5,2,1,2,4,6,7,0.4666666666666667,0.32,0.52,2023-08-15
E3,2324,2023-08-19,8666,Colchester,True,5,1,0,4,5,8,3,0.2,0.4,0.36,2023-08-15
E3,2324,2023-08-19,8692,Milton Keynes Dons,False,5,3,0,2,8,7,9,0.6,0.64,0.44000000000000006,2023-08-15
E3,2324,2023-08-19,8676,Crawley Town,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2023-08-15
E3,2324,2023-08-19,9203,Gillingham,False,5,4,0,1,5,2,12,0.8,0.4,0.84,2023-08-15
E3,2324,2023-08-19,8685,Crewe,True,5,2,3,0,13,10,9,0.6,1.0,0.19999999999999996,2023-08-15
E3,2324,2023-08-19,8683,Walsall,False,5,2,1,2,7,8,7,0.4666666666666667,0.5599999999999999,0.36,2023-08-15
E3,2324,2023-08-19,8698,Doncaster,True,5,1,1,3,4,9,4,0.26666666666666666,0.32,0.28,2023-08-15
