league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
I2,2122,2021-08-20,8772,Frosinone,True,5,3,1,1,9,4,10,0.6666666666666666,0.72,0.6799999999999999,2021-05-10
I2,2122,2021-08-20,8783,Parma,False,5,3,1,1,9,4,10,0.6666666666666666,0.72,0.6799999999999999,2018-12-05
I2,2122,2021-08-21,8792,Pordenone,True,5,1,2,2,5,5,5,0.3333333333333333,0.4,0.6,2021-05-10
I2,2122,2021-08-21,8788,Perugia,False,5,1,1,3,5,7,4,0.26666666666666666,0.4,0.44000000000000006,2020-07-31
I2,2122,2021-08-21,8778,Cittadella,True,5,3,1,1,6,4,10,0.6666666666666666,0.48,0.6799999999999999,2021-05-10
I2,2122,2021-08-21,8768,Venezia,False,5,1,4,0,6,5,7,0.4666666666666667,0.48,0.6,2021-05-10
I2,2122,2021-08-22,8782,Ternana,True,5,1,1,3,8,7,4,0.26666666666666666,0.64,0.44000000000000006,2018-12-05
I2,2122,2021-08-22,8775,Brescia,False,5,4,0,1,14,8,12,0.8,1.0,0.36,2021-05-10
I2,2122,2021-08-22,8765,Reggiana,True,5,0,1,4,4,11,1,0.06666666666666667,0.32,0.11999999999999988,2021-05-10
I2,2122,2021-08-22,8762,Monza,False,5,4,0,1,9,4,12,0.8,0.72,0.6799999999999999,2021-05-10
I2,2122,2021-08-22,8776,Pisa,True,5,1,2,2,11,13,5,0.3333333333333333,0.8800000000000001,0.0,2021-05-10
I2,2122,2021-08-22,8790,Spal,False,5,2,0,3,5,7,6,0.4,0.4,0.44000000000000006,2021-05-10
I2,2122,2021-08-22,8780,Cremonese,True,5,1,2,2,6,5,5,0.3333333333333333,0.48,0.6,2021-05-10
I2,2122,2021-08-22,8786,Lecco,False,5,1,1,3,6,9,4,0.26666666666666666,0.48,0.28,2021-05-10
I2,2122,2021-08-22,8789,Benevento,True,5,3,0,2,10,8,9,0.6,0.8,0.36,2020-07-31
I2,2122,2021-08-22,8794,Crotone,True,5,3,1,1,8,4,10,0.6666666666666666,0.64,0.6799999999999999,2020-07-31
I2,2122,2021-08-22,8781,Ascoli,True,5,3,1,1,8,6,10,0.6666666666666666,0.64,0.52,2021-05-10
I2,2122,2021-08-22,8757,Cesena,False,5,1,0,4,3,12,3,0.2,0.24,0.040000000000000036,2021-05-10
I2,2122,2021-08-27,8775,Brescia,True,5,5,0,0,14,4,15,1.0,1.0,0.6799999999999999,2021-08-22
