league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
MEX1,1819,2018-07-20,9464,CD Veracruz,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9459,Pumas UNAM,False,5,2,1,2,7,8,7,0.4666666666666667,0.5599999999999999,0.36,2018-01-05
MEX1,1819,2018-07-20,9450,Atlas Guadalajara,True,5,1,1,3,4,8,4,0.26666666666666666,0.32,0.36,2018-01-05
MEX1,1819,2018-07-20,9447,Gallos Blancos,False,5,1,2,2,5,6,5,0.3333333333333333,0.4,0.52,2018-01-05
MEX1,1819,2018-07-20,9457,Cruz Azul,True,5,0,3,2,5,8,3,0.2,0.4,0.36,2018-01-05
MEX1,1819,2018-07-20,9445,Puebla FC,False,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9461,CF Pachuca,True,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-01-05
MEX1,1819,2018-07-20,9462,CF Monterrey,False,5,2,1,2,10,9,7,0.4666666666666667,0.8,0.28,2018-01-05
MEX1,1819,2018-07-20,9453,UANL Tigres,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9460,Club León,False,5,1,1,3,6,14,4,0.26666666666666666,0.48,0.0,2018-01-05
MEX1,1819,2018-07-20,9448,Club Tijuana,True,5,1,2,2,4,5,5,0.3333333333333333,0.32,0.6,2018-01-05
MEX1,1819,2018-07-20,9455,Deportivo Guadalajara,False,5,0,2,3,4,9,2,0.13333333333333333,0.32,0.28,2018-01-05
MEX1,1819,2018-07-20,9456,Deportivo Toluca,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9463,Monarcas Morelia,False,5,2,0,3,8,11,6,0.4,0.64,0.11999999999999988,2018-01-05
MEX1,1819,2018-07-20,9454,Club Necaxa,True,5,2,3,0,7,2,9,0.6,0.5599999999999999,0.84,2018-01-05
MEX1,1819,2018-07-20,9452,CF América,False,5,2,3,0,11,4,9,0.6,0.8800000000000001,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9463,Monarcas Morelia,True,5,2,0,3,8,11,6,0.4,0.64,0.11999999999999988,2018-01-05
MEX1,1819,2018-07-20,9446,Santos Laguna,False,5,2,2,1,8,4,8,0.5333333333333333,0.64,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9445,Puebla FC,True,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9456,Deportivo Toluca,False,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9447,Gallos Blancos,True,5,1,2,2,5,6,5,0.3333333333333333,0.4,0.52,2018-01-05
MEX1,1819,2018-07-20,9461,CF Pachuca,False,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-01-05
MEX1,1819,2018-07-20,9452,CF América,True,5,2,3,0,11,4,9,0.6,0.8800000000000001,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9450,Atlas Guadalajara,False,5,1,1,3,4,8,4,0.26666666666666666,0.32,0.36,2018-01-05
MEX1,1819,2018-07-20,9455,Deportivo Guadalajara,True,5,0,2,3,4,9,2,0.13333333333333333,0.32,0.28,2018-01-05
MEX1,1819,2018-07-20,9457,Cruz Azul,False,5,0,3,2,5,8,3,0.2,0.4,0.36,2018-01-05
MEX1,1819,2018-07-20,9459,Pumas UNAM,True,5,2,1,2,7,8,7,0.4666666666666667,0.5599999999999999,0.36,2018-01-05
MEX1,1819,2018-07-20,9454,Club Necaxa,False,5,2,3,0,7,2,9,0.6,0.5599999999999999,0.84,2018-01-05
MEX1,1819,2018-07-20,9465,Lobos BUAP,True,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2018-01-05
MEX1,1819,2018-07-20,9464,CD Veracruz,False,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9453,UANL Tigres,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9448,Club Tijuana,False,5,1,2,2,4,5,5,0.3333333333333333,0.32,0.6,2018-01-05
MEX1,1819,2018-07-20,9460,Club León,True,5,1,1,3,6,14,4,0.26666666666666666,0.48,0.0,2018-01-05
MEX1,1819,2018-07-20,9462,CF Monterrey,False,5,2,1,2,10,9,7,0.4666666666666667,0.8,0.28,2018-01-05
MEX1,1819,2018-07-20,9464,CD Veracruz,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9463,Monarcas Morelia,False,5,2,0,3,8,11,6,0.4,0.64,0.11999999999999988,2018-01-05
MEX1,1819,2018-07-20,9450,Atlas Guadalajara,True,5,1,1,3,4,8,4,0.26666666666666666,0.32,0.36,2018-01-05
MEX1,1819,2018-07-20,9459,Pumas UNAM,False,5,2,1,2,7,8,7,0.4666666666666667,0.5599999999999999,0.36,2018-01-05
MEX1,1819,2018-07-20,9454,Club Necaxa,True,5,2,3,0,7,2,9,0.6,0.5599999999999999,0.84,2018-01-05
MEX1,1819,2018-07-20,9465,Lobos BUAP,False,5,2,1,2,10,8,7,0.4666666666666667,0.8,0.36,2018-01-05
MEX1,1819,2018-07-20,9461,CF Pachuca,True,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-01-05
MEX1,1819,2018-07-20,9452,CF América,False,5,2,3,0,11,4,9,0.6,0.8800000000000001,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9457,Cruz Azul,True,5,0,3,2,5,8,3,0.2,0.4,0.36,2018-01-05
MEX1,1819,2018-07-20,9453,UANL Tigres,False,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9462,CF Monterrey,True,5,2,1,2,10,9,7,0.4666666666666667,0.8,0.28,2018-01-05
MEX1,1819,2018-07-20,9447,Gallos Blancos,False,5,1,2,2,5,6,5,0.3333333333333333,0.4,0.52,2018-01-05
MEX1,1819,2018-07-20,9456,Deportivo Toluca,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9455,Deportivo Guadalajara,False,5,0,2,3,4,9,2,0.13333333333333333,0.32,0.28,2018-01-05
MEX1,1819,2018-07-20,9446,Santos Laguna,True,5,2,2,1,8,4,8,0.5333333333333333,0.64,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9445,Puebla FC,False,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9448,Club Tijuana,True,5,1,2,2,4,5,5,0.3333333333333333,0.32,0.6,2018-01-05
MEX1,1819,2018-07-20,9460,Club León,False,5,1,1,3,6,14,4,0.26666666666666666,0.48,0.0,2018-01-05
MEX1,1819,2018-07-20,9445,Puebla FC,True,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2018-01-05
MEX1,1819,2018-07-20,9464,CD Veracruz,False,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2018-01-05
