league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
NO1,2122,2021-08-13,9018,Go Ahead Eagles,True,5,1,0,4,6,15,3,0.2,0.48,0.0,2017-11-03
NO1,2122,2021-08-13,9023,Heerenveen,False,5,0,2,3,4,9,2,0.13333333333333333,0.32,0.28,2021-05-16
NO1,2122,2021-08-14,9037,Waalwijk,True,5,1,1,3,6,11,4,0.26666666666666666,0.48,0.11999999999999988,2021-05-16
NO1,2122,2021-08-14,9031,AZ Alkmaar,False,5,3,1,1,9,3,10,0.6666666666666666,0.72,0.76,2021-05-16
NO1,2122,2021-08-14,9034,Heracles,True,5,1,2,2,7,10,5,0.3333333333333333,0.5599999999999999,0.19999999999999996,2021-05-16
NO1,2122,2021-08-14,9025,PSV Eindhoven,False,5,3,2,0,10,5,11,0.7333333333333333,0.8,0.6,2021-05-16
NO1,2122,2021-08-14,9017,For Sittard,True,5,2,1,2,10,6,7,0.4666666666666667,0.8,0.52,2021-05-16
NO1,2122,2021-08-14,9028,Twente,False,5,1,1,3,6,10,4,0.26666666666666666,0.48,0.19999999999999996,2021-05-16
NO1,2122,2021-08-14,9029,Ajax,True,5,5,0,0,15,2,15,1.0,1.0,0.84,2021-05-16
NO1,2122,2021-08-14,9019,Nijmegen,False,5,2,0,3,5,9,6,0.4,0.4,0.28,2017-11-03
NO1,2122,2021-08-15,9032,Groningen,False,5,1,1,3,5,4,4,0.26666666666666666,0.4,0.6799999999999999,2021-05-16
NO1,2122,2021-08-15,9033,Utrecht,True,5,2,3,0,6,4,9,0.6,0.48,0.6799999999999999,2021-05-16
NO1,2122,2021-08-15,9026,Sparta Rotterdam,False,5,4,1,0,9,2,13,0.8666666666666667,0.72,0.84,2021-05-16
NO1,2122,2021-08-15,9027,Zwolle,True,5,2,0,3,6,7,6,0.4,0.48,0.44000000000000006,2021-05-16
NO1,2122,2021-08-15,9038,Vitesse,False,5,1,2,2,6,10,5,0.3333333333333333,0.48,0.19999999999999996,2021-05-16
NO1,2122,2021-08-15,9035,Willem II,True,5,3,0,2,9,7,9,0.6,0.72,0.44000000000000006,2021-05-16
NO1,2122,2021-08-15,9021,Feyenoord,False,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2021-05-16
NO1,2122,2021-08-20,9019,Nijmegen,True,5,1,0,4,3,14,3,0.2,0.24,0.0,2021-08-14
NO1,2122,2021-08-20,9027,Zwolle,False,5,1,0,4,4,8,3,0.2,0.32,0.36,2021-08-15
NO1,2122,2021-08-21,9023,Heerenveen,True,5,1,2,2,5,7,5,0.3333333333333333,0.4,0.44000000000000006,2021-08-13
NO1,2122,2021-08-21,9037,Waalwijk,False,5,2,1,2,7,10,7,0.4666666666666667,0.5599999999999999,0.19999999999999996,2021-08-14
NO1,2122,2021-08-21,9025,PSV Eindhoven,True,5,3,2,0,11,5,11,0.7333333333333333,0.8800000000000001,0.6,2021-08-14
NO1,2122,2021-08-21,9026,Sparta Rotterdam,True,5,3,1,1,7,6,10,0.6666666666666666,0.5599999999999999,0.52,2021-08-15
NO1,2122,2021-08-21,9034,Heracles,False,5,1,2,2,6,9,5,0.3333333333333333,0.48,0.28,2021-08-14
NO1,2122,2021-08-21,9032,Groningen,True,5,2,1,2,7,4,7,0.4666666666666667,0.5599999999999999,0.6799999999999999,2021-08-15
NO1,2122,2021-08-21,9033,Utrecht,False,5,2,3,0,8,3,9,0.6,0.64,0.76,2021-08-15
NO1,2122,2021-08-22,9028,Twente,True,5,1,1,3,6,10,4,0.26666666666666666,0.48,0.19999999999999996,2021-08-14
NO1,2122,2021-08-22,9029,Ajax,False,5,5,0,0,18,2,15,1.0,1.0,0.84,2021-08-14
NO1,2122,2021-08-22,9021,Feyenoord,True,5,2,1,2,10,7,7,0.4666666666666667,0.8,0.44000000000000006,2021-08-15
NO1,2122,2021-08-22,9018,Go Ahead Eagles,False,5,1,0,4,5,13,3,0.2,0.4,0.0,2021-08-13
NO1,2122,2021-08-22,9038,Vitesse,True,5,2,1,2,7,10,7,0.4666666666666667,0.5599999999999999,0.19999999999999996,2021-08-15
NO1,2122,2021-08-22,9035,Willem II,False,5,2,0,3,8,11,6,0.4,0.64,0.11999999999999988,2021-08-15
NO1,2122,2021-08-27,9017,For Sittard,True,5,2,1,2,9,7,7,0.4666666666666667,0.72,0.44000000000000006,2021-08-14
NO1,2122,2021-08-27,9037,Waalwijk,False,5,2,1,2,8,10,7,0.4666666666666667,0.64,0.19999999999999996,2021-08-21
NO1,2122,2021-08-28,9028,Twente,False,5,1,2,2,7,8,5,0.3333333333333333,0.5599999999999999,0.36,2021-08-22
NO1,2122,2021-08-28,9018,Go Ahead Eagles,True,5,1,0,4,5,11,3,0.2,0.4,0.11999999999999988,2021-08-22
NO1,2122,2021-08-28,9026,Sparta Rotterdam,False,5,2,2,1,6,6,8,0.5333333333333333,0.48,0.52,2021-08-21
NO1,2122,2021-08-28,9025,PSV Eindhoven,True,5,4,1,0,13,4,13,0.8666666666666667,1.0,0.6799999999999999,2021-08-21
NO1,2122,2021-08-28,9032,Groningen,False,5,2,2,1,6,2,8,0.5333333333333333,0.48,0.84,2021-08-21
NO1,2122,2021-08-28,9035,Willem II,True,5,3,0,2,9,8,9,0.6,0.72,0.36,2021-08-22
NO1,2122,2021-08-28,9027,Zwolle,False,5,1,0,4,3,8,3,0.2,0.24,0.36,2021-08-20
NO1,2122,2021-08-29,9033,Utrecht,True,5,1,4,0,5,1,7,0.4666666666666667,0.4,0.92,2021-08-21
NO1,2122,2021-08-29,9021,Feyenoord,False,5,3,1,1,10,4,10,0.6666666666666666,0.8,0.6799999999999999,2021-08-22
NO1,2122,2021-08-29,9029,Ajax,True,5,4,1,0,15,3,13,0.8666666666666667,1.0,0.76,2021-08-22
NO1,2122,2021-08-29,9038,Vitesse,False,5,1,1,3,5,12,4,0.26666666666666666,0.4,0.040000000000000036,2021-08-22
NO1,2122,2021-08-29,9034,Heracles,True,5,0,3,2,3,10,3,0.2,0.24,0.19999999999999996,2021-08-21
NO1,2122,2021-08-29,9019,Nijmegen,False,5,1,0,4,3,13,3,0.2,0.24,0.0,2021-08-20
NO1,2122,2021-08-29,9023,Heerenveen,True,5,2,1,2,6,7,7,0.4666666666666667,0.48,0.44000000000000006,2021-08-21
NO1,2122,2021-08-29,9031,AZ Alkmaar,False,5,3,1,1,9,2,10,0.6666666666666666,0.72,0.84,2021-08-14
NO1,2122,2021-09-11,9028,Twente,True,5,1,1,3,6,9,4,0.26666666666666666,0.48,0.28,2021-08-28
NO1,2122,2021-09-11,9033,Utrecht,False,5,2,3,0,8,2,9,0.6,0.64,0.84,2021-08-29
NO1,2122,2021-09-11,9039,Cambuur,True,3,1,0,2,4,6,3,0.3333333333333333,0.5333333333333333,0.19999999999999996,2021-08-28
NO1,2122,2021-09-11,9018,Go Ahead Eagles,False,5,2,0,3,6,7,6,0.4,0.48,0.44000000000000006,2021-08-28
NO1,2122,2021-09-11,9027,Zwolle,True,5,1,0,4,3,8,3,0.2,0.24,0.36,2021-08-28
NO1,2122,2021-09-11,9029,Ajax,False,5,4,1,0,17,3,13,0.8666666666666667,1.0,0.76,2021-08-29
NO1,2122,2021-09-11,9031,AZ Alkmaar,True,5,3,1,1,9,2,10,0.6666666666666666,0.72,0.84,2021-08-29
NO1,2122,2021-09-11,9025,PSV Eindhoven,False,5,4,1,0,16,6,13,0.8666666666666667,1.0,0.52,2021-08-28
NO1,2122,2021-09-12,9019,Nijmegen,True,5,2,0,3,3,8,6,0.4,0.24,0.36,2021-08-29
NO1,2122,2021-09-12,9035,Willem II,False,5,4,0,1,10,6,12,0.8,0.8,0.52,2021-08-28
NO1,2122,2021-09-12,9032,Groningen,True,5,1,2,2,4,7,5,0.3333333333333333,0.32,0.44000000000000006,2021-08-28
NO1,2122,2021-09-12,9023,Heerenveen,False,5,2,0,3,7,10,6,0.4,0.5599999999999999,0.19999999999999996,2021-08-29
NO1,2122,2021-09-12,9026,Sparta Rotterdam,True,5,1,2,2,3,8,5,0.3333333333333333,0.24,0.36,2021-08-28
NO1,2122,2021-09-12,9017,For Sittard,False,5,1,2,2,8,9,5,0.3333333333333333,0.64,0.28,2021-08-27
NO1,2122,2021-09-12,9037,Waalwijk,True,5,2,1,2,7,9,7,0.4666666666666667,0.5599999999999999,0.28,2021-08-27
NO1,2122,2021-09-12,9038,Vitesse,False,5,1,1,3,5,14,4,0.26666666666666666,0.4,0.0,2021-08-29
NO1,2122,2021-09-17,9026,Sparta Rotterdam,True,5,2,1,2,6,9,7,0.4666666666666667,0.48,0.28,2021-09-12
