league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
P1,1617,2016-04-12,8819,Nacional,False,3,0,0,3,1,7,0,0.0,0.13333333333333333,0.06666666666666665,2016-04-11
P1,1617,2016-05-11,8822,Aves,False,3,2,1,0,5,2,7,0.7777777777777778,0.6666666666666667,0.7333333333333334,2016-04-12
P1,1617,2016-08-13,8801,Sp Lisbon,True,3,2,1,0,8,3,7,0.7777777777777778,1.0,0.6,2016-06-11
P1,1617,2016-08-13,8807,Maritimo,False,3,3,0,0,4,1,9,1.0,0.5333333333333333,0.8666666666666667,2016-06-11
P1,1617,2016-08-13,8806,Benfica,False,3,1,1,1,6,3,4,0.4444444444444444,0.8,0.6,2016-06-11
P1,1617,2016-08-13,8805,Moreirense,True,3,1,0,2,4,5,3,0.3333333333333333,0.5333333333333333,0.33333333333333326,2016-06-11
P1,1617,2016-08-14,8818,Boavista,True,3,2,0,1,5,3,6,0.6666666666666666,0.6666666666666667,0.6,2016-05-12
P1,1617,2016-08-14,8803,Arouca,False,3,1,1,1,3,4,4,0.4444444444444444,0.4,0.4666666666666667,2016-06-11
P1,1617,2016-08-14,8823,Setubal,True,3,1,0,2,2,4,3,0.3333333333333333,0.26666666666666666,0.4666666666666667,2016-06-11
P1,1617,2016-08-14,8814,Belenenses,False,3,1,1,1,3,4,4,0.4444444444444444,0.4,0.4666666666666667,2016-05-11
P1,1617,2016-08-14,8809,Guimaraes,True,3,1,2,0,6,5,5,0.5555555555555556,0.8,0.33333333333333326,2016-04-12
P1,1617,2016-08-14,8808,Sp Braga,False,3,0,1,2,1,3,1,0.1111111111111111,0.13333333333333333,0.6,2016-06-11
P1,1617,2016-08-15,8804,Estoril,True,3,2,1,0,5,2,7,0.7777777777777778,0.6666666666666667,0.7333333333333334,2016-05-11
P1,1617,2016-08-15,8820,Farense,False,3,0,0,3,0,7,0,0.0,0.0,0.06666666666666665,2016-05-11
P1,1617,2016-08-19,8814,Belenenses,True,4,1,1,2,3,6,4,0.3333333333333333,0.3,0.4,2016-08-14
P1,1617,2016-08-19,8818,Boavista,False,4,3,0,1,7,3,9,0.75,0.7,0.7,2016-08-14
P1,1617,2016-08-20,8815,Pacos Ferreira,True,3,1,2,0,4,3,5,0.5555555555555556,0.5333333333333333,0.6,2016-08-13
P1,1617,2016-08-20,8801,Sp Lisbon,False,4,3,1,0,10,3,10,0.8333333333333334,1.0,0.7,2016-08-13
P1,1617,2016-08-20,8822,Aves,True,4,2,2,0,6,3,8,0.6666666666666666,0.6,0.7,2016-05-11
P1,1617,2016-08-20,8811,Tondela,False,3,0,0,3,1,7,0,0.0,0.13333333333333333,0.06666666666666665,2016-08-13
P1,1617,2016-08-20,8807,Maritimo,True,4,3,0,1,4,3,9,0.75,0.4,0.7,2016-08-13
P1,1617,2016-08-20,8809,Guimaraes,False,4,1,2,1,6,6,5,0.4166666666666667,0.6,0.4,2016-08-14
P1,1617,2016-08-20,8813,Porto,True,3,2,1,0,6,1,7,0.7777777777777778,0.8,0.8666666666666667,2016-06-11
P1,1617,2016-08-20,8804,Estoril,False,4,2,1,1,5,4,7,0.5833333333333334,0.5,0.6,2016-08-15
P1,1617,2016-08-21,8803,Arouca,True,4,1,1,2,3,6,4,0.3333333333333333,0.3,0.4,2016-08-14
P1,1617,2016-08-21,8819,Nacional,False,4,0,0,4,2,10,0,0.0,0.2,0.0,2016-04-12
P1,1617,2016-08-21,8820,Farense,True,4,1,0,3,2,7,3,0.25,0.2,0.30000000000000004,2016-08-15
P1,1617,2016-08-21,8805,Moreirense,False,4,1,1,2,5,6,4,0.3333333333333333,0.5,0.4,2016-08-13
P1,1617,2016-08-21,8806,Benfica,True,4,2,1,1,8,3,7,0.5833333333333334,0.8,0.7,2016-08-13
P1,1617,2016-08-21,8823,Setubal,False,4,2,0,2,4,4,6,0.5,0.4,0.6,2016-08-14
P1,1617,2016-08-22,8808,Sp Braga,True,4,1,1,2,2,3,4,0.3333333333333333,0.2,0.7,2016-08-14
P1,1617,2016-08-22,8821,Rio Ave,False,3,1,0,2,5,5,3,0.3333333333333333,0.6666666666666667,0.33333333333333326,2016-05-11
P1,1617,2016-08-26,8809,Guimaraes,True,5,2,2,1,8,6,8,0.5333333333333333,0.64,0.52,2016-08-20
P1,1617,2016-08-26,8815,Pacos Ferreira,False,4,1,2,1,4,4,5,0.4166666666666667,0.4,0.6,2016-08-20
P1,1617,2016-08-27,8804,Estoril,True,5,2,1,2,5,5,7,0.4666666666666667,0.4,0.6,2016-08-20
P1,1617,2016-08-27,8808,Sp Braga,False,5,1,2,2,3,4,5,0.3333333333333333,0.24,0.6799999999999999,2016-08-22
P1,1617,2016-08-27,8811,Tondela,True,4,0,1,3,2,8,1,0.08333333333333333,0.2,0.19999999999999996,2016-08-20
P1,1617,2016-08-27,8814,Belenenses,False,5,1,2,2,3,6,5,0.3333333333333333,0.24,0.52,2016-08-19
P1,1617,2016-08-27,8819,Nacional,True,5,0,0,5,2,12,0,0.0,0.16,0.040000000000000036,2016-08-21
P1,1617,2016-08-27,8806,Benfica,False,5,2,2,1,9,4,8,0.5333333333333333,0.72,0.6799999999999999,2016-08-21
P1,1617,2016-08-28,8823,Setubal,True,5,2,1,2,5,5,7,0.4666666666666667,0.4,0.6,2016-08-21
P1,1617,2016-08-28,8803,Arouca,False,5,2,1,2,5,6,7,0.4666666666666667,0.4,0.52,2016-08-21
P1,1617,2016-08-28,8818,Boavista,True,5,3,1,1,7,3,10,0.6666666666666666,0.5599999999999999,0.76,2016-08-19
P1,1617,2016-08-28,8822,Aves,False,5,2,3,0,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2016-08-20
P1,1617,2016-08-28,8805,Moreirense,True,5,2,1,2,8,6,7,0.4666666666666667,0.64,0.52,2016-08-21
P1,1617,2016-08-28,8807,Maritimo,False,5,3,0,2,4,5,9,0.6,0.32,0.6,2016-08-20
P1,1617,2016-08-28,8821,Rio Ave,True,4,1,1,2,6,6,4,0.3333333333333333,0.6,0.4,2016-08-22
P1,1617,2016-08-28,8820,Farense,False,5,1,0,4,2,10,3,0.2,0.16,0.19999999999999996,2016-08-21
P1,1617,2016-08-28,8801,Sp Lisbon,True,5,4,1,0,11,3,13,0.8666666666666667,0.8800000000000001,0.76,2016-08-20
P1,1617,2016-08-28,8813,Porto,False,4,3,1,0,7,1,10,0.8333333333333334,0.7,0.9,2016-08-20
P1,1617,2016-09-09,8803,Arouca,True,5,2,0,3,4,7,6,0.4,0.32,0.44000000000000006,2016-08-28
