league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
PL1,2122,2021-08-06,9046,Sp Lisbon,True,5,4,0,1,13,5,12,0.8,1.0,0.6,2021-05-19
PL1,2122,2021-08-07,9049,Arouca,True,5,1,1,3,3,10,4,0.26666666666666666,0.24,0.19999999999999996,2017-10-03
PL1,2122,2021-08-07,9057,Estoril,False,5,2,1,2,5,6,7,0.4666666666666667,0.4,0.52,2018-12-02
PL1,2122,2021-08-07,9067,Maritimo,True,5,1,2,2,3,7,5,0.3333333333333333,0.24,0.44000000000000006,2021-05-19
PL1,2122,2021-08-07,9055,Sp Braga,False,5,1,3,1,4,4,6,0.4,0.32,0.6799999999999999,2021-05-19
PL1,2122,2021-08-07,9053,Moreirense,True,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2021-05-19
PL1,2122,2021-08-07,9060,Benfica,False,5,4,1,0,13,6,13,0.8666666666666667,1.0,0.52,2021-05-19
PL1,2122,2021-08-08,9058,Porto,True,5,4,1,0,16,4,13,0.8666666666666667,1.0,0.6799999999999999,2021-05-19
PL1,2122,2021-08-08,9069,Belenenses,False,5,2,0,3,4,8,6,0.4,0.32,0.36,2021-05-19
PL1,2122,2021-08-08,9059,Guimaraes,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2021-05-19
PL1,2122,2021-08-08,9064,Portimonense,False,5,0,2,3,1,4,2,0.13333333333333333,0.08,0.6799999999999999,2021-05-19
PL1,2122,2021-08-08,9056,Tondela,True,5,0,1,4,4,10,1,0.06666666666666667,0.32,0.19999999999999996,2021-05-18
PL1,2122,2021-08-08,9052,Santa Clara,False,5,3,1,1,10,4,10,0.6666666666666666,0.8,0.6799999999999999,2021-05-19
PL1,2122,2021-08-08,9068,Pacos Ferreira,True,5,2,2,1,6,6,8,0.5333333333333333,0.48,0.52,2021-05-18
PL1,2122,2021-08-08,9051,Famalicao,False,5,3,0,2,8,7,9,0.6,0.64,0.44000000000000006,2021-05-19
PL1,2122,2021-08-09,9048,Gil Vicente,True,5,2,2,1,5,3,8,0.5333333333333333,0.4,0.76,2021-05-19
PL1,2122,2021-08-09,9062,Boavista,False,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2021-05-19
PL1,2122,2021-08-13,9057,Estoril,True,5,2,1,2,5,5,7,0.4666666666666667,0.4,0.6,2021-08-07
PL1,2122,2021-08-13,9059,Guimaraes,False,5,0,2,3,4,8,2,0.13333333333333333,0.32,0.36,2021-08-08
PL1,2122,2021-08-14,9060,Benfica,True,5,4,1,0,13,7,13,0.8666666666666667,1.0,0.44000000000000006,2021-08-07
PL1,2122,2021-08-14,9049,Arouca,False,5,1,1,3,3,11,4,0.26666666666666666,0.24,0.11999999999999988,2021-08-07
PL1,2122,2021-08-14,9055,Sp Braga,True,5,2,3,0,6,3,9,0.6,0.48,0.76,2021-08-07
PL1,2122,2021-08-14,9046,Sp Lisbon,False,5,4,0,1,14,5,12,0.8,1.0,0.6,2021-08-06
PL1,2122,2021-08-14,9056,Tondela,False,5,1,1,3,7,8,4,0.26666666666666666,0.5599999999999999,0.36,2021-08-08
PL1,2122,2021-08-15,9051,Famalicao,True,5,3,0,2,6,6,9,0.6,0.48,0.52,2021-08-08
