league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
SP1,2526,2025-08-15,8704,Villarreal,True,5,5,0,0,15,6,15,1.0,1.0,0.52,2025-05-25
SP1,2526,2025-08-15,8702,Girona,True,5,2,0,3,4,8,6,0.4,0.32,0.36,2025-05-25
SP1,2526,2025-08-15,8703,Vallecano,False,5,3,2,0,6,3,11,0.7333333333333333,0.48,0.76,2025-05-24
SP1,2526,2025-08-16,8708,Alaves,True,5,2,2,1,3,2,8,0.5333333333333333,0.24,0.84,2025-05-24
SP1,2526,2025-08-16,8709,Levante,False,5,3,1,1,9,7,10,0.6666666666666666,0.72,0.44000000000000006,2025-05-24
SP1,2526,2025-08-16,8706,Mallorca,True,5,1,1,3,4,6,4,0.26666666666666666,0.32,0.52,2025-05-24
SP1,2526,2025-08-16,8707,Barcelona,False,5,4,0,1,13,7,12,0.8,1.0,0.44000000000000006,2025-05-25
SP1,2526,2025-08-16,8710,Valencia,True,5,2,1,2,7,5,7,0.4666666666666667,0.5599999999999999,0.6,2025-05-23
SP1,2526,2025-08-16,8711,Sociedad,False,5,1,1,3,3,9,4,0.26666666666666666,0.24,0.28,2025-05-24
SP1,2526,2025-08-17,8714,Ath Bilbao,True,5,3,1,1,4,3,10,0.6666666666666666,0.32,0.76,2025-05-25
SP1,2526,2025-08-17,8715,Sevilla,False,5,1,1,3,7,11,4,0.26666666666666666,0.5599999999999999,0.11999999999999988,2025-05-25
SP1,2526,2025-08-17,8712,Celta,True,5,3,0,2,9,8,9,0.6,0.72,0.36,2025-05-24
SP1,2526,2025-08-17,8713,Getafe,False,5,1,0,4,3,9,3,0.2,0.24,0.28,2025-05-24
SP1,2526,2025-08-17,8716,Espanol,True,5,1,0,4,5,9,3,0.2,0.4,0.28,2025-05-24
SP1,2526,2025-08-17,8717,Ath Madrid,False,5,4,0,1,12,3,12,0.8,0.96,0.76,2025-05-25
SP1,2526,2025-08-18,8718,Elche,True,5,2,3,0,5,3,9,0.6,0.4,0.76,2023-06-04
SP1,2526,2025-08-18,8719,Betis,False,5,1,3,1,7,9,6,0.4,0.5599999999999999,0.28,2025-05-23
SP1,2526,2025-08-19,8717,Ath Madrid,True,5,4,0,1,13,3,12,0.8,1.0,0.76,2025-08-17
