league_code,season,match_date,home_team,away_team,temperature,rainfall,wind_speed,weather_draw_index
E1,2122,2021-11-06,Luton,Stoke,12.4,0.0,27.1,1.15
E1,2122,2021-11-06,Birmingham,Reading,12.4,0.0,27.1,1.15
E1,2122,2021-11-06,Burnley,Hull,12.4,0.0,27.1,1.15
E1,2122,2021-11-19,QPR,Luton,11.8,0.0,9.4,1.094
E1,2122,2021-11-20,Reading,Nott'm Forest,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Sheffield United,Coventry,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Bristol City,Blackburn,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Fulham,Burnley,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Huddersfield,West Brom,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Hull,Birmingham,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Middlesbrough,Millwall,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Preston,Cardiff,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Stoke,Peterboro,10.6,0.0,11.5,1.115
E1,2122,2021-11-20,Swansea,Blackpool,10.6,0.0,11.5,1.115
E1,2122,2021-11-21,Derby,Bournemouth,7.2,0.0,23.4,1.15
E1,2122,2021-11-23,Reading,Sheffield United,7.6,0.0,4.3,1.043
E1,2122,2021-11-23,Nott'm Forest,Luton,7.6,0.0,4.3,1.043
E1,2122,2021-11-23,Blackpool,West Brom,7.6,0.0,4.3,1.043
E1,2122,2021-11-23,Coventry,Birmingham,7.6,0.0,4.3,1.043
E1,2122,2021-11-23,Middlesbrough,Preston,7.6,0.0,4.3,1.043
E1,2122,2021-11-24,Fulham,Derby,7.1,0.0,8.7,1.087
E1,2122,2021-11-24,Millwall,Bournemouth,7.1,0.0,8.7,1.087
E1,2122,2021-11-24,Bristol City,Stoke,7.1,0.0,8.7,1.087
E1,2122,2021-11-24,Cardiff,Hull,7.1,0.0,8.7,1.087
E1,2122,2021-11-26,West Brom,Nott'm Forest,6.7,0.1,24.3,1.15
E1,2122,2021-11-27,Bournemouth,Coventry,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Huddersfield,Middlesbrough,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Hull,Millwall,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Luton,Cardiff,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Peterboro,Burnley,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Stoke,Blackburn,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Swansea,Reading,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Preston,Fulham,4.3,0.0,37.7,1.15
E1,2122,2021-11-27,Birmingham,Blackpool,4.3,0.0,37.7,1.15
E1,2122,2021-11-28,Sheffield United,Bristol City,2.7,0.0,13.0,1.15
E1,2122,2021-11-29,Derby,QPR,2.7,0.0,10.0,1.15
E1,2122,2021-12-03,Fulham,Bournemouth,7.9,0.0,5.8,1.058
E1,2122,2021-12-04,Coventry,West Brom,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Burnley,Huddersfield,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Blackburn,Preston,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Blackpool,Luton,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Bristol City,Derby,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Cardiff,Sheffield United,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Middlesbrough,Swansea,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Millwall,Birmingham,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Nott'm Forest,Peterboro,6.3,0.0,22.5,1.15
E1,2122,2021-12-04,Reading,Hull,6.3,0.0,22.5,1.15
E1,2122,2021-12-05,QPR,Stoke,6.9,0.0,24.5,1.15
E1,2122,2021-12-11,Bournemouth,Blackburn,6.8,0.3,13.9,1.1480000000000001
E1,2122,2021-12-11,Derby,Blackpool,6.8,0.3,13.9,1.1480000000000001
E1,2122,2021-12-11,Hull,Bristol City,6.8,0.3,13.9,1.1480000000000001
E1,2122,2021-12-11,Luton,Fulham,6.8,0.3,13.9,1.1480000000000001
E1,2122,2021-12-11,Peterboro,Millwall,6.8,0.3,13.9,1.1480000000000001
E1,2122,2021-12-11,Preston,Burnley,6.8,0.3,13.9,1.1480000000000001
E1,2122,2021-12-11,Stoke,Middlesbrough,6.8,0.3,13.9,1.1480000000000001
E1,2122,2021-12-11,Swansea,Nott'm Forest,6.8,0.3,13.9,1.1480000000000001
E1,2122,2022-01-15,Cardiff,Blackburn,4.9,0.0,6.9,1.15
E1,2122,2022-01-22,West Brom,Peterboro,6.3,0.0,10.6,1.106
E1,2122,2022-01-22,Sheffield United,Luton,6.3,0.0,10.6,1.106
E1,2122,2022-01-22,Nott'm Forest,Derby,6.3,0.0,10.6,1.106
E1,2122,2022-01-24,Blackburn,Middlesbrough,4.8,0.0,2.9,1.129
E1,2122,2022-01-25,Birmingham,Peterboro,3.0,0.0,6.6,1.15
E1,2122,2022-01-25,Coventry,Stoke,3.0,0.0,6.6,1.15
E1,2122,2022-01-25,Luton,Bristol City,3.0,0.0,6.6,1.15
E1,2122,2022-01-25,Nott'm Forest,Burnley,3.0,0.0,6.6,1.15
E1,2122,2022-01-25,QPR,Swansea,3.0,0.0,6.6,1.15
E1,2122,2022-01-26,West Brom,Preston,7.8,0.0,14.6,1.146
E1,2122,2022-01-28,Huddersfield,Stoke,8.6,0.0,16.7,1.15
E1,2122,2022-01-29,Hull,Swansea,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,Luton,Blackburn,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,Middlesbrough,Coventry,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,Millwall,West Brom,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,Preston,Bristol City,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,QPR,Reading,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,Peterboro,Sheffield United,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,Burnley,Bournemouth,12.2,0.0,31.0,1.15
E1,2122,2022-01-29,Fulham,Blackpool,12.2,0.0,31.0,1.15
E1,2122,2022-01-30,Derby,Birmingham,7.0,0.0,14.1,1.141
E1,2122,2022-01-30,Cardiff,Nott'm Forest,7.0,0.0,14.1,1.141
E1,2122,2022-02-01,Millwall,Preston,12.9,0.0,28.4,1.15
E1,2122,2022-02-01,Swansea,Luton,12.9,0.0,28.4,1.15
E1,2122,2022-02-02,Huddersfield,Derby,11.1,0.0,8.8,1.088
E1,2122,2022-02-02,Burnley,Cardiff,11.1,0.0,8.8,1.088
E1,2122,2022-02-04,Birmingham,Sheffield United,7.4,0.0,24.8,1.15
E1,2122,2022-02-05,Swansea,Blackburn,10.1,0.0,29.2,1.15
E1,2122,2022-02-05,Hull,Preston,10.1,0.0,29.2,1.15
E1,2122,2022-02-05,Blackpool,Bristol City,10.1,0.0,29.2,1.15
E1,2122,2022-02-08,Fulham,Millwall,12.2,0.0,23.5,1.15
E1,2122,2022-02-08,Luton,Burnley,12.2,0.0,23.5,1.15
E1,2122,2022-02-08,Stoke,Swansea,12.2,0.0,23.5,1.15
E1,2122,2022-02-08,Coventry,Blackpool,12.2,0.0,23.5,1.15
E1,2122,2022-02-08,Derby,Hull,12.2,0.0,23.5,1.15
