home_team_id,home_team_name,away_team_id,away_team_name,season,matches_played,draw_count,draw_rate,avg_goals
9018,Go Ahead Eagles,9022,NAC Breda,2526,1,0,0.0,1.0
9030,Telstar,9034,Heracles,2526,1,1,1.0,2.0
9026,Sparta Rotterdam,9029,Ajax,2526,1,1,1.0,6.0
9022,NAC Breda,9034,Heracles,2526,1,0,0.0,3.0
9027,Zwolle,9033,Utrecht,2526,1,0,0.0,2.0
9024,Volendam,9028,Twente,2526,1,1,1.0,2.0
9018,Go Ahead Eagles,9032,Groningen,2526,1,1,1.0,2.0
9026,Sparta Rotterdam,9034,Heracles,2526,1,0,0.0,3.0
9020,Excelsior,9030,Telstar,2526,1,1,1.0,4.0
9026,Sparta Rotterdam,9028,Twente,2526,1,0,0.0,6.0
9018,Go Ahead Eagles,9024,Volendam,2526,1,0,0.0,3.0
9028,Twente,9030,Telstar,2526,1,1,1.0,
9027,Zwolle,9032,Groningen,2526,1,1,1.0,4.0
9027,Zwolle,9029,Ajax,2526,1,0,0.0,4.0
9017,For Sittard,9031,AZ Alkmaar,2526,1,0,0.0,7.0
9021,Feyenoord,9026,Sparta Rotterdam,2526,1,0,0.0,4.0
9031,AZ Alkmaar,9032,Groningen,2526,1,0,0.0,5.0
9024,Volendam,9025,PSV Eindhoven,2526,1,0,0.0,3.0
9019,Nijmegen,9029,Ajax,2526,1,1,1.0,4.0
9017,For Sittard,9022,NAC Breda,2526,1,0,0.0,3.0
9032,Groningen,9034,Heracles,2526,1,0,0.0,4.0
9021,Feyenoord,9028,Twente,2526,1,1,1.0,2.0
9025,PSV Eindhoven,9027,Zwolle,2526,1,0,0.0,4.0
9019,Nijmegen,9022,NAC Breda,2526,1,0,0.0,3.0
9021,Feyenoord,9025,PSV Eindhoven,2526,1,0,0.0,5.0
9022,NAC Breda,9032,Groningen,2526,1,0,0.0,3.0
9017,For Sittard,9021,Feyenoord,2526,1,0,0.0,2.0
9026,Sparta Rotterdam,9032,Groningen,2526,1,0,0.0,2.0
9022,NAC Breda,9031,AZ Alkmaar,2526,1,0,0.0,1.0
9022,NAC Breda,9023,Heerenveen,2526,1,1,1.0,6.0
9022,NAC Breda,9027,Zwolle,2526,1,1,1.0,4.0
9018,Go Ahead Eagles,9027,Zwolle,2526,1,0,0.0,2.0
9025,PSV Eindhoven,9031,AZ Alkmaar,2526,1,0,0.0,6.0
9020,Excelsior,9032,Groningen,2526,1,0,0.0,2.0
9019,Nijmegen,9032,Groningen,2526,1,0,0.0,2.0
9018,Go Ahead Eagles,9029,Ajax,2526,1,1,1.0,4.0
9024,Volendam,9026,Sparta Rotterdam,2526,1,0,0.0,1.0
9022,NAC Breda,9024,Volendam,2526,1,0,0.0,3.0
9019,Nijmegen,9034,Heracles,2526,1,0,0.0,5.0
9023,Heerenveen,9024,Volendam,2526,1,1,1.0,2.0
9025,PSV Eindhoven,9029,Ajax,2526,1,1,1.0,4.0
9017,For Sittard,9033,Utrecht,2526,1,0,0.0,1.0
9031,AZ Alkmaar,9033,Utrecht,2526,1,0,0.0,5.0
9023,Heerenveen,9025,PSV Eindhoven,2526,1,0,0.0,2.0
9029,Ajax,9033,Utrecht,2526,1,0,0.0,3.0
9021,Feyenoord,9023,Heerenveen,2526,2,1,0.5,2.5
9023,Heerenveen,9034,Heracles,2526,1,0,0.0,3.0
9019,Nijmegen,9026,Sparta Rotterdam,2526,1,0,0.0,4.0
9022,NAC Breda,9033,Utrecht,2526,1,1,1.0,2.0
9021,Feyenoord,9032,Groningen,2526,1,0,0.0,1.0
9023,Heerenveen,9030,Telstar,2526,1,0,0.0,5.0
