Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
D1,2022-08-05,19:30,Ein Frankfurt,Bayern Munich,1,6,A,0,5,A,8,23,2,10,10,11,5,6,2,0,0,0,6.0,5.0,1.5,5.75,4.8,1.44,4.9,4.5,1.6,5.84,5.13,1.52,5.8,4.6,1.5,6.0,5.0,1.45,6.15,5.25,1.6,5.82,4.96,1.49,1.4,3.0,1.42,3.02,1.44,3.2,1.39,2.94,1.25,1.91,2.02,1.88,2.04,1.91,2.06,1.87,2.0,6.0,5.0,1.44,6.0,5.0,1.42,5.0,4.7,1.57,6.24,5.3,1.48,6.5,4.75,1.44,6.0,5.0,1.45,6.54,5.4,1.57,5.97,5.08,1.47,1.4,3.0,1.39,3.16,1.42,3.19,1.39,3.03,1.25,2.0,1.93,2.0,1.93,2.01,2.0,1.93,1.94,7,-5,0.044575148665046305,0.16448917635223262,0.19300947709072458,0.6425013465570428,2022.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
D1,2022-08-06,14:30,Augsburg,Freiburg,0,4,A,0,0,D,10,19,2,7,13,13,5,8,0,0,0,0,3.3,3.5,2.15,3.3,3.4,2.15,3.2,3.4,2.25,3.53,3.59,2.17,3.3,3.4,2.15,3.4,3.5,2.1,3.57,3.62,2.25,3.39,3.51,2.15,1.92,1.98,1.92,1.99,1.94,2.0,1.88,1.93,0.25,2.06,1.87,2.05,1.88,2.06,1.88,2.01,1.85,3.4,3.6,2.1,3.4,3.5,2.1,3.3,3.4,2.2,3.51,3.54,2.2,3.5,3.4,2.1,3.4,3.5,2.15,3.68,3.66,2.2,3.46,3.51,2.14,1.91,1.99,1.92,1.98,1.93,2.03,1.87,1.95,0.25,2.04,1.89,2.04,1.88,2.08,1.89,2.03,1.84,4,-4,0.04500181470751552,0.28228204639053783,0.27263137813786986,0.4450865754715922,2022.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
D1,2022-08-06,14:30,Bochum,Mainz,1,2,A,1,1,D,16,13,3,6,11,16,3,5,2,3,0,0,3.2,3.4,2.2,3.1,3.4,2.25,3.15,3.4,2.25,3.34,3.43,2.32,3.25,3.3,2.25,3.13,3.5,2.2,3.38,3.5,2.32,3.23,3.42,2.26,1.96,1.94,1.96,1.94,2.02,1.97,1.93,1.89,0.25,1.95,1.98,1.93,1.99,1.96,1.99,1.91,1.94,3.4,3.4,2.15,3.25,3.4,2.2,3.3,3.3,2.25,3.37,3.43,2.3,3.4,3.3,2.15,3.2,3.5,2.2,3.48,3.55,2.3,3.31,3.43,2.23,1.9,2.0,1.9,2.01,1.94,2.05,1.86,1.97,0.25,1.95,1.98,1.95,1.97,1.99,1.99,1.93,1.93,3,-1,0.04447306014472252,0.2964150393471291,0.27994753716117743,0.42363742349169337,2022.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
D1,2022-08-06,14:30,M'gladbach,Hoffenheim,3,1,H,1,1,D,18,2,8,1,18,12,4,2,1,4,0,1,2.05,4.2,3.0,2.15,3.9,3.0,2.2,3.75,3.05,2.15,4.22,3.12,2.1,3.8,3.1,2.1,4.1,2.9,2.23,4.22,3.26,2.14,4.04,3.05,1.36,3.2,1.39,3.2,1.44,3.27,1.37,3.09,-0.25,1.91,2.02,1.9,2.03,1.94,2.03,1.89,1.99,2.0,4.0,3.2,2.1,3.8,3.1,2.1,3.7,3.35,2.08,4.08,3.38,2.0,3.8,3.4,2.05,4.0,3.2,2.21,4.12,3.51,2.05,3.97,3.31,1.44,2.75,1.47,2.83,1.47,2.93,1.44,2.81,-0.5,2.06,1.87,2.08,1.85,2.1,1.88,2.04,1.84,4,2,0.04268332456043211,0.44816072974329507,0.23739206971550778,0.31444720054119724,2022.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
D1,2022-08-06,14:30,Union Berlin,Hertha,3,1,H,1,0,H,18,9,8,3,23,17,5,4,2,3,0,0,1.72,3.75,4.5,1.78,3.6,4.6,1.8,3.75,4.4,1.79,3.78,4.97,1.75,3.6,4.75,1.73,3.75,4.6,1.82,3.9,5.0,1.77,3.73,4.7,2.06,1.84,2.06,1.86,2.06,1.9,2.0,1.83,-0.75,2.01,1.92,2.03,1.9,2.07,1.93,1.99,1.88,1.85,3.6,4.2,1.87,3.5,4.2,1.9,3.65,4.2,1.91,3.68,4.37,1.88,3.4,4.2,1.87,3.7,4.1,1.93,3.86,4.87,1.87,3.62,4.3,1.94,1.96,1.93,1.97,2.0,2.03,1.9,1.92,-0.5,1.9,2.03,1.91,2.01,1.93,2.05,1.88,1.99,4,2,0.045834223604546365,0.5402115733650518,0.25634704687832216,0.20344137975662588,2022.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
D1,2022-08-06,14:30,Wolfsburg,Werder Bremen,2,2,D,1,2,A,13,10,3,5,11,14,2,5,2,2,0,0,1.85,3.8,3.8,1.85,3.75,4.0,1.9,3.7,3.9,1.93,3.7,4.29,1.85,3.7,4.0,1.85,3.8,3.9,1.94,3.85,4.3,1.88,3.74,4.06,1.8,2.0,1.83,2.07,1.84,2.13,1.78,2.06,-0.5,1.91,2.02,1.93,2.0,1.93,2.03,1.89,1.98,2.05,3.6,3.4,2.1,3.6,3.4,2.05,3.6,3.45,2.15,3.66,3.53,2.05,3.6,3.4,2.1,3.6,3.4,2.15,3.85,4.15,2.08,3.63,3.5,1.72,2.1,1.78,2.14,1.81,2.23,1.76,2.09,-0.5,2.05,1.75,2.14,1.79,2.14,1.83,2.09,1.79,4,0,0.04559999148061822,0.5087173851864756,0.2557188995055011,0.23556371530802322,2022.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
D1,2022-08-06,17:30,Dortmund,Leverkusen,1,0,H,1,0,H,13,8,4,3,14,13,3,3,2,4,0,1,2.0,4.2,3.2,2.05,4.0,3.1,2.05,4.1,3.1,2.08,4.22,3.28,2.05,3.9,3.2,2.0,4.2,3.1,2.12,4.36,3.34,2.06,4.12,3.19,1.4,3.0,1.41,3.09,1.43,3.2,1.39,3.01,-0.5,2.06,1.87,2.08,1.85,2.1,1.88,2.05,1.82,2.0,4.1,3.2,2.05,3.9,3.1,2.05,3.85,3.35,2.1,4.02,3.35,2.0,3.9,3.3,2.05,4.1,3.13,2.13,4.24,3.49,2.05,3.98,3.26,1.44,2.75,1.45,2.95,1.47,3.18,1.42,2.83,-0.5,2.11,1.82,2.09,1.85,2.11,1.85,2.05,1.82,1,1,0.041634963630276633,0.4660336011687363,0.23301680058436816,0.3009495982468956,2022.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
D1,2022-08-07,14:30,Stuttgart,RB Leipzig,1,1,D,1,1,D,11,27,2,9,14,9,1,9,2,1,0,0,4.5,3.8,1.75,4.2,3.75,1.8,4.4,3.65,1.83,4.44,4.12,1.8,4.5,3.75,1.75,4.2,3.9,1.75,4.67,4.12,1.84,4.35,3.92,1.79,1.72,2.1,1.78,2.15,1.82,2.17,1.75,2.09,0.75,1.89,2.04,1.89,2.04,1.89,2.05,1.86,2.01,3.6,3.6,2.0,3.5,3.6,2.0,3.7,3.7,1.95,4.08,3.8,1.94,3.7,3.6,1.95,3.5,3.8,2.0,4.1,3.92,2.05,3.79,3.72,1.96,1.72,2.1,1.83,2.08,1.83,2.15,1.78,2.06,0.5,1.87,2.06,1.98,1.94,1.98,2.06,1.9,1.96,2,0,0.04364631616468584,0.22027103810041032,0.24443342238183285,0.5352955395177569,2022.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
D1,2022-08-07,16:30,FC Koln,Schalke 04,3,1,H,0,0,D,30,6,10,2,8,10,9,1,0,1,0,1,1.7,4.0,4.5,1.71,3.9,4.6,1.8,3.85,4.3,1.75,4.28,4.58,1.7,3.9,4.6,1.7,4.2,4.33,1.8,4.33,4.88,1.73,4.14,4.48,1.57,2.37,1.57,2.55,1.58,2.55,1.54,2.47,-0.75,1.93,2.0,1.94,1.98,1.94,2.02,1.91,1.96,2.05,3.75,3.4,2.0,3.6,3.6,1.97,3.7,3.65,2.11,3.64,3.64,2.05,3.6,3.4,2.05,3.8,3.3,2.14,3.9,4.0,2.01,3.67,3.65,1.8,2.0,1.8,2.11,1.8,2.26,1.72,2.14,-0.5,2.11,1.82,2.11,1.83,2.14,1.99,2.0,1.87,4,2,0.042794861515017324,0.5543129367180916,0.23163318370103828,0.21405387958087016,2022.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
D1,2022-08-12,19:30,Freiburg,Dortmund,1,3,A,1,0,H,16,16,7,7,16,10,9,2,1,3,0,0,3.0,3.75,2.2,2.95,3.6,2.25,2.95,3.6,2.3,3.15,3.83,2.26,3.0,3.6,2.25,3.0,3.75,2.2,3.18,3.9,2.33,3.06,3.74,2.25,1.57,2.37,1.63,2.4,1.63,2.49,1.58,2.4,0.25,1.93,1.97,1.94,1.98,1.94,1.99,1.9,1.95,2.9,3.75,2.25,2.9,3.6,2.3,2.85,3.5,2.4,3.07,3.73,2.34,3.0,3.5,2.25,2.88,3.75,2.3,3.23,3.9,2.41,2.98,3.7,2.3,1.57,2.37,1.63,2.41,1.63,2.53,1.58,2.4,0.25,1.87,2.03,1.89,2.03,1.99,2.06,1.86,2.01,4,-2,0.03862150920974439,0.31464530892448517,0.2574370709382151,0.4279176201372998,2022.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
