Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek
SP1,2021-08-13,20:00,Valencia,Getafe,1,0,H,1,0,H,4,22,2,4,24,15,1,9,6,3,1,1,2.55,3.0,3.1,2.65,3.0,2.95,2.65,2.9,3.05,2.7,3.03,3.11,2.55,3.0,3.0,2.63,3.0,3.0,2.73,3.2,3.23,2.64,3.01,3.06,2.62,1.5,2.75,1.5,2.75,1.51,2.65,1.49,0.0,1.82,2.11,1.83,2.11,1.88,2.13,1.81,2.08,2.37,3.0,3.3,2.45,3.0,3.25,2.4,2.95,3.4,2.47,3.04,3.48,2.35,3.0,3.3,2.45,3.0,3.3,2.57,3.1,3.58,2.42,3.0,3.34,2.75,1.44,2.84,1.48,2.84,1.51,2.68,1.47,-0.25,2.06,1.87,2.07,1.86,2.1,1.9,2.03,1.84,1,1,0.03781117803005629,0.3649872797736513,0.3201217337549633,0.3148909864713854,2021.0,8.0,4.0
SP1,2021-08-14,18:30,Cadiz,Levante,1,1,D,0,1,A,7,12,2,3,10,16,2,4,1,5,0,0,2.8,3.25,2.6,2.8,3.3,2.55,2.75,3.2,2.65,2.86,3.28,2.73,2.75,3.2,2.62,2.7,3.2,2.55,2.88,3.36,2.76,2.78,3.23,2.66,2.1,1.72,2.17,1.76,2.17,1.83,2.07,1.78,0.0,2.01,1.92,2.01,1.92,2.02,1.95,1.98,1.9,3.3,3.25,2.2,3.25,3.25,2.3,3.3,3.1,2.35,3.4,3.25,2.38,3.3,3.1,2.3,3.25,3.2,2.38,3.45,3.36,2.6,3.28,3.2,2.34,2.3,1.61,2.36,1.65,2.38,1.71,2.27,1.65,0.25,1.89,2.04,1.9,2.02,1.91,2.05,1.88,1.99,2,0,0.045249603059701826,0.3441400304414003,0.29619482496194827,0.3596651445966514,2021.0,8.0,5.0
SP1,2021-08-14,18:30,Mallorca,Betis,1,1,D,1,0,H,6,10,2,1,12,18,4,3,1,3,0,0,3.3,3.4,2.2,3.4,3.25,2.25,3.35,3.3,2.25,3.51,3.35,2.28,3.4,3.2,2.2,3.13,3.3,2.2,3.51,3.46,2.31,3.38,3.29,2.24,2.0,1.8,2.08,1.84,2.11,1.87,2.02,1.82,0.25,1.97,1.96,1.97,1.95,1.98,1.97,1.94,1.92,2.45,3.1,3.1,2.7,3.1,2.8,2.6,3.0,3.0,2.66,3.09,3.1,2.55,3.1,2.87,2.55,3.1,3.0,3.3,3.18,3.15,2.64,3.06,2.96,2.37,1.57,2.45,1.61,2.53,1.75,2.37,1.59,0.0,1.79,2.15,1.82,2.13,1.85,2.19,1.8,2.09,2,0,0.04623792737540677,0.28278270212194473,0.2905183991404781,0.42669889873757727,2021.0,8.0,5.0
SP1,2021-08-14,21:00,Alaves,Real Madrid,1,4,A,0,0,D,11,19,4,7,14,10,0,4,1,2,0,0,7.0,4.75,1.44,6.75,4.75,1.45,6.75,4.6,1.45,7.48,4.64,1.48,7.0,4.4,1.44,6.5,4.4,1.44,7.6,4.78,1.52,7.08,4.57,1.46,1.8,2.0,1.82,2.08,1.84,2.19,1.76,2.09,1.25,1.85,2.08,1.84,2.1,1.89,2.11,1.84,2.05,6.0,4.2,1.57,6.0,4.0,1.57,5.5,4.1,1.6,6.27,4.26,1.58,6.0,4.2,1.52,6.0,4.1,1.57,6.52,4.5,1.65,5.84,4.17,1.58,1.9,1.9,1.9,2.01,1.96,2.12,1.85,1.98,1.0,1.87,2.06,1.89,2.04,1.91,2.11,1.86,2.01,5,-3,0.04499282544640493,0.13516163404544956,0.20939701729579496,0.6554413486587554,2021.0,8.0,5.0
SP1,2021-08-14,21:00,Osasuna,Espanol,0,0,D,0,0,D,14,10,1,3,18,12,4,6,3,3,0,0,2.25,3.2,3.4,2.2,3.3,3.4,2.3,3.25,3.3,2.34,3.35,3.37,2.3,3.2,3.25,2.2,3.2,3.25,2.35,3.39,3.5,2.29,3.26,3.31,2.3,1.61,2.42,1.63,2.45,1.68,2.33,1.62,-0.25,1.99,1.94,2.0,1.93,2.0,1.96,1.97,1.91,2.55,3.2,2.87,2.6,3.0,3.0,2.65,3.0,2.95,2.71,3.13,3.0,2.5,3.1,3.0,2.63,3.1,2.9,2.75,3.27,3.08,2.63,3.08,2.94,2.37,1.57,2.41,1.63,2.47,1.65,2.35,1.6,0.0,1.87,2.06,1.87,2.07,1.88,2.11,1.83,2.05,0,0,0.04554449259047,0.4176591487039352,0.29338633451902196,0.28895451677704276,2021.0,8.0,5.0
SP1,2021-08-15,16:30,Celta,Ath Madrid,1,2,A,0,1,A,10,13,2,4,11,9,2,5,4,5,1,1,4.2,3.4,1.9,4.4,3.1,2.0,4.0,3.3,2.0,4.41,3.25,2.05,4.2,3.2,1.95,3.9,3.3,1.95,4.65,3.41,2.06,4.17,3.25,2.01,2.2,1.66,2.32,1.67,2.32,1.75,2.21,1.69,0.5,1.88,2.05,1.88,2.05,1.92,2.06,1.85,2.02,3.5,3.25,2.15,3.8,3.2,2.1,3.7,3.2,2.15,3.78,3.25,2.22,3.6,3.2,2.15,3.6,3.25,2.15,3.94,3.4,2.27,3.7,3.2,2.17,2.3,1.61,2.33,1.67,2.39,1.71,2.26,1.65,0.25,2.05,1.88,2.04,1.89,2.16,1.92,2.02,1.85,3,-1,0.04501289898047123,0.22947865400625994,0.29443876529418583,0.4760825806995543,2021.0,8.0,6.0
SP1,2021-08-15,19:00,Barcelona,Sociedad,4,2,H,2,0,H,13,11,8,3,11,18,5,3,2,4,0,0,1.72,4.0,4.5,1.72,4.2,4.25,1.73,4.1,4.4,1.75,4.2,4.62,1.73,4.0,4.33,1.7,4.0,4.2,1.8,4.3,4.69,1.74,4.06,4.44,1.57,2.37,1.61,2.46,1.67,2.49,1.6,2.36,-0.75,1.97,1.96,1.95,1.97,1.98,1.99,1.94,1.93,1.65,3.8,5.0,1.65,4.1,5.0,1.65,4.1,5.0,1.69,4.0,5.43,1.63,4.2,4.8,1.65,4.0,5.25,1.74,4.31,5.64,1.66,4.05,5.13,1.72,2.1,1.77,2.16,1.78,2.3,1.71,2.17,-0.75,1.88,2.05,1.88,2.04,1.89,2.23,1.83,2.05,6,2,0.046243287622597995,0.5493107104984093,0.23541887592788974,0.21527041357370091,2021.0,8.0,6.0
SP1,2021-08-15,21:15,Sevilla,Vallecano,3,0,H,1,0,H,21,4,8,3,14,7,4,0,1,0,0,1,1.44,4.2,8.0,1.42,4.6,7.75,1.47,4.4,7.0,1.44,4.68,8.37,1.42,4.33,8.0,1.44,4.2,7.0,1.48,4.9,8.37,1.44,4.54,7.6,1.99,1.94,1.98,1.92,2.0,2.0,1.92,1.91,-1.25,2.11,1.82,2.13,1.82,2.13,1.87,2.07,1.81,1.36,4.75,10.0,1.42,4.33,9.0,1.43,4.3,8.25,1.46,4.28,9.53,1.4,4.2,9.0,1.44,4.33,8.0,1.5,4.81,11.0,1.43,4.34,8.93,2.2,1.66,2.18,1.75,2.21,1.84,2.11,1.74,-1.25,2.11,1.82,2.12,1.82,2.13,1.92,2.06,1.81,3,3,0.04628770899348211,0.6637222615493522,0.2105198362623496,0.1257579021882983,2021.0,8.0,6.0
SP1,2021-08-16,19:00,Villarreal,Granada,0,0,D,0,0,D,14,6,4,1,19,21,6,2,5,1,1,0,1.53,4.2,6.5,1.5,4.4,6.5,1.55,4.2,6.0,1.56,4.35,6.51,1.52,4.0,6.5,1.5,4.1,6.0,1.6,4.51,6.75,1.54,4.24,6.25,1.89,2.04,1.87,2.04,1.93,2.04,1.85,1.98,-1.0,1.97,1.96,2.0,1.93,2.0,2.0,1.93,1.94,1.53,4.33,5.75,1.53,4.1,6.5,1.53,4.1,6.5,1.52,4.33,7.22,1.52,4.0,6.5,1.53,4.2,6.5,1.59,4.5,7.22,1.53,4.21,6.6,1.9,1.9,1.94,1.96,1.96,2.02,1.86,1.96,-1.0,1.94,1.99,1.9,2.03,2.0,2.03,1.9,1.97,0,0,0.04519970595442291,0.6212694527671108,0.2256497540710732,0.15308079316181608,2021.0,8.0,0.0
SP1,2021-08-16,21:00,Elche,Ath Bilbao,0,0,D,0,0,D,8,9,2,3,13,19,6,8,2,2,0,0,3.8,3.3,2.05,3.8,3.3,2.05,3.75,3.25,2.1,3.93,3.36,2.13,3.75,3.25,2.05,3.6,3.2,2.05,3.94,3.47,2.16,3.78,3.3,2.09,2.37,1.57,2.42,1.63,2.45,1.68,2.34,1.61,0.5,1.82,2.11,1.82,2.13,1.83,2.14,1.8,2.09,3.6,3.1,2.2,3.7,3.1,2.2,3.7,3.0,2.25,3.85,3.13,2.26,3.7,3.1,2.15,3.6,3.1,2.2,3.96,3.2,2.31,3.72,3.09,2.22,2.62,1.5,2.74,1.51,2.79,1.56,2.65,1.48,0.25,2.04,1.89,2.02,1.9,2.12,1.94,2.0,1.88,0,0,0.046049467102098784,0.25290416263310744,0.2896902226524685,0.45740561471442404,2021.0,8.0,0.0
