Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek
F2,2021-07-24,14:00,Bastia,Nimes,1,1,D,0.0,1.0,A,10.0,9.0,4.0,6.0,25.0,16.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,3.2,2.4,3.0,3.1,2.35,2.85,3.0,2.5,3.01,3.13,2.59,3.0,2.9,2.5,3.0,3.0,2.55,3.06,3.2,2.61,2.95,3.06,2.5,2.25,1.61,2.27,1.66,2.42,1.68,2.25,1.62,0.0,2.08,1.73,2.1,1.79,2.16,1.82,2.09,1.76,2.37,3.0,3.3,2.35,3.0,3.1,2.3,3.05,3.1,2.39,3.22,3.29,2.35,3.0,3.1,2.4,3.1,3.2,2.48,3.23,3.33,2.37,3.08,3.12,2.35,1.57,2.43,1.6,2.43,1.64,2.31,1.59,-0.25,2.0,1.85,2.03,1.86,2.1,1.9,2.02,1.81,2,0,0.06578043646837273,0.3180608681190753,0.3066273075004157,0.3753118243805089,2021.0,7.0,5.0
F2,2021-07-24,18:00,Amiens,Auxerre,1,2,A,1.0,0.0,H,10.0,12.0,4.0,5.0,12.0,18.0,9.0,5.0,2.0,3.0,0.0,0.0,2.7,3.1,2.8,2.55,2.9,2.9,2.65,2.95,2.7,2.87,2.98,2.82,2.7,2.8,2.8,2.8,2.9,2.8,2.92,3.1,3.1,2.69,2.95,2.8,2.4,1.53,2.47,1.56,2.55,1.59,2.43,1.54,0.0,1.93,1.93,1.95,1.92,1.95,2.13,1.9,1.93,3.1,3.1,2.4,3.0,2.95,2.45,3.05,2.95,2.4,3.28,3.07,2.49,3.2,2.87,2.37,3.2,3.0,2.45,3.31,3.13,2.55,3.12,2.98,2.43,2.35,1.57,2.36,1.63,2.45,1.63,2.34,1.58,0.25,1.77,2.1,1.81,2.1,1.83,2.15,1.77,2.07,3,-1,0.06787311988622569,0.3481192708882099,0.31743757243704557,0.33444315667474445,2021.0,7.0,5.0
F2,2021-07-24,18:00,Caen,Rodez,4,0,H,3.0,0.0,H,13.0,15.0,5.0,7.0,16.0,13.0,2.0,8.0,1.0,2.0,0.0,0.0,2.37,3.1,3.1,2.5,3.0,2.85,2.45,2.95,3.05,2.43,3.1,3.29,2.38,2.88,3.2,2.45,2.9,3.3,2.58,3.13,3.39,2.42,2.98,3.15,2.5,1.5,2.6,1.52,2.64,1.54,2.52,1.5,-0.25,2.05,1.8,2.05,1.83,2.14,1.83,2.05,1.78,2.37,3.1,3.1,2.45,2.85,3.1,2.4,2.85,3.1,2.49,2.97,3.38,2.45,2.75,3.2,2.45,2.9,3.3,2.53,3.1,3.41,2.45,2.89,3.21,2.6,1.47,2.64,1.52,2.7,1.52,2.59,1.48,-0.25,2.05,1.8,2.09,1.81,2.12,1.83,2.07,1.77,4,4,0.06625392775484285,0.3875466525745616,0.31471909370148965,0.2977342537239489,2021.0,7.0,5.0
F2,2021-07-24,18:00,Dunkerque,Quevilly Rouen,1,1,D,1.0,1.0,D,7.0,5.0,3.0,3.0,18.0,27.0,6.0,5.0,3.0,1.0,0.0,0.0,2.2,3.2,3.4,2.25,3.1,3.2,2.2,3.0,3.45,2.21,3.07,3.84,2.15,3.0,3.6,2.2,3.0,3.7,2.36,3.2,3.9,2.2,3.05,3.52,2.35,1.57,2.41,1.6,2.45,1.63,2.34,1.58,-0.25,1.88,1.98,1.86,2.01,1.96,2.01,1.88,1.95,1.8,3.4,4.75,1.85,3.3,4.25,1.83,3.25,4.5,1.89,3.27,4.98,1.83,3.1,4.75,1.85,3.2,5.0,1.91,3.4,5.0,1.85,3.23,4.67,2.5,1.5,2.66,1.51,2.66,1.56,2.51,1.51,-0.5,1.88,1.98,1.89,2.0,1.89,2.06,1.84,1.97,2,0,0.06650521609538007,0.4262008733624454,0.3074235807860262,0.2663755458515284,2021.0,7.0,5.0
F2,2021-07-24,18:00,Grenoble,Paris FC,0,4,A,0.0,1.0,A,2.0,19.0,0.0,11.0,9.0,8.0,5.0,10.0,2.0,0.0,0.0,0.0,2.7,3.1,2.75,2.4,3.0,3.0,2.55,2.95,2.8,2.69,3.03,2.97,2.62,2.88,2.88,2.7,2.9,2.9,2.74,3.1,3.16,2.6,2.97,2.89,2.4,1.53,2.56,1.53,2.56,1.57,2.48,1.52,0.0,1.85,2.0,1.84,2.04,1.89,2.11,1.83,2.01,3.2,3.1,2.4,2.85,2.85,2.65,2.9,3.0,2.45,2.98,3.13,2.64,2.9,2.9,2.55,3.0,3.0,2.55,3.2,3.2,2.65,2.97,3.02,2.51,2.1,1.7,2.18,1.72,2.38,1.78,2.2,1.66,0.0,2.1,1.77,2.07,1.83,2.19,1.83,2.1,1.76,4,-4,0.06733648256139602,0.3603506400272048,0.3154584727510884,0.32419088722170675,2021.0,7.0,5.0
F2,2021-07-24,18:00,Le Havre,Guingamp,0,0,D,0.0,0.0,D,15.0,15.0,4.0,3.0,14.0,25.0,4.0,5.0,1.0,2.0,0.0,0.0,2.4,3.2,3.0,2.4,3.1,2.95,2.45,2.95,3.0,2.52,3.01,3.23,2.4,2.9,3.1,2.45,3.0,3.2,2.55,3.2,3.25,2.44,3.02,3.07,2.35,1.57,2.39,1.6,2.41,1.63,2.33,1.58,-0.25,2.1,1.77,2.12,1.78,2.12,1.87,2.07,1.77,2.45,3.1,3.0,2.5,2.9,2.95,2.45,2.95,2.95,2.49,3.09,3.26,2.5,2.9,3.0,2.45,3.0,3.2,2.61,3.15,3.26,2.46,3.02,3.05,2.25,1.61,2.3,1.65,2.4,1.67,2.28,1.61,-0.25,2.05,1.8,2.1,1.81,2.19,1.85,2.08,1.76,0,0,0.0666947924111414,0.38421118063901205,0.3104222783970826,0.30536654096390536,2021.0,7.0,5.0
F2,2021-07-24,18:00,Pau FC,Nancy,2,1,H,1.0,0.0,H,14.0,11.0,8.0,2.0,21.0,23.0,2.0,5.0,2.0,3.0,0.0,1.0,2.5,3.0,3.0,2.6,2.9,2.85,2.55,2.85,2.9,2.68,2.87,3.15,2.6,2.8,3.0,2.63,2.9,3.0,2.72,3.02,3.15,2.59,2.88,2.99,2.5,1.5,2.55,1.53,2.55,1.58,2.46,1.52,0.0,1.8,2.05,1.79,2.11,1.84,2.11,1.79,2.05,2.5,3.0,3.0,2.6,2.9,2.85,2.45,2.9,2.95,2.6,2.98,3.19,2.5,2.8,3.1,2.5,3.0,3.1,2.61,3.07,3.21,2.52,2.93,3.05,2.3,1.6,2.4,1.61,2.41,1.64,2.34,1.58,0.0,1.73,2.15,1.76,2.17,1.79,2.19,1.75,2.12,3,1,0.06777076885772537,0.3615948266812236,0.3251842364945726,0.31322093682420377,2021.0,7.0,5.0
F2,2021-07-24,18:00,Toulouse,Ajaccio,2,2,D,1.0,1.0,D,17.0,11.0,5.0,6.0,19.0,11.0,10.0,6.0,1.0,6.0,1.0,1.0,2.0,3.1,4.2,2.0,3.0,4.1,1.97,3.2,3.85,1.95,3.3,4.43,1.91,3.1,4.2,1.95,3.2,4.33,2.07,3.32,4.43,1.98,3.18,4.08,2.2,1.65,2.27,1.66,2.33,1.69,2.23,1.63,-0.5,2.02,1.83,1.95,1.92,2.06,1.92,1.97,1.84,1.85,3.1,4.75,1.95,3.1,4.1,1.9,3.2,4.2,1.9,3.3,4.84,1.88,3.1,4.4,1.9,3.25,4.5,1.98,3.3,4.84,1.89,3.19,4.46,2.25,1.61,2.31,1.65,2.35,1.66,2.28,1.61,-0.5,1.9,1.95,1.9,1.99,1.97,2.02,1.89,1.93,4,0,0.06461395307122286,0.4743977886007634,0.29537975516651305,0.23022245623272342,2021.0,7.0,5.0
F2,2021-07-24,18:00,Valenciennes,Niort,0,0,D,0.0,0.0,D,12.0,12.0,1.0,3.0,16.0,15.0,6.0,7.0,2.0,3.0,0.0,0.0,2.15,3.0,3.75,2.25,3.0,3.3,2.15,3.15,3.35,2.19,3.24,3.66,2.15,3.0,3.5,2.4,3.0,3.3,2.28,3.25,3.75,2.18,3.13,3.46,2.25,1.61,2.31,1.64,2.42,1.65,2.29,1.6,-0.25,1.88,1.98,1.86,2.01,1.96,2.01,1.87,1.95,2.2,3.0,3.6,2.25,3.0,3.3,2.25,3.2,3.05,2.33,3.32,3.3,2.25,3.2,3.1,2.4,3.0,3.3,2.37,3.4,3.6,2.27,3.23,3.16,1.85,1.95,1.91,1.96,2.0,1.99,1.9,1.88,-0.25,2.0,1.85,2.0,1.89,2.05,1.9,1.96,1.86,0,0,0.0672217552621115,0.4298221939990474,0.29936497856802663,0.2708128274329259,2021.0,7.0,5.0
F2,2021-07-26,19:45,Dijon,Sochaux,1,3,A,0.0,0.0,D,9.0,13.0,1.0,5.0,13.0,20.0,2.0,2.0,2.0,2.0,0.0,0.0,2.15,3.4,3.25,2.15,3.3,3.2,2.2,3.25,3.1,2.26,3.39,3.32,2.2,3.1,3.25,2.25,3.13,3.4,2.29,3.42,3.47,2.2,3.29,3.23,2.15,1.66,2.15,1.73,2.23,1.8,2.13,1.68,-0.25,1.93,1.93,1.94,1.93,1.95,2.0,1.9,1.91,3.6,3.5,2.0,4.0,3.2,1.95,3.75,3.15,2.05,3.93,3.24,2.12,4.0,3.0,2.0,4.2,3.0,2.05,4.2,3.5,2.15,3.88,3.15,2.03,2.5,1.5,2.62,1.52,2.67,1.53,2.57,1.49,0.5,1.77,2.1,1.79,2.11,1.85,2.12,1.8,2.02,4,-2,0.0680943455464238,0.4255667642476983,0.2845735201656341,0.2898597155866676,2021.0,7.0,0.0
