Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek
SC0,2020-08-01,12:30,Aberdeen,Rangers,0,1,A,0,1,A,B Madden,4,15,0,4,18,14,2,6,1,0,1,0,7.0,4.75,1.4,7.0,4.6,1.4,7.25,4.3,1.43,7.45,4.61,1.45,7.0,4.6,1.42,7.0,4.6,1.44,7.7,4.95,1.49,7.11,4.49,1.43,1.72,2.1,1.8,2.09,1.85,2.16,1.75,2.05,1.25,1.88,1.98,1.88,1.99,1.92,2.03,1.85,1.98,6.5,4.0,1.53,6.25,4.1,1.5,6.25,3.7,1.57,6.98,3.9,1.56,6.5,3.9,1.55,6.5,4.0,1.55,7.05,4.25,1.63,6.21,3.9,1.55,2.1,1.72,2.08,1.81,2.18,1.88,2.02,1.78,1.0,1.83,2.02,1.9,2.0,1.94,2.12,1.85,1.99,1,-1,0.06266482461120337,0.13235309274631585,0.20958362793458923,0.6580632793190949,2020.0,8.0,5.0
SC0,2020-08-01,15:00,Dundee United,St Johnstone,1,1,D,1,0,H,K Clancy,16,9,4,4,12,8,3,3,1,2,0,1,2.7,3.3,2.55,2.7,3.25,2.55,2.7,3.0,2.65,2.68,3.34,2.73,2.7,3.2,2.62,2.75,3.25,2.63,2.79,3.46,2.82,2.66,3.19,2.65,2.2,1.66,2.27,1.66,2.36,1.73,2.23,1.64,0.0,1.98,1.88,1.91,1.94,1.99,2.0,1.93,1.91,2.62,3.3,2.62,2.7,3.25,2.55,2.7,2.9,2.7,2.73,3.11,2.84,2.62,3.2,2.7,2.75,3.1,2.75,2.84,3.36,2.84,2.68,3.08,2.71,2.5,1.53,2.57,1.54,2.6,1.63,2.47,1.52,0.0,1.93,1.93,1.91,1.99,2.0,1.99,1.92,1.93,2,0,0.06677796401454916,0.3524068384477174,0.29385648597834746,0.3537366755739353,2020.0,8.0,5.0
SC0,2020-08-01,15:00,Hibernian,Kilmarnock,2,1,H,2,1,H,J Beaton,11,12,3,2,13,12,5,4,1,1,0,0,2.05,3.4,3.5,2.15,3.25,3.4,2.1,3.2,3.5,2.12,3.47,3.57,2.1,3.4,3.4,2.1,3.5,3.4,2.2,3.66,3.84,2.09,3.37,3.43,2.05,1.8,2.01,1.82,2.1,1.9,2.01,1.79,-0.25,1.83,2.02,1.81,2.04,1.86,2.07,1.81,2.01,1.85,3.6,4.0,2.0,3.4,3.6,1.95,3.3,3.85,1.96,3.65,3.95,1.91,3.6,3.9,1.95,3.5,3.9,2.04,3.74,4.17,1.94,3.47,3.82,2.1,1.72,2.11,1.78,2.16,1.87,2.05,1.76,-0.5,1.95,1.9,1.96,1.94,2.02,1.94,1.95,1.88,3,1,0.0667499940704146,0.4485295544233658,0.2781681806364493,0.2733022649401849,2020.0,8.0,5.0
SC0,2020-08-01,15:00,St Mirren,Livingston,1,0,H,1,0,H,D Robertson,6,12,2,3,16,16,2,5,3,2,0,0,2.8,3.3,2.45,2.8,3.25,2.45,2.9,3.05,2.5,2.97,3.29,2.5,2.9,3.25,2.45,2.9,3.3,2.45,3.08,3.44,2.59,2.89,3.19,2.45,2.2,1.66,2.27,1.67,2.35,1.73,2.21,1.65,0.0,2.1,1.77,2.1,1.76,2.18,1.84,2.09,1.77,3.1,3.25,2.3,3.2,3.0,2.35,3.25,2.9,2.4,3.42,3.07,2.37,3.25,3.0,2.38,3.2,3.13,2.38,3.46,3.25,2.54,3.22,3.02,2.36,2.5,1.53,2.62,1.52,2.71,1.6,2.47,1.53,0.25,1.85,2.0,1.88,2.01,1.9,2.08,1.83,2.01,1,1,0.06766365037624866,0.32409154430211773,0.29361271568436376,0.38229574001351846,2020.0,8.0,5.0
SC0,2020-08-02,16:30,Celtic,Hamilton,5,1,H,2,1,H,W Collum,25,7,15,2,9,8,11,8,1,3,0,0,1.1,10.0,19.0,1.09,9.5,23.0,1.1,9.5,23.0,1.09,11.24,29.14,1.07,11.0,29.0,1.08,9.5,22.0,1.12,13.0,35.0,1.09,9.93,23.56,1.4,3.0,1.34,3.35,1.41,3.35,1.34,3.11,-2.5,1.98,1.88,1.91,1.93,2.0,1.99,1.91,1.9,1.05,13.0,23.0,1.05,13.0,23.0,1.07,12.0,35.0,1.06,14.56,35.3,1.04,13.0,36.0,1.06,13.0,34.0,1.08,17.5,51.0,1.05,12.84,31.31,1.25,4.0,1.26,3.91,1.28,4.0,1.25,3.79,-3.0,1.98,1.88,2.01,1.88,2.04,1.92,1.96,1.87,6,4,0.06058094893409183,0.8650270340822073,0.09495261502010131,0.040020350897691265,2020.0,8.0,6.0
SC0,2020-08-03,19:45,Ross County,Motherwell,1,0,H,1,0,H,N Walsh,9,15,3,1,24,12,5,8,3,1,0,1,3.2,3.4,2.2,3.25,3.4,2.15,3.25,3.2,2.2,3.32,3.54,2.19,3.2,3.4,2.2,3.1,3.4,2.2,3.59,3.65,2.29,3.19,3.38,2.18,2.0,1.8,2.0,1.83,2.09,1.92,1.98,1.8,0.25,1.93,1.93,1.96,1.88,2.0,2.0,1.92,1.9,3.75,3.6,1.95,3.5,3.5,2.0,3.75,3.3,2.0,3.8,3.7,1.98,3.7,3.5,2.0,3.8,3.6,1.95,3.95,3.71,2.09,3.72,3.52,1.97,2.05,1.8,2.06,1.83,2.11,1.89,2.0,1.8,0.5,1.9,1.95,1.92,1.98,1.94,2.01,1.87,1.97,1,1,0.06805320832040707,0.29350562442242123,0.2770067875466047,0.42948758803097414,2020.0,8.0,0.0
SC0,2020-08-08,15:00,Hamilton,Ross County,0,1,A,0,0,D,B Madden,9,10,4,6,14,15,9,1,0,1,0,0,2.55,3.4,2.62,2.6,3.4,2.55,2.6,3.1,2.7,2.6,3.4,2.76,2.6,3.25,2.7,2.55,3.3,2.63,2.75,3.56,2.84,2.58,3.29,2.66,2.0,1.8,2.06,1.81,2.12,1.91,2.01,1.78,0.0,1.9,1.95,1.88,2.0,1.96,2.03,1.9,1.94,2.62,3.4,2.55,2.65,3.25,2.6,2.75,3.05,2.6,2.84,3.19,2.67,2.7,3.25,2.6,2.7,3.3,2.6,2.89,3.44,2.74,2.72,3.21,2.6,2.1,1.72,2.21,1.71,2.28,1.77,2.14,1.7,0.0,1.98,1.88,2.01,1.89,2.04,1.95,1.97,1.88,1,-1,0.06748811663002119,0.3630924721189591,0.2847351301115242,0.35217239776951675,2020.0,8.0,5.0
SC0,2020-08-08,15:00,Livingston,Hibernian,1,4,A,0,3,A,E Anderson,12,18,3,8,17,11,5,4,1,1,0,0,2.5,3.25,2.8,2.45,3.2,2.9,2.5,3.05,2.85,2.57,3.2,2.95,2.5,3.2,2.88,2.45,3.3,2.75,2.6,3.52,3.05,2.51,3.16,2.85,2.0,1.8,2.1,1.74,2.19,1.83,2.06,1.75,0.0,1.8,2.05,1.81,2.08,1.87,2.13,1.8,2.05,2.5,3.3,2.8,2.55,3.2,2.75,2.5,3.0,2.85,2.58,3.22,2.92,2.5,3.2,2.88,2.5,3.3,2.88,2.67,3.35,3.04,2.51,3.16,2.85,2.2,1.66,2.2,1.72,2.27,1.8,2.15,1.7,0.0,1.8,2.05,1.83,2.07,1.89,2.12,1.82,2.04,5,-3,0.0657392636869798,0.3738309998298127,0.29693538277621195,0.32923361739397533,2020.0,8.0,5.0
SC0,2020-08-08,15:00,Motherwell,Dundee United,0,1,A,0,0,D,S McLean,18,11,4,3,11,12,7,8,2,0,0,0,2.05,3.4,3.5,2.0,3.4,3.6,2.1,3.1,3.7,2.09,3.26,3.92,2.05,3.25,3.75,2.05,3.3,3.5,2.18,3.6,4.07,2.07,3.26,3.65,2.2,1.66,2.24,1.65,2.34,1.76,2.18,1.67,-0.25,1.75,2.05,1.76,2.09,1.83,2.16,1.77,2.06,1.83,3.4,4.2,1.91,3.4,3.9,1.95,3.2,4.2,1.93,3.41,4.4,1.91,3.4,4.2,1.91,3.4,4.2,2.1,3.41,4.55,1.92,3.34,4.14,2.2,1.66,2.23,1.7,2.28,1.77,2.18,1.68,-0.5,1.9,1.95,1.93,1.97,1.96,1.99,1.92,1.92,1,-1,0.0638128564370084,0.45411350738664336,0.28834814732832875,0.25753834528502784,2020.0,8.0,5.0
SC0,2020-08-09,15:00,Rangers,St Mirren,3,0,H,1,0,H,A Dallas,28,4,12,2,9,8,14,1,0,2,0,0,1.16,7.5,15.0,1.16,7.25,14.5,1.2,6.75,15.0,1.17,7.69,18.38,1.15,7.0,19.0,1.17,6.5,15.0,1.21,8.0,21.0,1.17,7.06,15.63,1.61,2.3,1.59,2.35,1.67,2.49,1.59,2.3,-2.0,2.0,1.85,2.03,1.85,2.07,1.92,1.97,1.85,1.18,6.5,15.0,1.16,7.0,15.5,1.17,7.0,16.0,1.16,8.16,17.94,1.15,7.5,17.0,1.18,7.0,15.0,1.2,8.7,22.0,1.16,7.21,15.79,1.57,2.37,1.57,2.49,1.64,2.57,1.57,2.36,-2.0,2.02,1.83,2.01,1.88,2.15,1.93,2.01,1.83,3,3,0.060323440742443335,0.8060756009528464,0.1335847667301459,0.06033963231700769,2020.0,8.0,6.0
