ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek
SC3,2024-08-03,15:00,Bonnyrigg Rose,Peterhead,0,1,A,0,0,D,S Murdoch,8,6,1,4,15,10,6,5,2,1,1,0,2.88,3.25,2.2,2.8,3.25,2.15,3.1,3.4,2.2,3.03,3.29,2.25,3.0,3.3,2.15,3.04,3.32,2.23,3.1,3.4,2.31,2.95,3.3,2.22,3.05,3.3,2.3,1.98,1.88,2.02,1.8,2.02,1.88,1.94,1.8,1.97,1.83,0.25,1.88,1.98,1.85,1.96,1.88,2.05,1.81,1.93,1.89,1.97,2.5,3.25,2.5,2.45,3.2,2.45,2.63,3.3,2.5,2.56,3.56,2.55,2.7,3.25,2.38,2.59,3.37,2.59,2.65,3.58,2.6,2.54,3.35,2.52,2.72,3.55,2.64,1.93,1.93,1.93,1.9,1.97,1.93,1.9,1.85,1.95,1.92,0.0,1.93,1.93,1.93,1.92,1.93,1.94,1.91,1.9,1.98,1.91,1,-1,0.09246380432821111,0.31029224904701397,0.2773824650571792,0.4123252858958068,2024.0,8.0,5.0
SC3,2024-08-03,15:00,Edinburgh City,Stirling,1,2,A,0,0,D,G Calder,9,17,4,6,9,19,2,5,0,3,0,0,6.5,5.75,1.27,8.5,5.25,1.26,10.0,6.5,1.22,6.78,5.0,1.37,9.5,5.5,1.25,9.3,5.45,1.27,10.0,6.5,1.37,8.55,5.5,1.27,8.4,1.23,1.27,1.53,2.38,1.59,2.28,1.59,2.55,1.51,2.42,1.52,2.0,1.5,2.03,1.83,2.01,1.81,2.03,1.84,1.96,1.79,1.94,1.76,5.0,4.75,1.42,5.75,4.5,1.39,6.5,5.0,1.36,5.59,4.6,1.5,8.0,4.8,1.3,5.21,4.95,1.48,6.5,5.0,1.5,5.61,4.62,1.44,6.6,5.0,1.5,1.6,2.3,1.63,2.27,1.63,2.31,1.58,2.26,1.64,2.44,1.25,1.85,2.0,1.78,2.06,1.85,2.06,1.8,1.97,1.81,2.0,3,-1,0.08617882094881679,0.1076793821346262,0.1673924940456462,0.7249281238197276,2024.0,8.0,5.0
SC3,2024-08-03,15:00,Elgin,East Fife,4,2,H,2,0,H,D Williams,16,6,10,3,12,9,6,6,3,2,0,0,2.9,3.4,2.1,2.95,3.2,2.1,3.1,3.4,2.2,3.3,3.16,2.18,3.1,3.25,2.15,3.2,3.28,2.17,3.37,3.5,2.3,3.12,3.26,2.16,3.3,3.35,2.14,2.03,1.83,2.11,1.7,2.12,1.83,2.05,1.73,1.58,1.65,0.25,1.93,1.93,1.93,1.88,1.93,1.98,1.87,1.86,1.91,1.87,3.2,3.5,1.95,3.25,3.2,1.98,3.5,3.5,1.95,3.5,3.23,2.13,3.25,3.25,2.05,3.33,3.64,2.03,3.71,3.64,2.13,3.44,3.33,2.0,4.2,3.35,2.02,2.05,1.8,2.06,1.77,2.11,1.8,2.01,1.75,2.04,1.83,0.25,2.05,1.8,2.02,1.84,2.16,1.84,2.01,1.76,2.25,1.75,6,2,0.09022424973345222,0.2939879759519038,0.2813627254509018,0.4246492985971943,2024.0,8.0,5.0
SC3,2024-08-03,15:00,Forfar,Clyde,0,0,D,0,0,D,D Nicolson,8,8,3,4,8,13,8,7,1,1,0,0,2.8,3.4,2.15,2.8,3.2,2.2,2.9,3.3,2.3,2.99,3.19,2.33,2.8,3.2,2.3,2.97,3.3,2.28,3.02,3.5,2.4,2.9,3.25,2.28,2.98,3.3,2.52,1.95,1.9,2.01,1.8,2.01,1.9,1.95,1.79,1.61,1.52,0.25,1.88,1.98,1.81,2.02,1.88,2.12,1.79,1.97,1.81,2.17,2.75,3.5,2.2,2.7,3.25,2.25,2.75,3.4,2.4,2.89,3.56,2.29,2.9,3.25,2.25,2.84,3.61,2.27,2.9,3.61,2.4,2.8,3.39,2.28,3.2,3.45,2.46,1.83,2.03,1.77,2.06,1.98,2.06,1.83,1.92,1.94,1.98,0.25,1.8,2.05,1.85,2.01,1.85,2.12,1.78,2.0,1.87,2.1,0,0,0.09111638512727449,0.31603190173582973,0.2819976969335096,0.40197040133066064,2024.0,8.0,5.0
SC3,2024-08-03,15:00,Stranraer,Spartans,2,2,D,2,0,H,J Curran,6,4,2,2,10,7,5,4,2,1,0,0,2.7,3.2,2.38,2.6,3.1,2.4,2.88,3.3,2.45,2.95,3.06,2.42,2.75,3.1,2.4,2.84,3.18,2.43,3.0,3.3,2.5,2.82,3.12,2.41,3.2,3.1,2.34,2.1,1.7,2.2,1.65,2.2,1.73,2.12,1.67,2.14,1.7,0.0,2.05,1.8,2.1,1.72,2.15,1.8,2.04,1.74,2.25,1.68,3.25,3.4,1.95,3.3,3.25,1.95,3.6,3.4,1.95,3.67,3.31,2.04,2.9,3.2,2.25,3.39,3.54,2.03,3.72,3.54,2.3,3.46,3.32,2.01,4.1,3.5,2.06,2.0,1.85,1.96,1.88,2.05,1.88,1.98,1.78,2.08,1.83,0.25,2.05,1.8,2.09,1.76,2.1,2.05,2.02,1.76,2.24,1.76,4,0,0.09006050892693418,0.3253121511824105,0.29403213664564026,0.3806557121719492,2024.0,8.0,5.0
SC3,2024-08-10,15:00,Clyde,Stranraer,1,0,H,0,0,D,S Kirkland,15,8,8,4,7,12,9,6,0,1,0,0,1.48,4.75,4.75,1.42,4.2,5.75,1.4,5.0,6.0,1.5,4.36,5.51,1.33,4.4,9.0,1.47,4.25,6.12,1.52,5.0,6.12,1.46,4.37,5.58,1.49,4.4,5.8,1.75,2.05,1.77,2.02,1.78,2.05,1.74,2.01,1.79,2.04,-1.0,1.8,2.05,1.84,1.98,1.84,2.05,1.79,1.95,1.85,1.95,1.73,4.33,3.5,1.7,3.5,4.0,1.8,3.6,3.75,1.81,3.99,3.82,1.73,3.6,4.33,1.62,4.64,4.23,1.84,4.64,5.0,1.71,3.92,4.0,1.89,3.95,4.2,1.73,2.08,1.75,2.08,1.81,2.08,1.75,1.99,1.87,2.06,-0.75,2.0,1.85,2.04,1.79,2.08,2.06,1.89,1.86,2.1,1.83,1,1,0.09297592832844526,0.6266665981352605,0.2093668726035424,0.16396652926119717,2024.0,8.0,5.0
SC3,2024-08-10,15:00,East Fife,Edinburgh City,2,0,H,0,0,D,S Murdoch,10,1,5,1,9,6,13,1,3,1,0,0,1.33,4.75,8.5,1.31,4.8,7.25,1.29,5.5,10.0,1.33,4.94,7.99,1.33,4.5,9.0,1.32,4.95,8.45,1.36,5.5,10.0,1.32,4.88,8.04,1.32,4.4,9.2,1.67,2.15,1.66,2.18,1.67,2.28,1.64,2.16,1.64,1.77,-1.5,1.88,1.98,1.83,2.0,1.95,2.0,1.87,1.89,1.92,1.81,1.27,5.25,9.5,1.24,5.5,8.5,1.18,5.5,10.5,1.24,5.87,10.66,1.25,5.5,11.0,1.29,5.32,9.62,1.29,5.9,11.0,1.24,5.5,9.86,1.27,6.4,13.5,1.57,2.35,1.53,2.43,1.6,2.48,1.54,2.35,1.58,2.52,-1.75,2.0,1.85,1.92,1.92,2.0,1.92,1.94,1.82,1.93,1.85,2,2,0.08687189981537924,0.6970239617975611,0.188539268355078,0.1144367698473608,2024.0,8.0,5.0
SC3,2024-08-10,15:00,Peterhead,Forfar,2,1,H,1,0,H,G Hanvidge,6,7,5,2,16,15,4,4,1,4,0,0,1.9,3.25,3.75,1.87,3.3,3.5,2.0,3.4,3.75,2.03,3.36,3.46,1.95,3.3,3.7,1.97,3.46,3.56,2.06,3.5,3.75,1.96,3.36,3.53,1.95,3.25,3.55,1.95,1.9,1.95,1.85,1.95,1.93,1.9,1.83,1.89,1.82,-0.5,2.0,1.85,2.04,1.79,2.04,1.85,1.96,1.8,1.95,1.8,1.95,3.1,3.6,1.95,3.2,3.3,2.0,3.1,3.5,2.09,3.29,3.55,2.0,3.2,3.7,2.03,3.23,3.75,2.1,3.32,3.75,2.01,3.22,3.51,2.2,3.35,3.7,2.05,1.75,2.09,1.72,2.11,1.75,2.05,1.72,2.24,1.78,-0.5,2.03,1.83,2.06,1.75,2.08,1.83,2.01,1.74,2.2,1.8,3,1,0.0911092482318705,0.4676012804945359,0.2727674136218126,0.25963130588365163,2024.0,8.0,5.0
SC3,2024-08-10,15:00,Spartans,Bonnyrigg Rose,2,0,H,0,0,D,C Whyte,7,9,2,4,12,14,1,6,3,2,0,0,1.55,4.33,4.75,1.53,3.9,4.75,1.5,4.5,5.5,1.55,4.31,4.85,1.55,3.9,5.5,1.54,4.15,5.34,1.58,4.5,5.5,1.53,4.21,5.05,1.55,4.0,6.2,1.7,2.1,1.68,2.13,1.71,2.28,1.67,2.11,1.74,2.14,-1.0,1.95,1.9,1.89,1.91,1.98,1.91,1.89,1.86,1.86,1.92,1.83,3.8,3.5,1.82,3.5,3.5,1.62,4.0,4.2,1.93,3.78,3.57,1.8,3.6,4.0,1.7,4.11,4.22,2.0,4.25,4.22,1.79,3.79,3.75,1.94,3.75,3.9,1.75,2.05,1.85,1.99,1.85,2.05,1.76,1.98,1.82,2.18,-0.5,1.88,1.98,1.93,1.93,1.93,2.12,1.8,1.95,1.94,2.0,2,2,0.08914426443342949,0.6000993555999018,0.21808836438666265,0.1818122800134356,2024.0,8.0,5.0
SC3,2024-08-10,15:00,Stirling,Elgin,0,1,A,0,1,A,G Soutar,10,11,4,5,6,9,9,3,0,0,0,0,1.8,4.1,3.3,1.75,3.7,3.5,1.8,4.2,3.6,1.76,3.86,3.97,1.83,3.6,3.8,1.79,3.84,3.86,1.8,4.25,4.1,1.76,3.88,3.76,1.79,3.85,3.55,1.62,2.25,1.58,2.28,1.62,2.3,1.58,2.26,1.53,1.51,-0.75,2.03,1.78,1.98,1.85,2.06,1.85,1.96,1.8,1.99,1.81,1.91,3.9,3.1,1.93,3.5,3.2,1.9,3.75,3.3,2.02,3.51,3.52,1.95,3.4,3.6,1.94,3.99,3.28,2.02,3.99,3.67,1.93,3.59,3.4,2.02,3.8,3.65,1.7,2.1,1.74,2.09,1.74,2.25,1.69,2.09,1.75,2.16,-0.5,2.0,1.85,2.03,1.83,2.03,1.85,1.94,1.8,2.04,1.89,1,-1,0.09187122375321555,0.520374386485561,0.23604611345736787,0.24357950005707107,2024.0,8.0,5.0
