Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
E3,2020-09-12,15:00,Barrow,Stevenage,1,1,D,1,0,H,S Oldham,10,11,5,2,11,15,5,5,1,1,0,0,2.2,3.3,3.4,2.25,3.3,3.1,2.2,3.2,3.2,2.21,3.45,3.36,2.15,3.3,3.2,2.25,3.3,3.3,2.29,3.55,3.4,2.19,3.32,3.21,2.0,1.8,1.98,1.83,2.08,1.87,1.97,1.81,-0.25,1.9,1.95,1.88,1.95,1.99,1.99,1.9,1.92,2.25,3.3,3.25,2.15,3.3,3.3,2.2,3.1,3.25,2.23,3.49,3.4,2.2,3.2,3.2,2.25,3.4,3.25,2.3,3.49,3.4,2.21,3.3,3.25,2.07,1.72,2.13,1.78,2.14,1.83,2.05,1.76,-0.25,1.95,1.9,1.93,1.98,1.98,1.99,1.91,1.92,2,0,0.06935230359409728,0.4270070799225897,0.2816703328405034,0.29132258723690696,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
E3,2020-09-12,15:00,Bolton,Forest Green,0,1,A,0,0,D,S Stockbridge,9,14,2,3,14,14,5,1,3,1,0,0,2.1,3.4,3.6,2.1,3.3,3.4,2.15,3.15,3.25,2.21,3.43,3.44,2.1,3.3,3.3,2.15,3.4,3.5,2.27,3.55,3.6,2.14,3.33,3.31,2.0,1.8,2.02,1.81,2.09,1.85,2.0,1.79,-0.25,1.82,1.97,1.88,1.96,1.9,2.03,1.86,1.94,2.3,3.3,3.2,2.15,3.3,3.3,2.35,3.05,3.05,2.38,3.37,3.21,2.25,3.25,3.0,2.38,3.3,3.13,2.44,3.52,3.3,2.32,3.25,3.07,2.05,1.8,2.06,1.83,2.08,1.84,2.02,1.79,-0.25,2.02,1.83,2.04,1.87,2.09,1.9,2.0,1.83,1,-1,0.06970482355184604,0.4368398733349451,0.2807319306116464,0.2824281960534086,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
E3,2020-09-12,15:00,Bradford,Colchester,0,0,D,0,0,D,R Joyce,17,11,4,2,11,16,6,5,1,3,0,0,2.2,3.3,3.4,2.1,3.3,3.4,2.15,3.05,3.4,2.22,3.26,3.55,2.15,3.2,3.3,2.25,3.3,3.4,2.28,3.48,3.55,2.16,3.22,3.37,2.15,1.66,2.19,1.68,2.22,1.74,2.14,1.68,-0.25,1.88,1.98,1.87,1.96,1.95,2.02,1.86,1.95,2.4,3.25,3.0,2.35,3.1,3.1,2.45,2.95,2.95,2.48,3.23,3.18,2.4,3.1,2.9,2.5,3.3,2.9,2.54,3.34,3.18,2.43,3.15,2.96,2.25,1.61,2.32,1.66,2.32,1.71,2.22,1.65,-0.25,2.07,1.72,2.11,1.82,2.2,1.82,2.09,1.76,0,0,0.07025787421865348,0.43257141490404927,0.2901721292524057,0.2772564558435449,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
E3,2020-09-12,15:00,Cambridge,Carlisle,3,0,H,2,0,H,P Howard,5,19,3,1,7,18,3,8,1,4,0,0,2.4,3.2,3.1,2.4,3.25,2.9,2.4,3.05,2.9,2.45,3.29,3.06,2.38,3.2,2.88,2.45,3.3,3.0,2.52,3.45,3.1,2.4,3.23,2.92,2.07,1.72,2.09,1.75,2.12,1.82,2.04,1.75,0.0,1.7,2.1,1.72,2.15,1.81,2.15,1.73,2.1,2.3,3.25,3.2,2.3,3.3,3.0,2.3,3.0,3.1,2.36,3.39,3.23,2.3,3.1,3.1,2.38,3.3,3.13,2.42,3.4,3.23,2.32,3.24,3.07,2.1,1.7,2.2,1.72,2.23,1.77,2.14,1.7,-0.25,1.98,1.88,2.02,1.88,2.04,1.9,1.99,1.84,3,3,0.06872994331113857,0.3898708642669356,0.28968732948626796,0.32044180624679636,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
E3,2020-09-12,15:00,Cheltenham,Morecambe,1,2,A,1,0,H,C Brook,17,10,8,4,10,11,7,1,0,1,0,0,1.85,3.75,4.2,1.83,3.7,4.0,1.9,3.35,4.0,1.88,3.64,4.27,1.85,3.4,4.0,1.91,3.6,4.1,1.94,3.75,4.27,1.86,3.51,4.04,2.0,1.8,1.99,1.83,2.04,1.87,1.96,1.82,-0.5,1.88,1.98,1.85,1.97,1.91,2.0,1.85,1.95,1.85,3.75,4.2,1.83,3.7,4.0,1.85,3.3,4.2,1.87,3.7,4.45,1.83,3.4,4.2,1.83,3.6,4.5,1.92,3.75,4.5,1.84,3.52,4.23,2.05,1.75,2.09,1.8,2.14,1.84,2.05,1.75,-0.5,1.83,2.02,1.87,2.04,1.88,2.09,1.83,2.0,3,-1,0.07005944597768288,0.50243415038585,0.266247156614724,0.23131869299942603,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2020-09-12,15:00,Mansfield,Tranmere,0,0,D,0,0,D,J Bell,18,4,2,1,10,11,5,3,0,0,0,0,2.3,3.4,3.1,2.25,3.4,3.0,2.35,3.1,2.95,2.4,3.35,3.09,2.3,3.2,3.0,2.4,3.3,3.0,2.46,3.52,3.2,2.32,3.29,2.99,2.0,1.8,2.0,1.81,2.05,1.87,1.98,1.81,-0.25,2.02,1.83,2.02,1.81,2.06,1.87,2.0,1.82,2.3,3.4,3.1,2.25,3.3,3.1,2.35,3.05,3.0,2.42,3.33,3.18,2.3,3.2,3.0,2.45,3.3,3.0,2.48,3.48,3.2,2.35,3.25,3.0,2.07,1.72,2.12,1.78,2.12,1.85,2.04,1.76,-0.25,2.02,1.83,2.07,1.85,2.09,1.86,2.03,1.81,0,0,0.06943401107489278,0.40304916272990615,0.28421703876394594,0.3127337985061479,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
E3,2020-09-12,15:00,Oldham,Leyton Orient,0,1,A,0,0,D,D Bourne,9,12,4,2,12,15,5,3,0,2,0,0,2.3,3.4,3.1,2.25,3.4,3.0,2.25,3.15,3.05,2.34,3.43,3.12,2.3,3.25,3.0,2.38,3.3,3.13,2.39,3.54,3.15,2.28,3.31,3.04,2.0,1.8,1.97,1.85,2.03,1.89,1.95,1.83,-0.25,1.98,1.88,1.99,1.84,2.02,1.91,1.96,1.85,2.3,3.4,3.1,2.25,3.3,3.1,2.3,3.2,3.0,2.37,3.47,3.15,2.25,3.3,3.0,2.38,3.4,3.0,2.42,3.62,3.15,2.3,3.35,3.02,1.95,1.9,1.97,1.92,2.0,1.97,1.91,1.88,-0.25,2.0,1.85,2.04,1.87,2.05,1.89,2.0,1.84,1,-1,0.06965866327450043,0.4100340662743884,0.28244038401982036,0.30752554970579127,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
E3,2020-09-12,15:00,Port Vale,Crawley Town,2,0,H,1,0,H,S Allison,15,9,6,4,6,10,7,6,0,0,0,0,1.95,3.6,3.8,1.9,3.7,3.7,1.9,3.45,3.75,1.91,3.83,4.01,1.88,3.5,3.8,1.93,3.7,3.9,1.97,3.85,4.01,1.9,3.6,3.79,1.85,1.95,1.79,2.04,1.88,2.06,1.81,1.98,-0.5,1.93,1.93,1.88,1.95,1.96,1.96,1.89,1.91,2.0,3.6,3.6,1.9,3.7,3.7,2.05,3.3,3.5,2.14,3.66,3.48,2.05,3.4,3.4,2.0,3.7,3.6,2.18,3.7,3.7,2.04,3.52,3.46,1.9,1.95,1.94,1.94,1.94,1.99,1.88,1.91,-0.25,1.83,2.02,1.85,2.06,1.86,2.16,1.79,2.06,2,2,0.06794580999552524,0.49283005237493227,0.2601047498645476,0.24706519776052016,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
E3,2020-09-12,15:00,Salford,Exeter,2,2,D,1,2,A,S Barrott,12,15,5,5,11,16,4,10,1,0,0,0,2.1,3.4,3.6,2.0,3.4,3.6,2.1,3.2,3.45,2.12,3.36,3.69,2.05,3.3,3.5,2.1,3.4,3.6,2.17,3.6,3.69,2.08,3.32,3.48,2.0,1.8,2.0,1.81,2.05,1.87,1.97,1.81,-0.5,2.1,1.77,2.09,1.76,2.14,1.83,2.07,1.76,2.15,3.3,3.4,2.1,3.3,3.4,2.1,3.2,3.35,2.15,3.55,3.56,2.1,3.3,3.4,2.15,3.4,3.5,2.2,3.6,3.6,2.1,3.37,3.41,2.0,1.85,2.01,1.88,2.06,1.88,1.97,1.82,-0.25,1.85,2.0,1.85,2.06,1.9,2.06,1.82,2.02,4,0,0.06933037188541968,0.44959840607683205,0.2816761098312683,0.2687254840918996,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
E3,2020-09-12,15:00,Scunthorpe,Newport County,1,1,D,0,1,A,B Speedie,10,14,4,4,11,12,2,9,2,0,0,0,2.5,3.3,2.87,2.45,3.3,2.8,2.5,3.0,2.8,2.63,3.24,2.9,2.45,3.1,2.88,2.55,3.25,2.9,2.71,3.34,3.0,2.5,3.16,2.85,2.25,1.61,2.27,1.65,2.34,1.71,2.23,1.64,0.0,1.8,2.05,1.83,2.02,1.83,2.12,1.77,2.05,2.62,3.3,2.7,2.5,3.3,2.7,2.7,2.95,2.65,2.8,3.31,2.71,2.62,3.1,2.62,2.75,3.2,2.7,2.88,3.34,2.78,2.69,3.15,2.65,2.25,1.61,2.27,1.68,2.35,1.71,2.23,1.64,0.0,1.95,1.9,1.99,1.92,2.0,1.96,1.94,1.9,2,0,0.06733288918498781,0.37476592734384756,0.2964920311264616,0.3287420415296908,2020.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
