Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
T1,2023-08-11,19:00,Trabzonspor,Antalyaspor,1,0,H,1.0,0.0,H,13.0,11.0,5.0,2.0,18.0,11.0,6.0,9.0,0.0,1.0,0.0,0.0,1.83,3.6,3.75,1.88,3.6,3.8,1.92,3.81,4.06,1.73,3.6,3.7,1.87,3.5,3.6,1.96,3.94,4.1,1.88,3.67,3.83,1.73,2.08,1.78,2.12,1.81,2.2,1.74,2.07,-0.5,1.9,1.95,1.92,1.98,1.96,1.99,1.89,1.93,1.85,3.5,3.6,1.88,3.6,3.8,1.94,3.67,4.14,1.8,3.6,3.4,1.87,3.5,3.6,1.99,3.8,4.3,1.89,3.61,3.84,1.73,2.08,1.81,2.08,1.83,2.2,1.76,2.03,-0.5,1.95,1.9,1.94,1.96,2.0,2.0,1.91,1.92,1,1,0.06549106339384414,0.49922041760044894,0.25573144007870413,0.24504814232084696,2023.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,strong,medium
T1,2023-08-12,17:15,Kasimpasa,Ankaragucu,3,2,H,1.0,0.0,H,15.0,9.0,5.0,3.0,8.0,15.0,3.0,5.0,1.0,0.0,0.0,0.0,2.2,3.5,2.88,2.25,3.6,2.8,2.36,3.73,2.98,2.25,3.3,2.62,2.2,3.5,2.8,2.39,3.83,2.99,2.3,3.58,2.86,1.6,2.3,1.63,2.37,1.65,2.43,1.59,2.32,-0.25,2.03,1.83,2.05,1.86,2.07,1.89,2.0,1.83,2.6,3.3,2.55,2.6,3.3,2.55,2.73,3.5,2.67,2.4,3.1,2.6,2.5,3.4,2.5,2.8,3.58,2.86,2.58,3.39,2.61,1.8,2.0,1.8,2.09,1.89,2.13,1.77,2.03,0.0,1.98,1.88,1.97,1.93,2.0,1.99,1.9,1.92,5,1,0.06376256728454921,0.40872147795679187,0.2625864243856484,0.3286920976575599,2023.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
T1,2023-08-12,17:15,Konyaspor,Istanbulspor,1,1,D,0.0,1.0,A,15.0,4.0,2.0,2.0,13.0,10.0,10.0,2.0,3.0,5.0,1.0,2.0,1.73,3.75,4.2,1.78,3.7,4.1,1.8,3.93,4.55,1.73,3.5,3.8,1.7,3.7,4.2,1.87,4.1,4.6,1.78,3.77,4.22,1.67,2.15,1.71,2.22,1.74,2.25,1.67,2.16,-0.75,2.0,1.85,2.03,1.88,2.07,1.92,1.98,1.84,1.8,3.75,4.0,1.78,3.7,4.1,1.83,3.9,4.41,1.73,3.5,3.8,1.75,3.7,4.0,1.85,3.98,4.45,1.79,3.75,4.15,1.67,2.15,1.71,2.23,1.75,2.25,1.67,2.16,-0.75,2.05,1.8,2.07,1.85,2.08,1.9,2.01,1.82,2,0,0.06401656684345891,0.5279971856788223,0.24929310093058454,0.22270971339059328,2023.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
T1,2023-08-12,19:45,Kayserispor,Galatasaray,0,0,D,0.0,0.0,D,12.0,17.0,3.0,3.0,11.0,6.0,3.0,9.0,2.0,2.0,0.0,0.0,4.75,4.0,1.6,5.0,4.1,1.6,5.15,4.41,1.64,4.75,4.0,1.5,5.0,4.0,1.55,5.4,4.5,1.65,4.95,4.19,1.6,1.57,2.35,1.62,2.4,1.63,2.48,1.57,2.36,1.0,1.78,2.03,1.85,2.07,1.86,2.12,1.81,2.02,5.5,4.33,1.55,5.5,4.4,1.51,5.65,4.75,1.55,5.5,4.0,1.44,5.25,4.2,1.5,6.0,4.75,1.58,5.5,4.42,1.52,1.5,2.5,1.5,2.7,1.54,2.7,1.49,2.55,1.0,2.0,1.85,2.04,1.87,2.08,1.91,1.98,1.84,0,0,0.06568368650707557,0.18956863521327885,0.22395339959563967,0.5864779651910814,2023.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
T1,2023-08-12,19:45,Pendikspor,Hatayspor,1,5,A,0.0,2.0,A,6.0,15.0,4.0,9.0,10.0,18.0,4.0,2.0,0.0,1.0,0.0,0.0,2.15,3.5,3.0,2.1,3.5,3.2,2.27,3.48,3.33,2.0,3.4,3.0,2.05,3.5,3.1,2.29,3.8,3.34,2.16,3.5,3.16,1.67,2.15,1.71,2.23,1.73,2.27,1.67,2.17,-0.25,1.95,1.9,1.95,1.95,1.95,2.0,1.88,1.94,2.15,3.5,3.0,2.2,3.5,3.0,2.26,3.58,3.27,2.0,3.4,3.0,2.1,3.5,3.0,2.35,3.68,3.37,2.17,3.51,3.11,1.67,2.15,1.7,2.24,1.75,2.27,1.66,2.18,-0.25,1.95,1.9,1.95,1.95,2.03,2.02,1.9,1.92,6,-4,0.06513294487978016,0.4346527493947873,0.26824283962649736,0.29710441097871537,2023.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
T1,2023-08-13,17:15,Sivasspor,Samsunspor,1,1,D,1.0,0.0,H,6.0,11.0,2.0,3.0,11.0,11.0,4.0,5.0,2.0,1.0,0.0,0.0,2.25,3.5,2.8,2.25,3.5,2.9,2.33,3.6,3.12,2.2,3.3,2.7,2.2,3.4,2.88,2.39,3.71,3.14,2.28,3.49,2.93,1.75,2.05,1.79,2.1,1.81,2.13,1.75,2.05,-0.25,2.0,1.85,2.01,1.89,2.06,1.9,1.99,1.83,2.38,3.4,2.75,2.4,3.3,2.8,2.51,3.35,3.03,2.2,3.3,2.7,2.38,3.3,2.7,2.54,3.63,3.03,2.41,3.36,2.83,1.95,1.9,1.93,1.95,1.98,2.02,1.86,1.93,-0.25,2.05,1.75,2.15,1.79,2.17,1.82,2.1,1.76,2,0,0.0664263708451136,0.411276861880764,0.26868517051236157,0.3200379676068743,2023.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
T1,2023-08-13,19:45,Ad. Demirspor,Rizespor,2,1,H,1.0,0.0,H,9.0,13.0,6.0,4.0,15.0,14.0,4.0,5.0,6.0,6.0,0.0,0.0,1.55,4.0,5.25,1.61,4.1,4.8,1.6,4.61,5.34,1.5,4.0,4.8,1.53,4.1,5.0,1.63,4.61,5.4,1.57,4.27,5.08,1.53,2.4,1.56,2.55,1.58,2.57,1.53,2.45,-1.0,1.95,1.9,1.97,1.93,2.0,1.93,1.94,1.87,1.55,4.2,4.75,1.55,4.5,4.8,1.62,4.63,5.09,1.44,4.2,4.8,1.53,4.2,4.8,1.62,4.9,5.6,1.55,4.46,5.01,1.44,2.7,1.45,2.85,1.47,2.93,1.43,2.77,-1.0,1.98,1.88,2.0,1.91,2.05,2.01,1.91,1.91,3,1,0.06798510633074906,0.5963965895999845,0.2192839919606501,0.1843194184393653,2023.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
T1,2023-08-13,19:45,Fenerbahce,Gaziantep,2,1,H,2.0,1.0,H,21.0,4.0,5.0,1.0,13.0,12.0,3.0,1.0,0.0,6.0,0.0,1.0,1.3,5.25,8.0,1.31,5.25,8.75,1.33,6.04,8.69,1.25,5.0,8.0,1.29,5.25,8.0,1.35,6.2,9.35,1.31,5.6,8.48,1.44,2.7,1.45,2.88,1.5,2.93,1.43,2.76,-1.5,1.85,2.0,1.9,2.0,1.91,2.04,1.85,1.97,1.25,5.75,9.0,1.26,6.0,10.0,1.25,6.82,11.09,1.18,5.8,9.5,1.22,5.75,9.5,1.3,6.9,11.24,1.25,6.11,10.11,1.4,2.88,1.42,2.95,1.45,2.99,1.4,2.85,-1.75,1.93,1.93,1.93,1.96,1.97,1.98,1.91,1.91,3,1,0.05985473549926956,0.720248495437779,0.1684867016113376,0.11126480295088331,2023.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
T1,2023-08-14,19:00,Alanyaspor,Buyuksehyr,2,0,H,1.0,0.0,H,11.0,8.0,4.0,3.0,15.0,14.0,4.0,5.0,5.0,4.0,0.0,1.0,2.7,3.5,2.38,2.7,3.5,2.37,2.83,3.58,2.49,2.7,3.4,2.2,2.63,3.4,2.38,2.86,3.71,2.52,2.73,3.5,2.41,1.73,2.08,1.76,2.13,1.79,2.16,1.72,2.08,0.0,2.05,1.8,2.08,1.83,2.08,1.85,2.03,1.8,2.8,3.4,2.4,2.8,3.3,2.4,2.93,3.44,2.53,2.7,3.4,2.2,2.75,3.4,2.3,2.97,3.6,2.62,2.81,3.4,2.4,1.95,1.9,1.95,1.93,1.98,2.07,1.84,1.94,0.25,1.73,2.08,1.76,2.16,1.85,2.19,1.77,2.07,2,2,0.06695241135075136,0.3433146243482721,0.2677854069916522,0.38889996866007587,2023.0,8.0,0.0,0,0,0,0,0,medium,0,0,0,medium,strong
T1,2023-08-14,19:00,Karagumruk,Besiktas,0,1,A,0.0,0.0,D,2.0,9.0,0.0,6.0,13.0,14.0,4.0,4.0,4.0,1.0,0.0,0.0,4.33,4.0,1.65,4.4,4.0,1.68,4.53,4.58,1.67,4.0,3.9,1.62,4.1,4.0,1.65,4.7,4.6,1.73,4.39,4.22,1.66,1.44,2.7,1.47,2.75,1.51,2.82,1.45,2.66,0.75,2.03,1.83,2.06,1.84,2.06,1.89,1.99,1.82,5.25,4.2,1.55,5.5,4.1,1.57,5.49,4.51,1.6,5.0,3.8,1.5,5.0,4.1,1.53,6.0,4.51,1.76,5.12,4.17,1.59,1.62,2.25,1.63,2.38,1.65,2.63,1.58,2.34,1.0,1.93,1.93,1.93,1.98,1.98,2.16,1.85,1.98,1,-1,0.06716689600058912,0.21345342856446384,0.22205226336445405,0.564494308071082,2023.0,8.0,0.0,0,0,0,0,0,medium,0,0,0,medium,strong
