league_code,season,team_id,team_name,date,elo_rating
USA1,2425,9558,Nashville SC,2024-02-21,1518.0438027773255
USA1,2425,9932,St. Louis City SC,2024-02-21,1456.138498056889
USA1,2425,9567,Orlando City,2024-02-21,1483.367795897589
USA1,2425,9547,Los Angeles Galaxy,2024-02-21,1585.1103589488184
USA1,2425,9561,Toronto FC,2024-02-21,1412.1075859427679
USA1,2425,9565,Real Salt Lake,2024-02-21,1591.5406038735723
USA1,2425,9570,Columbus Crew,2024-02-21,1552.9495024479847
USA1,2425,9552,Chicago Fire,2024-02-21,1452.0693030623795
USA1,2425,9555,Houston Dynamo,2024-02-21,1488.2892433981774
USA1,2425,9554,Philadelphia Union,2024-02-21,1480.7068690309025
USA1,2425,9545,Austin FC,2024-02-21,1508.0986875877356
USA1,2425,9564,San Jose Earthquakes,2024-02-21,1430.5961780895857
USA1,2425,9556,Inter Miami CF,2024-02-21,1614.995352578775
USA1,2425,9560,New England Revolution,2024-02-21,1483.241864001161
USA1,2425,9550,Minnesota United FC,2024-02-21,1537.7516908602759
USA1,2425,9553,CF Montréal,2024-02-21,1542.8666210519411
USA1,2425,9549,Seattle Sounders,2024-02-21,1477.8939340384115
USA1,2425,9562,Sporting Kansas City,2024-02-21,1453.2172218371131
USA1,2425,9548,Atlanta United FC,2024-02-21,1468.3847235443168
USA1,2425,9559,Vancouver Whitecaps,2024-02-21,1556.2718832167748
USA1,2425,9566,D.C. United,2024-02-21,1438.4641460732437
USA1,2425,9569,Charlotte FC,2024-02-21,1461.33565954345
USA1,2425,9563,FC Dallas,2024-02-21,1470.9267217161128
USA1,2425,9568,Colorado Rapids,2024-02-21,1490.0423710573061
USA1,2425,9551,Portland Timbers,2024-02-21,1508.5027194559661
USA1,2425,9546,New York RB,2024-02-21,1579.5460763580581
USA1,2425,9557,FC Cincinnati,2024-02-21,1576.617724596101
