Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2023-04-15,Dalian Pro,Nantong Zhiyun,2,1,H,0
2023-04-15,Wuhan Three Towns,Shanghai Port FC,0,2,A,0
2023-04-15,Zhejiang Professional,Changchun Yatai,0,2,A,0
2023-04-15,Beijing Guoan,Meizhou Hakka,1,1,D,1
2023-04-15,Henan FC,Chengdu Rongcheng,1,1,D,1
2023-04-15,Tianjin Jinmen Tiger,Cangzhou Mighty Lions,1,1,D,1
2023-04-15,Shanghai Shenhua,Shandong Taishan,1,0,H,0
2023-04-15,Shenzhen Peng City,Qingdao Hainiu,2,1,H,0
2023-04-15,Wuhan Three Towns,Beijing Guoan,1,1,D,1
2023-04-15,Tianjin Jinmen Tiger,Zhejiang Professional,2,1,H,0
2023-04-15,Meizhou Hakka,Shanghai Shenhua,0,1,A,0
2023-04-15,Shandong Taishan,Nantong Zhiyun,1,1,D,1
2023-04-15,Henan FC,Qingdao Hainiu,0,0,D,1
2023-04-15,Chengdu Rongcheng,Cangzhou Mighty Lions,2,1,H,0
2023-04-15,Shanghai Port FC,Shenzhen Peng City,3,2,H,0
2023-04-15,Changchun Yatai,Dalian Pro,3,2,H,0
2023-04-15,Shandong Taishan,Zhejiang Professional,2,1,H,0
2023-04-15,Meizhou Hakka,Wuhan Three Towns,1,2,A,0
2023-04-15,Qingdao Hainiu,Beijing Guoan,3,1,H,0
2023-04-15,Cangzhou Mighty Lions,Shanghai Port FC,0,1,A,0
2023-04-15,Shanghai Shenhua,Changchun Yatai,1,0,H,0
2023-04-15,Dalian Pro,Chengdu Rongcheng,0,0,D,1
2023-04-15,Shenzhen Peng City,Tianjin Jinmen Tiger,0,2,A,0
2023-04-15,Nantong Zhiyun,Henan FC,1,0,H,0
2023-04-15,Beijing Guoan,Shandong Taishan,0,0,D,1
2023-04-15,Qingdao Hainiu,Wuhan Three Towns,0,3,A,0
2023-04-15,Zhejiang Professional,Chengdu Rongcheng,0,2,A,0
2023-04-15,Changchun Yatai,Tianjin Jinmen Tiger,1,1,D,1
2023-04-15,Shenzhen Peng City,Henan FC,1,1,D,1
2023-04-15,Shanghai Port FC,Shanghai Shenhua,1,1,D,1
2023-04-15,Cangzhou Mighty Lions,Nantong Zhiyun,1,1,D,1
2023-04-15,Dalian Pro,Meizhou Hakka,1,1,D,1
2023-04-15,Henan FC,Beijing Guoan,0,1,A,0
2023-04-15,Shanghai Shenhua,Dalian Pro,1,0,H,0
2023-04-15,Shenzhen Peng City,Cangzhou Mighty Lions,0,1,A,0
2023-04-15,Wuhan Three Towns,Zhejiang Professional,0,0,D,1
2023-04-15,Meizhou Hakka,Shandong Taishan,2,1,H,0
2023-04-15,Chengdu Rongcheng,Qingdao Hainiu,3,2,H,0
2023-04-15,Tianjin Jinmen Tiger,Shanghai Port FC,0,0,D,1
2023-04-15,Nantong Zhiyun,Changchun Yatai,0,1,A,0
2023-04-15,Henan FC,Wuhan Three Towns,1,1,D,1
2023-04-15,Dalian Pro,Cangzhou Mighty Lions,1,1,D,1
2023-04-15,Shenzhen Peng City,Shanghai Shenhua,1,3,A,0
2023-04-15,Shandong Taishan,Chengdu Rongcheng,2,2,D,1
2023-04-15,Shanghai Port FC,Qingdao Hainiu,2,1,H,0
2023-04-15,Changchun Yatai,Meizhou Hakka,2,4,A,0
2023-04-15,Nantong Zhiyun,Zhejiang Professional,1,2,A,0
2023-04-15,Beijing Guoan,Tianjin Jinmen Tiger,1,1,D,1
2023-04-15,Shanghai Shenhua,Wuhan Three Towns,1,1,D,1
2023-04-15,Shenzhen Peng City,Dalian Pro,2,1,H,0
2023-04-15,Qingdao Hainiu,Meizhou Hakka,2,0,H,0
2023-04-15,Chengdu Rongcheng,Changchun Yatai,2,2,D,1
2023-04-15,Zhejiang Professional,Shanghai Port FC,1,2,A,0
2023-04-15,Tianjin Jinmen Tiger,Henan FC,1,0,H,0
2023-04-15,Cangzhou Mighty Lions,Shandong Taishan,1,1,D,1
2023-04-15,Beijing Guoan,Nantong Zhiyun,1,0,H,0
2023-04-15,Wuhan Three Towns,Chengdu Rongcheng,3,3,D,1
2023-04-15,Shanghai Shenhua,Beijing Guoan,1,1,D,1
2023-04-15,Cangzhou Mighty Lions,Changchun Yatai,2,4,A,0
2023-04-15,Qingdao Hainiu,Zhejiang Professional,2,2,D,1
2023-04-15,Nantong Zhiyun,Shenzhen Peng City,1,1,D,1
2023-04-15,Henan FC,Dalian Pro,1,0,H,0
2023-04-15,Tianjin Jinmen Tiger,Shandong Taishan,3,3,D,1
2023-04-15,Meizhou Hakka,Shanghai Port FC,0,2,A,0
2023-04-15,Chengdu Rongcheng,Shanghai Shenhua,2,1,H,0
2023-04-15,Beijing Guoan,Cangzhou Mighty Lions,6,2,H,0
2023-04-15,Changchun Yatai,Qingdao Hainiu,1,0,H,0
2023-04-15,Nantong Zhiyun,Wuhan Three Towns,0,5,A,0
2023-04-15,Shandong Taishan,Shenzhen Peng City,3,0,H,0
2023-04-15,Shanghai Port FC,Henan FC,3,2,H,0
2023-04-15,Meizhou Hakka,Tianjin Jinmen Tiger,1,1,D,1
2023-04-15,Dalian Pro,Zhejiang Professional,1,2,A,0
2023-04-15,Chengdu Rongcheng,Nantong Zhiyun,1,0,H,0
2023-04-15,Cangzhou Mighty Lions,Wuhan Three Towns,2,1,H,0
2023-04-15,Qingdao Hainiu,Shandong Taishan,0,1,A,0
2023-04-15,Zhejiang Professional,Beijing Guoan,3,2,H,0
2023-04-15,Shanghai Shenhua,Henan FC,1,1,D,1
2023-04-15,Dalian Pro,Tianjin Jinmen Tiger,0,1,A,0
2023-04-15,Shenzhen Peng City,Meizhou Hakka,3,2,H,0
2023-04-15,Changchun Yatai,Shanghai Port FC,0,3,A,0
2023-04-15,Zhejiang Professional,Shenzhen Peng City,3,0,H,0
2023-04-15,Beijing Guoan,Changchun Yatai,4,3,H,0
2023-04-15,Shanghai Port FC,Chengdu Rongcheng,0,1,A,0
2023-04-15,Shandong Taishan,Dalian Pro,2,0,H,0
2023-04-15,Henan FC,Meizhou Hakka,2,1,H,0
2023-04-15,Cangzhou Mighty Lions,Shanghai Shenhua,0,1,A,0
2023-04-15,Nantong Zhiyun,Qingdao Hainiu,1,0,H,0
2023-04-15,Tianjin Jinmen Tiger,Wuhan Three Towns,1,1,D,1
2023-04-15,Changchun Yatai,Shenzhen Peng City,4,1,H,0
2023-04-15,Chengdu Rongcheng,Tianjin Jinmen Tiger,0,0,D,1
2023-04-15,Qingdao Hainiu,Shanghai Shenhua,0,1,A,0
2023-04-15,Henan FC,Zhejiang Professional,2,2,D,1
2023-04-15,Shanghai Port FC,Nantong Zhiyun,2,1,H,0
2023-04-15,Wuhan Three Towns,Shandong Taishan,1,1,D,1
2023-04-15,Meizhou Hakka,Cangzhou Mighty Lions,2,3,A,0
2023-04-15,Dalian Pro,Beijing Guoan,2,2,D,1
2023-04-15,Wuhan Three Towns,Dalian Pro,0,0,D,1
2023-04-15,Zhejiang Professional,Meizhou Hakka,3,0,H,0
2023-04-15,Tianjin Jinmen Tiger,Qingdao Hainiu,3,2,H,0
2023-04-15,Shanghai Shenhua,Nantong Zhiyun,1,0,H,0
2023-04-15,Cangzhou Mighty Lions,Henan FC,0,1,A,0
2023-04-15,Shandong Taishan,Changchun Yatai,4,1,H,0
2023-04-15,Beijing Guoan,Shanghai Port FC,1,2,A,0
2023-04-15,Shenzhen Peng City,Chengdu Rongcheng,0,3,A,0
2023-04-15,Shanghai Shenhua,Tianjin Jinmen Tiger,1,2,A,0
2023-04-15,Dalian Pro,Qingdao Hainiu,1,1,D,1
2023-04-15,Cangzhou Mighty Lions,Zhejiang Professional,2,1,H,0
2023-04-15,Nantong Zhiyun,Meizhou Hakka,2,2,D,1
2023-04-15,Shenzhen Peng City,Wuhan Three Towns,1,3,A,0
2023-04-15,Shandong Taishan,Shanghai Port FC,1,1,D,1
2023-04-15,Chengdu Rongcheng,Beijing Guoan,0,1,A,0
2023-04-15,Changchun Yatai,Henan FC,3,1,H,0
2023-04-15,Qingdao Hainiu,Cangzhou Mighty Lions,1,1,D,1
2023-04-15,Zhejiang Professional,Shanghai Shenhua,0,1,A,0
