Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2024-08-02,FC Koln,Hamburg,1,2,A,0
2024-08-03,Hannover,Regensburg,2,0,H,0
2024-08-03,Magdeburg,Elversberg,0,0,D,1
2024-08-03,Schalke 04,Braunschweig,5,1,H,0
2024-08-03,Hertha,Paderborn,1,2,A,0
2024-08-03,Karlsruhe,Nurnberg,3,2,H,0
2024-08-04,Ulm,Kaiserslautern,1,2,A,0
2024-08-04,Darmstadt,Fortuna Dusseldorf,0,2,A,0
2024-08-04,Greuther Furth,PreuÃen MÃ¼nster,3,1,H,0
2024-08-09,Regensburg,Ulm,1,0,H,0
2024-08-09,Kaiserslautern,Greuther Furth,2,2,D,1
2024-08-10,Nurnberg,Schalke 04,3,1,H,0
2024-08-10,Hamburg,Hertha,1,1,D,1
2024-08-10,Elversberg,FC Koln,2,2,D,1
2024-08-10,Fortuna Dusseldorf,Karlsruhe,0,0,D,1
2024-08-11,PreuÃen MÃ¼nster,Hannover,0,0,D,1
2024-08-11,Paderborn,Darmstadt,3,1,H,0
2024-08-11,Braunschweig,Magdeburg,1,3,A,0
2024-08-23,Karlsruhe,Elversberg,3,2,H,0
2024-08-23,Hannover,Hamburg,1,0,H,0
2024-08-24,PreuÃen MÃ¼nster,Kaiserslautern,0,1,A,0
2024-08-24,FC Koln,Braunschweig,5,0,H,0
2024-08-24,Greuther Furth,Paderborn,1,1,D,1
2024-08-24,Hertha,Regensburg,2,0,H,0
2024-08-25,Ulm,Fortuna Dusseldorf,1,2,A,0
2024-08-25,Magdeburg,Schalke 04,2,2,D,1
2024-08-25,Darmstadt,Nurnberg,1,1,D,1
2024-08-30,Regensburg,Greuther Furth,0,4,A,0
2024-08-30,Fortuna Dusseldorf,Hannover,1,0,H,0
2024-08-31,Nurnberg,Magdeburg,0,4,A,0
2024-08-31,Kaiserslautern,Hertha,3,4,A,0
2024-08-31,Elversberg,Darmstadt,4,0,H,0
2024-08-31,Hamburg,PreuÃen MÃ¼nster,4,1,H,0
2024-09-01,Schalke 04,FC Koln,1,3,A,0
2024-09-01,Paderborn,Ulm,0,0,D,1
2024-09-01,Braunschweig,Karlsruhe,1,2,A,0
2024-09-13,Karlsruhe,Schalke 04,2,0,H,0
2024-09-13,PreuÃen MÃ¼nster,Paderborn,3,3,D,1
2024-09-14,FC Koln,Magdeburg,1,2,A,0
2024-09-14,Darmstadt,Braunschweig,1,1,D,1
2024-09-14,Hannover,Kaiserslautern,3,1,H,0
2024-09-14,Ulm,Nurnberg,1,2,A,0
2024-09-15,Hertha,Fortuna Dusseldorf,0,2,A,0
2024-09-15,Hamburg,Regensburg,5,0,H,0
2024-09-15,Greuther Furth,Elversberg,0,0,D,1
2024-09-20,Schalke 04,Darmstadt,3,5,A,0
2024-09-20,Paderborn,Hannover,2,1,H,0
2024-09-21,Nurnberg,Hertha,0,2,A,0
2024-09-21,Kaiserslautern,Hamburg,2,2,D,1
2024-09-21,Braunschweig,Greuther Furth,2,0,H,0
2024-09-21,Fortuna Dusseldorf,FC Koln,2,2,D,1
2024-09-22,Regensburg,PreuÃen MÃ¼nster,0,3,A,0
2024-09-22,Magdeburg,Karlsruhe,2,2,D,1
2024-09-22,Elversberg,Ulm,1,3,A,0
2024-09-27,Ulm,Braunschweig,3,1,H,0
2024-09-27,Greuther Furth,Fortuna Dusseldorf,1,2,A,0
2024-09-28,Regensburg,Kaiserslautern,0,0,D,1
2024-09-28,PreuÃen MÃ¼nster,Schalke 04,1,2,A,0
2024-09-28,Darmstadt,Magdeburg,1,2,A,0
2024-09-28,Hamburg,Paderborn,2,2,D,1
2024-09-29,Hertha,Elversberg,1,4,A,0
2024-09-29,Hannover,Nurnberg,2,0,H,0
2024-09-29,FC Koln,Karlsruhe,4,4,D,1
2024-10-04,Paderborn,Regensburg,3,0,H,0
2024-10-04,Karlsruhe,Darmstadt,3,3,D,1
2024-10-05,Nurnberg,PreuÃen MÃ¼nster,3,2,H,0
2024-10-05,Schalke 04,Hertha,2,2,D,1
2024-10-05,Elversberg,Kaiserslautern,1,0,H,0
2024-10-05,FC Koln,Ulm,2,0,H,0
2024-10-06,Magdeburg,Greuther Furth,2,2,D,1
2024-10-06,Fortuna Dusseldorf,Hamburg,0,3,A,0
2024-10-06,Braunschweig,Hannover,2,0,H,0
2024-10-18,Darmstadt,FC Koln,5,1,H,0
2024-10-18,Hertha,Braunschweig,3,1,H,0
2024-10-19,Hannover,Schalke 04,1,0,H,0
2024-10-19,PreuÃen MÃ¼nster,Elversberg,1,1,D,1
2024-10-19,Regensburg,Fortuna Dusseldorf,0,3,A,0
2024-10-19,Kaiserslautern,Paderborn,3,0,H,0
2024-10-20,Hamburg,Magdeburg,3,1,H,0
2024-10-20,Greuther Furth,Nurnberg,0,4,A,0
2024-10-20,Ulm,Karlsruhe,0,1,A,0
2024-10-25,FC Koln,Paderborn,1,2,A,0
2024-10-25,Nurnberg,Regensburg,8,3,H,0
2024-10-26,Schalke 04,Greuther Furth,3,4,A,0
2024-10-26,Fortuna Dusseldorf,Kaiserslautern,3,4,A,0
2024-10-26,Karlsruhe,Hertha,1,3,A,0
2024-10-26,Elversberg,Hamburg,4,2,H,0
2024-10-27,Magdeburg,Hannover,0,3,A,0
2024-10-27,Braunschweig,PreuÃen MÃ¼nster,1,1,D,1
2024-10-27,Darmstadt,Ulm,1,1,D,1
2024-11-01,Ulm,Schalke 04,0,0,D,1
2024-11-01,PreuÃen MÃ¼nster,Fortuna Dusseldorf,1,0,H,0
2024-11-02,Regensburg,Elversberg,1,0,H,0
2024-11-02,Hertha,FC Koln,0,1,A,0
2024-11-02,Greuther Furth,Darmstadt,1,5,A,0
