Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2025-08-22,Bayern Munich,RB Leipzig,6,0,H,0
2025-08-23,Heidenheim,Wolfsburg,1,3,A,0
2025-08-23,Union Berlin,Stuttgart,2,1,H,0
2025-08-23,Freiburg,Augsburg,1,3,A,0
2025-08-23,Ein Frankfurt,Werder Bremen,4,1,H,0
2025-08-23,St Pauli,Dortmund,3,3,D,1
2025-08-23,Leverkusen,Heidenheim,1,2,A,0
2025-08-24,Mainz,FC Koln,0,1,A,0
2025-08-24,M'gladbach,Hamburg,0,0,D,1
2025-08-29,Hamburg,St Pauli,0,2,A,0
2025-08-30,RB Leipzig,Heidenheim,2,0,H,0
2025-08-30,Heidenheim,Ein Frankfurt,1,3,A,0
2025-08-30,Augsburg,Bayern Munich,2,3,A,0
2025-08-30,Werder Bremen,Leverkusen,3,3,D,1
2025-08-30,Stuttgart,M'gladbach,1,0,H,0
2025-08-31,FC Koln,Freiburg,4,1,H,0
2025-08-31,Wolfsburg,Mainz,1,1,D,1
2025-08-31,Dortmund,Union Berlin,3,0,H,0
2025-09-12,Leverkusen,Ein Frankfurt,3,1,H,0
2025-09-13,Wolfsburg,FC Koln,3,3,D,1
2025-09-13,Bayern Munich,Hamburg,5,0,H,0
2025-09-13,Heidenheim,Dortmund,0,2,A,0
2025-09-13,Freiburg,Stuttgart,3,1,H,0
2025-09-13,Mainz,RB Leipzig,0,1,A,0
2025-09-13,Union Berlin,Heidenheim,2,4,A,0
2025-09-14,M'gladbach,Werder Bremen,0,4,A,0
2025-09-14,St Pauli,Augsburg,2,1,H,0
2025-09-19,Stuttgart,St Pauli,2,0,H,0
2025-09-20,Heidenheim,Bayern Munich,1,4,A,0
2025-09-20,Hamburg,Heidenheim,2,1,H,0
2025-09-20,Werder Bremen,Freiburg,0,3,A,0
2025-09-20,RB Leipzig,FC Koln,3,1,H,0
2025-09-20,Augsburg,Mainz,1,4,A,0
2025-09-21,Ein Frankfurt,Union Berlin,3,4,A,0
2025-09-21,Leverkusen,M'gladbach,1,1,D,1
2025-09-21,Dortmund,Wolfsburg,1,0,H,0
2025-09-26,Bayern Munich,Werder Bremen,4,0,H,0
2025-09-27,M'gladbach,Ein Frankfurt,4,6,A,0
2025-09-27,Wolfsburg,RB Leipzig,0,1,A,0
2025-09-27,St Pauli,Leverkusen,1,2,A,0
2025-09-27,Mainz,Dortmund,0,2,A,0
2025-09-27,Heidenheim,Augsburg,2,1,H,0
2025-09-28,Union Berlin,Hamburg,0,0,D,1
2025-09-28,Freiburg,Heidenheim,1,1,D,1
2025-09-28,FC Koln,Stuttgart,1,2,A,0
2025-10-03,Heidenheim,FC Koln,0,1,A,0
2025-10-04,Ein Frankfurt,Bayern Munich,0,3,A,0
2025-10-04,Augsburg,Wolfsburg,3,1,H,0
2025-10-04,Dortmund,RB Leipzig,1,1,D,1
2025-10-04,Leverkusen,Union Berlin,2,0,H,0
2025-10-04,Werder Bremen,St Pauli,1,0,H,0
2025-10-05,M'gladbach,Freiburg,0,0,D,1
2025-10-05,Hamburg,Mainz,4,0,H,0
2025-10-05,Stuttgart,Heidenheim,1,0,H,0
2025-10-17,Union Berlin,M'gladbach,3,1,H,0
2025-10-18,Bayern Munich,Dortmund,2,1,H,0
2025-10-18,Heidenheim,Werder Bremen,2,2,D,1
2025-10-18,FC Koln,Augsburg,1,1,D,1
2025-10-18,RB Leipzig,Hamburg,2,1,H,0
2025-10-18,Wolfsburg,Stuttgart,0,3,A,0
2025-10-18,Mainz,Leverkusen,3,4,A,0
2025-10-19,St Pauli,Heidenheim,0,3,A,0
2025-10-19,Freiburg,Ein Frankfurt,2,2,D,1
2025-10-24,Werder Bremen,Union Berlin,1,0,H,0
2025-10-25,Dortmund,FC Koln,1,0,H,0
2025-10-25,Augsburg,RB Leipzig,0,6,A,0
2025-10-25,Heidenheim,Heidenheim,3,1,H,0
2025-10-25,Hamburg,Wolfsburg,0,1,A,0
2025-10-25,Ein Frankfurt,St Pauli,2,0,H,0
2025-10-25,M'gladbach,Bayern Munich,0,3,A,0
2025-10-26,Leverkusen,Freiburg,2,0,H,0
2025-10-26,Stuttgart,Mainz,2,1,H,0
2025-10-31,Augsburg,Dortmund,0,1,A,0
2025-11-01,RB Leipzig,Stuttgart,3,1,H,0
2025-11-01,Heidenheim,Ein Frankfurt,1,1,D,1
2025-11-01,Mainz,Werder Bremen,1,1,D,1
2025-11-01,St Pauli,M'gladbach,0,4,A,0
2025-11-01,Union Berlin,Freiburg,0,0,D,1
2025-11-01,Bayern Munich,Leverkusen,3,0,H,0
2025-11-02,FC Koln,Hamburg,4,1,H,0
2025-11-02,Wolfsburg,Heidenheim,2,3,A,0
2025-11-07,Werder Bremen,Wolfsburg,2,1,H,0
2025-11-08,Leverkusen,Heidenheim,6,0,H,0
2025-11-08,Union Berlin,Bayern Munich,2,2,D,1
2025-11-08,M'gladbach,FC Koln,3,1,H,0
2025-11-08,Heidenheim,RB Leipzig,3,1,H,0
2025-11-08,Hamburg,Dortmund,1,1,D,1
2025-11-09,Stuttgart,Augsburg,3,2,H,0
2025-11-09,Ein Frankfurt,Mainz,1,0,H,0
2025-11-09,Freiburg,St Pauli,2,1,H,0
2025-11-21,Mainz,Heidenheim,1,1,D,1
2025-11-22,Heidenheim,M'gladbach,0,3,A,0
2025-11-22,Augsburg,Hamburg,1,0,H,0
2025-11-22,Bayern Munich,Freiburg,6,2,H,0
2025-11-22,Dortmund,Stuttgart,3,3,D,1
2025-11-22,Wolfsburg,Leverkusen,1,3,A,0
2025-11-22,FC Koln,Ein Frankfurt,3,4,A,0
2025-11-23,RB Leipzig,Werder Bremen,2,0,H,0
2025-11-23,St Pauli,Union Berlin,0,1,A,0
2025-11-28,M'gladbach,RB Leipzig,0,0,D,1
2025-11-29,Bayern Munich,St Pauli,3,1,H,0
2025-11-29,Union Berlin,Heidenheim,1,2,A,0
2025-11-29,Heidenheim,Augsburg,3,0,H,0
2025-11-29,Werder Bremen,FC Koln,1,1,D,1
2025-11-29,Leverkusen,Dortmund,1,2,A,0
2025-11-30,Hamburg,Stuttgart,2,1,H,0
2025-11-30,Ein Frankfurt,Wolfsburg,1,1,D,1
2025-11-30,Freiburg,Mainz,4,0,H,0
2025-12-05,Mainz,M'gladbach,0,1,A,0
2025-12-06,Augsburg,Leverkusen,2,0,H,0
2025-12-06,RB Leipzig,Ein Frankfurt,6,0,H,0
2025-12-06,Heidenheim,Freiburg,2,1,H,0
2025-12-06,Stuttgart,Bayern Munich,0,5,A,0
2025-12-06,Wolfsburg,Union Berlin,3,1,H,0
