Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2018-08-03,Reading,Derby,1,2,A,0
2018-08-04,Birmingham,Norwich,2,2,D,1
2018-08-04,Bristol City,Nott'm Forest,1,1,D,1
2018-08-04,Sheffield United,Swansea,1,2,A,0
2018-08-04,Ipswich,Blackburn,2,2,D,1
2018-08-04,Preston,QPR,1,0,H,0
2018-08-04,Brentford,Rotherham,5,1,H,0
2018-08-04,Millwall,Middlesbrough,2,2,D,1
2018-08-04,Wigan,Sheffield United,3,2,H,0
2018-08-04,West Brom,Luton,1,2,A,0
2018-08-05,Leeds,Stoke,3,1,H,0
2018-08-06,Hull,Aston Villa,1,3,A,0
2018-08-07,Middlesbrough,Sheffield United,3,0,H,0
2018-08-07,Nott'm Forest,West Brom,1,1,D,1
2018-08-11,QPR,Sheffield United,1,2,A,0
2018-08-11,Nott'm Forest,Reading,1,0,H,0
2018-08-11,Middlesbrough,Birmingham,1,0,H,0
2018-08-11,Blackburn,Millwall,0,0,D,1
2018-08-11,Stoke,Brentford,1,1,D,1
2018-08-11,Sheffield United,Hull,1,1,D,1
2018-08-11,Norwich,West Brom,3,4,A,0
2018-08-11,Derby,Leeds,1,4,A,0
2018-08-11,Luton,Bristol City,2,2,D,1
2018-08-11,Aston Villa,Wigan,3,2,H,0
2018-08-11,Swansea,Preston,1,0,H,0
2018-08-11,Rotherham,Ipswich,1,0,H,0
2018-08-17,Birmingham,Swansea,0,0,D,1
2018-08-18,Sheffield United,Norwich,2,1,H,0
2018-08-18,Hull,Blackburn,0,1,A,0
2018-08-18,Bristol City,Middlesbrough,0,2,A,0
2018-08-18,Ipswich,Aston Villa,1,1,D,1
2018-08-18,Millwall,Derby,2,1,H,0
2018-08-18,Preston,Stoke,2,2,D,1
2018-08-18,West Brom,QPR,7,1,H,0
2018-08-18,Leeds,Rotherham,2,0,H,0
2018-08-18,Reading,Luton,0,1,A,0
2018-08-18,Wigan,Nott'm Forest,2,2,D,1
2018-08-19,Brentford,Sheffield United,2,0,H,0
2018-08-21,QPR,Bristol City,0,3,A,0
2018-08-21,Derby,Ipswich,2,0,H,0
2018-08-21,Swansea,Leeds,2,2,D,1
2018-08-21,Rotherham,Hull,2,3,A,0
2018-08-22,Luton,Birmingham,1,0,H,0
2018-08-22,Stoke,Wigan,0,3,A,0
2018-08-22,Norwich,Preston,2,0,H,0
2018-08-22,Aston Villa,Brentford,2,2,D,1
2018-08-22,Blackburn,Reading,2,2,D,1
2018-08-22,Sheffield United,Millwall,2,1,H,0
2018-08-24,Middlesbrough,West Brom,1,0,H,0
2018-08-25,Derby,Preston,2,0,H,0
2018-08-25,Norwich,Leeds,0,3,A,0
2018-08-25,Stoke,Hull,2,0,H,0
2018-08-25,Swansea,Bristol City,0,1,A,0
2018-08-25,Aston Villa,Reading,1,1,D,1
2018-08-25,Nott'm Forest,Birmingham,2,2,D,1
2018-08-25,Sheffield United,Ipswich,2,1,H,0
2018-08-25,QPR,Wigan,1,0,H,0
2018-08-25,Blackburn,Brentford,1,0,H,0
2018-08-25,Luton,Sheffield United,0,3,A,0
2018-08-26,Rotherham,Millwall,1,0,H,0
2018-08-31,Leeds,Middlesbrough,0,0,D,1
2018-09-01,Birmingham,QPR,0,0,D,1
2018-09-01,Wigan,Rotherham,1,0,H,0
2018-09-01,West Brom,Stoke,2,1,H,0
2018-09-01,Sheffield United,Aston Villa,4,1,H,0
2018-09-01,Reading,Sheffield United,1,2,A,0
2018-09-01,Preston,Luton,2,2,D,1
2018-09-01,Millwall,Swansea,1,2,A,0
2018-09-01,Hull,Derby,1,2,A,0
2018-09-01,Brentford,Nott'm Forest,2,1,H,0
2018-09-02,Bristol City,Blackburn,4,1,H,0
2018-09-02,Ipswich,Norwich,1,1,D,1
2018-09-14,Birmingham,West Brom,1,1,D,1
2018-09-15,Brentford,Wigan,2,0,H,0
2018-09-15,Bristol City,Sheffield United,1,0,H,0
2018-09-15,Preston,Reading,2,3,A,0
2018-09-15,Sheffield United,Stoke,2,2,D,1
2018-09-15,Swansea,Nott'm Forest,0,0,D,1
2018-09-15,Rotherham,Derby,1,0,H,0
2018-09-15,Norwich,Middlesbrough,1,0,H,0
2018-09-15,Blackburn,Aston Villa,1,1,D,1
2018-09-15,Hull,Ipswich,2,0,H,0
2018-09-15,Luton,QPR,1,2,A,0
2018-09-15,Millwall,Leeds,1,1,D,1
2018-09-18,Leeds,Preston,3,0,H,0
2018-09-18,Stoke,Swansea,1,0,H,0
2018-09-18,Wigan,Hull,2,1,H,0
2018-09-18,West Brom,Bristol City,4,2,H,0
2018-09-18,Ipswich,Brentford,1,1,D,1
2018-09-18,Aston Villa,Rotherham,2,0,H,0
2018-09-18,Derby,Blackburn,0,0,D,1
2018-09-19,Middlesbrough,Luton,2,0,H,0
2018-09-19,Nott'm Forest,Sheffield United,2,1,H,0
2018-09-19,Reading,Norwich,1,2,A,0
2018-09-19,Sheffield United,Birmingham,0,0,D,1
2018-09-19,QPR,Millwall,2,0,H,0
2018-09-21,Wigan,Bristol City,1,0,H,0
2018-09-22,Stoke,Blackburn,2,3,A,0
2018-09-22,Ipswich,Luton,0,0,D,1
2018-09-22,Middlesbrough,Swansea,0,0,D,1
2018-09-22,Nott'm Forest,Rotherham,1,0,H,0
2018-09-22,QPR,Norwich,0,1,A,0
2018-09-22,Reading,Hull,3,0,H,0
2018-09-22,West Brom,Millwall,2,0,H,0
2018-09-22,Aston Villa,Sheffield United,1,2,A,0
2018-09-22,Derby,Brentford,3,1,H,0
2018-09-22,Leeds,Birmingham,1,2,A,0
2018-09-22,Sheffield United,Preston,3,2,H,0
2018-09-28,Bristol City,Aston Villa,1,1,D,1
2018-09-28,Sheffield United,Leeds,1,1,D,1
2018-09-29,Blackburn,Nott'm Forest,2,2,D,1
2018-09-29,Brentford,Reading,2,2,D,1
2018-09-29,Hull,Middlesbrough,1,1,D,1
2018-09-29,Millwall,Sheffield United,2,3,A,0
2018-09-29,Swansea,QPR,3,0,H,0
2018-09-29,Norwich,Wigan,1,0,H,0
2018-09-29,Luton,Derby,1,0,H,0
2018-09-29,Preston,West Brom,2,3,A,0
2018-09-29,Rotherham,Stoke,2,2,D,1
2018-09-29,Birmingham,Ipswich,2,2,D,1
2018-10-02,Brentford,Birmingham,1,1,D,1
2018-10-02,Wigan,Swansea,0,0,D,1
2018-10-02,Stoke,Luton,2,0,H,0
2018-10-02,Aston Villa,Preston,3,3,D,1
2018-10-02,Reading,QPR,0,1,A,0
2018-10-02,Ipswich,Middlesbrough,0,2,A,0
2018-10-02,Hull,Leeds,0,1,A,0
2018-10-03,Blackburn,Sheffield United,0,2,A,0
2018-10-03,Derby,Norwich,1,1,D,1
2018-10-03,Sheffield United,West Brom,2,2,D,1
2018-10-03,Nott'm Forest,Millwall,2,2,D,1
2018-10-03,Rotherham,Bristol City,0,0,D,1
2018-10-06,Middlesbrough,Nott'm Forest,0,2,A,0
2018-10-06,Luton,Blackburn,0,1,A,0
2018-10-06,West Brom,Reading,4,1,H,0
2018-10-06,QPR,Derby,1,1,D,1
2018-10-06,Sheffield United,Hull,1,0,H,0
2018-10-06,Preston,Wigan,4,0,H,0
2018-10-06,Norwich,Stoke,0,1,A,0
2018-10-06,Birmingham,Rotherham,3,1,H,0
2018-10-06,Millwall,Aston Villa,2,1,H,0
2018-10-06,Swansea,Ipswich,2,3,A,0
2018-10-06,Leeds,Brentford,1,1,D,1
2018-10-07,Bristol City,Sheffield United,1,2,A,0
2018-10-19,Sheffield United,Middlesbrough,1,2,A,0
2018-10-20,Ipswich,QPR,0,2,A,0
2018-10-20,Wigan,West Brom,1,0,H,0
2018-10-20,Aston Villa,Swansea,1,0,H,0
2018-10-20,Blackburn,Leeds,2,1,H,0
2018-10-20,Derby,Sheffield United,2,1,H,0
2018-10-20,Hull,Preston,1,1,D,1
2018-10-20,Nott'm Forest,Norwich,1,2,A,0
2018-10-20,Reading,Millwall,3,1,H,0
2018-10-20,Rotherham,Luton,1,1,D,1
2018-10-20,Brentford,Bristol City,0,1,A,0
2018-10-20,Stoke,Birmingham,0,1,A,0
2018-10-23,Birmingham,Reading,2,1,H,0
2018-10-23,Middlesbrough,Rotherham,0,0,D,1
2018-10-23,Swansea,Blackburn,3,1,H,0
2018-10-23,Sheffield United,Stoke,1,1,D,1
2018-10-23,Norwich,Aston Villa,2,1,H,0
2018-10-23,Millwall,Wigan,2,1,H,0
2018-10-23,QPR,Sheffield United,3,0,H,0
2018-10-24,Bristol City,Hull,1,0,H,0
2018-10-24,Luton,Nott'm Forest,0,3,A,0
2018-10-24,Preston,Brentford,4,3,H,0
2018-10-24,Leeds,Ipswich,2,0,H,0
2018-10-24,West Brom,Derby,1,4,A,0
2018-10-26,QPR,Aston Villa,1,0,H,0
2018-10-27,Sheffield United,Wigan,4,2,H,0
2018-10-27,Middlesbrough,Derby,1,1,D,1
2018-10-27,West Brom,Blackburn,1,1,D,1
2018-10-27,Leeds,Nott'm Forest,1,1,D,1
2018-10-27,Preston,Rotherham,1,1,D,1
2018-10-27,Birmingham,Sheffield United,3,1,H,0
2018-10-27,Swansea,Reading,2,0,H,0
2018-10-27,Norwich,Brentford,1,0,H,0
2018-10-27,Millwall,Ipswich,3,0,H,0
2018-10-27,Bristol City,Stoke,0,1,A,0
2018-10-27,Luton,Hull,0,1,A,0
2018-11-02,Aston Villa,Luton,2,0,H,0
2018-11-03,Derby,Birmingham,3,1,H,0
2018-11-03,Reading,Bristol City,3,2,H,0
2018-11-03,Rotherham,Swansea,2,1,H,0
2018-11-03,Stoke,Middlesbrough,0,0,D,1
2018-11-03,Sheffield United,Norwich,0,4,A,0
2018-11-03,Nott'm Forest,Sheffield United,1,0,H,0
2018-11-03,Hull,West Brom,1,0,H,0
2018-11-03,Brentford,Millwall,2,0,H,0
2018-11-03,Blackburn,QPR,1,0,H,0
2018-11-03,Ipswich,Preston,1,1,D,1
2018-11-04,Wigan,Leeds,1,2,A,0
2018-11-09,Sheffield United,Sheffield United,0,0,D,1
2018-11-10,Reading,Ipswich,2,2,D,1
2018-11-10,Luton,Swansea,0,1,A,0
2018-11-10,Bristol City,Preston,0,1,A,0
2018-11-10,Derby,Aston Villa,0,3,A,0
2018-11-10,Middlesbrough,Wigan,2,0,H,0
2018-11-10,Nott'm Forest,Stoke,0,0,D,1
2018-11-10,QPR,Brentford,3,2,H,0
2018-11-10,West Brom,Leeds,4,1,H,0
2018-11-10,Birmingham,Hull,3,3,D,1
2018-11-10,Blackburn,Rotherham,1,1,D,1
2018-11-10,Norwich,Millwall,4,3,H,0
2018-11-23,Ipswich,West Brom,1,2,A,0
2018-11-24,Brentford,Middlesbrough,1,2,A,0
2018-11-24,Sheffield United,Derby,1,2,A,0
2018-11-24,Millwall,Luton,1,1,D,1
2018-11-24,Rotherham,Sheffield United,2,2,D,1
2018-11-24,Swansea,Norwich,1,4,A,0
2018-11-24,Stoke,QPR,2,2,D,1
2018-11-24,Hull,Nott'm Forest,0,2,A,0
2018-11-24,Leeds,Bristol City,2,0,H,0
2018-11-24,Wigan,Reading,0,0,D,1
2018-11-24,Preston,Blackburn,4,1,H,0
2018-11-25,Aston Villa,Birmingham,4,2,H,0
2018-11-27,Brentford,Sheffield United,2,3,A,0
2018-11-27,Rotherham,QPR,2,2,D,1
2018-11-27,Hull,Norwich,0,0,D,1
2018-11-27,Leeds,Reading,1,0,H,0
2018-11-27,Sheffield United,Luton,1,0,H,0
2018-11-27,Preston,Middlesbrough,1,1,D,1
2018-11-28,Wigan,Blackburn,3,1,H,0
2018-11-28,Swansea,West Brom,1,2,A,0
2018-11-28,Stoke,Derby,2,1,H,0
2018-11-28,Ipswich,Bristol City,2,3,A,0
2018-11-28,Aston Villa,Nott'm Forest,5,5,D,1
2018-11-28,Millwall,Birmingham,0,2,A,0
2018-12-01,Derby,Swansea,2,1,H,0
2018-12-01,QPR,Hull,2,3,A,0
2018-12-01,Reading,Stoke,2,2,D,1
2018-12-01,Birmingham,Preston,3,0,H,0
2018-12-01,Middlesbrough,Aston Villa,0,3,A,0
2018-12-01,Nott'm Forest,Ipswich,2,0,H,0
2018-12-01,Sheffield United,Leeds,0,1,A,0
2018-12-01,Blackburn,Sheffield United,4,2,H,0
2018-12-01,Luton,Wigan,1,1,D,1
2018-12-01,Norwich,Rotherham,3,1,H,0
2018-12-02,Bristol City,Millwall,1,1,D,1
2018-12-03,West Brom,Brentford,1,1,D,1
2018-12-07,West Brom,Aston Villa,2,2,D,1
2018-12-08,Sheffield United,Rotherham,2,2,D,1
2018-12-08,Birmingham,Bristol City,0,1,A,0
2018-12-08,Nott'm Forest,Preston,0,1,A,0
2018-12-08,Reading,Sheffield United,0,2,A,0
2018-12-08,Stoke,Ipswich,2,0,H,0
2018-12-08,Wigan,Derby,0,1,A,0
2018-12-08,Norwich,Luton,3,2,H,0
2018-12-08,Millwall,Hull,2,2,D,1
2018-12-08,Middlesbrough,Blackburn,1,1,D,1
2018-12-08,Leeds,QPR,2,1,H,0
2018-12-08,Brentford,Swansea,2,3,A,0
2018-12-14,Sheffield United,West Brom,1,2,A,0
2018-12-15,Blackburn,Birmingham,2,2,D,1
2018-12-15,Aston Villa,Stoke,2,2,D,1
2018-12-15,Bristol City,Norwich,2,2,D,1
2018-12-15,Ipswich,Wigan,1,0,H,0
2018-12-15,Luton,Leeds,0,1,A,0
2018-12-15,Hull,Brentford,2,0,H,0
2018-12-15,Swansea,Sheffield United,2,1,H,0
2018-12-15,Rotherham,Reading,1,1,D,1
2018-12-15,QPR,Middlesbrough,2,1,H,0
2018-12-15,Preston,Millwall,3,2,H,0
2018-12-17,Derby,Nott'm Forest,0,0,D,1
2018-12-22,Ipswich,Sheffield United,1,1,D,1
2018-12-22,Wigan,Birmingham,0,3,A,0
2018-12-22,Derby,Bristol City,1,1,D,1
2018-12-22,Stoke,Millwall,1,0,H,0
2018-12-22,Sheffield United,Preston,1,0,H,0
2018-12-22,Reading,Middlesbrough,0,1,A,0
2018-12-22,Rotherham,West Brom,0,4,A,0
2018-12-22,Blackburn,Norwich,0,1,A,0
2018-12-22,Brentford,Luton,1,0,H,0
2018-12-22,Nott'm Forest,QPR,0,1,A,0
2018-12-22,Hull,Swansea,3,2,H,0
2018-12-23,Aston Villa,Leeds,2,3,A,0
2018-12-26,Swansea,Aston Villa,0,1,A,0
2018-12-26,West Brom,Wigan,2,0,H,0
2018-12-26,Luton,Rotherham,2,1,H,0
2018-12-26,Bristol City,Brentford,1,1,D,1
2018-12-26,Leeds,Blackburn,3,2,H,0
2018-12-26,Norwich,Nott'm Forest,3,3,D,1
2018-12-26,Preston,Hull,1,2,A,0
2018-12-26,Sheffield United,Derby,3,1,H,0
2018-12-26,Birmingham,Stoke,2,0,H,0
2018-12-26,Middlesbrough,Sheffield United,0,1,A,0
2018-12-26,QPR,Ipswich,3,0,H,0
2018-12-26,Millwall,Reading,1,0,H,0
2018-12-29,West Brom,Sheffield United,1,1,D,1
2018-12-29,Swansea,Wigan,2,2,D,1
2018-12-29,Preston,Aston Villa,1,1,D,1
2018-12-29,Norwich,Derby,3,4,A,0
2018-12-29,Birmingham,Brentford,0,0,D,1
2018-12-29,Luton,Stoke,0,0,D,1
2018-12-29,Bristol City,Rotherham,1,0,H,0
2018-12-29,Leeds,Hull,0,2,A,0
2018-12-29,Middlesbrough,Ipswich,2,0,H,0
2018-12-29,Millwall,Nott'm Forest,1,0,H,0
2018-12-29,QPR,Reading,0,0,D,1
2018-12-29,Sheffield United,Blackburn,3,0,H,0
2019-01-01,Stoke,Bristol City,0,2,A,0
2019-01-01,Aston Villa,QPR,2,2,D,1
2019-01-01,Blackburn,West Brom,2,1,H,0
2019-01-01,Brentford,Norwich,1,1,D,1
2019-01-01,Derby,Middlesbrough,1,1,D,1
2019-01-01,Hull,Luton,6,0,H,0
2019-01-01,Ipswich,Millwall,2,3,A,0
2019-01-01,Nott'm Forest,Leeds,4,2,H,0
2019-01-01,Reading,Swansea,1,4,A,0
2019-01-01,Rotherham,Preston,2,1,H,0
2019-01-01,Sheffield United,Birmingham,1,1,D,1
2019-01-01,Wigan,Sheffield United,0,3,A,0
2019-01-11,Leeds,Derby,2,0,H,0
2019-01-12,Hull,Sheffield United,3,0,H,0
2019-01-12,Wigan,Aston Villa,3,0,H,0
2019-01-12,Sheffield United,QPR,1,0,H,0
2019-01-12,Reading,Nott'm Forest,2,0,H,0
2019-01-12,Millwall,Blackburn,0,2,A,0
