Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2025-08-09,Montpellier,Red Star,1,1,D,1
2025-08-09,Dunkerque,Clermont,2,2,D,1
2025-08-09,Laval,St Etienne,3,3,D,1
2025-08-09,Rodez,Annecy,0,0,D,1
2025-08-09,Troyes,Grenoble,2,1,H,0
2025-08-09,Pau FC,Annecy,2,0,H,0
2025-08-09,Guingamp,Le Mans,3,3,D,1
2025-08-11,Amiens,Reims,2,2,D,1
2025-08-15,Bastia,Pau FC,1,1,D,1
2025-08-15,Annecy,Boulogne,1,0,H,0
2025-08-15,Grenoble,Laval,1,1,D,1
2025-08-15,Red Star,Amiens,1,3,A,0
2025-08-15,Clermont,Troyes,0,0,D,1
2025-08-16,Reims,Guingamp,1,0,H,0
2025-08-16,Annecy,Dunkerque,2,2,D,1
2025-08-16,St Etienne,Rodez,4,0,H,0
2025-08-18,Le Mans,Montpellier,1,2,A,0
2025-08-22,Rodez,Laval,1,1,D,1
2025-08-22,Amiens,Annecy,0,1,A,0
2025-08-22,Clermont,Grenoble,2,1,H,0
2025-08-22,Dunkerque,Annecy,1,3,A,0
2025-08-22,Le Mans,Bastia,1,0,H,0
2025-08-23,Boulogne,St Etienne,0,1,A,0
2025-08-23,Troyes,Montpellier,1,0,H,0
2025-08-23,Guingamp,Red Star,0,4,A,0
2025-08-25,Pau FC,Reims,2,0,H,0
2025-08-29,Dunkerque,Troyes,2,0,H,0
2025-08-29,Rodez,Boulogne,1,0,H,0
2025-08-29,Laval,Clermont,0,0,D,1
2025-08-29,Montpellier,Amiens,1,1,D,1
2025-08-29,Annecy,Pau FC,2,2,D,1
2025-08-29,Red Star,Annecy,1,0,H,0
2025-08-30,Reims,Le Mans,1,0,H,0
2025-08-30,St Etienne,Grenoble,1,1,D,1
2025-08-30,Bastia,Guingamp,1,3,A,0
2025-09-12,Troyes,Annecy,3,0,H,0
2025-09-12,Amiens,Bastia,0,0,D,1
2025-09-12,Boulogne,Laval,1,2,A,0
2025-09-12,Le Mans,Rodez,0,1,A,0
2025-09-12,Pau FC,Red Star,0,3,A,0
2025-09-13,Clermont,St Etienne,1,2,A,0
2025-09-13,Grenoble,Dunkerque,1,0,H,0
2025-09-13,Annecy,Reims,1,1,D,1
2025-09-15,Guingamp,Montpellier,1,0,H,0
2025-09-16,Boulogne,Bastia,1,0,H,0
2025-09-19,Grenoble,Annecy,1,3,A,0
2025-09-19,Dunkerque,Le Mans,2,2,D,1
2025-09-19,Boulogne,Pau FC,0,3,A,0
2025-09-19,Annecy,Red Star,0,1,A,0
2025-09-19,Rodez,Clermont,0,1,A,0
2025-09-19,Laval,Amiens,0,3,A,0
2025-09-20,Montpellier,Bastia,2,0,H,0
2025-09-20,Troyes,Guingamp,5,2,H,0
2025-09-20,St Etienne,Reims,3,2,H,0
2025-09-23,Reims,Clermont,4,1,H,0
2025-09-23,Red Star,Troyes,1,3,A,0
2025-09-23,Pau FC,Laval,1,0,H,0
2025-09-23,Montpellier,Boulogne,1,3,A,0
2025-09-23,Le Mans,Grenoble,1,0,H,0
2025-09-23,Guingamp,Dunkerque,2,1,H,0
2025-09-23,Bastia,Rodez,2,3,A,0
2025-09-23,Annecy,Annecy,1,2,A,0
2025-09-23,Amiens,St Etienne,0,1,A,0
2025-09-26,Grenoble,Bastia,0,0,D,1
2025-09-26,Rodez,Pau FC,1,2,A,0
2025-09-26,Annecy,Reims,0,1,A,0
2025-09-26,Clermont,Le Mans,1,1,D,1
2025-09-26,Troyes,Annecy,3,1,H,0
2025-09-27,St Etienne,Guingamp,2,3,A,0
2025-09-27,Laval,Montpellier,0,1,A,0
