Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2025-08-23,Aris,Volos NFC,2,0,H,0
2025-08-23,Panetolikos,Atromitos,0,2,A,0
2025-08-23,Olympiakos,Asteras Tripolis,2,0,H,0
2025-08-24,PAOK,Aris,1,0,H,0
2025-08-24,AEK,Panserraikos,2,0,H,0
2025-08-25,Levadeiakos,Kifisia,3,2,H,0
2025-08-30,Aris,Panetolikos,0,2,A,0
2025-08-30,Volos NFC,Olympiakos,0,2,A,0
2025-08-30,Aris,Kifisia,1,1,D,1
2025-08-30,Panserraikos,OFI Crete,0,1,A,0
2025-08-31,PAOK,Atromitos,1,0,H,0
2025-08-31,Panathinaikos,Levadeiakos,1,1,D,1
2025-08-31,AEK,Asteras Tripolis,1,0,H,0
2025-09-13,Olympiakos,Panserraikos,5,0,H,0
2025-09-13,Atromitos,Aris,1,2,A,0
2025-09-13,Panetolikos,Volos NFC,1,2,A,0
2025-09-14,Asteras Tripolis,Aris,2,2,D,1
2025-09-14,Kifisia,Panathinaikos,3,2,H,0
2025-09-14,Levadeiakos,AEK,0,1,A,0
2025-09-14,OFI Crete,PAOK,1,2,A,0
2025-09-20,PAOK,Panetolikos,0,0,D,1
2025-09-20,Kifisia,Aris,0,1,A,0
2025-09-20,Panserraikos,Atromitos,1,1,D,1
2025-09-20,Volos NFC,Asteras Tripolis,2,1,H,0
2025-09-21,Panathinaikos,Olympiakos,1,1,D,1
2025-09-21,Levadeiakos,OFI Crete,4,0,H,0
2025-09-21,Aris,AEK,1,1,D,1
2025-09-27,Olympiakos,Levadeiakos,3,2,H,0
2025-09-27,Aris,Panserraikos,1,1,D,1
2025-09-28,OFI Crete,Kifisia,1,3,A,0
2025-09-28,Panetolikos,Panathinaikos,1,2,A,0
2025-09-28,AEK,Volos NFC,1,0,H,0
2025-09-28,Asteras Tripolis,PAOK,3,3,D,1
2025-09-29,Atromitos,Aris,1,1,D,1
2025-10-04,Panserraikos,Asteras Tripolis,2,1,H,0
2025-10-04,OFI Crete,Aris,3,0,H,0
2025-10-04,Aris,Volos NFC,2,5,A,0
2025-10-05,Panathinaikos,Atromitos,1,0,H,0
2025-10-05,Kifisia,AEK,2,3,A,0
2025-10-05,Levadeiakos,Panetolikos,6,0,H,0
2025-10-05,PAOK,Olympiakos,2,1,H,0
2025-10-18,Panetolikos,OFI Crete,4,2,H,0
2025-10-18,Atromitos,Levadeiakos,2,2,D,1
2025-10-18,Aris,Olympiakos,0,2,A,0
2025-10-19,Volos NFC,Panserraikos,2,1,H,0
2025-10-19,Aris,Panathinaikos,1,1,D,1
2025-10-19,AEK,PAOK,0,2,A,0
2025-10-19,Asteras Tripolis,Kifisia,2,2,D,1
2025-10-25,OFI Crete,Atromitos,1,3,A,0
2025-10-25,Kifisia,Panetolikos,1,1,D,1
2025-10-25,Panserraikos,Aris,0,2,A,0
2025-10-26,Panathinaikos,Asteras Tripolis,2,0,H,0
2025-10-26,Olympiakos,AEK,2,0,H,0
2025-10-26,PAOK,Volos NFC,3,0,H,0
2025-10-26,Levadeiakos,Aris,1,1,D,1
2025-11-01,Atromitos,Kifisia,1,2,A,0
2025-11-01,Volos NFC,Panathinaikos,1,0,H,0
2025-11-01,Olympiakos,Aris,2,1,H,0
2025-11-02,Aris,Levadeiakos,0,2,A,0
2025-11-02,Panserraikos,PAOK,0,5,A,0
2025-11-02,AEK,Panetolikos,1,0,H,0
2025-11-03,Asteras Tripolis,OFI Crete,3,0,H,0
2025-11-08,Panetolikos,Aris,3,0,H,0
2025-11-09,OFI Crete,AEK,0,1,A,0
2025-11-09,Panathinaikos,PAOK,2,1,H,0
2025-11-09,Atromitos,Volos NFC,0,1,A,0
2025-11-09,Aris,Asteras Tripolis,0,0,D,1
2025-11-09,Levadeiakos,Panserraikos,5,2,H,0
2025-11-09,Kifisia,Olympiakos,1,3,A,0
2025-11-22,Olympiakos,Atromitos,3,0,H,0
2025-11-22,Asteras Tripolis,Panetolikos,1,1,D,1
2025-11-23,PAOK,Kifisia,3,0,H,0
2025-11-23,Panserraikos,Panathinaikos,0,3,A,0
2025-11-23,AEK,Aris,1,0,H,0
2025-11-24,Volos NFC,Levadeiakos,1,2,A,0
2025-11-24,Aris,OFI Crete,1,2,A,0
2025-11-29,OFI Crete,Volos NFC,0,1,A,0
2025-11-29,Aris,Aris,2,1,H,0
2025-11-29,Kifisia,Panserraikos,3,0,H,0
2025-11-30,Panetolikos,Olympiakos,0,1,A,0
2025-11-30,Levadeiakos,PAOK,2,3,A,0
2025-11-30,Panathinaikos,AEK,2,3,A,0
2025-11-30,Atromitos,Asteras Tripolis,0,1,A,0
2025-12-06,Olympiakos,OFI Crete,3,0,H,0
2025-12-06,Volos NFC,Kifisia,1,1,D,1
2025-12-07,AEK,Atromitos,4,1,H,0
2025-12-07,Asteras Tripolis,Levadeiakos,1,1,D,1
2025-12-07,Aris,Panathinaikos,2,2,D,1
2025-12-07,PAOK,Aris,3,1,H,0
2025-12-08,Panserraikos,Panetolikos,0,1,A,0
2025-12-13,Kifisia,Asteras Tripolis,0,0,D,1
2025-12-13,Levadeiakos,Aris,3,0,H,0
2025-12-13,OFI Crete,Panserraikos,3,0,H,0
2025-12-14,Panathinaikos,Volos NFC,2,1,H,0
2025-12-14,Aris,Olympiakos,0,0,D,1
2025-12-14,Atromitos,PAOK,2,0,H,0
2025-12-14,Panetolikos,AEK,0,5,A,0
2025-12-20,Asteras Tripolis,Aris,0,1,A,0
2025-12-20,Olympiakos,Kifisia,1,1,D,1
2025-12-20,Volos NFC,Panetolikos,1,0,H,0
2025-12-21,Aris,Atromitos,0,0,D,1
2025-12-21,PAOK,Panathinaikos,2,0,H,0
2025-12-21,AEK,OFI Crete,2,1,H,0
2025-12-22,Panserraikos,Levadeiakos,0,2,A,0
